# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.219
metadata : {}


# id : NWRW1800000026.219.1.1
[사다리가 사라진다] '아메리칸 드림'도 붕괴;美 최하층 자녀 42%, 다시 최하층으로

[사다리가	[/SS+사다리/NNG+가/JKS
퓨(Pew)공익재단의	퓨/NA+(/SS+Pew/SL+)/SS+공익/NNG+재단/NNG+의/JKG
2008년	2008/SN+년/NNB
연구에	연구/NNG+에/JKB
따르면	따르/VV+면/EC
최하위	최/XPN+하위/NNG
계층(하위	계층/NNG+(/SS+하위/NNG
20%)	20/SN+%/SW+)/SS
가정에서	가정/NNG+에서/JKB
태어난	태어나/VV+ㄴ/ETM
미국인의	미국인/NNG+의/JKG
42%가	42/SN+%/SW+가/JKS
부모에	부모/NNG+에/JKB
이어	잇/VV+어/EC
다시	다시/MAG
계층으로	계층/NNG+으로/JKB
살아가고	살아가/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.219.5.2
반면 최상위 계층(상위 20%)에서 태어난 미국인은 39%가 부모에 이어 최상위 계층을 유지하고 있었다.

반면	반면/NNG
최상위	최/XPN+상위/NNG
계층(상위	계층/NNG+(/SS+상위/NNG
20%)에서	20/SN+%/SW+)/SS+에서/JKB
태어난	태어나/VV+ㄴ/ETM
미국인은	미국인/NNG+은/JX
39%가	39/SN+%/SW+가/JKS
부모에	부모/NNG+에/JKB
이어	잇/VV+어/EC
계층을	계층/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.219.5.3
빈부의 대물림 현상이다.

빈부의	빈부/NNG+의/JKG
대물림	대물림/NNG
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.219.5.4
연구팀이 1984~2004년 미국 사회 최하위층 계층 이동을 추적한 결과 절반 이상(53.5~54.6%)이 10년이 지나도 여전히 최하위 계층에 머물렀다.

연구팀이	연구/NNG+팀/NNG+이/JKS
1984~2004년	1984/SN+~/SO+2004/SN+년/NNB
미국	미국/NNP
사회	사회/NNG
최하위층	최/XPN+하위/NNG+층/XSN
계층	계층/NNG
이동을	이동/NNG+을/JKO
추적한	추적/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
절반	절반/NNG
이상(53.5~54.6%)이	이상/NNG+(/SS+53/SN+./SP+5/SN+~/SO+54/SN+./SP+6/SN+%/SW+)/SS+이/JKS
10년이	10/SN+년/NNB+이/JKS
지나도	지나/VV+아도/EC
여전히	여전히/MAG
최하위	최/XPN+하위/NNG
계층에	계층/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.219.5.5
일종의 계층 고착 현상이 일어난 것이다.

일종의	일종/NNG+의/JKG
계층	계층/NNG
고착	고착/NNG
현상이	현상/NNG+이/JKS
일어난	일어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.219.6.1
연구결과 흑인과 여성이 사다리를 올라가기 어려운 취약 집단이었다.

연구결과	연구/NNG+결과/NNG
흑인과	흑인/NNG+과/JC
여성이	여성/NNG+이/JKS
사다리를	사다리/NNG+를/JKO
올라가기	올라가/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
취약	취약/NNG
집단이었다.	집단/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.219.6.2
중산층 백인 가정 자녀는 68%가 부모 세대보다 많이 벌었지만 중산층 흑인 가정 자녀는 31%만 부모 세대를 능가했다.

중산층	중산/NNG+층/XSN
백인	백인/NNG
가정	가정/NNG
자녀는	자녀/NNG+는/JX
68%가	68/SN+%/SW+가/JKS
부모	부모/NNG
세대보다	세대/NNG+보다/JKB
많이	많이/MAG
벌었지만	벌/VV+었/EP+지만/EC
흑인	흑인/NNG
31%만	31/SN+%/SW+만/JX
세대를	세대/NNG+를/JKO
능가했다.	능가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.219.6.3
최하위 계층에서 자라난 남성은 27%만 성인이 된 뒤 신분 상승에 실패했지만, 여성은 41%가 성인이 돼서도 최하위 계층에 머물며 빈곤에 허덕였다.

최하위	최/XPN+하위/NNG
계층에서	계층/NNG+에서/JKB
자라난	자라나/VV+ㄴ/ETM
남성은	남성/NNG+은/JX
27%만	27/SN+%/SW+만/JX
성인이	성인/NNG+이/JKC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
신분	신분/NNG
상승에	상승/NNG+에/JKB
실패했지만,	실패/NNG+하/XSV+았/EP+지만/EC+,/SP
여성은	여성/NNG+은/JX
41%가	41/SN+%/SW+가/JKS
돼서도	되/VV+어서/EC+도/JX
계층에	계층/NNG+에/JKB
머물며	머물/VV+며/EC
빈곤에	빈곤/NNG+에/JKB
허덕였다.	허덕이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.219.7.1
● '사다리가 사라진다' 자문단

●	●/SW
'사다리가	'/SS+사다리/NNG+가/JKS
사라진다'	사라지/VV+ㄴ다/EF+'/SS
자문단	자문단/NNG


# id : NWRW1800000026.219.8.1
김경근 고려대 교수

김경근	김경근/NNP
고려대	고려대/NNP
교수	교수/NNG


# id : NWRW1800000026.219.9.1
김선빈 삼성경제연구소 수석연구원

김선빈	김선빈/NNP
삼성경제연구소	삼성경제연구소/NNP
수석연구원	수석/NNG+연구원/NNG


# id : NWRW1800000026.219.10.1
김세종 중소기업연구원 선임연구위원

김세종	김세종/NNP
중소기업연구원	중소기업/NNG+연구원/NNG
선임연구위원	선임/NNG+연구/NNG+위원/NNG


# id : NWRW1800000026.219.11.1
김희삼 한국개발연구원 연구위원

김희삼	김희삼/NNP
한국개발연구원	한국개발연구원/NNP
연구위원	연구/NNG+위원/NNG


# id : NWRW1800000026.219.12.1
노대명 사회통합위원회 전문위원

노대명	노대명/NNP
사회통합위원회	사회/NNG+통합/NNG+위원회/NNG
전문위원	전문/NNG+위원/NNG


# id : NWRW1800000026.219.13.1
박명수 고용정보원 연구개발본부장

박명수	박명수/NNP
고용정보원	고용정보원/NNP
연구개발본부장	연구/NNG+개발/NNG+본부장/NNG


# id : NWRW1800000026.219.14.1
박신영 토지주택연구원 선임연구위원

박신영	박신영/NNP
토지주택연구원	토지주택연구원/NNP
선임연구위원	선임/NNG+연구/NNG+위원/NNG


# id : NWRW1800000026.219.15.1
방하남 한국노동연구원 선임연구위원

방하남	방하남/NNP
한국노동연구원	한국노동연구원/NNP
선임연구위원	선임/NNG+연구/NNG+위원/NNG


# id : NWRW1800000026.219.16.1
서병수 영등포노인종합복지관장

서병수	서병수/NNP
영등포노인종합복지관장	영등포노인종합복지관장/NNG


# id : NWRW1800000026.219.17.1
석상훈 국민연금연구원 부연구위원

석상훈	석상훈/NNP
국민연금연구원	국민연금/NNG+연구원/NNG
부연구위원	부연구위원/NNG


# id : NWRW1800000026.219.18.1
이민규 중앙대 교수

이민규	이민규/NNP
중앙대	중앙대/NNP
교수	교수/NNG


