# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.82
metadata : {}


# id : NWRW1800000046.82.1.1
"지금이라도 알아서 얼마나 다행인지요"

"지금이라도	"/SS+지금/NNG+이라도/JX
삶의	삶/NNG+의/JKG
현장	현장/NNG
속에서의	속/NNG+에서/JKB+의/JKG
출가를	출가/NNG+를/JKO
권한다.	권/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.82.4.4
익숙하고 편안한 것을 떠나 스스로를 경계에 세워서 안팎을 바로 보라는 뜻이다.

익숙하고	익숙하/VA+고/EC
편안한	편안/NNG+하/XSA+ㄴ/ETM
것을	것/NNB+을/JKO
떠나	떠나/VV+아/EC
스스로를	스스로/NNG+를/JKO
경계에	경계/NNG+에/JKB
세워서	세우/VV+어서/EC
안팎을	안팎/NNG+을/JKO
바로	바로/MAG
보라는	보/VV+라는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.82.5.1
스님은 계율학을 전공해 일본 하라조노대에서 박사를 받은 학승이다.

스님은	스님/NNG+은/JX
계율학을	계율학/NNG+을/JKO
전공해	전공/NNG+하/XSV+아/EC
일본	일본/NNP
하라조노대에서	하라조노대/NNP+에서/JKB
박사를	박사/NNG+를/JKO
받은	받/VV+은/ETM
학승이다.	학승/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.82.5.2
인생은 평탄하지 않았다.

인생은	인생/NNG+은/JX
평탄하지	평탄/NNG+하/XSA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.82.5.3
가난한 어린 시절, 먼저 세상 떠난 아버지와의 합장(合葬)을 거부할 정도로 사이가 좋지 않았던 부모님….

가난한	가난/NNG+하/XSA+ㄴ/ETM
어린	어리/VA+ㄴ/ETM
시절,	시절/NNG+,/SP
먼저	먼저/MAG
세상	세상/NNG
떠난	떠나/VV+ㄴ/ETM
아버지와의	아버지/NNG+와/JKB+의/JKG
합장(合葬)을	합장/NNG+(/SS+合葬/SH+)/SS+을/JKO
거부할	거부/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
사이가	사이/NNG+가/JKS
좋지	좋/VA+지/EC
않았던	않/VX+았/EP+던/ETM
부모님….	부모/NNG+님/XSN+…/SE+./SF


# id : NWRW1800000046.82.5.4
스님은 질병으로 오른쪽 시력을 거의 잃었다.

스님은	스님/NNG+은/JX
질병으로	질병/NNG+으로/JKB
오른쪽	오른쪽/NNG
시력을	시력/NNG+을/JKO
거의	거의/MAG
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.82.5.5
스님의 책치고는 이례적으로 이런 이야기도 모두 책에 털어놓았다.

스님의	스님/NNG+의/JKG
책치고는	책/NNG+치/VV+고/EC+는/JX
이례적으로	이례/NNG+적/XSN+으로/JKB
이런	이런/MMD
이야기도	이야기/NNG+도/JX
모두	모두/MAG
책에	책/NNG+에/JKB
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.82.5.6
그는 "이젠 감정의 움직임 없이 돌아볼 수 있기 때문"이라고 했다.

그는	그/NP+는/JX
"이젠	"/SS+이제/NNG+ㄴ/JX
감정의	감정/NNG+의/JKG
움직임	움직임/NNG
없이	없이/MAG
돌아볼	돌아보/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.82.6.1
책에는 승복보다는 트렌치코트를 더 좋아하던 어린 시절, 처음 머리를 깎던 날 앞머리만 깎고 뒤쪽은 치렁치렁 머리카락을 남겨둔 채 '이제 네 마음대로 가보라'며 농담하던 은사 스님, 다세대주택에서 목사님과 앞뒤로 살며 서로 자동차 빼주며 살았던 사연 등 스님들의 소소한 일상도 녹아있다.

책에는	책/NNG+에/JKB+는/JX
승복보다는	승복/NNG+보다/JKB+는/JX
트렌치코트를	트렌치코트/NNG+를/JKO
더	더/MAG
좋아하던	좋아하/VV+던/ETM
어린	어리/VA+ㄴ/ETM
시절,	시절/NNG+,/SP
처음	처음/NNG
머리를	머리/NNG+를/JKO
깎던	깎/VV+던/ETM
날	날/NNG
앞머리만	앞머리/NNG+만/JX
깎고	깎/VV+고/EC
뒤쪽은	뒤쪽/NNG+은/JX
치렁치렁	치렁치렁/MAG
머리카락을	머리카락/NNG+을/JKO
남겨둔	남기/VV+어/EC+두/VX+ㄴ/ETM
채	채/NNB
'이제	'/SS+이제/MAG
네	너/NP+의/JKG
마음대로	마음대로/MAG
가보라'며	가/VV+아/EC+보/VX+라/EF+'/SS+며/EC
농담하던	농담/NNG+하/XSV+던/ETM
은사	은사/NNG
스님,	스님/NNG+,/SP
다세대주택에서	다세대/NNG+주택/NNG+에서/JKB
목사님과	목사/NNG+님/XSN+과/JC
앞뒤로	앞뒤/NNG+로/JKB
살며	살/VV+며/EC
서로	서로/MAG
자동차	자동차/NNG
빼주며	빼/VV+어/EC+주/VX+며/EC
살았던	살/VV+았/EP+던/ETM
사연	사연/NNG
등	등/NNB
스님들의	스님/NNG+들/XSN+의/JKG
소소한	소소하/VA+ㄴ/ETM
일상도	일상/NNG+도/JX
녹아있다.	녹/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000046.82.7.1
'지금이라도 알아서 다행인 것들' 중 가장 중요한 것으로 "좋은 것도 꼭 좋은 것이 아니고, 나쁜 것이라고 반드시 나쁘지는 않다는 사실"을 꼽는 원영 스님은 서문에 이렇게 썼다.

'지금이라도	'/SS+지금/NNG+이라도/JX
알아서	알/VV+아서/EC
다행인	다행/NNG+이/VCP+ㄴ/ETM
것들'	것/NNB+들/XSN+'/SS
중	중/NNB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
"좋은	"/SS+좋/VA+은/ETM
것도	것/NNB+도/JX
꼭	꼭/MAG
좋은	좋/VA+은/ETM
것이	것/NNB+이/JKC
아니고,	아니/VCN+고/EC+,/SP
나쁜	나쁘/VA+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
반드시	반드시/MAG
나쁘지는	나쁘/VA+지/EC+는/JX
않다는	않/VX+다는/ETM
사실"을	사실/NNG+"/SS+을/JKO
꼽는	꼽/VV+는/ETM
원영	원영/NNP
스님은	스님/NNG+은/JX
서문에	서문/NNG+에/JKB
이렇게	이렇/VA+게/EC
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.82.7.2
"여러분, 생각해보세요.

"여러분,	"/SS+여러분/NP+,/SP
생각해보세요.	생각/NNG+하/XSV+아/EC+보/VX+시/EP+어요/EF+./SF


# id : NWRW1800000046.82.7.3
지금이라도 알아서, 만나서, 할 수 있어서 얼마나 다행인가요.

지금이라도	지금/NNG+이라도/JX
알아서,	알/VV+아서/EC+,/SP
만나서,	만나/VV+아서/EC+,/SP
할	하/VV+ㄹ/ETM
수	수/NNB
있어서	있/VA+어서/EC
얼마나	얼마나/MAG
다행인가요.	다행/NNG+이/VCP+ㄴ가/EF+요/JX+./SF


# id : NWRW1800000046.82.7.4
우리에게는 아직 시간이 남아 있으니까요."

우리에게는	우리/NP+에게/JKB+는/JX
아직	아직/MAG
시간이	시간/NNG+이/JKS
남아	남/VV+아/EC
있으니까요."	있/VX+으니까/EC+요/JX+./SF+"/SS


