# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.11
metadata : {}


# id : NWRW1800000045.11.1.1
얼굴 좀 보자, 신도시 소형아파트

얼굴	얼굴/NNG
전용	전용/NNG
60m²	60/SN+m²/SW
미만	미만/NNG
아파트가	아파트/NNG+가/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중인	비중/NNG+이/VCP+ㄴ/ETM
40.0%에	40/SN+./SP+0/SN+%/SW+에/JKB
크게	크/VA+게/EC
못	못/MAG
미친다.	미치/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.11.6.1
수도권 신도시에서 소형 아파트 공급 기근이 가장 심각한 곳은 송도신도시다.

수도권	수도/NNG+권/XSN
신도시에서	신/XPN+도시/NNG+에서/JKB
소형	소형/NNG
아파트	아파트/NNG
공급	공급/NNG
기근이	기근/NNG+이/JKS
가장	가장/MAG
심각한	심각하/VA+ㄴ/ETM
곳은	곳/NNG+은/JX
송도신도시다.	송도신도시/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000045.11.6.2
송도신도시 내 재고 아파트 2만5548채 가운데 전용 60m² 미만은 102채(0.4%)에 불과하다.

송도신도시	송도신도시/NNP
내	내/NNB
재고	재고/NNG
아파트	아파트/NNG
2만5548채	2/SN+만/NR+5548/SN+채/NNB
가운데	가운데/NNG
전용	전용/NNG
60m²	60/SN+m²/SW
미만은	미만/NNG+은/JX
102채(0.4%)에	102/SN+채/NNB+(/SS+0/SN+./SP+4/SN+%/SW+)/SS+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000045.11.6.3
전용 85m² 초과 물량이 64.5%를 차지하는 것과 대조적이다.

전용	전용/NNG
85m²	85/SN+m²/SW
초과	초과/NNG
물량이	물량/NNG+이/JKS
64.5%를	64/SN+./SP+5/SN+%/SW+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
대조적이다.	대조/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.11.7.1
이 때문에 소형 아파트의 집값과 청약 경쟁률은 고공행진을 이어가고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
소형	소형/NNG
아파트의	아파트/NNG+의/JKG
집값과	집값/NNG+과/JC
청약	청약/NNG
경쟁률은	경쟁/NNG+률/XSN+은/JX
고공행진을	고공/NNG+행진/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.11.7.2
송도신도시 전용 60m² 미만 소형 아파트의 3.3m²당 평균가격은 1288만 원으로, 전용 60m² 이상∼85m² 이하(1187만 원), 전용 85m² 초과(1269만 원)보다 높다.

송도신도시	송도신도시/NNP
전용	전용/NNG
60m²	60/SN+m²/SW
미만	미만/NNG
소형	소형/NNG
아파트의	아파트/NNG+의/JKG
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
평균가격은	평균/NNG+가격/NNG+은/JX
1288만	1288/SN+만/NR
원으로,	원/NNB+으로/JKB+,/SP
이상∼85m²	이상/NNG+∼/SO+85/SN+m²/SW
이하(1187만	이하/NNG+(/SS+1187/SN+만/NR
원),	원/NNB+)/SS+,/SP
85m²	85/SN+m²/SW
초과(1269만	초과/NNG+(/SS+1269/SN+만/NR
원)보다	원/NNB+)/SS+보다/JKB
높다.	높/VA+다/EF+./SF


# id : NWRW1800000045.11.7.3
지난해 이후 송도 지역 청약 경쟁률 상위 5곳 모두 전용 70m² 이하가 차지했다.

지난해	지난해/NNG
이후	이후/NNG
송도	송도/NNP
지역	지역/NNG
청약	청약/NNG
경쟁률	경쟁/NNG+률/XSN
상위	상위/NNG
5곳	5/SN+곳/NNG
모두	모두/MAG
전용	전용/NNG
70m²	70/SN+m²/SW
이하가	이하/NNG+가/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.11.7.4
이 가운데 3곳이 전용 59m²다.

이	이/MMD
가운데	가운데/NNG
3곳이	3/SN+곳/NNG+이/JKS
전용	전용/NNG
59m²다.	59/SN+m²/SW+이/VCP+다/EF+./SF


# id : NWRW1800000045.11.8.1
경기 화성시 동탄2신도시도 소형 아파트 공급이 부족하다.

경기	경기/NNP
화성시	화성시/NNP
동탄2신도시도	동탄2신도시/NNP+도/JX
소형	소형/NNG
아파트	아파트/NNG
공급이	공급/NNG+이/JKS
부족하다.	부족/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.11.8.2
재고 아파트 가운데 소형 아파트의 비중이 11.5%로, 동탄1신도시(23.5%)의 절반에도 미치지 못한다.

재고	재고/NNG
아파트	아파트/NNG
가운데	가운데/NNG
소형	소형/NNG
아파트의	아파트/NNG+의/JKG
비중이	비중/NNG+이/JKS
11.5%로,	11/SN+./SP+5/SN+%/SW+로/JKB+,/SP
동탄1신도시(23.5%)의	동탄1신도시/NNP+(/SS+23/SN+./SP+5/SN+%/SW+)/SS+의/JKG
절반에도	절반/NNG+에/JKB+도/JX
미치지	미치/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.11.8.3
동탄1신도시 및 주변 지역 거주자들이 거주 면적을 넓혀 동탄2신도시로 이사할 것이라는 생각 때문에 주택업계가 소형 아파트 공급에 인색했기 때문이다.

동탄1신도시	동탄1신도시/NNP
및	및/MAG
주변	주변/NNG
지역	지역/NNG
거주자들이	거주자/NNG+들/XSN+이/JKS
거주	거주/NNG
면적을	면적/NNG+을/JKO
넓혀	넓히/VV+어/EC
동탄2신도시로	동탄2신도시/NNP+로/JKB
이사할	이사/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
생각	생각/NNG
때문에	때문/NNB+에/JKB
주택업계가	주택업/NNG+계/XSN+가/JKS
소형	소형/NNG
아파트	아파트/NNG
공급에	공급/NNG+에/JKB
인색했기	인색/NNG+하/XSA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.11.9.1
○ 올해 신도시 소형 아파트 분양 재개

○	○/SW
올해	올해/NNG
신도시	신/XPN+도시/NNG
소형	소형/NNG
아파트	아파트/NNG
분양	분양/NNG
재개	재개/NNG


# id : NWRW1800000045.11.10.1
그동안 아파트 신규 공급이 거의 이뤄지지 않았던 이 신도시들에서 올해 소형 아파트 분양이 재개되고 있다.

그동안	그동안/NNG
아파트	아파트/NNG
신규	신규/NNG
공급이	공급/NNG+이/JKS
거의	거의/MAG
이뤄지지	이뤄지/VV+지/EC
않았던	않/VX+았/EP+던/ETM
이	이/MMD
신도시들에서	신/XPN+도시/NNG+들/XSN+에서/JKB
올해	올해/NNG
소형	소형/NNG
분양이	분양/NNG+이/JKS
재개되고	재개/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.11.10.2
내 집 마련을 원하는 실수요자라면 올해 쏟아지는 신도시 중소형 아파트를 적극적으로 노려볼 만하다고 전문가들은 조언한다.

내	나/NP+의/JKG
집	집/NNG
마련을	마련/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
실수요자라면	실수요자/NNG+이/VCP+라면/EC
올해	올해/NNG
쏟아지는	쏟아지/VV+는/ETM
신도시	신/XPN+도시/NNG
중소형	중소형/NNG
아파트를	아파트/NNG+를/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
노려볼	노려보/VV+ㄹ/ETM
만하다고	만/NNB+하/XSA+다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
조언한다.	조언/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.11.11.1
포스코건설은 6월 송도국제도시 RM2블록에서 ‘송도 더샵 센트럴시티’를 분양한다.

포스코건설은	포스코건설/NNP+은/JX
6월	6/SN+월/NNB
송도국제도시	송도국제도시/NNP
RM2블록에서	RM/SL+2/SN+블록/NNG+에서/JKB
‘송도	‘/SS+송도/NNP
더샵	더샵/NNP
센트럴시티’를	센트럴시티/NNP+’/SS+를/JKO
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.11.11.2
지하 2층, 지상 47층의 18개 동, 전용면적 59∼172m²(펜트하우스 포함) 2848채 규모로, 이 가운데 59m²가 1331채에 이른다.

지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
47층의	47/SN+층/NNG+의/JKG
18개	18/SN+개/NNB
동,	동/NNB+,/SP
전용면적	전용/NNG+면적/NNG
59∼172m²(펜트하우스	59/SN+∼/SO+172/SN+m²/SW+(/SS+펜트하우스/NNG
포함)	포함/NNG+)/SS
2848채	2848/SN+채/NNB
규모로,	규모/NNG+로/JKB+,/SP
이	이/MMD
가운데	가운데/NNG
59m²가	59/SN+m²/SW+가/JKS
1331채에	1331/SN+채/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.11.11.3
일부 가구에서 인천대교, 잭니클라우스CC, 아트센터를 조망할 수 있고 단지 안에는 다양한 테마의 녹지공간과 스포츠 및 커뮤니티 시설이 들어선다.

일부	일부/NNG
가구에서	가구/NNG+에서/JKB
인천대교,	인천대교/NNP+,/SP
잭니클라우스CC,	잭니클라우스CC/NNP+,/SP
아트센터를	아트센터/NNG+를/JKO
조망할	조망/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
단지	단지/NNG
안에는	안/NNG+에/JKB+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
테마의	테마/NNG+의/JKG
녹지공간과	녹지/NNG+공간/NNG+과/JC
스포츠	스포츠/NNG
및	및/MAG
커뮤니티	커뮤니티/NNG
시설이	시설/NNG+이/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.11.12.1
우미건설은 동탄2신도시 C-12블록에 짓는 ‘동탄 린스트라우스 더 센트럴’의 본보기집을 22일 열 예정이다.

우미건설은	우미건설/NNP+은/JX
동탄2신도시	동탄2신도시/NNP
C-12블록에	C/SL+-/SO+12/SN+블록/NNG+에/JKB
짓는	짓/VV+는/ETM
‘동탄	‘/SS+동탄/NNP
린스트라우스	린스트라우스/NNP
더	더/NNP
센트럴’의	센트럴/NNP+’/SS+의/JKG
본보기집을	본보기집/NNG+을/JKO
22일	22/SN+일/NNB
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.11.12.2
지하 3층, 지상 44층 전용 75∼92m² 아파트 617채와 전용 23∼49m² 오피스텔 262실로 구성된다.

지하	지하/NNG
3층,	3/SN+층/NNG+,/SP
지상	지상/NNG
44층	44/SN+층/NNG
전용	전용/NNG
75∼92m²	75/SN+∼/SO+92/SN+m²/SW
아파트	아파트/NNG
617채와	617/SN+채/NNB+와/JC
23∼49m²	23/SN+∼/SO+49/SN+m²/SW
오피스텔	오피스텔/NNG
262실로	262/SN+실/NNB+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.11.12.3
아파트는 전용 75m² 161채가 포함돼 있고, 오피스텔은 소형 아파트의 주거대체 상품으로 주목된다.

아파트는	아파트/NNG+는/JX
전용	전용/NNG
75m²	75/SN+m²/SW
161채가	161/SN+채/NNB+가/JKS
포함돼	포함/NNG+되/XSV+어/EC
있고,	있/VX+고/EC+,/SP
오피스텔은	오피스텔/NNG+은/JX
소형	소형/NNG
아파트의	아파트/NNG+의/JKG
주거대체	주거/NNG+대체/NNG
상품으로	상품/NNG+으로/JKB
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.11.12.4
도보 10분 내 거리에 KTX 동탄역이 있고 인근 상업 및 업무시설을 걸어서 이용할 수 있다.

도보	도보/NNG
10분	10/SN+분/NNB
내	내/NNB
거리에	거리/NNG+에/JKB
KTX	KTX/SL
동탄역이	동탄역/NNP+이/JKS
있고	있/VA+고/EC
인근	인근/NNG
상업	상업/NNG
및	및/MAG
업무시설을	업무/NNG+시설/NNG+을/JKO
걸어서	걷/VV+어서/EC
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.11.13.1
호반건설은 동탄2신도시 A49블록에 ‘동탄5차 호반베르디움’을 9월 분양할 예정이다.

호반건설은	호반건설/NNP+은/JX
동탄2신도시	동탄2신도시/NNP
A49블록에	A/SL+49/SN+블록/NNG+에/JKB
‘동탄5차	‘/SS+동탄/NNP+5/SN+차/NNB
호반베르디움’을	호반베르디움/NNP+’/SS+을/JKO
9월	9/SN+월/NNB
분양할	분양/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.11.13.2
746채 모두 전용 60m² 미만 소형으로 구성된다.

746채	746/SN+채/NNB
모두	모두/MAG
전용	전용/NNG
60m²	60/SN+m²/SW
미만	미만/NNG
소형으로	소형/NNG+으로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.11.13.3
서울 및 분당·판교·광교신도시 등으로 출퇴근하기 편리하고 경부고속도로를 이용하면 분당이나 판교까지 20분대에 이동할 수 있다.

서울	서울/NNP
및	및/MAG
분당·판교·광교신도시	분당/NNP+·/SP+판교/NNP+·/SP+광교신도시/NNP
등으로	등/NNB+으로/JKB
출퇴근하기	출퇴근/NNG+하/XSV+기/ETN
편리하고	편리/NNG+하/XSA+고/EC
경부고속도로를	경부고속도로/NNP+를/JKO
이용하면	이용/NNG+하/XSV+면/EC
분당이나	분당/NNP+이나/JC
판교까지	판교/NNP+까지/JX
20분대에	20/SN+분/NNB+대/XSN+에/JKB
이동할	이동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


