# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.189
metadata : {}


# id : NWRW1800000022.189.1.1
맛공이 떴다! 올림피아드 경시대회를 가다;사교육 조장 논란에도 올해 응시인원 크게 늘어

맛공이	맛공/NNP+이/JKS
수상	수상/NNG
입학	입학/NNG
자격요건이나	자격/NNG+요건/NNG+이나/JC
가산점	가산점/NNG
대상으로	대상/NNG+으로/JKB
삼기	삼/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.189.7.3
초등학교 6학년 자녀를 둔 김미라(44·서울 도곡동)씨는 "과학고 진학을 염두에 두고 있기 때문에 당연한 통과의례라고 생각한다"며 "입학 전형 때 가산점을 받으려는 것보다 특목고를 진학하려는 학생들과 겨뤄 실력을 검증하려는 의미도 있다"고 말했다.

초등학교	초등학교/NNG
6학년	6/SN+학년/NNG
자녀를	자녀/NNG+를/JKO
둔	두/VV+ㄴ/ETM
김미라(44·서울	김미라/NNP+(/SS+44/SN+·/SP+서울/NNP
도곡동)씨는	도곡동/NNP+)/SS+씨/NNB+는/JX
"과학고	"/SS+과학고/NNG
진학을	진학/NNG+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
당연한	당연/NNG+하/XSA+ㄴ/ETM
통과의례라고	통과/NNG+의례/NNG+이/VCP+라고/EC
생각한다"며	생각/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"입학	"/SS+입학/NNG
전형	전형/NNG
때	때/NNG
가산점을	가산점/NNG+을/JKO
받으려는	받/VV+으려는/ETM
것보다	것/NNB+보다/JKB
특목고를	특목고/NNG+를/JKO
진학하려는	진학/NNG+하/XSV+려는/ETM
학생들과	학생/NNG+들/XSN+과/JKB
겨뤄	겨루/VV+어/EC
실력을	실력/NNG+을/JKO
검증하려는	검증/NNG+하/XSV+려는/ETM
의미도	의미/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.8.1
응시자 연령도 점점 내려가고 있다.

응시자	응시자/NNG
연령도	연령/NNG+도/JX
점점	점점/MAG
내려가고	내려가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.189.8.2
지난해에 이어 두 번째 응시한다는 이소민(12·초6)양은 "외고를 생각하는 친구들은 영어 시험을 집중적으로 공부하지만, 저를 비롯해 이과 성향인 친구들은 대부분 일찍부터 올림피아드 준비를 한다"고 말했다.

지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째	번/NNB+째/XSN
응시한다는	응시/NNG+하/XSV+ㄴ다는/ETM
이소민(12·초6)양은	이소민/NNP+(/SS+12/SN+·/SP+초/NNG+6/SN+)/SS+양/NNB+은/JX
"외고를	"/SS+외고/NNG+를/JKO
생각하는	생각/NNG+하/XSV+는/ETM
친구들은	친구/NNG+들/XSN+은/JX
영어	영어/NNP
시험을	시험/NNG+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
공부하지만,	공부/NNG+하/XSV+지만/EC+,/SP
저를	저/NP+를/JKO
비롯해	비롯하/VV+아/EC
이과	이과/NNG
성향인	성향/NNG+이/VCP+ㄴ/ETM
대부분	대/XPN+부분/NNG
일찍부터	일찍/MAG+부터/JX
올림피아드	올림피아드/NNG
준비를	준비/NNG+를/JKO
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.9.1
반면 고등부 지원자가 감소한 것은 대입에서 특별한 혜택이 없기 때문이다.

반면	반면/NNG
고등부	고등부/NNG
지원자가	지원자/NNG+가/JKS
감소한	감소/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
대입에서	대입/NNG+에서/JKB
특별한	특별/NNG+하/XSA+ㄴ/ETM
혜택이	혜택/NNG+이/JKS
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.189.9.2
대입 수능 준비로 올림피아드에 응시할 여유가 없다는 이유도 있다.

대입	대입/NNG
수능	수능/NNG
준비로	준비/NNG+로/JKB
올림피아드에	올림피아드/NNG+에/JKB
응시할	응시/NNG+하/XSV+ㄹ/ETM
여유가	여유/NNG+가/JKS
없다는	없/VA+다는/ETM
이유도	이유/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.189.9.3
서문여고 3학년 백은혜(18)양은 "통계수학과 진학이 목표라 스스로 실력을 검증하고 싶어 응시했다"며 "수능 모의고사 문제와는 전혀 다른 유형이라서 풀기가 쉽지 않았다"라고 말했다.

서문여고	서문여고/NNP
3학년	3/SN+학년/NNG
백은혜(18)양은	백은혜/NNP+(/SS+18/SN+)/SS+양/NNB+은/JX
"통계수학과	"/SS+통계/NNG+수학과/NNG
진학이	진학/NNG+이/JKS
목표라	목표/NNG+이/VCP+라/EC
스스로	스스로/MAG
실력을	실력/NNG+을/JKO
검증하고	검증/NNG+하/XSV+고/EC
싶어	싶/VX+어/EC
응시했다"며	응시/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"수능	"/SS+수능/NNG
모의고사	모의고사/NNG
문제와는	문제/NNG+와/JKB+는/JX
전혀	전혀/MAG
다른	다르/VA+ㄴ/ETM
유형이라서	유형/NNG+이/VCP+라서/EC
풀기가	풀/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않았다"라고	않/VX+았/EP+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.10.1
입학사정관 전형의 영향력이 커지면 고등부 응시자 인원이 증가할 것이라는 예측도 나온다.

입학사정관	입학/NNG+사정관/NNG
전형의	전형/NNG+의/JKG
영향력이	영향력/NNG+이/JKS
커지면	커지/VV+면/EC
고등부	고등부/NNG
응시자	응시자/NNG
인원이	인원/NNG+이/JKS
증가할	증가/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예측도	예측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.189.10.2
신동엽 페르마에듀 본원장은 "학교 내신이나 수능시험 점수와는 별개로 역량 있는 학생을 뽑는다는 취지로 만들어진 입학사정관 전형에서 지원자의 다양한 활동 사항을 입증할 객관적인 자료로 올림피아드 입상 실적이 주요하게 반영될 수 있다"고 전망했다.

신동엽	신동엽/NNP
페르마에듀	페르마에듀/NNP
본원장은	본원장/NNG+은/JX
"학교	"/SS+학교/NNG
내신이나	내신/NNG+이나/JC
수능시험	수능/NNG+시험/NNG
점수와는	점수/NNG+와/JKB+는/JX
별개로	별개/NNG+로/JKB
역량	역량/NNG
있는	있/VA+는/ETM
학생을	학생/NNG+을/JKO
뽑는다는	뽑/VV+는다는/ETM
취지로	취지/NNG+로/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
입학사정관	입학/NNG+사정관/NNG
전형에서	전형/NNG+에서/JKB
지원자의	지원자/NNG+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동	활동/NNG
사항을	사항/NNG+을/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
객관적인	객관/NNG+적/XSN+이/VCP+ㄴ/ETM
자료로	자료/NNG+로/JKB
올림피아드	올림피아드/NNG
입상	입상/NNG
실적이	실적/NNG+이/JKS
주요하게	주요/NNG+하/XSA+게/EC
반영될	반영/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.11.1
올림피아드 존폐 논란 부분

올림피아드	올림피아드/NNG
존폐	존폐/NNG
논란	논란/NNG
부분	부분/NNG


# id : NWRW1800000022.189.12.1
응시자가 늘면서 올림피아드에 대한 비판의 목소리도 커졌다.

응시자가	응시자/NNG+가/JKS
늘면서	늘/VV+면서/EC
올림피아드에	올림피아드/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판의	비판/NNG+의/JKG
목소리도	목소리/NNG+도/JX
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.189.12.2
언젠가부터 올림피아드 입상이 특목고나 명문대 진학을 위한 것으로 변질됐으며 사교육을 일정부분 조장한다는 얘기다.

언젠가부터	언젠가/MAG+부터/JX
올림피아드	올림피아드/NNG
입상이	입상/NNG+이/JKS
특목고나	특목고/NNG+나/JC
명문대	명문대/NNG
진학을	진학/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
변질됐으며	변질/NNG+되/XSV+었/EP+으며/EC
사교육을	사교육/NNG+을/JKO
일정부분	일정/NNG+부분/NNG
조장한다는	조장/NNG+하/XSV+ㄴ다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.189.12.3
공교육 수준을 뛰어넘는 문제가 출제되는 올림피아드에서 좋은 성적을 내기 위해서는 학원 수강 없이는 불가능하기 때문이다.

공교육	공교육/NNG
수준을	수준/NNG+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
문제가	문제/NNG+가/JKS
출제되는	출제/NNG+되/XSV+는/ETM
올림피아드에서	올림피아드/NNG+에서/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
내기	내/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
학원	학원/NNG
수강	수강/NNG
없이는	없이/MAG+는/JX
불가능하기	불/XPN+가능/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.189.12.4
예컨대 중등부의 경우 고교 수학 교과과정의 선행을 요한다.

예컨대	예컨대/MAG
중등부의	중등부/NNG+의/JKG
경우	경우/NNG
고교	고교/NNG
수학	수학/NNG
교과과정의	교과/NNG+과정/NNG+의/JKG
선행을	선행/NNG+을/JKO
요한다.	요하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.189.13.1
중등부 은상을 수상한 경험이 있다는 A과학고 2학년 김상현(17)군은 "과학고 입학 전형 때 올림피아드 입상 실적이 도움이 됐다고 생각한다"며 "올림피아드 정보는 대부분 학원에서 얻었다"고 말했다.

중등부	중등부/NNG
은상을	은상/NNG+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있다는	있/VA+다는/ETM
A과학고	A/SL+과학고/NNG
2학년	2/SN+학년/NNG
김상현(17)군은	김상현/NNP+(/SS+17/SN+)/SS+군/NNB+은/JX
"과학고	"/SS+과학고/NNG
입학	입학/NNG
전형	전형/NNG
때	때/NNG
올림피아드	올림피아드/NNG
입상	입상/NNG
실적이	실적/NNG+이/JKS
도움이	도움/NNG+이/JKC
됐다고	되/VV+었/EP+다고/EC
생각한다"며	생각/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"올림피아드	"/SS+올림피아드/NNG
정보는	정보/NNG+는/JX
대부분	대/XPN+부분/NNG
학원에서	학원/NNG+에서/JKB
얻었다"고	얻/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.13.2
3년째 지원한다는 중2 김한솔(14)군은 "학교 수업만으로는 올림피아드 문제를 풀 수가 없다"며 "평소에는 종합학원을 다니지만 올림피아드 응시 3개월 전부터 따로 과외를 하며 준비했다"고 말했다.

3년째	3/SN+년/NNB+째/XSN
지원한다는	지원/NNG+하/XSV+ㄴ다는/ETM
중2	중/NNG+2/SN
김한솔(14)군은	김한솔/NNP+(/SS+14/SN+)/SS+군/NNB+은/JX
"학교	"/SS+학교/NNG
수업만으로는	수업/NNG+만/JX+으로/JKB+는/JX
올림피아드	올림피아드/NNG
문제를	문제/NNG+를/JKO
풀	풀/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"평소에는	"/SS+평소/NNG+에/JKB+는/JX
종합학원을	종합/NNG+학원/NNG+을/JKO
다니지만	다니/VV+지만/EC
응시	응시/NNG
3개월	3/SN+개월/NNB
전부터	전/NNG+부터/JX
따로	따로/MAG
과외를	과외/NNG+를/JKO
하며	하/VV+며/EC
준비했다"고	준비/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.14.1
현실이 이렇다보니 올림피아드 폐지 의견도 있다.

현실이	현실/NNG+이/JKS
이렇다보니	이렇/VA+다/EC+보/VX+니/EC
올림피아드	올림피아드/NNG
폐지	폐지/NNG
의견도	의견/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.189.14.2
올해 초 교과부는 7개 학회 산하에 있는 올림피아드위원회 위원장들을 소집해 국내 올림피아드 대회 폐지를 논하는 자리를 만들었다.

올해	올해/NNG
초	초/NNB
교과부는	교과부/NNG+는/JX
7개	7/SN+개/NNB
학회	학회/NNG
산하에	산하/NNG+에/JKB
있는	있/VA+는/ETM
올림피아드위원회	올림피아드/NNG+위원회/NNG
위원장들을	위원장/NNG+들/XSN+을/JKO
소집해	소집/NNG+하/XSV+아/EC
국내	국내/NNG
올림피아드	올림피아드/NNG
대회	대회/NNG
폐지를	폐지/NNG+를/JKO
논하는	논하/VV+는/ETM
자리를	자리/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.189.14.3
또한 카이스트를 비롯해 일부 대학과 특목고에서 경시대회 성적을 입학 전형에 반영하지 않겠다는 움직임도 나왔다.

또한	또한/MAG
카이스트를	카이스트/NNP+를/JKO
비롯해	비롯하/VV+아/EC
일부	일부/NNG
대학과	대학/NNG+과/JC
특목고에서	특목고/NNG+에서/JKB
경시대회	경시대회/NNG
성적을	성적/NNG+을/JKO
입학	입학/NNG
전형에	전형/NNG+에/JKB
반영하지	반영/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
움직임도	움직임/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.15.1
하지만 무조건적인 폐지는 득보다 실이 많다는 의견이 지배적이다.

하지만	하지만/MAJ
무조건적인	무/XPN+조건/NNG+적/XSN+이/VCP+ㄴ/ETM
폐지는	폐지/NNG+는/JX
득보다	득/NNG+보다/JKB
실이	실/NNG+이/JKS
많다는	많/VA+다는/ETM
의견이	의견/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.189.15.2
학부모 김미라씨는 "응시자들의 실력이 어느 정도 인지 가늠할 수 있는 가장 공신력 있는 시험을 없앤다는 것은 말이 안 된다"고 말했다.

학부모	학부모/NNG
김미라씨는	김미라/NNP+씨/NNB+는/JX
"응시자들의	"/SS+응시자/NNG+들/XSN+의/JKG
실력이	실력/NNG+이/JKS
어느	어느/MMD
정도	정도/NNG
인지	이/VCP+ㄴ지/EF
가늠할	가늠/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가장	가장/MAG
공신력	공신력/NNG
시험을	시험/NNG+을/JKO
없앤다는	없애/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
말이	말/NNG+이/JKC
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.16.1
배덕락 에듀원 KMO 대비팀장은 "공교육에서 못하는 부분을 사교육에서 보완해 영재들에게 수준 높은 교육을 제공한다는 방향으로 생각해달라"며 "올림피아드는 심화된 학습을 통해 본인의 잠재력을 알 수 있는 확실한 방법"이라고 말했다.

배덕락	배덕락/NNP
에듀원	에듀원/NNP
KMO	KMO/SL
대비팀장은	대비/NNG+팀장/NNG+은/JX
"공교육에서	"/SS+공교육/NNG+에서/JKB
못하는	못/MAG+하/VV+는/ETM
부분을	부분/NNG+을/JKO
사교육에서	사교육/NNG+에서/JKB
보완해	보완/NNG+하/XSV+아/EC
영재들에게	영재/NNG+들/XSN+에게/JKB
수준	수준/NNG
높은	높/VA+은/ETM
교육을	교육/NNG+을/JKO
제공한다는	제공/NNG+하/XSV+ㄴ다는/ETM
방향으로	방향/NNG+으로/JKB
생각해달라"며	생각/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+며/EC
"올림피아드는	"/SS+올림피아드/NNG+는/JX
심화된	심화/NNG+되/XSV+ㄴ/ETM
학습을	학습/NNG+을/JKO
통해	통하/VV+아/EC
본인의	본인/NNG+의/JKG
잠재력을	잠재력/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
확실한	확실하/VA+ㄴ/ETM
방법"이라고	방법/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.17.1
이승훈 대한수학회 KMO 부위원장은 "국제수학올림피아드에서 입상, 국위를 선양하고 영재를 발굴한 긍정적인 면을 외면해서는 곤란하다. 응시자간 지역격차를 줄이기 위해 한국대표를 뽑는 최종 선발과정에서 지방 학생을 우대하고, 사교육을 줄이기 위해 홈페이지나 출판 등을 통해 정보를 공유하고 있다"고 강조했다.

이승훈	이승훈/NNP
대한수학회	대한수학회/NNP
KMO	KMO/SL
부위원장은	부위원장/NNG+은/JX
"국제수학올림피아드에서	"/SS+국제/NNG+수학/NNG+올림피아드/NNG+에서/JKB
입상,	입상/NNG+,/SP
국위를	국위/NNG+를/JKO
선양하고	선양/NNG+하/XSV+고/EC
영재를	영재/NNG+를/JKO
발굴한	발굴/NNG+하/XSV+ㄴ/ETM
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
면을	면/NNG+을/JKO
외면해서는	외면/NNG+하/XSV+아서/EC+는/JX
곤란하다.	곤란/NNG+하/XSA+다/EF+./SF
응시자간	응시자/NNG+간/NNB
지역격차를	지역/NNG+격차/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
한국대표를	한국/NNP+대표/NNG+를/JKO
뽑는	뽑/VV+는/ETM
최종	최종/NNG
