# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.254
metadata : {}


# id : NWRW1800000041.254.1.1
[그런거 野]LG-KIA 대체용병, 대체 왜 바꾼거야

[그런거	[/SS+그런/MMD+거/NNB
0.632)를	0/SN+./SP+632/SN+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.254.2.8
9개 구단 가운데 넥센(14승 8패·0.636)에 조금 뒤진 2위다.

9개	9/SN+개/NNB
구단	구단/NNG
가운데	가운데/NNG
넥센(14승	넥센/NNP+(/SS+14/SN+승/NNB
8패·0.636)에	8/SN+패/NNB+·/SP+0/SN+./SP+636/SN+)/SS+에/JKB
조금	조금/MAG
뒤진	뒤지/VV+ㄴ/ETM
2위다.	2/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.254.3.1
▷롯데를 제외한 4위 이하 팀들의 공통점은 6월 이후 외국인 선수를 바꿨다는 것이다.

▷롯데를	▷/SW+롯데/NNP+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
4위	4/SN+위/NNB
이하	이하/NNG
팀들의	팀/NNG+들/XSN+의/JKG
공통점은	공통점/NNG+은/JX
6월	6/SN+월/NNB
이후	이후/NNG
외국인	외국인/NNG
선수를	선수/NNG+를/JKO
바꿨다는	바꾸/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.254.3.2
롯데도 내야수 히메네스의 교체를 심각하게 고려했지만 불협화음만 내다가 때를 놓쳤다.

롯데도	롯데/NNP+도/JX
내야수	내야수/NNG
히메네스의	히메네스/NNP+의/JKG
교체를	교체/NNG+를/JKO
심각하게	심각하/VA+게/EC
고려했지만	고려/NNG+하/XSV+았/EP+지만/EC
불협화음만	불협화음/NNG+만/JX
내다가	내/VV+다가/EC
때를	때/NNG+를/JKO
놓쳤다.	놓치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.3.3
8월 15일 이후 영입한 선수는 그해 포스트시즌에 출전할 수 없다.

8월	8/SN+월/NNB
15일	15/SN+일/NNB
이후	이후/NNG
영입한	영입/NNG+하/XSV+ㄴ/ETM
선수는	선수/NNG+는/JX
그해	그해/NNG
포스트시즌에	포스트시즌/NNG+에/JKB
출전할	출전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.254.3.4
시즌 도중에 외국인 선수를 바꾸는 감독들은 하나같이 “오죽하면 그랬겠느냐”는 말을 한다.

시즌	시즌/NNG
도중에	도중/NNG+에/JKB
외국인	외국인/NNG
선수를	선수/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
감독들은	감독/NNG+들/XSN+은/JX
하나같이	하나같이/MAG
“오죽하면	“/SS+오죽/MAG+하/XSA+면/EC
그랬겠느냐”는	그렇/VA+었/EP+겠/EP+느냐/EF+”/SS+는/JX
말을	말/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.254.3.5
번거로운 일이지만 그렇다고 안 할 수는 없다.

번거로운	번거롭/VA+ㄴ/ETM
일이지만	일/NNG+이/VCP+지만/EC
그렇다고	그렇/VA+다고/EC
안	안/MAG
할	하/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.254.3.6
중위권 팀들은 포스트시즌 진출을 위해, 하위권 팀들은 꼴찌만큼은 피하기 위해 실낱같은 가능성을 믿고 승부수를 띄운다.

중위권	중위/NNG+권/XSN
팀들은	팀/NNG+들/XSN+은/JX
포스트시즌	포스트시즌/NNG
진출을	진출/NNG+을/JKO
위해,	위하/VV+아/EC+,/SP
하위권	하위/NNG+권/XSN
꼴찌만큼은	꼴찌/NNG+만큼/JKB+은/JX
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
실낱같은	실낱같/VA+은/ETM
가능성을	가능/NNG+성/XSN+을/JKO
믿고	믿/VV+고/EC
승부수를	승부수/NNG+를/JKO
띄운다.	띄우/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.254.4.1
▷올 시즌 외국인 선수를 바꿔서 가장 효과를 본 팀은 SK다.

▷올	▷/SW+올/NNG
시즌	시즌/NNG
외국인	외국인/NNG
선수를	선수/NNG+를/JKO
바꿔서	바꾸/VV+어서/EC
가장	가장/MAG
효과를	효과/NNG+를/JKO
본	보/VV+ㄴ/ETM
팀은	팀/NNG+은/JX
SK다.	SK/SL+이/VCP+다/EF+./SF


# id : NWRW1800000041.254.4.2
지난해 영입한 레이예스를 내보내고 밴와트를 데려왔다.

지난해	지난해/NNG
영입한	영입/NNG+하/XSV+ㄴ/ETM
레이예스를	레이예스/NNP+를/JKO
내보내고	내보내/VV+고/EC
밴와트를	밴와트/NNP+를/JKO
데려왔다.	데려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.254.4.3
7월 12일 삼성을 상대로 국내 무대 데뷔전을 승리로 장식한 밴와트는 8경기에서 6승 1패를 거두며 SK의 순위를 끌어올리는 데 크게 기여했다.

7월	7/SN+월/NNB
12일	12/SN+일/NNB
삼성을	삼성/NNP+을/JKO
상대로	상대/NNG+로/JKB
국내	국내/NNG
무대	무대/NNG
데뷔전을	데뷔전/NNG+을/JKO
승리로	승리/NNG+로/JKB
장식한	장식/NNG+하/XSV+ㄴ/ETM
밴와트는	밴와트/NNP+는/JX
8경기에서	8/SN+경기/NNG+에서/JKB
6승	6/SN+승/NNB
1패를	1/SN+패/NNB+를/JKO
거두며	거두/VV+며/EC
SK의	SK/SL+의/JKG
순위를	순위/NNG+를/JKO
끌어올리는	끌어올리/VV+는/ETM
데	데/NNB
크게	크/VA+게/EC
기여했다.	기여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.254.4.4
밴와트가 합류하기 전인 7월 11일 4위 롯데에 8경기나 뒤졌던 SK는 어느덧 4위와의 승차를 3경기 내외로 줄였다.

밴와트가	밴와트/NNP+가/JKS
합류하기	합류/NNG+하/XSV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
7월	7/SN+월/NNB
11일	11/SN+일/NNB
4위	4/SN+위/NNB
롯데에	롯데/NNP+에/JKB
8경기나	8/SN+경기/NNG+나/JX
뒤졌던	뒤지/VV+었/EP+던/ETM
SK는	SK/SL+는/JX
어느덧	어느덧/MAG
4위와의	4/SN+위/NNB+와/JKB+의/JKG
승차를	승차/NNG+를/JKO
3경기	3/SN+경기/NNG
내외로	내외/NNG+로/JKB
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.4.5
한화가 영입한 타투스코도 방출한 클레이보다 낫다는 평가를 받고 있다.

한화가	한화/NNP+가/JKS
영입한	영입/NNG+하/XSV+ㄴ/ETM
타투스코도	타투스코/NNP+도/JX
방출한	방출/NNG+하/XSV+ㄴ/ETM
클레이보다	클레이/NNP+보다/JKB
낫다는	낫/VA+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.254.4.6
8월 26일 6연승을 달리던 NC를 상대로 7과 3분의 1이닝을 3피안타 1실점으로 틀어막고 승리를 챙긴 것은 압권이었다.

8월	8/SN+월/NNB
26일	26/SN+일/NNB
6연승을	6/SN+연승/NNG+을/JKO
달리던	달리/VV+던/ETM
NC를	NC/SL+를/JKO
상대로	상대/NNG+로/JKB
7과	7/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
1이닝을	1/SN+이닝/NNG+을/JKO
3피안타	3/SN+피/XPN+안타/NNG
1실점으로	1/SN+실점/NNG+으로/JKB
틀어막고	틀어막/VV+고/EC
승리를	승리/NNG+를/JKO
챙긴	챙기/VV+ㄴ/ETM
것은	것/NNB+은/JX
압권이었다.	압권/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.254.4.7
두산의 마야도 6경기에서 1승 1패에 그쳤지만 투구 내용이 갈수록 좋아지고 있다.

두산의	두산/NNP+의/JKG
마야도	마야/NNP+도/JX
6경기에서	6/SN+경기/NNG+에서/JKB
1승	1/SN+승/NNB
1패에	1/SN+패/NNB+에/JKB
그쳤지만	그치/VV+었/EP+지만/EC
투구	투구/NNG
내용이	내용/NNG+이/JKS
갈수록	가/VV+ㄹ수록/EC
좋아지고	좋/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.254.4.8
8월 30일 NC와의 경기에서 7이닝 3피안타 2실점으로 6경기 만에 첫 승을 올렸다.

8월	8/SN+월/NNB
30일	30/SN+일/NNB
NC와의	NC/SL+와/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
7이닝	7/SN+이닝/NNG
3피안타	3/SN+피/XPN+안타/NNG
2실점으로	2/SN+실점/NNG+으로/JKB
6경기	6/SN+경기/NNG
만에	만/NNB+에/JKB
첫	첫/MMN
승을	승/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.4.9
두산 송일수 감독은 “마야가 최고의 피칭을 했다”고 칭찬했다.

두산	두산/NNP
송일수	송일수/NNP
감독은	감독/NNG+은/JX
“마야가	“/SS+마야/NNP+가/JKS
최고의	최고/NNG+의/JKG
피칭을	피칭/NNG+을/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
칭찬했다.	칭찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.254.5.1
▷반면 LG가 조쉬벨을 대신해 데려온 타자 스나이더와 KIA가 홀튼의 대체 선수로 영입한 투수 토마스는 아직까지 별다른 존재감을 보여주지 못하고 있다.

▷반면	▷/SW+반면/NNG
LG가	LG/SL+가/JKS
조쉬벨을	조쉬벨/NNP+을/JKO
대신해	대신/NNG+하/XSV+아/EC
데려온	데려오/VV+ㄴ/ETM
타자	타자/NNG
스나이더와	스나이더/NNP+와/JC
KIA가	KIA/SL+가/JKS
홀튼의	홀튼/NNP+의/JKG
대체	대체/NNG
선수로	선수/NNG+로/JKB
영입한	영입/NNG+하/XSV+ㄴ/ETM
투수	투수/NNG
토마스는	토마스/NNP+는/JX
아직까지	아직/MAG+까지/JX
별다른	별다르/VA+ㄴ/ETM
존재감을	존재감/NNG+을/JKO
보여주지	보이/VV+어/EC+주/VX+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.254.5.2
스나이더는 7월 8일 두산과의 데뷔전을 포함한 10경기에서 타율 0.314에 9타점을 올리며 기대를 모았지만 7월 28일 롯데와의 경기에서 수비 도중 통증을 호소해 교체된 뒤 타격감각이 뚝 떨어졌다.

스나이더는	스나이더/NNP+는/JX
7월	7/SN+월/NNB
8일	8/SN+일/NNB
두산과의	두산/NNP+과/JKB+의/JKG
데뷔전을	데뷔전/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
10경기에서	10/SN+경기/NNG+에서/JKB
타율	타율/NNG
0.314에	0/SN+./SP+314/SN+에/JKB
9타점을	9/SN+타점/NNG+을/JKO
올리며	올리/VV+며/EC
기대를	기대/NNG+를/JKO
모았지만	모으/VV+았/EP+지만/EC
28일	28/SN+일/NNB
롯데와의	롯데/NNP+와/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
수비	수비/NNG
도중	도중/NNG
통증을	통증/NNG+을/JKO
호소해	호소/NNG+하/XSV+아/EC
교체된	교체/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
타격감각이	타격/NNG+감각/NNG+이/JKS
뚝	뚝/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.5.3
LG 양상문 감독은 스나이더를 선발 출전에서 제외하는 방법으로 회복을 기다렸지만 나아지지 않자 8월 26일 1군 엔트리에서 아예 뺐다.

LG	LG/SL
양상문	양상문/NNP
감독은	감독/NNG+은/JX
스나이더를	스나이더/NNP+를/JKO
선발	선발/NNG
출전에서	출전/NNG+에서/JKB
제외하는	제외/NNG+하/XSV+는/ETM
방법으로	방법/NNG+으로/JKB
회복을	회복/NNG+을/JKO
기다렸지만	기다리/VV+었/EP+지만/EC
나아지지	나아지/VV+지/EC
않자	않/VX+자/EC
8월	8/SN+월/NNB
26일	26/SN+일/NNB
1군	1/SN+군/NNG
엔트리에서	엔트리/NNG+에서/JKB
아예	아예/MAG
뺐다.	빼/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.6.1
▷과거로 거슬러 올라가도 대체 외국인 선수의 성공 사례는 많지 않다.

▷과거로	▷/SW+과거/NNG+로/JKB
거슬러	거스르/VV+어/EC
올라가도	올라가/VV+아도/EC
대체	대체/NNG
외국인	외국인/NNG
선수의	선수/NNG+의/JKG
성공	성공/NNG
사례는	사례/NNG+는/JX
많지	많/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.254.6.2
지난해의 경우 삼성이 선두 자리를 지키기 위해 시즌 도중 영입한 카리대는 3경기에 등판해 1패에 그쳤다.

지난해의	지난해/NNG+의/JKG
경우	경우/NNG
삼성이	삼성/NNP+이/JKS
선두	선두/NNG
자리를	자리/NNG+를/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
시즌	시즌/NNG
도중	도중/NNG
영입한	영입/NNG+하/XSV+ㄴ/ETM
카리대는	카리대/NNP+는/JX
3경기에	3/SN+경기/NNG+에/JKB
등판해	등판/NNG+하/XSV+아/EC
1패에	1/SN+패/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.6.3
평균자책이 27점이나 됐다.

평균자책이	평균/NNG+자책/NNG+이/JKS
27점이나	27/SN+점/NNB+이나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.6.4
두산이 교체 카드로 꺼내 든 핸킨스도 3승 3패의 그저 그런 성적을 올렸고 KIA의 빌로우도 3승 2패, 평균자책점 4.02의 평범한 기록을 남겼다.

두산이	두산/NNP+이/JKS
교체	교체/NNG
카드로	카드/NNG+로/JKB
꺼내	꺼내/VV+어/EC
든	들/VV+ㄴ/ETM
핸킨스도	핸킨스/NNP+도/JX
3승	3/SN+승/NNB
3패의	3/SN+패/NNB+의/JKG
그저	그저/MAG
그런	그런/MMD
성적을	성적/NNG+을/JKO
올렸고	올리/VV+었/EP+고/EC
KIA의	KIA/SL+의/JKG
빌로우도	빌로우/NNP+도/JX
2패,	2/SN+패/NNB+,/SP
평균자책점	평균/NNG+자책점/NNG
4.02의	4/SN+./SP+02/SN+의/JKG
평범한	평범하/VA+ㄴ/ETM
기록을	기록/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.6.5
시즌 도중 한국에 온 선수들은 겨울 동안 전지훈련을 함께한 선수에 비해 어려움을 겪을 수밖에 없다.

시즌	시즌/NNG
도중	도중/NNG
한국에	한국/NNP+에/JKB
온	오/VV+ㄴ/ETM
선수들은	선수/NNG+들/XSN+은/JX
겨울	겨울/NNG
동안	동안/NNG
전지훈련을	전지훈련/NNG+을/JKO
함께한	함께/MAG+하/XSV+ㄴ/ETM
선수에	선수/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
어려움을	어려움/NNG+을/JKO
겪을	겪/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.254.6.6
짧은 기간에 국내 문화에 적응한다는 것도 쉬운 일이 아니다.

짧은	짧/VA+은/ETM
기간에	기간/NNG+에/JKB
국내	국내/NNG
문화에	문화/NNG+에/JKB
적응한다는	적응/NNG+하/XSV+ㄴ다는/ETM
것도	것/NNB+도/JX
쉬운	쉽/VA+ㄴ/ETM
일이	일/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.254.6.7
그러니 “오죽하면 그랬겠느냐”는 말이 나올 수밖에 없다.

그러니	그러니/MAJ
“오죽하면	“/SS+오죽/MAG+하/XSA+면/EC
그랬겠느냐”는	그러/VV+었/EP+겠/EP+느냐/EF+”/SS+는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.254.6.8
올 시즌 바뀐 외국인 선수 가운데 내년에도 볼 수 있는 선수는 누굴까.

올	올/NNG
시즌	시즌/NNG
바뀐	바뀌/VV+ㄴ/ETM
외국인	외국인/NNG
선수	선수/NNG
가운데	가운데/NNG
내년에도	내년/NNG+에/JKB+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
선수는	선수/NNG+는/JX
누굴까.	누구/NP+이/VCP+ㄹ까/EF+./SF


