# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.372
metadata : {}


# id : NWRW1800000036.372.1.1
야 “이명박-박근혜 ‘박남매’냐”

야	야/NNG
신경민 대변인은 이날 오후 당 긴급 전략회의에서 이 대통령 발언을 ‘선거개입’으로 규정한 뒤 낸 논평을 통해 “총선 50여일을 앞둔 민감한 시기에 이명박 대통령은 야당 대표의 실명을 거론해 직접 총선을 지휘했다”고 비판했다.

신경민	신경민/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
당	당/NNG
긴급	긴급/NNG
전략회의에서	전략/NNG+회의/NNG+에서/JKB
이	이/NNP
대통령	대통령/NNG
발언을	발언/NNG+을/JKO
‘선거개입’으로	‘/SS+선거/NNG+개입/NNG+’/SS+으로/JKB
규정한	규정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
낸	내/VV+ㄴ/ETM
논평을	논평/NNG+을/JKO
통해	통하/VV+아/EC
“총선	“/SS+총선/NNG
50여일을	50/SN+여/XSN+일/NNB+을/JKO
앞둔	앞두/VV+ㄴ/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
시기에	시기/NNG+에/JKB
이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
야당	야당/NNG
대표의	대표/NNG+의/JKG
실명을	실명/NNG+을/JKO
거론해	거론/NNG+하/XSV+아/EC
직접	직접/MAG
총선을	총선/NNG+을/JKO
지휘했다”고	지휘/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.372.5.2
신 대변인은 “지난 20일 박근혜 새누리당 비대위원장은 ‘야당 심판론’을 제기했다.

신	신/NNP
대변인은	대변인/NNG+은/JX
“지난	“/SS+지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
박근혜	박근혜/NNP
새누리당	새누리당/NNP
비대위원장은	비대위원장/NNG+은/JX
‘야당	‘/SS+야당/NNG
심판론’을	심판/NNG+론/XSN+’/SS+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.372.5.3
여당 심판론은 들어봤어도 야당 심판론은 해방 이후 처음 듣는 주장”이라며 “이명박 정권의 실정을 감추려고 야당을 무리하게 비판하는 대통령과 박 위원장은 이미 공동운명체임을 온 국민에게 선언했다”고 덧붙였다.

여당	여당/NNG
심판론은	심판/NNG+론/XSN+은/JX
들어봤어도	듣/VV+어/EC+보/VX+았/EP+어도/EC
야당	야당/NNG
해방	해방/NNG
이후	이후/NNG
처음	처음/NNG
듣는	듣/VV+는/ETM
주장”이라며	주장/NNG+”/SS+이/VCP+라며/EC
“이명박	“/SS+이명박/NNP
정권의	정권/NNG+의/JKG
실정을	실정/NNG+을/JKO
감추려고	감추/VV+려고/EC
야당을	야당/NNG+을/JKO
무리하게	무리/NNG+하/XSA+게/EC
비판하는	비판/NNG+하/XSV+는/ETM
대통령과	대통령/NNG+과/JC
박	박/NNP
위원장은	위원장/NNG+은/JX
이미	이미/MAG
공동운명체임을	공동/NNG+운명체/NNG+이/VCP+ㅁ/ETN+을/JKO
온	온/MMN
국민에게	국민/NNG+에게/JKB
선언했다”고	선언/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.372.6.1
박영선 최고위원은 이날 의원총회에서 “오늘 기자회견은 두 사람이 파탄 난 국정의 동반자임을 확인시켜줬다”고 말했다.

박영선	박영선/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
이날	이날/NNG
의원총회에서	의원/NNG+총회/NNG+에서/JKB
“오늘	“/SS+오늘/MAG
기자회견은	기자/NNG+회견/NNG+은/JX
두	두/MMN
사람이	사람/NNG+이/JKS
파탄	파탄/NNG
난	나/VV+ㄴ/ETM
국정의	국정/NNG+의/JKG
동반자임을	동반자/NNG+이/VCP+ㅁ/ETN+을/JKO
확인시켜줬다”고	확인/NNG+시키/XSV+어/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.372.6.2
박지원 최고위원도 최고위원회의에서 “민주당에 법사위 ‘박남매’(박지원-박영선)가 있다면 새누리당엔 이명박과 박근혜라는 ‘박남매’가 있다”며 “99% 서민을 무시하고 1% 재벌을 위한 이명박-박근혜 남매는 결코 성공할 수 없다”고 둘을 동시에 비판했다.

박지원	박지원/NNP
최고위원도	최고/NNG+위원/NNG+도/JX
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“민주당에	“/SS+민주당/NNP+에/JKB
법사위	법사위/NNG
‘박남매’(박지원-박영선)가	‘/SS+박/NNP+남매/NNG+’/SS+(/SS+박지원/NNP+-/SO+박영선/NNP+)/SS+가/JKS
있다면	있/VA+다면/EC
새누리당엔	새누리당/NNP+에/JKB+ㄴ/JX
이명박과	이명박/NNP+과/JC
박근혜라는	박근혜/NNP+이/VCP+라는/ETM
‘박남매’가	‘/SS+박/NNP+남매/NNG+’/SS+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“99%	“/SS+99/SN+%/SW
서민을	서민/NNG+을/JKO
무시하고	무시/NNG+하/XSV+고/EC
1%	1/SN+%/SW
재벌을	재벌/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
이명박-박근혜	이명박/NNP+-/SO+박근혜/NNP
남매는	남매/NNG+는/JX
결코	결코/MAG
성공할	성공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
둘을	둘/NR+을/JKO
동시에	동시/NNG+에/JKB
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.372.7.1
노회찬 통합진보당 대변인도 “전 정권 관계자들의 과거 입장을 인용하여 방패막이로 쓰는 치졸한 대응은 대통령의 격을 새누리당 부대변인 수준으로 떨어뜨리는 목불인견의 모습이었다”고 질타했다.

노회찬	노회찬/NNP
통합진보당	통합진보당/NNP
대변인도	대변인/NNG+도/JX
“전	“/SS+전/MMD
정권	정권/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
과거	과거/NNG
입장을	입장/NNG+을/JKO
인용하여	인용/NNG+하/XSV+아/EC
방패막이로	방패막이/NNG+로/JKB
쓰는	쓰/VV+는/ETM
치졸한	치졸/NNG+하/XSA+ㄴ/ETM
대응은	대응/NNG+은/JX
대통령의	대통령/NNG+의/JKG
격을	격/NNG+을/JKO
새누리당	새누리당/NNP
부대변인	부대변인/NNG
수준으로	수준/NNG+으로/JKB
떨어뜨리는	떨어뜨리/VV+는/ETM
목불인견의	목불인견/NNG+의/JKG
모습이었다”고	모습/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
질타했다.	질타/NNG+하/XSV+았/EP+다/EF+./SF


