# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.97
metadata : {}


# id : NWRW1800000021.97.1.1
‘北억류 여기자’ 평양으로 이송한듯

‘北억류	‘/SS+北/SH+억류/NNG
옮긴	옮기/VV+ㄴ/ETM
후	후/NNG
협상	협상/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
석방	석방/NNG
여부를	여부/NNG+를/JKO
결정하게	결정/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.97.4.2
이 소식통은 “평양으로 옮긴 것은 사안이 중대하기도 하지만 이번 사건으로 북한이 최대한 많은 이득을 얻기 위한 목적도 있을 것”이라고 말했다.

이	이/MMD
소식통은	소식통/NNG+은/JX
“평양으로	“/SS+평양/NNP+으로/JKB
옮긴	옮기/VV+ㄴ/ETM
것은	것/NNB+은/JX
사안이	사안/NNG+이/JKS
중대하기도	중대/NNG+하/XSA+기/ETN+도/JX
하지만	하/VX+지만/EC
이번	이번/NNG
사건으로	사건/NNG+으로/JKB
북한이	북한/NNP+이/JKS
최대한	최대한/MAG
많은	많/VA+은/ETM
이득을	이득/NNG+을/JKO
얻기	얻/VV+기/ETN
위한	위하/VV+ㄴ/ETM
목적도	목적/NNG+도/JX
있을	있/VV+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.97.4.3
따라서 석방 협상이 의외로 길어질 수도 있다고 전망했다.

따라서	따라서/MAJ
석방	석방/NNG
협상이	협상/NNG+이/JKS
의외로	의외로/MAG
길어질	길어지/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.97.5.1
또 다른 소식통은 북한에 억류된 2명의 여기자와 변경 취재를 동행했던 미국인 카메라기자 미치 코스 씨와 중국인 가이드 A 씨의 행방에 대해 “중국 국경수비대에 체포됐다는 보도가 있는데 사실이 아니다”고 말했다.

또	또/MAG
다른	다른/MMD
소식통은	소식통/NNG+은/JX
북한에	북한/NNP+에/JKB
억류된	억류/NNG+되/XSV+ㄴ/ETM
2명의	2/SN+명/NNB+의/JKG
여기자와	여기자/NNG+와/JC
변경	변경/NNG
취재를	취재/NNG+를/JKO
동행했던	동행/NNG+하/XSV+았/EP+던/ETM
미국인	미국인/NNG
카메라기자	카메라/NNG+기자/NNG
미치	미치/NNP
코스	코스/NNP
씨와	씨/NNB+와/JC
중국인	중국인/NNG
가이드	가이드/NNG
A	A/SL
씨의	씨/NNB+의/JKG
행방에	행방/NNG+에/JKB
대해	대하/VV+아/EC
“중국	“/SS+중국/NNP
국경수비대에	국경/NNG+수비대/NNG+에/JKB
체포됐다는	체포/NNG+되/XSV+었/EP+다는/ETM
보도가	보도/NNG+가/JKS
있는데	있/VA+는데/EC
사실이	사실/NNG+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.97.5.2
그는 “2명의 여기자가 붙잡히자 코스 씨와 A 씨는 자진해 중국의 공안당국에 신고를 했으며 변경에 설치된 중국 측의 폐쇄회로(CC)TV에 찍혀 붙잡힌 것이 아니다”고 말했다.

그는	그/NP+는/JX
“2명의	“/SS+2/SN+명/NNB+의/JKG
여기자가	여기자/NNG+가/JKS
붙잡히자	붙잡히/VV+자/EC
코스	코스/NNP
씨와	씨/NNB+와/JC
A	A/SL
씨는	씨/NNB+는/JX
자진해	자진/NNG+하/XSV+아/EC
중국의	중국/NNP+의/JKG
공안당국에	공안/NNG+당국/NNG+에/JKB
신고를	신고/NNG+를/JKO
했으며	하/VV+았/EP+으며/EC
변경에	변경/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
중국	중국/NNP
측의	측/NNB+의/JKG
폐쇄회로(CC)TV에	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL+에/JKB
찍혀	찍히/VV+어/EC
붙잡힌	붙잡히/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.97.5.3
이들은 또 ‘월경’을 하지 않아 특별히 처벌할 만한 사안이 없기 때문에 신고자로서 조사를 마친 후 자유로운 상태라고 이 소식통은 말했다.

이들은	이/NP+들/XSN+은/JX
또	또/MAG
‘월경’을	‘/SS+월경/NNG+’/SS+을/JKO
하지	하/VV+지/EC
않아	않/VX+아/EC
특별히	특별히/MAG
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
사안이	사안/NNG+이/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
신고자로서	신고자/NNG+로서/JKB
조사를	조사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
후	후/NNG
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
상태라고	상태/NNG+이/VCP+라고/EC
이	이/MMD
소식통은	소식통/NNG+은/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.97.5.4
따라서 이들이 외부에 자신을 드러내지 않고 있는 것은 자신들의 판단에 따른 것이라고 그는 덧붙였다.

따라서	따라서/MAJ
이들이	이/NP+들/XSN+이/JKS
외부에	외부/NNG+에/JKB
자신을	자신/NNG+을/JKO
드러내지	드러내/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
자신들의	자신/NNG+들/XSN+의/JKG
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
그는	그/NP+는/JX
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.97.6.1
한편 미국 여기자들이 접경지대에서 ‘실수’로 국경을 넘었을 것이라는 일부 설명에 대해서는 현지 실정과 맞지 않는다는 의견이 많다.

한편	한편/MAG
미국	미국/NNP
여기자들이	여기자/NNG+들/XSN+이/JKS
접경지대에서	접경지대/NNG+에서/JKB
‘실수’로	‘/SS+실수/NNG+’/SS+로/JKB
국경을	국경/NNG+을/JKO
넘었을	넘/VV+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
일부	일부/NNG
설명에	설명/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
현지	현지/NNG
실정과	실정/NNG+과/JKB
맞지	맞/VV+지/EC
않는다는	않/VX+는다는/ETM
의견이	의견/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000021.97.6.2
취재팀이 월경했을 것으로 추정되는 두만강은 일부러 찾아가지 않고서는 발길이 닿지 않는 지역이기 때문이다.

취재팀이	취재/NNG+팀/NNG+이/JKS
월경했을	월경/NNG+하/XSV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
두만강은	두만강/NNP+은/JX
일부러	일부러/MAG
찾아가지	찾아가/VV+지/EC
않고서는	않/VX+고서/EC+는/JX
발길이	발길/NNG+이/JKS
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
지역이기	지역/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.97.6.3
따라서 ‘실수’로 넘을 수는 없다는 것이 현지 주민이나 이곳 사정을 잘 아는 사람들의 중론이다.

따라서	따라서/MAJ
‘실수’로	‘/SS+실수/NNG+’/SS+로/JKB
넘을	넘/VV+을/ETM
수는	수/NNB+는/JX
없다는	없/VA+다는/ETM
것이	것/NNB+이/JKS
현지	현지/NNG
주민이나	주민/NNG+이나/JC
이곳	이곳/NP
사정을	사정/NNG+을/JKO
잘	잘/MAG
아는	알/VV+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
중론이다.	중론/NNG+이/VCP+다/EF+./SF


