# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.99
metadata : {}


# id : NWRW1800000054.99.1.1
"105세, 사이클 타기 좋은 나이지"

"105세,	"/SS+105/SN+세/NNB+,/SP
2014년에는 1시간 동안 26.927㎞를 달려 100세 이상 선수 최고 기록을 썼다.

2014년에는	2014/SN+년/NNB+에/JKB+는/JX
1시간	1/SN+시간/NNB
동안	동안/NNG
26.927㎞를	26/SN+./SP+927/SN+㎞/SW+를/JKO
달려	달리/VV+어/EC
100세	100/SN+세/NNB
이상	이상/NNG
선수	선수/NNG
최고	최고/NNG
기록을	기록/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.99.5.1
경기를 마친 뒤 마르샹은 프랑스 BF MTV에 "경기 종료 10분 전을 알리는 신호를 보지 못했다"며 "봤더라면 더 빨리 달렸을 것"이라고 했다.

경기를	경기/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
마르샹은	마르샹/NNP+은/JX
프랑스	프랑스/NNP
BF	BF/SL
MTV에	MTV/SL+에/JKB
"경기	"/SS+경기/NNG
종료	종료/NNG
10분	10/SN+분/NNB
전을	전/NNG+을/JKO
알리는	알리/VV+는/ETM
신호를	신호/NNG+를/JKO
보지	보/VV+지/EC
못했다"며	못하/VX+았/EP+다/EF+"/SS+며/EC
"봤더라면	"/SS+보/VV+았/EP+더라면/EC
더	더/MAG
빨리	빨리/MAG
달렸을	달리/VV+었/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.99.5.2
지친 기색은 없었다.

지친	지치/VV+ㄴ/ETM
기색은	기색/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.99.5.3
그는 "다리는 조금도 아프지 않다.

그는	그/NP+는/JX
"다리는	"/SS+다리/NNG+는/JX
조금도	조금/NNG+도/JX
아프지	아프/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.99.5.4
류머티즘을 앓고 있어 팔이 조금 아플 뿐"이라고 말했다.

류머티즘을	류머티즘/NNG+을/JKO
앓고	앓/VV+고/EC
있어	있/VX+어/EC
팔이	팔/NNG+이/JKS
조금	조금/MAG
아플	아프/VA+ㄹ/ETM
뿐"이라고	뿐/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.99.6.1
모든 연령대 기록으로는 2015년 영국의 사이클 영웅 브래들리 위긴스가 세운 세계 최고 기록 54.526㎞의 절반밖에 안 된다.

모든	모든/MMN
연령대	연령대/NNG
기록으로는	기록/NNG+으로/JKB+는/JX
2015년	2015/SN+년/NNB
영국의	영국/NNP+의/JKG
사이클	사이클/NNG
영웅	영웅/NNG
브래들리	브래들리/NNP
위긴스가	위긴스/NNP+가/JKS
세운	세우/VV+ㄴ/ETM
세계	세계/NNG
최고	최고/NNG
기록	기록/NNG
54.526㎞의	54/SN+./SP+526/SN+㎞/SW+의/JKG
절반밖에	절반/NNG+밖에/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.99.6.2
하지만 관중은 마르샹이 완주하자 일제히 일어나 박수를 보냈다.

하지만	하지만/MAJ
관중은	관중/NNG+은/JX
마르샹이	마르샹/NNP+이/JKS
완주하자	완주/NNG+하/XSV+자/EC
일제히	일제히/MAG
일어나	일어나/VV+아/EC
박수를	박수/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.99.6.3
그는 "나는 챔피언이 되려고 온 것이 아니라 여전히 사이클을 탈 수 있다는 사실을 보여주고 싶었다"고 소감을 밝혔다.

그는	그/NP+는/JX
"나는	"/SS+나/NP+는/JX
챔피언이	챔피언/NNG+이/JKC
되려고	되/VV+려고/EC
온	오/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
여전히	여전히/MAG
사이클을	사이클/NNG+을/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실을	사실/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.99.7.1
1911년생인 마르샹은 22세까지 선수 훈련을 받았다.

1911년생인	1911/SN+년/NNB+생/XSN+이/VCP+ㄴ/ETM
마르샹은	마르샹/NNP+은/JX
22세까지	22/SN+세/NNB+까지/JX
선수	선수/NNG
훈련을	훈련/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.99.7.2
하지만 그의 코치는 "체구가 너무 작아서(150㎝에 50㎏) 훌륭한 기록을 세우지 못할 것"이라며 사이클을 포기하게 했다.

하지만	하지만/MAJ
그의	그/NP+의/JKG
코치는	코치/NNG+는/JX
"체구가	"/SS+체구/NNG+가/JKS
너무	너무/MAG
작아서(150㎝에	작/VA+아서/EC+(/SS+150/SN+㎝/SW+에/JKB
50㎏)	50/SN+㎏/SW+)/SS
훌륭한	훌륭하/VA+ㄴ/ETM
기록을	기록/NNG+을/JKO
세우지	세우/VV+지/EC
못할	못하/VX+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
사이클을	사이클/NNG+을/JKO
포기하게	포기/NNG+하/XSV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.99.7.3
그 뒤 소방수·정원사·트럭운전사 등을 전전했다.

그	그/MMD
뒤	뒤/NNG
소방수·정원사·트럭운전사	소방수/NNG+·/SP+정원사/NNG+·/SP+트럭/NNG+운전사/NNG
등을	등/NNB+을/JKO
전전했다.	전전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.99.7.4
캐나다에서 벌목공으로 일하기도 했다.

캐나다에서	캐나다/NNP+에서/JKB
벌목공으로	벌목공/NNG+으로/JKB
일하기도	일/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.99.7.5
사이클을 다시 시작한 것은 은퇴 후인 75세 때였다.

사이클을	사이클/NNG+을/JKO
다시	다시/MAG
시작한	시작/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
은퇴	은퇴/NNG
후인	후/NNG+이/VCP+ㄴ/ETM
75세	75/SN+세/NNB
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.99.7.6
1992년 여든이 넘은 나이로 파리에서 러시아 모스크바까지 자전거 완주에 성공했고 2012년엔 1시간에 24.25㎞를 달려 100세 이상 사이클 신기록을 세웠다.

1992년	1992/SN+년/NNB
여든이	여든/NR+이/JKS
넘은	넘/VV+은/ETM
나이로	나이/NNG+로/JKB
파리에서	파리/NNP+에서/JKB
러시아	러시아/NNP
모스크바까지	모스크바/NNP+까지/JX
자전거	자전거/NNG
완주에	완주/NNG+에/JKB
성공했고	성공/NNG+하/XSV+았/EP+고/EC
2012년엔	2012/SN+년/NNB+에/JKB+ㄴ/JX
1시간에	1/SN+시간/NNB+에/JKB
24.25㎞를	24/SN+./SP+25/SN+㎞/SW+를/JKO
달려	달리/VV+어/EC
100세	100/SN+세/NNB
이상	이상/NNG
사이클	사이클/NNG
신기록을	신/XPN+기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


