# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.287
metadata : {}


# id : NWRW1800000044.287.1.1
“히잡 써도 된다더니…” 카타르, 여자농구 기권

“히잡	“/SS+히잡/NNG
심판진은 카타르 선수들에게 히잡을 벗고 경기에 임할 것을 요구했지만 선수들은 히잡을 벗는 대신 기권을 선택했다.

심판진은	심판진/NNG+은/JX
카타르	카타르/NNP
선수들에게	선수/NNG+들/XSN+에게/JKB
히잡을	히잡/NNG+을/JKO
벗고	벗/VV+고/EC
경기에	경기/NNG+에/JKB
임할	임하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했지만	요구/NNG+하/XSV+았/EP+지만/EC
선수들은	선수/NNG+들/XSN+은/JX
벗는	벗/VV+는/ETM
대신	대신/NNG
기권을	기권/NNG+을/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.287.4.3
카타르 선수들은 “대회 전에 우리는 주최 쪽으로부터 히잡을 쓰고 경기할 수 있다는 이야기를 들었다.

카타르	카타르/NNP
선수들은	선수/NNG+들/XSN+은/JX
“대회	“/SS+대회/NNG
전에	전/NNG+에/JKB
우리는	우리/NP+는/JX
주최	주최/NNG
쪽으로부터	쪽/NNB+으로부터/JKB
히잡을	히잡/NNG+을/JKO
쓰고	쓰/VV+고/EC
경기할	경기/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
이야기를	이야기/NNG+를/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.287.4.4
하지만 오늘에 와서야 안 된다고 말했다”며 불만을 터뜨렸다.

하지만	하지만/MAJ
오늘에	오늘/NNG+에/JKB
와서야	오/VV+아서/EC+야/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
말했다”며	말/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
불만을	불만/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.287.5.1
이슬람 국가인 카타르는 이번 대회에 파격적으로 54명의 여자 선수를 파견했다.

이슬람	이슬람/NNG
국가인	국가/NNG+이/VCP+ㄴ/ETM
카타르는	카타르/NNP+는/JX
이번	이번/NNG
대회에	대회/NNG+에/JKB
파격적으로	파격/NNG+적/XSN+으로/JKB
54명의	54/SN+명/NNB+의/JKG
여자	여자/NNG
선수를	선수/NNG+를/JKO
파견했다.	파견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.287.5.2
이들은 농구를 비롯해 육상, 펜싱, 체조, 유도, 조정, 사격, 탁구, 태권도 등 9개 종목에 출전한다.

이들은	이/NP+들/XSN+은/JX
농구를	농구/NNG+를/JKO
비롯해	비롯하/VV+아/EC
육상,	육상/NNG+,/SP
펜싱,	펜싱/NNG+,/SP
체조,	체조/NNG+,/SP
유도,	유도/NNG+,/SP
조정,	조정/NNG+,/SP
사격,	사격/NNG+,/SP
탁구,	탁구/NNG+,/SP
태권도	태권도/NNG
등	등/NNB
9개	9/SN+개/NNB
종목에	종목/NNG+에/JKB
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.287.5.3
이 중 농구를 제외한 나머지 8개 종목은 히잡 착용을 허용한다.

이	이/MMD
중	중/NNB
농구를	농구/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
8개	8/SN+개/NNB
종목은	종목/NNG+은/JX
히잡	히잡/NNG
착용을	착용/NNG+을/JKO
허용한다.	허용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.287.5.4
이슬람 여성들의 출전 기회 확대와 종교의 자유 등을 위해 히잡 착용 허용은 점차 확산되는 추세다.

이슬람	이슬람/NNG
여성들의	여성/NNG+들/XSN+의/JKG
출전	출전/NNG
기회	기회/NNG
확대와	확대/NNG+와/JC
종교의	종교/NNG+의/JKG
자유	자유/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
히잡	히잡/NNG
착용	착용/NNG
허용은	허용/NNG+은/JX
점차	점차/MAG
확산되는	확산/NNG+되/XSV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.287.5.5
조르기 기술이 있는 유도는 부상 위험 때문에 히잡 착용을 금지해 왔지만 2012년 런던올림픽부터 경기에 적합하게 변형된 히잡을 착용하면 착용을 허용했다.

조르기	조르/VV+기/ETN
기술이	기술/NNG+이/JKS
있는	있/VA+는/ETM
유도는	유도/NNG+는/JX
부상	부상/NNG
위험	위험/NNG
때문에	때문/NNB+에/JKB
히잡	히잡/NNG
착용을	착용/NNG+을/JKO
금지해	금지/NNG+하/XSV+아/EC
왔지만	오/VX+았/EP+지만/EC
2012년	2012/SN+년/NNB
런던올림픽부터	런던/NNP+올림픽/NNG+부터/JX
경기에	경기/NNG+에/JKB
적합하게	적합/NNG+하/XSA+게/EC
변형된	변형/NNG+되/XSV+ㄴ/ETM
히잡을	히잡/NNG+을/JKO
착용하면	착용/NNG+하/XSV+면/EC
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.287.5.6
축구를 정치, 종교 등과 철저히 분리시켜야 한다고 주장해온 국제축구연맹(FIFA)도 올해 3월 히잡 착용을 공식 허용했다.

축구를	축구/NNG+를/JKO
정치,	정치/NNG+,/SP
종교	종교/NNG
등과	등/NNB+과/JKB
철저히	철저히/MAG
분리시켜야	분리/NNG+시키/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
국제축구연맹(FIFA)도	국제축구연맹/NNP+(/SS+FIFA/SL+)/SS+도/JX
올해	올해/NNG
3월	3/SN+월/NNB
히잡	히잡/NNG
착용을	착용/NNG+을/JKO
공식	공식/NNG
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


