# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.219
metadata : {}


# id : NWRW1800000040.219.1.1
“적자나도 주민건강 지킨다” 정선군의 도전

“적자나도	“/SS+적자/NNG+나/VV+아도/EC

# id : NWRW1800000040.219.7.1
정선군이 군립의료원이란 특단의 대책을 내놓은 이유는 지역의 열악한 의료환경 때문이다.

정선군이	정선군/NNP+이/JKS
군립의료원이란	군립/NNG+의료원/NNG+이/VCP+란/ETM
특단의	특단/NNG+의/JKG
대책을	대책/NNG+을/JKO
내놓은	내놓/VV+은/ETM
이유는	이유/NNG+는/JX
지역의	지역/NNG+의/JKG
열악한	열악하/VA+ㄴ/ETM
의료환경	의료/NNG+환경/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.219.7.2
최 군수는 “석탄산업 합리화 이후 인구가 줄면서 지역에 있던 병원들이 경영난 등을 이유로 차례로 문을 닫았다.

최	최/NNP
군수는	군수/NNG+는/JX
“석탄산업	“/SS+석탄/NNG+산업/NNG
합리화	합리/NNG+화/XSN
이후	이후/NNG
인구가	인구/NNG+가/JKS
줄면서	줄/VV+면서/EC
지역에	지역/NNG+에/JKB
있던	있/VA+던/ETM
병원들이	병원/NNG+들/XSN+이/JKS
경영난	경영난/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
차례로	차례/NNG+로/JKB
문을	문/NNG+을/JKO
닫았다.	닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.219.7.3
산부인과가 없어 애를 낳지 못하는 것은 물론이고 응급실이 없어 한밤중에 2시간 떨어진 강릉이나 원주까지 차를 타고 나가야 한다”고 말했다.

산부인과가	산부인과/NNG+가/JKS
없어	없/VA+어/EC
애를	애/NNG+를/JKO
낳지	낳/VV+지/EC
못하는	못하/VX+는/ETM
것은	것/NNB+은/JX
물론이고	물론/NNG+이/VCP+고/EC
응급실이	응급실/NNG+이/JKS
한밤중에	한/XPN+밤중/NNG+에/JKB
2시간	2/SN+시간/NNB
떨어진	떨어지/VV+ㄴ/ETM
강릉이나	강릉/NNP+이나/JC
원주까지	원주/NNP+까지/JX
차를	차/NNG+를/JKO
타고	타/VV+고/EC
나가야	나가/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.219.8.1
지역 주민들은 반기는 분위기다.

지역	지역/NNG
주민들은	주민/NNG+들/XSN+은/JX
반기는	반기/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.219.8.2
지난해 말 벌인 여론조사에서 97%가 병원 건립에 지지 의사를 밝혔다.

지난해	지난해/NNG
말	말/NNB
벌인	벌이/VV+ㄴ/ETM
여론조사에서	여론/NNG+조사/NNG+에서/JKB
97%가	97/SN+%/SW+가/JKS
병원	병원/NNG
건립에	건립/NNG+에/JKB
지지	지지/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.219.8.3
처음에는 적자를 걱정하던 정선군의회도 지난달 군립의료원 설치 조례를 통과시키는 등 새누리당 군의원들까지 나서서 군립의료원 건립에 힘을 보태고 있다.

처음에는	처음/NNG+에/JKB+는/JX
적자를	적자/NNG+를/JKO
걱정하던	걱정/NNG+하/XSV+던/ETM
정선군의회도	정선군의회/NNP+도/JX
지난달	지난달/NNG
군립의료원	군립/NNG+의료원/NNG
설치	설치/NNG
조례를	조례/NNG+를/JKO
통과시키는	통과/NNG+시키/XSV+는/ETM
등	등/NNB
새누리당	새누리당/NNP
군의원들까지	군/NNG+의원/NNG+들/XSN+까지/JX
나서서	나서/VV+어서/EC
건립에	건립/NNG+에/JKB
힘을	힘/NNG+을/JKO
보태고	보태/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.219.8.4
최 군수는 지난해 9월 보건복지부를 직접 찾아가 군립의료원이 왜 필요한지 설득한 끝에 국비 지원도 얻어냈다.

최	최/NNP
군수는	군수/NNG+는/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
보건복지부를	보건/NNG+복지부/NNG+를/JKO
직접	직접/MAG
찾아가	찾아가/VV+아/EC
군립의료원이	군립/NNG+의료원/NNG+이/JKS
왜	왜/MAG
필요한지	필요/NNG+하/XSA+ㄴ지/EC
설득한	설득/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
국비	국비/NNG
지원도	지원/NNG+도/JX
얻어냈다.	얻/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.219.9.1
정선군이 군립의료원을 운영하는 데 부담해야 할 비용도 크지 않을 것으로 분석됐다.

정선군이	정선군/NNP+이/JKS
군립의료원을	군립/NNG+의료원/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
데	데/NNB
부담해야	부담/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
비용도	비용/NNG+도/JX
크지	크/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.219.9.2
최근 나온 군립의료원 수요분석 용역 결과 운영 5년차부터 흑자로 돌아설 것으로 전망됐기 때문이다.

최근	최근/MAG
나온	나오/VV+ㄴ/ETM
군립의료원	군립/NNG+의료원/NNG
수요분석	수요/NNG+분석/NNG
용역	용역/NNG
결과	결과/NNG
운영	운영/NNG
5년차부터	5/SN+년/NNB+차/NNB+부터/JX
흑자로	흑자/NNG+로/JKB
돌아설	돌아서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망됐기	전망/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.219.9.3
개원 첫해인 2016년에는 11억9600만원의 적자가 예상되지만, 해마다 적자 폭이 줄어 2020년에는 3억5700만원 흑자가 날 것이라는 예상이다.

개원	개원/NNG
첫해인	첫해/NNG+이/VCP+ㄴ/ETM
2016년에는	2016/SN+년/NNB+에/JKB+는/JX
11억9600만원의	11/SN+억/NR+9600/SN+만/NR+원/NNB+의/JKG
적자가	적자/NNG+가/JKS
예상되지만,	예상/NNG+되/XSV+지만/EC+,/SP
해마다	해마다/MAG
적자	적자/NNG
폭이	폭/NNG+이/JKS
줄어	줄/VV+어/EC
2020년에는	2020/SN+년/NNB+에/JKB+는/JX
3억5700만원	3/SN+억/NR+5700/SN+만/NR+원/NNB
흑자가	흑자/NNG+가/JKS
날	나/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예상이다.	예상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.219.10.1
최 군수는 2010년 7월 취임과 동시에 친환경 무상급식을 추진해 그해 2학기부터 전국에서 처음으로 유치원부터 고등학교까지 전면 무상급식을 시작했으며, 지난해 7월부터는 모든 학생들에게 우유도 무상으로 제공해 호응을 얻고 있다.

최	최/NNP
군수는	군수/NNG+는/JX
2010년	2010/SN+년/NNB
7월	7/SN+월/NNB
취임과	취임/NNG+과/JKB
동시에	동시/NNG+에/JKB
친환경	친/XPN+환경/NNG
무상급식을	무상/NNG+급식/NNG+을/JKO
추진해	추진/NNG+하/XSV+아/EC
그해	그해/NNG
2학기부터	2/SN+학기/NNG+부터/JX
전국에서	전국/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
유치원부터	유치원/NNG+부터/JX
고등학교까지	고등학교/NNG+까지/JX
전면	전면/NNG
시작했으며,	시작/NNG+하/XSV+았/EP+으며/EC+,/SP
지난해	지난해/NNG
7월부터는	7/SN+월/NNB+부터/JX+는/JX
모든	모든/MMN
학생들에게	학생/NNG+들/XSN+에게/JKB
우유도	우유/NNG+도/JX
무상으로	무상/NNG+으로/JKB
제공해	제공/NNG+하/XSV+아/EC
호응을	호응/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


