# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.52
metadata : {}


# id : NWRW1800000022.52.1.1
[청년취업 10000명] "100전 100패 후 첫 직장 잡았어요";공학도 고건씨 "일할 수 있게 돼 행복" '잡월드' 통해 채용 잇따라… 21명째 취업

[청년취업	[/SS+청년/NNG+취업/NNG
현재	현재/MAG
고씨를	고/NNP+씨/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
21명의	21/SN+명/NNB+의/JKG
젊은이가	젊은이/NNG+가/JKS
'잡월드'에서	'/SS+잡월드/NNP+'/SS+에서/JKB
일자리를	일자리/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.6.4
'잡월드'가 지난 3일 개통한 지 11일 만이다.

'잡월드'가	'/SS+잡월드/NNP+'/SS+가/JKS
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
개통한	개통/NNG+하/XSV+ㄴ/ETM
지	지/NNB
11일	11/SN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.52.7.1
정건수(37·경원대 수학과 졸업)씨도 고건(28)씨와 함께 지난 9일 ㈜애니모비의 신입사원이 됐다.

정건수(37·경원대	정건수/NNP+(/SS+37/SN+·/SP+경원대/NNP
수학과	수학과/NNG
졸업)씨도	졸업/NNG+)/SS+씨/NNB+도/JX
고건(28)씨와	고건/NNP+(/SS+28/SN+)/SS+씨/NNB+와/JKB
함께	함께/MAG
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
㈜애니모비의	㈜/SW+애니모비/NNP+의/JKG
신입사원이	신입/NNG+사원/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.7.2
두 사람은 회사 동기이자 '잡월드 동기생'이 된 셈이다.

두	두/MMN
사람은	사람/NNG+은/JX
회사	회사/NNG
동기이자	동기/NNG+이/VCP+자/EC
'잡월드	'/SS+잡월드/NNP
동기생'이	동기/NNG+생/XSN+'/SS+이/JKC
된	되/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.52.8.1
정씨는 1998년 대학 졸업 직후 IMF 위기를 뚫고 학습지 전문 출판사에 입사했다.

정씨는	정/NNP+씨/NNB+는/JX
1998년	1998/SN+년/NNB
대학	대학/NNG
졸업	졸업/NNG
직후	직후/NNG
IMF	IMF/SL
위기를	위기/NNG+를/JKO
뚫고	뚫/VV+고/EC
학습지	학습지/NNG
전문	전문/NNG
출판사에	출판사/NNG+에/JKB
입사했다.	입사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.8.2
고등학생용 교재를 매달 15만부나 찍어내던 탄탄한 회사였다.

고등학생용	고등학생/NNG+용/XSN
교재를	교재/NNG+를/JKO
매달	매달/MAG
15만부나	15/SN+만/NR+부/NNB+나/JX
찍어내던	찍/VV+어/EC+내/VX+던/ETM
탄탄한	탄탄하/VA+ㄴ/ETM
회사였다.	회사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.52.8.3
정씨는 7년 만에 총무부장 자리까지 올라갔다.

정씨는	정/NNP+씨/NNB+는/JX
7년	7/SN+년/NNB
만에	만/NNB+에/JKB
총무부장	총무부장/NNG
자리까지	자리/NNG+까지/JX
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.8.4
하지만 온라인 강의 시장이 성장하며 학습지 시장이 급속히 위축됐다.

하지만	하지만/MAJ
온라인	온라인/NNG
강의	강의/NNG
시장이	시장/NNG+이/JKS
성장하며	성장/NNG+하/XSV+며/EC
학습지	학습지/NNG
급속히	급속히/MAG
위축됐다.	위축/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.8.5
결국 2006년 말 회사가 부도나며 30대 중반의 나이에 길거리로 내몰렸다.

결국	결국/MAG
2006년	2006/SN+년/NNB
말	말/NNB
회사가	회사/NNG+가/JKS
부도나며	부도나/VV+며/EC
30대	30/SN+대/NNB
중반의	중반/NNG+의/JKG
나이에	나이/NNG+에/JKB
길거리로	길거리/NNG+로/JKB
내몰렸다.	내몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.9.1
부도난 회사 출신을 반겨주는 곳이 없었다.

부도난	부도나/VV+ㄴ/ETM
회사	회사/NNG
출신을	출신/NNG+을/JKO
반겨주는	반기/VV+어/EC+주/VX+는/ETM
곳이	곳/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.52.9.2
서류와 1차 면접은 대부분 통과했지만, 최종면접에서 번번이 떨어졌다.

서류와	서류/NNG+와/JC
1차	1/SN+차/NNB
면접은	면접/NNG+은/JX
대부분	대/XPN+부분/NNG
통과했지만,	통과/NNG+하/XSV+았/EP+지만/EC+,/SP
최종면접에서	최종/NNG+면접/NNG+에서/JKB
번번이	번번이/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.9.3
정씨는 "정작 나 자신은 그렇지 않은데, 다른 사람들은 부도난 회사 출신이 패배의식을 갖고 있을 거라고 생각하는 것 같았다"고 했다.

정씨는	정/NNP+씨/NNB+는/JX
"정작	"/SS+정작/MAG
나	나/NP
자신은	자신/NNG+은/JX
그렇지	그렇/VA+지/EC
않은데,	않/VX+은데/EC+,/SP
다른	다른/MMD
사람들은	사람/NNG+들/XSN+은/JX
부도난	부도나/VV+ㄴ/ETM
회사	회사/NNG
출신이	출신/NNG+이/JKS
패배의식을	패배/NNG+의식/NNG+을/JKO
갖고	갖/VV+고/EC
있을	있/VX+을/ETM
거라고	거/NNB+이/VCP+라고/EC
생각하는	생각/NNG+하/XSV+는/ETM
것	것/NNB
같았다"고	같/VA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.9.4
1년여를 보낸 뒤 작년 초 운전면허 시험지를 만드는 출판사로 직장을 옮겼다.

1년여를	1/SN+년/NNB+여/XSN+를/JKO
보낸	보내/VV+ㄴ/ETM
뒤	뒤/NNG
작년	작년/NNG
초	초/NNB
운전면허	운전면허/NNG
시험지를	시험지/NNG+를/JKO
만드는	만들/VV+는/ETM
출판사로	출판사/NNG+로/JKB
직장을	직장/NNG+을/JKO
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.9.5
하지만 단조로운 직장생활에 만족할 수 없었다.

하지만	하지만/MAJ
단조로운	단조/NNG+롭/XSA+ㄴ/ETM
직장생활에	직장/NNG+생활/NNG+에/JKB
만족할	만족/NNG+하/XSA+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.52.9.6
얼마 전 잡월드에 구직 회원으로 등록한 그를 애니모비가 찾아냈다.

얼마	얼마/NNG
전	전/NNG
잡월드에	잡월드/NNP+에/JKB
구직	구직/NNG
회원으로	회원/NNG+으로/JKB
등록한	등록/NNG+하/XSV+ㄴ/ETM
그를	그/NP+를/JKO
애니모비가	애니모비/NNP+가/JKS
찾아냈다.	찾아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.9.7
최종면접에서 정씨는 이렇게 말했다.

최종면접에서	최종/NNG+면접/NNG+에서/JKB
정씨는	정/NNP+씨/NNB+는/JX
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.10.1
"하나도 부끄럽지 않습니다.

"하나도	"/SS+하나/NR+도/JX
부끄럽지	부끄럽/VA+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000022.52.10.2
회사가 부도난 후에 5개월 동안 월급 한 푼 안받으면서 회사를 살리려고 끝까지 노력했습니다.

회사가	회사/NNG+가/JKS
부도난	부도나/VV+ㄴ/ETM
후에	후/NNG+에/JKB
5개월	5/SN+개월/NNB
동안	동안/NNG
월급	월급/NNG
한	한/MMN
푼	푼/NNB
안받으면서	안/MAG+받/VV+으면서/EC
회사를	회사/NNG+를/JKO
살리려고	살리/VV+려고/EC
끝까지	끝/NNG+까지/JX
노력했습니다.	노력/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.52.10.3
어딜 가든 내가 몸담은 곳을 위해 최선을 다할 겁니다."

어딜	어디/NP+ㄹ/JKO
가든	가/VV+든/EC
내가	내/NP+가/JKS
몸담은	몸담/VV+은/ETM
곳을	곳/NNG+을/JKO
위해	위하/VV+아/EC
최선을	최선/NNG+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
겁니다."	거/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000022.52.11.1
홍창민 사장은 정씨에 대해 "우리가 항상 목말랐던 인재였다"고 말했다.

홍창민	홍창민/NNP
사장은	사장/NNG+은/JX
정씨에	정/NNP+씨/NNB+에/JKB
대해	대하/VV+아/EC
"우리가	"/SS+우리/NP+가/JKS
항상	항상/MAG
목말랐던	목마르/VA+았/EP+던/ETM
인재였다"고	인재/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.11.2
정씨에겐 홈페이지 회원 수를 늘리고 콘텐츠를 더 많이 판매하는 마케팅 일이 주어졌다.

정씨에겐	정/NNP+씨/NNB+에게/JKB+ㄴ/JX
홈페이지	홈페이지/NNG
회원	회원/NNG
수를	수/NNG+를/JKO
늘리고	늘리/VV+고/EC
콘텐츠를	콘텐츠/NNG+를/JKO
더	더/MAG
많이	많이/MAG
판매하는	판매/NNG+하/XSV+는/ETM
마케팅	마케팅/NNG
일이	일/NNG+이/JKS
주어졌다.	주어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.11.3
월급은 직전의 직장보다 40여 만원 적다.

월급은	월급/NNG+은/JX
직전의	직전/NNG+의/JKG
직장보다	직장/NNG+보다/JKB
40여	40/SN+여/XSN
만원	만/NR+원/NNB
적다.	적/VA+다/EF+./SF


# id : NWRW1800000022.52.11.4
하지만 꿈이 있다.

하지만	하지만/MAJ
꿈이	꿈/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.52.11.5
정씨는 "열심히 일해서 애니모비를 코스닥에 상장시키는 게 목표"라고 말했다.

정씨는	정/NNP+씨/NNB+는/JX
"열심히	"/SS+열심히/MAG
일해서	일/NNG+하/XSV+아서/EC
애니모비를	애니모비/NNP+를/JKO
코스닥에	코스닥/NNP+에/JKB
상장시키는	상장/NNG+시키/XSV+는/ETM
게	거/NNB+이/JKS
목표"라고	목표/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.12.1
작년 초 대학을 졸업한 김민우(27·순천향대 컴퓨터공학과), 유재훈(27·백제예술대 멀티미디어과), 오는 2월 고등학교를 졸업하는 유주선(19·중국 지성고 3년)씨도 '잡월드'를 통해 이들과 함께 애니모비에 입사했다.

작년	작년/NNG
초	초/NNB
대학을	대학/NNG+을/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
김민우(27·순천향대	김민우/NNP+(/SS+27/SN+·/SP+순천향대/NNP
컴퓨터공학과),	컴퓨터/NNG+공학과/NNG+)/SS+,/SP
유재훈(27·백제예술대	유재훈/NNP+(/SS+27/SN+·/SP+백제예술대/NNP
멀티미디어과),	멀티미디어/NNG+과/NNG+)/SS+,/SP
오는	오/VV+는/ETM
2월	2/SN+월/NNB
고등학교를	고등학교/NNG+를/JKO
졸업하는	졸업/NNG+하/XSV+는/ETM
유주선(19·중국	유주선/NNP+(/SS+19/SN+·/SP+중국/NNP
지성고	지성고/NNP
3년)씨도	3/SN+년/NNB+)/SS+씨/NNB+도/JX
'잡월드'를	'/SS+잡월드/NNP+'/SS+를/JKO
통해	통하/VV+아/EC
이들과	이/NP+들/XSN+과/JKB
함께	함께/MAG
애니모비에	애니모비/NNP+에/JKB
입사했다.	입사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.13.1
애니모비는 인터넷과 휴대전화를 통해 교육 콘텐츠를 공급한다.

애니모비는	애니모비/NNP+는/JX
인터넷과	인터넷/NNG+과/JC
휴대전화를	휴대/NNG+전화/NNG+를/JKO
통해	통하/VV+아/EC
교육	교육/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
공급한다.	공급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.52.13.2
서울 대치동과 노량진 일대 유명 강사 50여 명과 계약을 맺고 2만여 건의 고등학생용 강의 콘텐츠를 제공하고 있다.

서울	서울/NNP
대치동과	대치동/NNP+과/JC
노량진	노량진/NNP
일대	일대/NNG
유명	유명/NNG
강사	강사/NNG
50여	50/SN+여/XSN
명과	명/NNB+과/JKB
계약을	계약/NNG+을/JKO
맺고	맺/VV+고/EC
2만여	2/SN+만/NR+여/XSN
건의	건/NNB+의/JKG
고등학생용	고등학생/NNG+용/XSN
강의	강의/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.52.13.3
삼성전자·한양대와 영상 개발 프로젝트 등을 진행하고 있으며, 하반기에는 특목고 입시를 위한 중학교 교육 컨텐츠 시장에도 진출한다.

삼성전자·한양대와	삼성전자/NNP+·/SP+한양대/NNP+와/JKB
영상	영상/NNG
개발	개발/NNG
프로젝트	프로젝트/NNG
등을	등/NNB+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
하반기에는	하반기/NNG+에/JKB+는/JX
특목고	특목고/NNG
입시를	입시/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
중학교	중학교/NNG
교육	교육/NNG
컨텐츠	컨텐츠/NNG
시장에도	시장/NNG+에/JKB+도/JX
진출한다.	진출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.52.14.1
사업을 확장하려는 회사 입장에서 이번 채용은 큰 성과다.

사업을	사업/NNG+을/JKO
확장하려는	확장/NNG+하/XSV+려는/ETM
회사	회사/NNG
입장에서	입장/NNG+에서/JKB
이번	이번/NNG
채용은	채용/NNG+은/JX
큰	크/VA+ㄴ/ETM
성과다.	성과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.52.14.2
잡월드를 통해 지원한 사람들의 수준이 높았기 때문이다.

잡월드를	잡월드/NNP+를/JKO
통해	통하/VV+아/EC
지원한	지원/NNG+하/XSV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
수준이	수준/NNG+이/JKS
높았기	높/VA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.52.14.3
홍 사장은 "탈락시키기 아까운 인재들이 너무 많았다"며 "그 중에 베스트를 추려서 채용한 만큼, 기대가 크다"고 말했다.

홍	홍/NNP
사장은	사장/NNG+은/JX
"탈락시키기	"/SS+탈락/NNG+시키/XSV+기/ETN
아까운	아깝/VA+ㄴ/ETM
인재들이	인재/NNG+들/XSN+이/JKS
너무	너무/MAG
많았다"며	많/VA+았/EP+다/EF+"/SS+며/EC
"그	"/SS+그/MMD
중에	중/NNB+에/JKB
베스트를	베스트/NNG+를/JKO
추려서	추리/VV+어서/EC
채용한	채용/NNG+하/XSV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
기대가	기대/NNG+가/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.14.4
회사는 올 하반기에도 잡월드를 통해 5명 가량을 더 채용할 계획이다.

회사는	회사/NNG+는/JX
올	올/NNG
하반기에도	하반기/NNG+에/JKB+도/JX
잡월드를	잡월드/NNP+를/JKO
통해	통하/VV+아/EC
5명	5/SN+명/NNB
가량을	가량/XSN+을/JKO
더	더/MAG
채용할	채용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.52.15.1
인재에 목말랐던 중소기업들에게 잡월드 사이트는 '가뭄에 단비'가 되고 있다.

인재에	인재/NNG+에/JKB
목말랐던	목마르/VA+았/EP+던/ETM
중소기업들에게	중소기업/NNG+들/XSN+에게/JKB
잡월드	잡월드/NNP
사이트는	사이트/NNG+는/JX
'가뭄에	'/SS+가뭄/NNG+에/JKB
단비'가	단비/NNG+'/SS+가/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.52.15.2
서울 마포의 지리정보시스템 개발업체 지오시스템은 1년여간 찾던 맞춤형 우수 인재를 잡월드 가입 10여일 만에 구했다.

서울	서울/NNP
마포의	마포/NNP+의/JKG
지리정보시스템	지리/NNG+정보/NNG+시스템/NNG
개발업체	개발업체/NNG
지오시스템은	지오시스템/NNP+은/JX
1년여간	1/SN+년/NNB+여/XSN+간/XSN
찾던	찾/VV+던/ETM
맞춤형	맞춤/NNG+형/XSN
우수	우수/NNG
인재를	인재/NNG+를/JKO
잡월드	잡월드/NNP
가입	가입/NNG
10여일	10/SN+여/XSN+일/NNB
만에	만/NNB+에/JKB
구했다.	구하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.15.3
나사렛대 전산정보학과를 졸업한 오종현(26)씨.

나사렛대	나사렛대/NNP
전산정보학과를	전산/NNG+정보학과/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
오종현(26)씨.	오종현/NNP+(/SS+26/SN+)/SS+씨/NNB+./SF


# id : NWRW1800000022.52.15.4
재학 당시 학내 프로그램 경진대회에서 4차례 이상 수상한 경력이 인정돼 단박에 채용됐다.

재학	재학/NNG
당시	당시/NNG
학내	학내/NNG
프로그램	프로그램/NNG
경진대회에서	경진/NNG+대회/NNG+에서/JKB
4차례	4/SN+차례/NNG
이상	이상/NNG
수상한	수상/NNG+하/XSV+ㄴ/ETM
경력이	경력/NNG+이/JKS
인정돼	인정/NNG+되/XSV+어/EC
단박에	단박/NNG+에/JKB
채용됐다.	채용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.16.1
잡월드를 통해 맺어진 여섯 번째 '구직자-구인자' 커플이다.

