# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.93
metadata : {}


# id : NWRW1800000033.93.1.1
[권재현 기자의 망연자실]그녀가 눈뜨면, 얻고 잃는 것은…

[권재현	[/SS+권재현/NNP
경우가	경우/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.93.3.5
3∼9일 서울 대학로 눈빛극장에서 공연한 연극 ‘몰리 스위니’(송선호 연출)가 그런 작품이었다.

3∼9일	3/SN+∼/SO+9/SN+일/NNB
서울	서울/NNP
대학로	대학로/NNP
눈빛극장에서	눈빛극장/NNP+에서/JKB
공연한	공연/NNG+하/XSV+ㄴ/ETM
연극	연극/NNG
‘몰리	‘/SS+몰리/NNP
스위니’(송선호	스위니/NNP+’/SS+(/SS+송선호/NNP
연출)가	연출/NNG+)/SS+가/JKS
그런	그런/MMD
작품이었다.	작품/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.93.4.1
홍보자료에는 아일랜드 극작가 브라이언 프리엘 원작의 이 연극이 영국의 식민지였던 아일랜드의 슬픈 역사를 다루고 있다고 했다.

홍보자료에는	홍보/NNG+자료/NNG+에/JKB+는/JX
아일랜드	아일랜드/NNP
극작가	극작가/NNG
브라이언	브라이언/NNP
프리엘	프리엘/NNP
원작의	원작/NNG+의/JKG
이	이/MMD
연극이	연극/NNG+이/JKS
영국의	영국/NNP+의/JKG
식민지였던	식민지/NNG+이/VCP+었/EP+던/ETM
아일랜드의	아일랜드/NNP+의/JKG
슬픈	슬프/VA+ㄴ/ETM
역사를	역사/NNG+를/JKO
다루고	다루/VV+고/EC
있다고	있/VX+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.93.4.2
하지만 정작 공연에는 아일랜드와 영국의 식민주의에 대한 언급은 단 한 줄도 등장하지 않았다.

하지만	하지만/MAJ
정작	정작/MAG
공연에는	공연/NNG+에/JKB+는/JX
아일랜드와	아일랜드/NNP+와/JC
영국의	영국/NNP+의/JKG
식민주의에	식민주의/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
언급은	언급/NNG+은/JX
단	단/MMA
한	한/MMN
줄도	줄/NNG+도/JX
등장하지	등장/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.93.4.3
아일랜드의 한 시골마을을 무대로 몰리 스위니라는 눈먼 여인이 불혹을 넘긴 나이에 개안(開眼)수술을 받는 이야기가 펼쳐졌다.

아일랜드의	아일랜드/NNP+의/JKG
한	한/MMN
시골마을을	시골/NNG+마을/NNG+을/JKO
무대로	무대/NNG+로/JKB
몰리	몰리/NNP
스위니라는	스위니/NNP+이/VCP+라는/ETM
눈먼	눈멀/VV+ㄴ/ETM
여인이	여인/NNG+이/JKS
불혹을	불혹/NNG+을/JKO
넘긴	넘기/VV+ㄴ/ETM
나이에	나이/NNG+에/JKB
개안(開眼)수술을	개안/NNG+(/SS+開眼/SH+)/SS+수술/NNG+을/JKO
받는	받/VV+는/ETM
이야기가	이야기/NNG+가/JKS
펼쳐졌다.	펼쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.93.5.1
등장인물은 세 명.

등장인물은	등장인물/NNG+은/JX
세	세/MMN
명.	명/NNB+./SF


# id : NWRW1800000033.93.5.2
생후 10개월 이후 시력을 천천히 잃어갔지만 다른 감각들이 발달된 중년 여인 몰리(예수정).

생후	생후/NNG
10개월	10/SN+개월/NNB
이후	이후/NNG
시력을	시력/NNG+을/JKO
천천히	천천히/MAG
잃어갔지만	잃/VV+어/EC+가/VX+았/EP+지만/EC
다른	다른/MMD
감각들이	감각/NNG+들/XSN+이/JKS
발달된	발달/NNG+되/XSV+ㄴ/ETM
중년	중년/NNG
여인	여인/NNG
몰리(예수정).	몰리/NNP+(/SS+예수정/NNP+)/SS+./SF


# id : NWRW1800000033.93.5.3
세계적 명성을 지닌 안과 의사였지만 동료에게 아내를 뺏긴 뒤 시골 병원 의사로 전락한 닥터 라이스(최창우), 마음속 충동이 이끄는 대로 돈키호테처럼 살아온 몰리의 남편 프랭크(이명호).

세계적	세계/NNG+적/XSN
명성을	명성/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
안과	안과/NNG
의사였지만	의사/NNG+이/VCP+었/EP+지만/EC
동료에게	동료/NNG+에게/JKB
아내를	아내/NNG+를/JKO
뺏긴	뺏기/VV+ㄴ/ETM
뒤	뒤/NNG
시골	시골/NNG
병원	병원/NNG
의사로	의사/NNG+로/JKB
전락한	전락/NNG+하/XSV+ㄴ/ETM
닥터	닥터/NNG
라이스(최창우),	라이스/NNP+(/SS+최창우/NNP+)/SS+,/SP
마음속	마음속/NNG
충동이	충동/NNG+이/JKS
이끄는	이끌/VV+는/ETM
대로	대로/NNB
돈키호테처럼	돈키호테/NNP+처럼/JKB
살아온	살아오/VV+ㄴ/ETM
몰리의	몰리/NNP+의/JKG
남편	남편/NNG
프랭크(이명호).	프랭크/NNP+(/SS+이명호/NNP+)/SS+./SF


# id : NWRW1800000033.93.6.1
배우는 셋이지만 그들은 서로 말을 섞지 않는다.

배우는	배우/NNG+는/JX
셋이지만	셋/NR+이/VCP+지만/EC
그들은	그/NP+들/XSN+은/JX
서로	서로/MAG
말을	말/NNG+을/JKO
섞지	섞/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000033.93.6.2
세 개의 분할된 공간을 차지한 채 다큐멘터리 카메라 앞에서 말하듯 독백을 펼친다.

세	세/MMN
개의	개/NNB+의/JKG
분할된	분할/NNG+되/XSV+ㄴ/ETM
공간을	공간/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
채	채/NNB
다큐멘터리	다큐멘터리/NNG
카메라	카메라/NNG
앞에서	앞/NNG+에서/JKB
말하듯	말/NNG+하/XSV+듯/EC
독백을	독백/NNG+을/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.93.6.3
세 명이 돌아가면서 펼치는 독백 장면은 모두 37개.

세	세/MMN
명이	명/NNB+이/JKS
돌아가면서	돌아가/VV+면서/EC
펼치는	펼치/VV+는/ETM
독백	독백/NNG
장면은	장면/NNG+은/JX
모두	모두/MAG
37개.	37/SN+개/NNB+./SF


# id : NWRW1800000033.93.6.4
무대 양옆에 자리 잡은 스태프들은 이를 소리와 영상으로 기록하며 때때로 무대 뒤 영사막에 독백 중인 배우를 근접 촬영한 영상을 비춘다.

무대	무대/NNG
양옆에	양옆/NNG+에/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
스태프들은	스태프/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
소리와	소리/NNG+와/JC
영상으로	영상/NNG+으로/JKB
기록하며	기록/NNG+하/XSV+며/EC
때때로	때때로/MAG
뒤	뒤/NNG
영사막에	영사막/NNG+에/JKB
독백	독백/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
배우를	배우/NNG+를/JKO
근접	근접/NNG
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
영상을	영상/NNG+을/JKO
비춘다.	비추/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.93.7.1
그들 독백의 중심사건은 몰리의 개안수술이다.

그들	그/NP+들/XSN
독백의	독백/NNG+의/JKG
중심사건은	중심/NNG+사건/NNG+은/JX
몰리의	몰리/NNP+의/JKG
개안수술이다.	개안/NNG+수술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.93.7.2
삶에 서투른 프랭크는 시력 없이도 당당하고 충만한 삶을 살아가는 몰리를 위해 무언가를 해주고 싶어 한다.

삶에	삶/NNG+에/JKB
서투른	서투르/VA+ㄴ/ETM
프랭크는	프랭크/NNP+는/JX
시력	시력/NNG
없이도	없이/MAG+도/JX
당당하고	당당/MAG+하/XSA+고/EC
충만한	충만/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
살아가는	살아가/VV+는/ETM
몰리를	몰리/NNP+를/JKO
위해	위하/VV+아/EC
무언가를	무어/NP+이/VCP+ㄴ가/EF+를/JKO
해주고	하/VV+아/EC+주/VX+고/EC
싶어	싶/VX+어/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.93.7.3
그 무언가는 어쩌면 이제 몰리에겐 필요 없는 시력으로 결정된다.

그	그/MMD
무언가는	무어/NP+이/VCP+ㄴ가/EF+는/JX
어쩌면	어쩌면/MAG
이제	이제/MAG
몰리에겐	몰리/NNP+에게/JKB+ㄴ/JX
필요	필요/NNG
없는	없/VA+는/ETM
시력으로	시력/NNG+으로/JKB
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.93.7.4
달뜬 프랭크의 손에 끌려온 몰리를 만난 라이스는 시력의 회복이 몰리의 조화로운 세계를 망가뜨릴 수 있음을 직감한다.

달뜬	달뜨/VV+ㄴ/ETM
프랭크의	프랭크/NNP+의/JKG
손에	손/NNG+에/JKB
끌려온	끌려오/VV+ㄴ/ETM
몰리를	몰리/NNP+를/JKO
만난	만나/VV+ㄴ/ETM
라이스는	라이스/NNP+는/JX
시력의	시력/NNG+의/JKG
회복이	회복/NNG+이/JKS
몰리의	몰리/NNP+의/JKG
조화로운	조화/NNG+롭/XSA+ㄴ/ETM
세계를	세계/NNG+를/JKO
망가뜨릴	망가뜨리/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
직감한다.	직감/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.93.7.5
하지만 수술이 성공하면 지난 1000년간 스무 명에게만 허락된 기적이 되고 그와 함께 의사로서 자신의 이력도 부활할 것임을 예감한다.

하지만	하지만/MAJ
수술이	수술/NNG+이/JKS
성공하면	성공/NNG+하/XSV+면/EC
지난	지나/VV+ㄴ/ETM
1000년간	1000/SN+년/NNB+간/XSN
스무	스무/MMN
명에게만	명/NNB+에게/JKB+만/JX
허락된	허락/NNG+되/XSV+ㄴ/ETM
기적이	기적/NNG+이/JKC
되고	되/VV+고/EC
그와	그/NP+와/JKB
함께	함께/MAG
의사로서	의사/NNG+로서/JKB
자신의	자신/NNG+의/JKG
이력도	이력/NNG+도/JX
부활할	부활/NNG+하/XSV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
예감한다.	예감/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.93.7.6
그렇다면 몰리는?

그렇다면	그렇/VA+다면/EC
몰리는?	몰리/NNP+는/JX+?/SF


# id : NWRW1800000033.93.8.1
몰리는 두렵다.

몰리는	몰리/NNP+는/JX
두렵다.	두렵/VA+다/EF+./SF


# id : NWRW1800000033.93.8.2
지금까지 경험하지 못했던 낯선 세계에 입장하는 대신 자신이 살아온 세계에서 추방당할지 모른다는 불안으로.

지금까지	지금/NNG+까지/JX
경험하지	경험/NNG+하/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
낯선	낯설/VA+ㄴ/ETM
세계에	세계/NNG+에/JKB
입장하는	입장/NNG+하/XSV+는/ETM
대신	대신/NNG
자신이	자신/NNG+이/JKS
살아온	살아오/VV+ㄴ/ETM
세계에서	세계/NNG+에서/JKB
추방당할지	추방/NNG+당하/XSV+ㄹ지/EF
모른다는	모르/VV+ㄴ다는/ETM
불안으로.	불안/NNG+으로/JKB+./SF


# id : NWRW1800000033.93.8.3
하지만 자신에게 새로운 삶을 찾아주겠다는 프랭크의 열정과 자신에게서 삶의 전환점을 찾으려는 라이스의 기대를 배신할 수 없다.

하지만	하지만/MAJ
자신에게	자신/NNG+에게/JKB
새로운	새롭/VA+ㄴ/ETM
삶을	삶/NNG+을/JKO
찾아주겠다는	찾/VV+아/EC+주/VX+겠/EP+다는/ETM
프랭크의	프랭크/NNP+의/JKG
열정과	열정/NNG+과/JC
자신에게서	자신/NNG+에게서/JKB
삶의	삶/NNG+의/JKG
전환점을	전환점/NNG+을/JKO
찾으려는	찾/VV+으려는/ETM
라이스의	라이스/NNP+의/JKG
기대를	기대/NNG+를/JKO
배신할	배신/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.93.8.4
그는 시각의 세계로 잠시 소풍을 다녀온다는 심정으로 수술을 결심한다.

그는	그/NP+는/JX
시각의	시각/NNG+의/JKG
세계로	세계/NNG+로/JKB
잠시	잠시/MAG
소풍을	소풍/NNG+을/JKO
다녀온다는	다녀오/VV+ㄴ다는/ETM
심정으로	심정/NNG+으로/JKB
수술을	수술/NNG+을/JKO
결심한다.	결심/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.93.9.1
세 배우의 파편적 독백으로 이야기가 구성되고 과거와 현재가 뒤섞이는 탓에 처음엔 몰입이 힘들다.

세	세/MMN
배우의	배우/NNG+의/JKG
파편적	파편/NNG+적/XSN
독백으로	독백/NNG+으로/JKB
이야기가	이야기/NNG+가/JKS
구성되고	구성/NNG+되/XSV+고/EC
과거와	과거/NNG+와/JC
현재가	현재/NNG+가/JKS
뒤섞이는	뒤섞이/VV+는/ETM
탓에	탓/NNG+에/JKB
처음엔	처음/NNG+에/JKB+ㄴ/JX
몰입이	몰입/NNG+이/JKS
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000033.93.9.2
하지만 그 독백 속에 세 사람의 외로운 인생사가 퍼즐처럼 맞춰져 가면서 희망과 절망이 교차하는 그들의 표정을 통해 예감된 불길함이 서서히 현실이 되며 조여드는 극작술은 후반부에 빛을 발했다.

하지만	하지만/MAJ
그	그/MMD
독백	독백/NNG
속에	속/NNG+에/JKB
세	세/MMN
사람의	사람/NNG+의/JKG
외로운	외롭/VA+ㄴ/ETM
인생사가	인생사/NNG+가/JKS
퍼즐처럼	퍼즐/NNG+처럼/JKB
맞춰져	맞추/VV+어/EC+지/VX+어/EC
가면서	가/VX+면서/EC
희망과	희망/NNG+과/JC
절망이	절망/NNG+이/JKS
교차하는	교차/NNG+하/XSV+는/ETM
그들의	그/NP+들/XSN+의/JKG
표정을	표정/NNG+을/JKO
통해	통하/VV+아/EC
예감된	예감/NNG+되/XSV+ㄴ/ETM
불길함이	불길하/VA+ㅁ/ETN+이/JKS
서서히	서서히/MAG
현실이	현실/NNG+이/JKC
되며	되/VV+며/EC
조여드는	조여들/VV+는/ETM
극작술은	극작술/NNG+은/JX
후반부에	후반부/NNG+에/JKB
빛을	빛/NNG+을/JKO
발했다.	발하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.93.9.3
차분한 예수정, 싸늘한 최창우, 능란한 이명호.

차분한	차분하/VA+ㄴ/ETM
예수정,	예수정/NNP+,/SP
싸늘한	싸늘하/VA+ㄴ/ETM
최창우,	최창우/NNP+,/SP
능란한	능란하/VA+ㄴ/ETM
이명호.	이명호/NNP+./SF


# id : NWRW1800000033.93.9.4
세 배우의 제각각의 화술 역시 초반의 불협화음을 씻고 후반부에 갈수록 조화를 이뤄냈다.

세	세/MMN
배우의	배우/NNG+의/JKG
제각각의	제각각/NNG+의/JKG
화술	화술/NNG
역시	역시/MAG
초반의	초반/NNG+의/JKG
불협화음을	불협화음/NNG+을/JKO
씻고	씻/VV+고/EC
후반부에	후반부/NNG+에/JKB
갈수록	가/VV+ㄹ수록/EC
조화를	조화/NNG+를/JKO
이뤄냈다.	이루/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.93.9.5
그것은 마치 3개의 모노드라마로 이뤄진 한 편의 연극을 보는 느낌이었다.

그것은	그것/NP+은/JX
마치	마치/MAG
3개의	3/SN+개/NNB+의/JKG
모노드라마로	모노드라마/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
한	한/MMN
편의	편/NNB+의/JKG
연극을	연극/NNG+을/JKO
보는	보/VV+는/ETM
느낌이었다.	느낌/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.93.10.1
마치 실화를 다큐멘터리로 재구성한 것 같은 이 연극은 중층의 메시지를 함축한다.

마치	마치/MAG
실화를	실화/NNG+를/JKO
다큐멘터리로	다큐멘터리/NNG+로/JKB
재구성한	재/XPN+구성/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같은	같/VA+은/ETM
이	이/MMD
연극은	연극/NNG+은/JX
중층의	중층/NNG+의/JKG
메시지를	메시지/NNG+를/JKO
함축한다.	함축/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.93.10.2
첫째는 ‘보는 것’과 ‘아는 것’에 대한 새로운 성찰이다.

첫째는	첫째/NR+는/JX
‘보는	‘/SS+보/VV+는/ETM
것’과	것/NNB+’/SS+과/JC
‘아는	‘/SS+알/VV+는/ETM
것’에	것/NNB+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
성찰이다.	성찰/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.93.10.3
영어로 ‘나는 본다’에 해당하는 ‘I see’는 곧잘 ‘나는 안다’에 해당하는 ‘I know’와 등치된다.

영어로	영어/NNP+로/JKB
‘나는	‘/SS+나/NP+는/JX
본다’에	보/VV+ㄴ다/EF+’/SS+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
‘I	‘/SS+I/SL
see’는	see/SL+’/SS+는/JX
곧잘	곧잘/MAG
안다’에	알/VV+ㄴ다/EF+’/SS+에/JKB
know’와	know/SL+’/SS+와/JKB
등치된다.	등치/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.93.10.4
하지만 몰리의 경우처럼 시각에 의존하지 않는 또 다른 앎이 가능하며 오히려 그것이 더 총체적 앎에 가까울 수 있다.

하지만	하지만/MAJ
몰리의	몰리/NNP+의/JKG
경우처럼	경우/NNG+처럼/JKB
시각에	시각/NNG+에/JKB
의존하지	의존/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
또	또/MAG
다른	다른/MMD
앎이	앎/NNG+이/JKS
가능하며	가능/NNG+하/XSA+며/EC
오히려	오히려/MAG
그것이	그것/NP+이/JKS
더	더/MAG
총체적	총체/NNG+적/XSN
앎에	앎/NNG+에/JKB
가까울	가깝/VA+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.93.10.5
둘째는 과학과 이성으로 무장했지만 심장을 잃은 계몽주의(라이스)와 충동과 영감에 충실한 낭만주의(프랭크)에 의해 파괴된 직관과 자연의 세계(몰리)에 대한 서구의 죄의식이다.

둘째는	둘째/NR+는/JX
과학과	과학/NNG+과/JC
이성으로	이성/NNG+으로/JKB
무장했지만	무장/NNG+하/XSV+았/EP+지만/EC
심장을	심장/NNG+을/JKO
잃은	잃/VV+은/ETM
계몽주의(라이스)와	계몽주의/NNG+(/SS+라이스/NNP+)/SS+와/JC
충동과	충동/NNG+과/JC
영감에	영감/NNG+에/JKB
충실한	충실/NNG+하/XSA+ㄴ/ETM
낭만주의(프랭크)에	낭만주의/NNG+(/SS+프랭크/NNP+)/SS+에/JKB
의해	의하/VV+아/EC
파괴된	파괴/NNG+되/XSV+ㄴ/ETM
직관과	직관/NNG+과/JC
자연의	자연/NNG+의/JKG
세계(몰리)에	세계/NNG+(/SS+몰리/NNP+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
서구의	서구/NNG+의/JKG
죄의식이다.	죄의식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.93.10.6
셋째는 영국 제국주의(라이스)와 그 아류인 아일랜드 민족주의(프랭크)에 의해 파괴된 아일랜드적 순수함(몰리)에 대한 향수다.

셋째는	셋째/NR+는/JX
영국	영국/NNP
제국주의(라이스)와	제국주의/NNG+(/SS+라이스/NNP+)/SS+와/JC
그	그/MMD
아류인	아류/NNG+이/VCP+ㄴ/ETM
아일랜드	아일랜드/NNP
민족주의(프랭크)에	민족주의/NNG+(/SS+프랭크/NNP+)/SS+에/JKB
의해	의하/VV+아/EC
파괴된	파괴/NNG+되/XSV+ㄴ/ETM
아일랜드적	아일랜드/NNP+적/XSN
순수함(몰리)에	순수/NNG+하/XSA+ㅁ/ETN+(/SS+몰리/NNP+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
향수다.	향수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.93.10.7
그 형식에서뿐 아니라 내용에서도 이 작품이 세 가지 색실로 짠 태피스트리처럼 느껴지는 이유다.

그	그/MMD
형식에서뿐	형식/NNG+에서/JKB+뿐/JX
아니라	아니/VCN+라/EC
내용에서도	내용/NNG+에서/JKB+도/JX
이	이/MMD
작품이	작품/NNG+이/JKS
세	세/MMN
가지	가지/NNB
색실로	색실/NNG+로/JKB
짠	짜/VV+ㄴ/ETM
태피스트리처럼	태피스트리/NNG+처럼/JKB
느껴지는	느끼/VV+어/EC+지/VX+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


