# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.164
metadata : {}


# id : NWRW1800000033.164.1.1
법원 “3년상 치르는 마음으로 징역살라”

법원	법원/NNG
재판부가 전문심리위원으로 지명한 허찬희 영덕제일병원 병원장이 “지 군은 범행 당시 심신미약 상태였다”고 의견을 낸 것도 피고 측에 유리하게 작용했다.

재판부가	재판부/NNG+가/JKS
전문심리위원으로	전문/NNG+심리/NNG+위원/NNG+으로/JKB
지명한	지명/NNG+하/XSV+ㄴ/ETM
허찬희	허찬희/NNP
영덕제일병원	영덕제일병원/NNP
병원장이	병원장/NNG+이/JKS
“지	“/SS+지/NNP
군은	군/NNB+은/JX
범행	범행/NNG
당시	당시/NNG
심신미약	심신/NNG+미약/NNG
상태였다”고	상태/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
의견을	의견/NNG+을/JKO
낸	내/VV+ㄴ/ETM
것도	것/NNB+도/JX
피고	피고/NNG
측에	측/NNB+에/JKB
유리하게	유리/NNG+하/XSA+게/EC
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.164.5.4
검찰 측이 범행 전후 지 군이 정상적으로 생활한 점을 들어 “정신병적 증상을 보였다는 증거가 없고 범행 당시 냉정한 사고가 가능했을 것”이라며 법정 최고형에 가까운 15년형을 구형했지만 재판부는 변호인의 손을 들었다.

검찰	검찰/NNG
측이	측/NNB+이/JKS
범행	범행/NNG
전후	전후/NNG
지	지/NNP
군이	군/NNB+이/JKS
정상적으로	정상/NNG+적/XSN+으로/JKB
생활한	생활/NNG+하/XSV+ㄴ/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
“정신병적	“/SS+정신병/NNG+적/XSN
증상을	증상/NNG+을/JKO
보였다는	보이/VV+었/EP+다는/ETM
증거가	증거/NNG+가/JKS
없고	없/VA+고/EC
당시	당시/NNG
냉정한	냉정/NNG+하/XSA+ㄴ/ETM
사고가	사고/NNG+가/JKS
가능했을	가능/NNG+하/XSA+았/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
법정	법정/NNG
최고형에	최고형/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
15년형을	15/SN+년/NNB+형/NNG+을/JKO
구형했지만	구형/NNG+하/XSV+았/EP+지만/EC
재판부는	재판부/NNG+는/JX
변호인의	변호인/NNG+의/JKG
손을	손/NNG+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.164.6.1
재판부는 “지 군이 장기간 가혹한 환경에 놓여 범행 즈음에는 스스로 해결할 수 없는 정신적 압박을 받고 있었다”며 심신 미약을 인정했다.

재판부는	재판부/NNG+는/JX
“지	“/SS+지/NNP
군이	군/NNB+이/JKS
장기간	장기간/NNG
가혹한	가혹/NNG+하/XSA+ㄴ/ETM
환경에	환경/NNG+에/JKB
놓여	놓이/VV+어/EC
범행	범행/NNG
즈음에는	즈음/NNB+에/JKB+는/JX
스스로	스스로/MAG
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
정신적	정신/NNG+적/XSN
압박을	압박/NNG+을/JKO
받고	받/VV+고/EC
있었다”며	있/VX+었/EP+다/EF+”/SS+며/EC
심신	심신/NNG
미약을	미약/XR+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.164.6.2
현행 소년법에 의해 만 19세 미만 소년범은 형의 단기가 지난 후 개선 여부에 따라 출소가 가능하다.

현행	현행/NNG
소년법에	소년법/NNG+에/JKB
의해	의하/VV+아/EC
만	만/NNG
19세	19/SN+세/NNB
미만	미만/NNG
소년범은	소년범/NNG+은/JX
형의	형/NNG+의/JKG
단기가	단기/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
후	후/NNG
개선	개선/NNG
여부에	여부/NNG+에/JKB
따라	따르/VV+아/EC
출소가	출소/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


