# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.381
metadata : {}


# id : NWRW1800000044.381.1.1
“여당 기업 감싸기”-“야당 구태 국감”…‘총수 증인채택’ 놓고 환노위 파행

“여당	“/SS+여당/NNG
“최고경영자나	“/SS+최고/NNG+경영자/NNG+나/JC
임원급을	임원급/NNG+을/JKO
물어볼	물어보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사안과	사안/NNG+과/JKB
총수의	총수/NNG+의/JKG
출석이	출석/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
사안을	사안/NNG+을/JKO
엄중히	엄중히/MAG
가릴	가리/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


