# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.302
metadata : {}


# id : NWRW1800000025.302.1.1
[수도권]서울시, 박물관 학예사 인건비도 지원

[수도권]서울시,	[/SS+수도/NNG+권/XSN+]/SS+서울시/NNP+,/SP
3곳,	3/SN+곳/NNG+,/SP
대학	대학/NNG
부설	부설/NNG
2곳,	2/SN+곳/NNG+,/SP
공립	공립/NNG
4곳,	4/SN+곳/NNG+,/SP
민간	민간/NNG
23곳	23/SN+곳/NNG
등	등/NNB
모두	모두/MAG
32곳이	32/SN+곳/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.302.5.4
시 관계자는 “올해는 민간 개인 박물관을 중심으로 지원했지만 내년에 관련 예산을 25%가량 늘려 민간 법인 박물관도 지원할 것”이라고 말했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
“올해는	“/SS+올해/NNG+는/JX
민간	민간/NNG
개인	개인/NNG
박물관을	박물관/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
지원했지만	지원/NNG+하/XSV+았/EP+지만/EC
내년에	내년/NNG+에/JKB
관련	관련/NNG
예산을	예산/NNG+을/JKO
25%가량	25/SN+%/SW+가량/XSN
늘려	늘리/VV+어/EC
법인	법인/NNG
박물관도	박물관/NNG+도/JX
지원할	지원/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.302.5.5
조례안은 조례규칙심의회 등을 거쳐 내년 2월경 시의회에 제출될 예정이다.

조례안은	조례안/NNG+은/JX
조례규칙심의회	조례/NNG+규칙/NNG+심의회/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
내년	내년/NNG
2월경	2/SN+월/NNB+경/XSN
시의회에	시/NNG+의회/NNG+에/JKB
제출될	제출/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


