# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.46
metadata : {}


# id : NWRW1800000032.46.1.1
은퇴 뒤 주거지 고르는 ABC

은퇴	은퇴/NNG
7억원짜리	7/SN+억/NR+원/NNB+짜리/XSN
아파트에	아파트/NNG+에/JKB
사는	살/VV+는/ETM
60살	60/SN+살/NNB
남성이	남성/NNG+이/JKS
4억원짜리	4/SN+억/NR+원/NNB+짜리/XSN
아파트로	아파트/NNG+로/JKB
옮기고	옮기/VV+고/EC
3억원을	3/SN+억/NR+원/NNB+을/JKO
일시납	일시납/NNG
즉시연금에	즉시/NNG+연금/NNG+에/JKB
넣으면	넣/VV+으면/EC
다음달부터	다음/NNG+달/NNG+부터/JX
134만원을	134/SN+만/NR+원/NNB+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.46.8.6
집을 담보로 맡기고 생활비를 연금으로 받는 ‘역모기지론’도 대안이 될 수 있다.

집을	집/NNG+을/JKO
담보로	담보/NNG+로/JKB
맡기고	맡기/VV+고/EC
생활비를	생활비/NNG+를/JKO
연금으로	연금/NNG+으로/JKB
받는	받/VV+는/ETM
‘역모기지론’도	‘/SS+역모기지/NNG+론/XSN+’/SS+도/JX
대안이	대안/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.46.9.1
시(C)는 ‘사회적 고립을 피할 커뮤니티’(Community)를 찾으라는 원칙이다.

시(C)는	시/NNG+(/SS+C/SL+)/SS+는/JX
‘사회적	‘/SS+사회/NNG+적/XSN
고립을	고립/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
커뮤니티’(Community)를	커뮤니티/NNG+’/SS+(/SS+Community/SL+)/SS+를/JKO
찾으라는	찾/VV+으라는/ETM
원칙이다.	원칙/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.46.9.2
나이가 들면 외부활동이 줄고 사회적으로 점차 소외된다.

나이가	나이/NNG+가/JKS
들면	들/VV+면/EC
외부활동이	외부/NNG+활동/NNG+이/JKS
줄고	줄/VV+고/EC
사회적으로	사회/NNG+적/XSN+으로/JKB
점차	점차/MAG
소외된다.	소외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.46.9.3
따라서 다른 사람들과 어울릴 수 있는 지역에 주거를 마련해야 한다.

따라서	따라서/MAJ
다른	다른/MMD
사람들과	사람/NNG+들/XSN+과/JKB
어울릴	어울리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지역에	지역/NNG+에/JKB
주거를	주거/NNG+를/JKO
마련해야	마련/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.46.9.4
몸이 불편할 때를 생각해 대중교통과 의료 혜택에 대한 접근성도 고려해야 한다고 보고서는 조언했다.

몸이	몸/NNG+이/JKS
불편할	불편/NNG+하/XSA+ㄹ/ETM
때를	때/NNG+를/JKO
생각해	생각/NNG+하/XSV+아/EC
대중교통과	대중교통/NNG+과/JC
의료	의료/NNG
혜택에	혜택/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
접근성도	접근/NNG+성/XSN+도/JX
고려해야	고려/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
보고서는	보고서/NNG+는/JX
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


