# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.433
metadata : {}


# id : NWRW1800000024.433.1.1
##온/7면/진실화해위도 보수화되나

##온/7면/진실화해위도	#/SW+#/SW+온/NNG+//SP+7/SN+면/NNG+//SP+진실/NNG+화해위/NNG+도/JX
보수화되나	보수/NNG+화/XSN+되/XSV+나/EF
상임위원을,	상임/NNG+위원/NNG+을/JKO+,/SP
김동춘	김동춘/NNP
상임위원	상임/NNG+위원/NNG
김용직	김용직/NNP
교수를	교수/NNG+를/JKO
임명하기로	임명/NNG+하/XSV+기/ETN+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.433.3.2
2005년 한나라당 지명을 받은 이영조 상임위원(경희대 국제대학원 교수)은 그동안 항일독립운동 등의 진실을 규명하는 민족독립규명위원회를 맡아왔다.

2005년	2005/SN+년/NNB
한나라당	한나라당/NNP
지명을	지명/NNG+을/JKO
받은	받/VV+은/ETM
이영조	이영조/NNP
상임위원(경희대	상임/NNG+위원/NNG+(/SS+경희대/NNP
국제대학원	국제/NNG+대학원/NNG
교수)은	교수/NNG+)/SS+은/JX
그동안	그동안/NNG
항일독립운동	항일/NNG+독립운동/NNG
등의	등/NNB+의/JKG
진실을	진실/NNG+을/JKO
규명하는	규명/NNG+하/XSV+는/ETM
민족독립규명위원회를	민족/NNG+독립/NNG+규명/NNG+위원회/NNG+를/JKO
맡아왔다.	맡/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.433.3.3
김용직 교수는 김동춘 상임위원이 담당해온, 한국전쟁기 민간인 집단 학살 문제를 다루는 집단희생규명위원회를 맡을 것으로 전해졌다.

김용직	김용직/NNP
교수는	교수/NNG+는/JX
김동춘	김동춘/NNP
상임위원이	상임/NNG+위원/NNG+이/JKS
담당해온,	담당/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM+,/SP
한국전쟁기	한국/NNP+전쟁기/NNG
민간인	민간인/NNG
집단	집단/NNG
학살	학살/NNG
문제를	문제/NNG+를/JKO
다루는	다루/VV+는/ETM
집단희생규명위원회를	집단/NNG+희생/NNG+규명/NNG+위원회/NNG+를/JKO
맡을	맡/VV+을/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.433.4.1
이 상임위원은 보수 성향인 ‘바른사회를 위한 시민회의’에서 사무총장을, 김 교수는 뉴라이트 학자들로 구성된 ‘뉴라이트 싱크넷’에서 상임집행위원을 맡은 바 있다.

이	이/NNP
상임위원은	상임/NNG+위원/NNG+은/JX
보수	보수/NNG
성향인	성향/NNG+이/VCP+ㄴ/ETM
‘바른사회를	‘/SS+바르/VA+ㄴ/ETM+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
시민회의’에서	시민/NNG+회의/NNG+’/SS+에서/JKB
사무총장을,	사무총장/NNG+을/JKO+,/SP
김	김/NNP
교수는	교수/NNG+는/JX
뉴라이트	뉴라이트/NNG
학자들로	학자/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘뉴라이트	‘/SS+뉴라이트/NNG
싱크넷’에서	싱크넷/NNG+’/SS+에서/JKB
상임집행위원을	상임/NNG+집행/NNG+위원/NNG+을/JKO
맡은	맡/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.433.4.2
또 김 교수는 역사교과서 논란을 불러일으킨 <대안교과서 한국 근·현대사>의 저자로 참여했으며, 지난 5월 열린 촛불집회 토론회에서는 “남한의 친북주의자들이 촛불집회에 집결해 이명박 정부를 강타하기 위해 온갖 수단을 총동원해 군중을 선동했다”고 주장해 논란을 낳기도 했다.

또	또/MAG
김	김/NNP
교수는	교수/NNG+는/JX
역사교과서	역사/NNG+교과서/NNG
논란을	논란/NNG+을/JKO
불러일으킨	불러일으키/VV+ㄴ/ETM
<대안교과서	</SS+대안/NNG+교과서/NNG
한국	한국/NNP
근·현대사>의	근·현대사/NNG+>/SS+의/JKG
저자로	저자/NNG+로/JKB
참여했으며,	참여/NNG+하/XSV+았/EP+으며/EC+,/SP
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
열린	열리/VV+ㄴ/ETM
촛불집회	촛불/NNG+집회/NNG
토론회에서는	토론회/NNG+에서/JKB+는/JX
“남한의	“/SS+남한/NNP+의/JKG
친북주의자들이	친북/NNG+주의자/NNG+들/XSN+이/JKS
촛불집회에	촛불/NNG+집회/NNG+에/JKB
집결해	집결/NNG+하/XSV+아/EC
이명박	이명박/NNP
정부를	정부/NNG+를/JKO
강타하기	강타/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
온갖	온갖/MMN
수단을	수단/NNG+을/JKO
총동원해	총동원/NNG+하/XSV+아/EC
군중을	군중/NNG+을/JKO
선동했다”고	선동/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장해	주장/NNG+하/XSV+아/EC
낳기도	낳/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.433.5.1
두 사람의 내정 소식에 대해, 포럼 ‘진실과 정의’의 서우영 사무국장은 “한국전쟁기 민간인 학살과 역대 정부의 인권침해 문제를 주로 다뤄온 진실화해위의 성격이 달라질 가능성이 크다”며 “진실화해위에 대한 기대를 접어야 할지 모른다”고 우려했다.

두	두/MMN
사람의	사람/NNG+의/JKG
내정	내정/NNG
소식에	소식/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
포럼	포럼/NNG
‘진실과	‘/SS+진실/NNG+과/JC
정의’의	정의/NNG+’/SS+의/JKG
서우영	서우영/NNP
사무국장은	사무국장/NNG+은/JX
“한국전쟁기	“/SS+한국/NNP+전쟁기/NNG
민간인	민간인/NNG
학살과	학살/NNG+과/JC
역대	역대/NNG
정부의	정부/NNG+의/JKG
인권침해	인권/NNG+침해/NNG
문제를	문제/NNG+를/JKO
주로	주로/MAG
다뤄온	다루/VV+어/EC+오/VX+ㄴ/ETM
진실화해위의	진실/NNG+화해위/NNG+의/JKG
성격이	성격/NNG+이/JKS
달라질	달라지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
“진실화해위에	“/SS+진실/NNG+화해위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대를	기대/NNG+를/JKO
접어야	접/VV+어야/EC
할지	하/VX+ㄹ지/EF
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


