# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.57
metadata : {}


# id : NWRW1800000033.57.1.1
서비스업 中企적합업종 선정 한달 연기

서비스업	서비스업/NNG
동반성장위는	동반/NNG+성장위/NNG+는/JX
향후	향후/NNG
한	한/MMN
달	달/NNB
동안	동안/NNG
SPC,	SPC/SL+,/SP
뚜레쥬르와	뚜레쥬르/NNP+와/JC
대한제과협회	대한제과협회/NNP
등	등/NNB
제과업계가	제과업/NNG+계/XSN+가/JKS
합의할	합의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
중재안을	중재안/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
데	데/NNB
최선을	최선/NNG+을/JKO
다한다는	다/MAG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.57.6.2
제과업과 함께 중소기업적합업종 신청이 들어온 요식업도 50만 개가 넘는 업체들이 단일안을 내지 못하는 바람에 동반성장위는 지정 여부를 연기했다.

제과업과	제과업/NNG+과/JKB
함께	함께/MAG
중소기업적합업종	중소기업/NNG+적합/NNG+업종/NNG
신청이	신청/NNG+이/JKS
들어온	들어오/VV+ㄴ/ETM
요식업도	요식업/NNG+도/JX
50만	50/SN+만/NR
개가	개/NNB+가/JKS
넘는	넘/VV+는/ETM
업체들이	업체/NNG+들/XSN+이/JKS
단일안을	단일안/NNG+을/JKO
내지	내/VV+지/EC
못하는	못하/VX+는/ETM
바람에	바람/NNB+에/JKB
동반성장위는	동반/NNG+성장위/NNG+는/JX
지정	지정/NNG
여부를	여부/NNG+를/JKO
연기했다.	연기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.57.7.1
이에 대해 중소기업중앙회는 “동반위의 결정 연기는 올해 안에 일부라도 반드시 적합업종을 지정하겠다는 약속을 어긴 것”이라며 “소상공인의 어려움을 헤아리지 못했다”고 유감을 표시했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
중소기업중앙회는	중소기업/NNG+중앙회/NNG+는/JX
“동반위의	“/SS+동반위/NNG+의/JKG
결정	결정/NNG
연기는	연기/NNG+는/JX
올해	올해/NNG
안에	안/NNG+에/JKB
일부라도	일부/NNG+이/VCP+라도/EC
반드시	반드시/MAG
적합업종을	적합/NNG+업종/NNG+을/JKO
지정하겠다는	지정/NNG+하/XSV+겠/EP+다는/ETM
약속을	약속/NNG+을/JKO
어긴	어기/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“소상공인의	“/SS+소/XPN+상공인/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
헤아리지	헤아리/VV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
유감을	유감/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.57.8.1
동반성장위는 또 이날 회의에서 동반성장지수 산정 대상 대기업을 현재 74개에서 내년에는 100개로 늘리기로 했다.

동반성장위는	동반/NNG+성장위/NNG+는/JX
또	또/MAG
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
동반성장지수	동반/NNG+성장/NNG+지수/NNG
산정	산정/NNG
대상	대상/NNG
대기업을	대/XPN+기업/NNG+을/JKO
현재	현재/MAG
74개에서	74/SN+개/NNB+에서/JKB
내년에는	내년/NNG+에/JKB+는/JX
100개로	100/SN+개/NNB+로/JKB
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.57.8.2
특히 산업 및 업종 선도기업이라면 상호출자제한기업 외 대기업도 포함한다는 방침이다.

특히	특히/MAG
산업	산업/NNG
및	및/MAG
업종	업종/NNG
선도기업이라면	선도/NNG+기업/NNG+이/VCP+라면/EC
상호출자제한기업	상호/NNG+출자/NNG+제한/NNG+기업/NNG
외	외/NNB
대기업도	대/XPN+기업/NNG+도/JX
포함한다는	포함/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.57.8.3
유 위원장은 “산업 전반에 영향력이 큰 금융, 의료, 비제조업으로도 동반성장의 외연을 확대하겠다”고 말했다.

유	유/NNP
위원장은	위원장/NNG+은/JX
“산업	“/SS+산업/NNG
전반에	전반/NNG+에/JKB
영향력이	영향력/NNG+이/JKS
큰	크/VA+ㄴ/ETM
금융,	금융/NNG+,/SP
의료,	의료/NNG+,/SP
비제조업으로도	비/XPN+제조업/NNG+으로/JKB+도/JX
동반성장의	동반/NNG+성장/NNG+의/JKG
외연을	외연/NNG+을/JKO
확대하겠다”고	확대/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.57.9.1
한편 이날 중소기업청은 개인용 컴퓨터(PC) 등 202개 제품을 내년부터 적용되는 중소기업자 간 경쟁제품으로 지정했다.

한편	한편/MAG
이날	이날/NNG
중소기업청은	중소기업청/NNG+은/JX
개인용	개인/NNG+용/XSN
컴퓨터(PC)	컴퓨터/NNG+(/SS+PC/SL+)/SS
등	등/NNB
202개	202/SN+개/NNB
제품을	제품/NNG+을/JKO
내년부터	내년/NNG+부터/JX
적용되는	적용/NNG+되/XSV+는/ETM
중소기업자	중소기업자/NNG
간	간/NNB
경쟁제품으로	경쟁/NNG+제품/NNG+으로/JKB
지정했다.	지정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.57.9.2
이렇게 되면 대기업의 공공시장 납품이 3년간 원칙적으로 제한된다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
대기업의	대/XPN+기업/NNG+의/JKG
공공시장	공공/NNG+시장/NNG
납품이	납품/NNG+이/JKS
3년간	3/SN+년/NNB+간/XSN
원칙적으로	원칙/NNG+적/XSN+으로/JKB
제한된다.	제한/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.57.10.1
기존 193개 제품 중 학생복, 프라이팬, 단추 등 9개 제품이 제외됐고 PC, 재활용 토너 카트리지, 상업용 오븐 등이 새로 지정됐다.

기존	기존/NNG
193개	193/SN+개/NNB
제품	제품/NNG
중	중/NNB
학생복,	학생복/NNG+,/SP
프라이팬,	프라이팬/NNG+,/SP
단추	단추/NNG
등	등/NNB
9개	9/SN+개/NNB
제품이	제품/NNG+이/JKS
제외됐고	제외/NNG+되/XSV+었/EP+고/EC
PC,	PC/SL+,/SP
재활용	재/XPN+활용/NNG
토너	토너/NNG
카트리지,	카트리지/NNG+,/SP
상업용	상업/NNG+용/XSN
오븐	오븐/NNG
등이	등/NNB+이/JKS
새로	새로/MAG
지정됐다.	지정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.57.11.1
발광다이오드(LED) 조명 분야는 동반성장위에서 대기업이 즉시 철수하기로 조정한 점을 반영해 내년부터 대기업의 공공조달시장 참여가 전면 제한된다.

발광다이오드(LED)	발광/NNG+다이오드/NNG+(/SS+LED/SL+)/SS
조명	조명/NNG
분야는	분야/NNG+는/JX
동반성장위에서	동반/NNG+성장위/NNG+에서/JKB
대기업이	대/XPN+기업/NNG+이/JKS
즉시	즉시/MAG
철수하기로	철수/NNG+하/XSV+기/ETN+로/JKB
조정한	조정/NNG+하/XSV+ㄴ/ETM
점을	점/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
내년부터	내년/NNG+부터/JX
대기업의	대/XPN+기업/NNG+의/JKG
공공조달시장	공공/NNG+조달/NNG+시장/NNG
참여가	참여/NNG+가/JKS
전면	전면/NNG
제한된다.	제한/NNG+되/XSV+ㄴ다/EF+./SF


