# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.170
metadata : {}


# id : NWRW1800000033.170.1.1
배구 스카우트 비리… 프로감독 등 10명 연루

배구	배구/NNG
소환이	소환/NNG+이/JKS
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.170.6.1
이번 수사는 감사원 감사 결과와는 별도로 감독들이 농구 및 배구연맹 기금을 스카우트비로 전용하거나 개인적으로 유용했다는 첩보를 검찰이 입수한 것에서 시작됐다.

이번	이번/NNG
수사는	수사/NNG+는/JX
감사원	감사원/NNG
감사	감사/NNG
결과와는	결과/NNG+와/JKB+는/JX
별도로	별도/NNG+로/JKB
감독들이	감독/NNG+들/XSN+이/JKS
농구	농구/NNG
및	및/MAG
배구연맹	배구/NNG+연맹/NNG
기금을	기금/NNG+을/JKO
스카우트비로	스카우트비/NNG+로/JKB
전용하거나	전용/NNG+하/XSV+거나/EC
개인적으로	개인/NNG+적/XSN+으로/JKB
유용했다는	유용/NNG+하/XSA+았/EP+다는/ETM
첩보를	첩보/NNG+를/JKO
검찰이	검찰/NNG+이/JKS
입수한	입수/NNG+하/XSV+ㄴ/ETM
것에서	것/NNB+에서/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.170.6.2
검찰은 이들이 고교 배구팀 감독 또는 배구연맹 직을 맡고 있는 과정에서 유망주들을 영입하고자 하는 대학 및 배구팀 관계자들에게 유망 선수 영입에 도움을 주고 그 대가로 금품을 수수한 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
이들이	이/NP+들/XSN+이/JKS
고교	고교/NNG
배구팀	배구/NNG+팀/NNG
감독	감독/NNG
또는	또는/MAG
배구연맹	배구/NNG+연맹/NNG
직을	직/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
과정에서	과정/NNG+에서/JKB
유망주들을	유망주/NNG+들/XSN+을/JKO
영입하고자	영입/NNG+하/XSV+고자/EC
하는	하/VX+는/ETM
대학	대학/NNG
및	및/MAG
관계자들에게	관계자/NNG+들/XSN+에게/JKB
유망	유망/NNG
선수	선수/NNG
영입에	영입/NNG+에/JKB
도움을	도움/NNG+을/JKO
주고	주/VV+고/EC
그	그/MMD
대가로	대가/NNG+로/JKB
금품을	금품/NNG+을/JKO
수수한	수수/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.170.6.3
사전 스카우트는 2000년 이후 전면 금지됐으나 거액의 뒷돈이 오가며 은밀하게 진행됐다는 것이 배구계 관계자들의 증언이다.

사전	사전/NNG
스카우트는	스카우트/NNG+는/JX
2000년	2000/SN+년/NNB
이후	이후/NNG
전면	전면/NNG
금지됐으나	금지/NNG+되/XSV+었/EP+으나/EC
거액의	거액/NNG+의/JKG
뒷돈이	뒷돈/NNG+이/JKS
오가며	오가/VV+며/EC
은밀하게	은밀하/VA+게/EC
진행됐다는	진행/NNG+되/XSV+었/EP+다는/ETM
것이	것/NNB+이/JKS
배구계	배구/NNG+계/XSN
관계자들의	관계자/NNG+들/XSN+의/JKG
증언이다.	증언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.170.7.1
검찰은 스포츠계의 고질적인 비리인 유명 선수 스카우트를 둘러싼 금품 수수 관행을 확인함에 따라 관계자 진술과 계좌 추적 등을 토대로 농구 및 배구계 전반으로 수사를 확대할 방침이다.

검찰은	검찰/NNG+은/JX
스포츠계의	스포츠/NNG+계/XSN+의/JKG
고질적인	고질/NNG+적/XSN+이/VCP+ㄴ/ETM
비리인	비리/NNG+이/VCP+ㄴ/ETM
유명	유명/NNG
선수	선수/NNG
스카우트를	스카우트/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
금품	금품/NNG
수수	수수/NNG
관행을	관행/NNG+을/JKO
확인함에	확인/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
관계자	관계자/NNG
진술과	진술/NNG+과/JC
계좌	계좌/NNG
추적	추적/NNG
등을	등/NNB+을/JKO
토대로	토대/NNG+로/JKB
농구	농구/NNG
및	및/MAG
배구계	배구/NNG+계/XSN
전반으로	전반/NNG+으로/JKB
수사를	수사/NNG+를/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.170.7.2
이에 앞서 검찰은 유명 프로농구팀 현역 감독 김모 씨를 포함해 대학농구 1부 리그 12개 팀 가운데 10개 학교 감독 및 관계자들을 조사한 상태다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
검찰은	검찰/NNG+은/JX
유명	유명/NNG
프로농구팀	프로/NNG+농구/NNG+팀/NNG
현역	현역/NNG
감독	감독/NNG
김모	김/NNP+모/NP
씨를	씨/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
대학농구	대학/NNG+농구/NNG
1부	1/SN+부/NNB
리그	리그/NNG
12개	12/SN+개/NNB
팀	팀/NNG
가운데	가운데/NNG
10개	10/SN+개/NNB
학교	학교/NNG
및	및/MAG
관계자들을	관계자/NNG+들/XSN+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.170.8.1
감사원은 올 2월 1일 수도권 9개 대학을 감사한 결과 지난 5년 동안 5개 종목 72명의 선수를 사전 선발해 29억 원을 썼다고 발표한 바 있다.

감사원은	감사원/NNG+은/JX
올	올/NNG
2월	2/SN+월/NNB
1일	1/SN+일/NNB
수도권	수도/NNG+권/XSN
9개	9/SN+개/NNB
대학을	대학/NNG+을/JKO
감사한	감사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
지난	지나/VV+ㄴ/ETM
5년	5/SN+년/NNB
동안	동안/NNG
5개	5/SN+개/NNB
종목	종목/NNG
72명의	72/SN+명/NNB+의/JKG
선수를	선수/NNG+를/JKO
사전	사전/NNG
선발해	선발/NNG+하/XSV+아/EC
29억	29/SN+억/NR
원을	원/NNB+을/JKO
썼다고	쓰/VV+었/EP+다고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


