# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.37
metadata : {}


# id : NWRW1800000024.37.1.1
경찰진압 ‘내부수칙’(집회·시위 현장 법집행 매뉴얼)도 안지켰다

경찰진압	경찰/NNG+진압/NNG
‘거의	‘/SS+거의/MAG
소모된	소모/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
검거작전을	검거/NNG+작전/NNG+을/JKO
펴도록’	펴/VV+도록/EC+’/SS
규정돼	규정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.37.2.4
자칫 성급한 진압작전을 펼치다 인명 사고로 이어질 수 있기 때문에 조심스런 대응을 강조한 것이다.

자칫	자칫/MAG
성급한	성급하/VA+ㄴ/ETM
진압작전을	진압/NNG+작전/NNG+을/JKO
펼치다	펼치/VV+다/EC
인명	인명/NNG
사고로	사고/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
조심스런	조심/NNG+스럽/XSA+ㄴ/ETM
대응을	대응/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.37.2.5
그러나 용산 철거민 농성의 경우 경찰은 철거민 농성자들이 화염병을 마구 던지는 상황에서 경찰특공대를 옥상에 투입해 강제해산에 나섰다.

그러나	그러나/MAJ
용산	용산/NNP
철거민	철거민/NNG
농성의	농성/NNG+의/JKG
경우	경우/NNG
경찰은	경찰/NNG+은/JX
농성자들이	농성자/NNG+들/XSN+이/JKS
화염병을	화염병/NNG+을/JKO
마구	마구/MAG
던지는	던지/VV+는/ETM
상황에서	상황/NNG+에서/JKB
경찰특공대를	경찰/NNG+특공대/NNG+를/JKO
옥상에	옥상/NNG+에/JKB
투입해	투입/NNG+하/XSV+아/EC
강제해산에	강제/NNG+해산/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.37.3.1
전문가들은 위험물질을 가득 쌓아놓고 강력 대응을 예고한 이들을 농성 초기에 진압할 경우 물리적 충돌이 격화될 수밖에 없다고 지적했다.

전문가들은	전문가/NNG+들/XSN+은/JX
위험물질을	위험/NNG+물질/NNG+을/JKO
가득	가득/MAG
쌓아놓고	쌓/VV+아/EC+놓/VX+고/EC
강력	강력/NNG
대응을	대응/NNG+을/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
이들을	이/NNB+들/XSN+을/JKO
농성	농성/NNG
초기에	초기/NNG+에/JKB
진압할	진압/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
물리적	물리/NNG+적/XSN
충돌이	충돌/NNG+이/JKS
격화될	격화/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다고	없/VA+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.3.2
한 전직 경찰관은 “농성 시위대는 이미 외부에서 일체 물품을 공급받지 못하도록 고립된 상태였다”며 “시너와 화염병 등 치명적 무기가 떨어지거나 체력적으로 지칠 때까지 기다리는 작전을 고민했어야 한다”고 말했다.

한	한/MMN
전직	전직/NNG
경찰관은	경찰관/NNG+은/JX
“농성	“/SS+농성/NNG
시위대는	시위대/NNG+는/JX
이미	이미/MAG
외부에서	외부/NNG+에서/JKB
일체	일체/MAG
물품을	물품/NNG+을/JKO
공급받지	공급/NNG+받/XSV+지/EC
못하도록	못하/VX+도록/EC
고립된	고립/NNG+되/XSV+ㄴ/ETM
상태였다”며	상태/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“시너와	“/SS+시너/NNG+와/JC
화염병	화염병/NNG
등	등/NNB
치명적	치명/NNG+적/XSN
무기가	무기/NNG+가/JKS
떨어지거나	떨어지/VV+거나/EC
체력적으로	체력/NNG+적/XSN+으로/JKB
지칠	지치/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
기다리는	기다리/VV+는/ETM
작전을	작전/NNG+을/JKO
고민했어야	고민/NNG+하/XSV+았/EP+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.1
자진해산을 유도하려는 노력도 부족했다.

자진해산을	자진/NNG+해산/NNG+을/JKO
유도하려는	유도/NNG+하/XSV+려는/ETM
노력도	노력/NNG+도/JX
부족했다.	부족/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.2
매뉴얼은 ‘농성의 위험성을 지속적으로 경고하고, 자진 하강토록 설득’하게 돼 있다.

매뉴얼은	매뉴얼/NNG+은/JX
‘농성의	‘/SS+농성/NNG+의/JKG
위험성을	위험/NNG+성/XSN+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
경고하고,	경고/NNG+하/XSV+고/EC+,/SP
자진	자진/NNG
하강토록	하강/NNG+하/XSV+도록/EC
설득’하게	설득/NNG+’/SS+하/VV+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.37.4.3
하지만 경찰은 농성 시작 불과 25시간 만에 강제진압을 선택했다.

하지만	하지만/MAJ
경찰은	경찰/NNG+은/JX
농성	농성/NNG
시작	시작/NNG
불과	불과/MAG
25시간	25/SN+시간/NNB
만에	만/NNB+에/JKB
강제진압을	강제/NNG+진압/NNG+을/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.4
이런 신속한 작전은 과거 점거농성 사례와 견줘 봐도 이례적이다.

이런	이런/MMD
신속한	신속/NNG+하/XSA+ㄴ/ETM
작전은	작전/NNG+은/JX
과거	과거/NNG
점거농성	점거/NNG+농성/NNG
사례와	사례/NNG+와/JKB
견줘	견주/VV+어/EC
봐도	보/VV+아도/EC
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.37.4.5
지난 2005년 경기 오산 세교택지개발지구의 철거민 30여명은 5층 건물 옥상을 점거한 채 ‘망루 농성’을 벌였다.

지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
경기	경기/NNP
오산	오산/NNP
세교택지개발지구의	세교택지개발지구/NNP+의/JKG
철거민	철거민/NNG
30여명은	30/SN+여/XSN+명/NNB+은/JX
5층	5/SN+층/NNG
건물	건물/NNG
옥상을	옥상/NNG+을/JKO
점거한	점거/NNG+하/XSV+ㄴ/ETM
채	채/NNB
‘망루	‘/SS+망루/NNG
농성’을	농성/NNG+’/SS+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.37.4.6
용산 농성과 매우 비슷한 상황이었지만 당시 경찰은 두달여 동안 위험물질이 소진되고 농성자들이 지치기를 기다렸다.

용산	용산/NNP
농성과	농성/NNG+과/JKB
매우	매우/MAG
비슷한	비슷하/VA+ㄴ/ETM
상황이었지만	상황/NNG+이/VCP+었/EP+지만/EC
당시	당시/NNG
경찰은	경찰/NNG+은/JX
두달여	두/MMN+달/NNB+여/XSN
동안	동안/NNG
위험물질이	위험/NNG+물질/NNG+이/JKS
소진되고	소진/NNG+되/XSV+고/EC
농성자들이	농성자/NNG+들/XSN+이/JKS
지치기를	지치/VV+기/ETN+를/JKO
기다렸다.	기다리/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.37.4.7
당시 화성경찰서장은 “탐색전을 하며 위험물이 고갈되기를 기다렸다가 작전을 개시해 별다른 인명 피해 없이 농성을 진압했다”고 말했다.

당시	당시/NNG
화성경찰서장은	화성/NNP+경찰서장/NNG+은/JX
“탐색전을	“/SS+탐색전/NNG+을/JKO
하며	하/VV+며/EC
위험물이	위험물/NNG+이/JKS
고갈되기를	고갈/NNG+되/XSV+기/ETN+를/JKO
기다렸다가	기다리/VV+었/EP+다가/EC
작전을	작전/NNG+을/JKO
개시해	개시/NNG+하/XSV+아/EC
별다른	별다르/VA+ㄴ/ETM
인명	인명/NNG
피해	피해/NNG
없이	없이/MAG
농성을	농성/NNG+을/JKO
진압했다”고	진압/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.8
이성길 대전중부대 교수(경찰법학부)는 “농성 시작 불과 하루 만에 물리적 진압에 나섰으니 농성자들을 더 흥분시켜 강력한 맞대응을 부를 수밖에 없다”고 말했다.

이성길	이성길/NNP
대전중부대	대전중부대/NNP
교수(경찰법학부)는	교수/NNG+(/SS+경찰/NNG+법학부/NNG+)/SS+는/JX
“농성	“/SS+농성/NNG
시작	시작/NNG
불과	불과/MAG
하루	하루/NNG
만에	만/NNB+에/JKB
물리적	물리/NNG+적/XSN
진압에	진압/NNG+에/JKB
나섰으니	나서/VV+었/EP+으니/EC
농성자들을	농성자/NNG+들/XSN+을/JKO
더	더/MAG
흥분시켜	흥분/NNG+시키/XSV+어/EC
강력한	강력/NNG+하/XSA+ㄴ/ETM
맞대응을	맞대응/NNG+을/JKO
부를	부르/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.9
성급한 작전으로 경찰이 망루의 내부 구조 등 작전에 필요한 사전 정보를 제대로 파악했는지도 의문이라는 지적도 나온다.

성급한	성급하/VA+ㄴ/ETM
작전으로	작전/NNG+으로/JKB
경찰이	경찰/NNG+이/JKS
망루의	망루/NNG+의/JKG
내부	내부/NNG
구조	구조/NNG
등	등/NNB
작전에	작전/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
사전	사전/NNG
정보를	정보/NNG+를/JKO
제대로	제대로/MAG
파악했는지도	파악/NNG+하/XSV+았/EP+는지/EF+도/JX
의문이라는	의문/NNG+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.37.4.10
이상원 용인대 교수(경찰행정학)는 “경찰이 사전 정보를 제대로 챙기지 못했거나 정보 분석에 문제가 있었던 것으로 보인다”고 말했다.

이상원	이상원/NNP
용인대	용인대/NNP
교수(경찰행정학)는	교수/NNG+(/SS+경찰/NNG+행정학/NNG+)/SS+는/JX
“경찰이	“/SS+경찰/NNG+이/JKS
사전	사전/NNG
정보를	정보/NNG+를/JKO
제대로	제대로/MAG
챙기지	챙기/VV+지/EC
못했거나	못하/VX+았/EP+거나/EC
정보	정보/NNG
분석에	분석/NNG+에/JKB
문제가	문제/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.11
경찰의 용산 농성장 진압은 인화물질이 잔뜩 쌓인 5층 건물 옥상이 대상이었다.

경찰의	경찰/NNG+의/JKG
용산	용산/NNP
농성장	농성장/NNG
진압은	진압/NNG+은/JX
인화물질이	인화/NNG+물질/NNG+이/JKS
잔뜩	잔뜩/MAG
쌓인	쌓이/VV+ㄴ/ETM
5층	5/SN+층/NNG
건물	건물/NNG
옥상이	옥상/NNG+이/JKS
대상이었다.	대상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.37.4.12
경찰 매뉴얼의 ‘고공시위·농성’ 대처 요령을 보면, ‘추락 등 안전사고에 대비해 낙하 적정 지점에 안전매트, 안전그물 등을 신속하게 설치’하도록 규정하고 있다.

경찰	경찰/NNG
매뉴얼의	매뉴얼/NNG+의/JKG
‘고공시위·농성’	‘/SS+고공/NNG+시위/NNG+·/SP+농성/NNG+’/SS
대처	대처/NNG
요령을	요령/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
‘추락	‘/SS+추락/NNG
등	등/NNB
안전사고에	안전사고/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
낙하	낙하/NNG
적정	적정/NNG
지점에	지점/NNG+에/JKB
안전매트,	안전/NNG+매트/NNG+,/SP
안전그물	안전그물/NNG
등을	등/NNB+을/JKO
신속하게	신속/NNG+하/XSA+게/EC
설치’하도록	설치/NNG+’/SS+하/VV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.37.4.13
그러나 경찰이 이번 작전 때 인명피해에 대비해 준비한 안전장비는 턱없이 부족했다.

그러나	그러나/MAJ
경찰이	경찰/NNG+이/JKS
이번	이번/NNG
작전	작전/NNG
때	때/NNG
인명피해에	인명/NNG+피해/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
준비한	준비/NNG+하/XSV+ㄴ/ETM
안전장비는	안전/NNG+장비/NNG+는/JX
턱없이	턱없이/MAG
부족했다.	부족/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.14
추락에 대비해 바닥에 설치하는 에어매트는 3개에 지나지 않았다.

추락에	추락/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
바닥에	바닥/NNG+에/JKB
설치하는	설치/NNG+하/XSV+는/ETM
에어매트는	에어/NNG+매트/NNG+는/JX
3개에	3/SN+개/NNB+에/JKB
지나지	지나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.15
유류 화재 진압에 꼭 필요한 화학소방차는 아예 현장에 배치조차 하지 않았다.

유류	유류/NNG
화재	화재/NNG
진압에	진압/NNG+에/JKB
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
화학소방차는	화학소방차/NNG+는/JX
아예	아예/MAG
현장에	현장/NNG+에/JKB
배치조차	배치/NNG+조차/JX
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.16
진압 현장을 지켜본 주민 김아무개(46)씨는 “20~30㎝ 두께의 매트리스를 실은 차가 도착했지만 깔지 않았고, 그물망은 보지도 못했다”고 말했다.

진압	진압/NNG
현장을	현장/NNG+을/JKO
지켜본	지켜보/VV+ㄴ/ETM
주민	주민/NNG
김아무개(46)씨는	김/NNP+아무개/NP+(/SS+46/SN+)/SS+씨/NNB+는/JX
“20~30㎝	“/SS+20/SN+~/SO+30/SN+㎝/SW
두께의	두께/NNG+의/JKG
매트리스를	매트리스/NNG+를/JKO
실은	싣/VV+은/ETM
차가	차/NNG+가/JKS
도착했지만	도착/NNG+하/XSV+았/EP+지만/EC
깔지	깔/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
그물망은	그물망/NNG+은/JX
보지도	보/VV+지/EC+도/JX
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.17
당시 농성 철거민 3명은 화염을 피해 옥상 난간에 매달리다 콘크리트 바닥에 떨어져 중상을 입었다.

당시	당시/NNG
농성	농성/NNG
철거민	철거민/NNG
3명은	3/SN+명/NNB+은/JX
화염을	화염/NNG+을/JKO
피해	피하/VV+아/EC
옥상	옥상/NNG
난간에	난간/NNG+에/JKB
매달리다	매달리/VV+다/EC
콘크리트	콘크리트/NNG
바닥에	바닥/NNG+에/JKB
떨어져	떨어지/VV+어/EC
중상을	중상/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.37.4.18
경찰은 “매트리스는 처음에 깔려고 시도했다가 화염병 때문에 제거했으며, 나중에 절반 정도만 깔았다”고 밝혔다.

경찰은	경찰/NNG+은/JX
“매트리스는	“/SS+매트리스/NNG+는/JX
처음에	처음/NNG+에/JKB
깔려고	깔/VV+려고/EC
시도했다가	시도/NNG+하/XSV+았/EP+다가/EC
화염병	화염병/NNG
때문에	때문/NNB+에/JKB
제거했으며,	제거/NNG+하/XSV+았/EP+으며/EC+,/SP
나중에	나중/NNG+에/JKB
절반	절반/NNG
정도만	정도/NNG+만/JX
깔았다”고	깔/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.37.4.19
경찰은 진압작전을 개시한 20일 새벽 살수차 3대와 소화전 등을 이용해 농성 건물 옥상에 집중적으로 물을 쐈다.

경찰은	경찰/NNG+은/JX
진압작전을	진압/NNG+작전/NNG+을/JKO
개시한	개시/NNG+하/XSV+ㄴ/ETM
20일	20/SN+일/NNB
새벽	새벽/NNG
살수차	살수차/NNG
3대와	3/SN+대/NNB+와/JC
소화전	소화전/NNG
등을	등/NNB+을/JKO
이용해	이용/NNG+하/XSV+아/EC
농성	농성/NNG
건물	건물/NNG
옥상에	옥상/NNG+에/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
물을	물/NNG+을/JKO
쐈다.	쏘/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.20
2시간가량 이어진 살수로 옥상 위 바닥은 경찰이 밝힌 대로 “발목까지 물이 차오를 정도로” 물바다가 됐다.

2시간가량	2/SN+시간/NNB+가량/XSN
이어진	이어지/VV+ㄴ/ETM
살수로	살수/NNG+로/JKB
옥상	옥상/NNG
위	위/NNG
바닥은	바닥/NNG+은/JX
경찰이	경찰/NNG+이/JKS
밝힌	밝히/VV+ㄴ/ETM
대로	대로/NNB
“발목까지	“/SS+발목/NNG+까지/JX
물이	물/NNG+이/JKS
차오를	차오르/VV+ㄹ/ETM
정도로”	정도/NNG+로/JKB+”/SS
물바다가	물바다/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.37.4.21
당시 농성 철거민들은 시너 1200여ℓ와 화염병을 망루 안팎에 가득 쌓아놓은 상태였다.

당시	당시/NNG
농성	농성/NNG
철거민들은	철거민/NNG+들/XSN+은/JX
시너	시너/NNG
1200여ℓ와	1200/SN+여/XSN+ℓ/SW+와/JC
화염병을	화염병/NNG+을/JKO
망루	망루/NNG
안팎에	안팎/NNG+에/JKB
가득	가득/MAG
쌓아놓은	쌓/VV+아/EC+놓/VX+은/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.37.4.22
전문가들은 ‘무차별 살수’가 화재를 순식간에 키운 주된 이유 중 하나라고 지적했다.

전문가들은	전문가/NNG+들/XSN+은/JX
‘무차별	‘/SS+무/XPN+차별/NNG
살수’가	살수/NNG+’/SS+가/JKS
화재를	화재/NNG+를/JKO
순식간에	순식/NNG+간/XSN+에/JKB
키운	키우/VV+ㄴ/ETM
주된	주/NNG+되/XSV+ㄴ/ETM
이유	이유/NNG
중	중/NNB
하나라고	하나/NR+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.23
김유식 한국국제대 교수(소방방재공학)는 “시너는 기름이어서 물을 뿌리면 물 위 표면으로 확산돼 화염이 물길을 따라 여기저기로 옮아다니게 된다”고 말했다.

김유식	김유식/NNP
한국국제대	한국국제대/NNP
교수(소방방재공학)는	교수/NNG+(/SS+소방/NNG+방재/NNG+공학/NNG+)/SS+는/JX
“시너는	“/SS+시너/NNG+는/JX
기름이어서	기름/NNG+이/VCP+어서/EC
물을	물/NNG+을/JKO
뿌리면	뿌리/VV+면/EC
물	물/NNG
위	위/NNG
표면으로	표면/NNG+으로/JKB
확산돼	확산/NNG+되/XSV+어/EC
화염이	화염/NNG+이/JKS
물길을	물길/NNG+을/JKO
따라	따르/VV+아/EC
여기저기로	여기저기/NNG+로/JKB
옮아다니게	옮/VV+아/EC+다니/VV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.4.24
서울 도봉소방서의 한 소방관은 “시너 등 유류성 물질에 의한 화재는 물이 아니라 화학약품을 써서 공기를 차단하는 식으로 불을 꺼야 한다”고 말했다.

서울	서울/NNP
도봉소방서의	도봉/NNP+소방서/NNG+의/JKG
한	한/MMN
소방관은	소방관/NNG+은/JX
“시너	“/SS+시너/NNG
등	등/NNB
유류성	유류/NNG+성/XSN
물질에	물질/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
화재는	화재/NNG+는/JX
물이	물/NNG+이/JKC
아니라	아니/VCN+라/EC
화학약품을	화학/NNG+약품/NNG+을/JKO
써서	쓰/VV+어서/EC
공기를	공기/NNG+를/JKO
차단하는	차단/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
불을	불/NNG+을/JKO
꺼야	끄/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.5.1
경찰의 ‘물대포 세례’가 참사를 부른 원인이라는 목격자 진술도 잇따르고 있다.

경찰의	경찰/NNG+의/JKG
‘물대포	‘/SS+물대포/NNG
세례’가	세례/NNG+’/SS+가/JKS
참사를	참사/NNG+를/JKO
부른	부르/VV+ㄴ/ETM
원인이라는	원인/NNG+이/VCP+라는/ETM
목격자	목격자/NNG
진술도	진술/NNG+도/JX
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.37.5.2
망루 안 농성자가 불붙은 화염병을 던지려다 물대포를 맞고 떨어뜨린 뒤 불이 번졌다는 것이다.

망루	망루/NNG
안	안/MAG
농성자가	농성자/NNG+가/JKS
불붙은	불붙/VV+은/ETM
화염병을	화염병/NNG+을/JKO
던지려다	던지/VV+려다/EC
물대포를	물대포/NNG+를/JKO
맞고	맞/VV+고/EC
떨어뜨린	떨어뜨리/VV+ㄴ/ETM
뒤	뒤/NNG
불이	불/NNG+이/JKS
번졌다는	번지/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.37.5.3
경비작전 경험이 많은 한 경찰관은 “물대포의 살수 압력이 세기 때문에 농성자들의 투척 행위를 막기 위한 용도로 자주 사용한다”고 말했다.

경비작전	경비/NNG+작전/NNG
경험이	경험/NNG+이/JKS
많은	많/VA+은/ETM
한	한/MMN
경찰관은	경찰관/NNG+은/JX
“물대포의	“/SS+물대포/NNG+의/JKG
살수	살수/NNG
압력이	압력/NNG+이/JKS
세기	세/VA+기/ETN
때문에	때문/NNB+에/JKB
농성자들의	농성자/NNG+들/XSN+의/JKG
투척	투척/NNG
행위를	행위/NNG+를/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
용도로	용도/NNG+로/JKB
자주	자주/MAG
사용한다”고	사용/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


