# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.172
metadata : {}


# id : NWRW1800000054.172.1.1
180억 기부했는데 세금 폭탄… '7년 억울함' 풀릴까

180억	180/SN+억/NR
황씨는 2003년 자신이 보유한 수원교차로 주식 지분 90%(당시 평가액 180억원)와 현금 15억원을 기부했다.

황씨는	황/NNP+씨/NNB+는/JX
2003년	2003/SN+년/NNB
자신이	자신/NNG+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
수원교차로	수원교차로/NNP
주식	주식/NNG
지분	지분/NNG
90%(당시	90/SN+%/SW+(/SS+당시/NNG
평가액	평가액/NNG
180억원)와	180/SN+억/NR+원/NNB+)/SS+와/JC
현금	현금/NNG
15억원을	15/SN+억/NR+원/NNB+을/JKO
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.172.4.3
아주대는 '구원장학재단'을 세웠고 이후 6년간 730명 넘는 학생들에게 장학금이 전달됐다.

아주대는	아주대/NNP+는/JX
'구원장학재단'을	'/SS+구원장학재단/NNP+'/SS+을/JKO
세웠고	세우/VV+었/EP+고/EC
이후	이후/NNG
6년간	6/SN+년/NNB+간/XSN
730명	730/SN+명/NNB
넘는	넘/VV+는/ETM
학생들에게	학생/NNG+들/XSN+에게/JKB
장학금이	장학금/NNG+이/JKS
전달됐다.	전달/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.172.5.1
수원세무서는 2008년 이 재단에 대한 세무조사를 거쳐 '상속·증여세법' 규정에 따른 조치라며 140억원의 증여세를 매겼다.

수원세무서는	수원세무서/NNP+는/JX
2008년	2008/SN+년/NNB
이	이/MMD
재단에	재단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세무조사를	세무/NNG+조사/NNG+를/JKO
거쳐	거치/VV+어/EC
'상속·증여세법'	'/SS+상속/NNG+·/SP+증여세법/NNG+'/SS
규정에	규정/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
조치라며	조치/NNG+이/VCP+라며/EC
140억원의	140/SN+억/NR+원/NNB+의/JKG
증여세를	증여세/NNG+를/JKO
매겼다.	매기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.172.5.2
당초 이 법의 해당 규정은 대기업 등의 편법 상속·증여를 막기 위해 생긴 것이고, 황씨의 기부는 장학 사업을 위한 순수한 목적에서 나왔다는 것이 분명하다는 것을 세무 당국도 알았지만 "법에 세금을 부과하도록 돼 있으니 어쩔 수 없다"는 논리였다.

당초	당초/NNG
이	이/MMD
법의	법/NNG+의/JKG
해당	해당/NNG
규정은	규정/NNG+은/JX
대기업	대/XPN+기업/NNG
등의	등/NNB+의/JKG
편법	편법/NNG
상속·증여를	상속/NNG+·/SP+증여/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
생긴	생기/VV+ㄴ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
황씨의	황/NNP+씨/NNB+의/JKG
기부는	기부/NNG+는/JX
장학	장학/NNG
사업을	사업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
순수한	순수/NNG+하/XSA+ㄴ/ETM
목적에서	목적/NNG+에서/JKB
나왔다는	나오/VV+았/EP+다는/ETM
것이	것/NNB+이/JKS
분명하다는	분명/MAG+하/XSA+다는/ETM
것을	것/NNB+을/JKO
세무	세무/NNG
당국도	당국/NNG+도/JX
알았지만	알/VV+았/EP+지만/EC
"법에	"/SS+법/NNG+에/JKB
세금을	세금/NNG+을/JKO
부과하도록	부과/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있으니	있/VX+으니/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없다"는	없/VA+다/EF+"/SS+는/ETM
논리였다.	논리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.172.5.3
이 일이 알려지면서 '기부를 막는 부당한 과세'라는 여론이 일었고, 황씨는 소송을 낸 것이다.

이	이/MMD
일이	일/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
'기부를	'/SS+기부/NNG+를/JKO
막는	막/VV+는/ETM
부당한	부당/NNG+하/XSA+ㄴ/ETM
과세'라는	과세/NNG+'/SS+이/VCP+라는/ETM
여론이	여론/NNG+이/JKS
일었고,	일/VV+었/EP+고/EC+,/SP
황씨는	황/NNP+씨/NNB+는/JX
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.172.6.1
1심과 2심의 결론은 엇갈렸다.

1심과	1심/NNG+과/JC
2심의	2심/NNG+의/JKG
결론은	결론/NNG+은/JX
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.172.6.2
1심을 맡은 수원지법은 2010년 "황씨는 재산을 빼돌리거나 편법으로 증여하려는 경우가 아닌데도 기계적으로 법을 해석해 증여세를 부과한 것은 위법"이라며 "이런 식의 과세 처분은 공익 사업의 재원 확보에 지장만 초래할 것"이라고 했다.

1심을	1심/NNG+을/JKO
맡은	맡/VV+은/ETM
수원지법은	수원지법/NNP+은/JX
2010년	2010/SN+년/NNB
"황씨는	"/SS+황/NNP+씨/NNB+는/JX
재산을	재산/NNG+을/JKO
빼돌리거나	빼돌리/VV+거나/EC
편법으로	편법/NNG+으로/JKB
증여하려는	증여/NNG+하/XSV+려는/ETM
경우가	경우/NNG+가/JKC
아닌데도	아니/VCN+ㄴ데/EC+도/JX
기계적으로	기계/NNG+적/XSN+으로/JKB
법을	법/NNG+을/JKO
해석해	해석/NNG+하/XSV+아/EC
증여세를	증여세/NNG+를/JKO
부과한	부과/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
위법"이라며	위법/NNG+"/SS+이/VCP+라며/EC
"이런	"/SS+이런/MMD
식의	식/NNB+의/JKG
과세	과세/NNG
처분은	처분/NNG+은/JX
공익	공익/NNG
사업의	사업/NNG+의/JKG
재원	재원/NNG
확보에	확보/NNG+에/JKB
지장만	지장/NNG+만/JX
초래할	초래/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.172.6.3
황씨의 손을 들어준 것이다.

황씨의	황/NNP+씨/NNB+의/JKG
손을	손/NNG+을/JKO
들어준	들/VV+어/EC+주/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.172.7.1
그러나 서울고법은 2심에서 "사안별로 예외적인 판결을 한다면 '자의적 재판'이라는 평가를 받게 된다"며 "세무서가 법에 따라 과세한 것이어서 세금을 취소할 수는 없다"며 1심을 뒤집었다.

그러나	그러나/MAJ
서울고법은	서울고법/NNP+은/JX
2심에서	2심/NNG+에서/JKB
"사안별로	"/SS+사안/NNG+별/XSN+로/JKB
예외적인	예외/NNG+적/XSN+이/VCP+ㄴ/ETM
판결을	판결/NNG+을/JKO
한다면	하/VV+ㄴ다면/EC
'자의적	'/SS+자의/NNG+적/XSN
재판'이라는	재판/NNG+'/SS+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받게	받/VV+게/EC
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"세무서가	"/SS+세무서/NNG+가/JKS
법에	법/NNG+에/JKB
따라	따르/VV+아/EC
과세한	과세/NNG+하/XSV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
세금을	세금/NNG+을/JKO
취소할	취소/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다"며	없/VA+다/EF+"/SS+며/EC
1심을	1심/NNG+을/JKO
뒤집었다.	뒤집/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.172.8.1
재판이 길어져 연체 가산세가 불어나면서 황씨가 물어야 할 세금은 225억원에 달하게 됐다.

재판이	재판/NNG+이/JKS
길어져	길어지/VV+어/EC
연체	연체/NNG
가산세가	가산세/NNG+가/JKS
불어나면서	불어나/VV+면서/EC
황씨가	황/NNP+씨/NNB+가/JKS
물어야	물/VV+어야/EC
할	하/VX+ㄹ/ETM
세금은	세금/NNG+은/JX
225억원에	225/SN+억/NR+원/NNB+에/JKB
달하게	달하/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.172.8.2
처음 기부한 액수보다 더 큰 돈을 세금으로 내야 하는 황당한 일이 벌어진 것이다.

처음	처음/NNG
기부한	기부/NNG+하/XSV+ㄴ/ETM
액수보다	액수/NNG+보다/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
돈을	돈/NNG+을/JKO
세금으로	세금/NNG+으로/JKB
내야	내/VV+어야/EC
하는	하/VX+는/ETM
황당한	황당하/VA+ㄴ/ETM
일이	일/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.172.8.3
이로 인해 황씨는 사는 아파트까지 압류당하며 졸지에 고액 세금 체납자로 몰렸다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
황씨는	황/NNP+씨/NNB+는/JX
사는	살/VV+는/ETM
아파트까지	아파트/NNG+까지/JX
압류당하며	압류/NNG+당하/XSV+며/EC
졸지에	졸지/NNG+에/JKB
고액	고액/NNG
세금	세금/NNG
체납자로	체납자/NNG+로/JKB
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.172.9.1
서울 청계천 빈민촌에서 나고 자란 황씨는 스물여섯에 대학에 들어가 프랑스에서 박사 학위를 딴 뒤 한국과학기술원(KAIST) 교수를 지냈다.

서울	서울/NNP
청계천	청계천/NNP
빈민촌에서	빈민촌/NNG+에서/JKB
나고	나/VV+고/EC
자란	자라/VV+ㄴ/ETM
황씨는	황/NNP+씨/NNB+는/JX
스물여섯에	스물여섯/NR+에/JKB
대학에	대학/NNG+에/JKB
들어가	들어가/VV+아/EC
프랑스에서	프랑스/NNP+에서/JKB
박사	박사/NNG
학위를	학위/NNG+를/JKO
딴	따/VV+ㄴ/ETM
뒤	뒤/NNG
한국과학기술원(KAIST)	한국과학기술원/NNP+(/SS+KAIST/SL+)/SS
교수를	교수/NNG+를/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.172.9.2
그는 고학하는 후배들을 돕고자 한 기부가 '세금 폭탄'으로 되돌아오자 언론 인터뷰에서 "훈장은커녕 세금 체납자라는 오명을 썼다. 몸과 마음이 다 지쳤으니 제발 판결이라도 빨리 내려달라"고 했다.

그는	그/NP+는/JX
고학하는	고학/NNG+하/XSV+는/ETM
후배들을	후배/NNG+들/XSN+을/JKO
돕고자	돕/VV+고자/EC
한	하/VX+ㄴ/ETM
기부가	기부/NNG+가/JKS
'세금	'/SS+세금/NNG
폭탄'으로	폭탄/NNG+'/SS+으로/JKB
되돌아오자	되돌아오/VV+자/EC
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"훈장은커녕	"/SS+훈장/NNG+은커녕/JX
세금	세금/NNG
체납자라는	체납자/NNG+이/VCP+라는/ETM
오명을	오명/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF
몸과	몸/NNG+과/JC
마음이	마음/NNG+이/JKS
다	다/MAG
지쳤으니	지치/VV+었/EP+으니/EC
제발	제발/MAG
판결이라도	판결/NNG+이/VCP+라도/EC
빨리	빨리/MAG
내려달라"고	내/VV+려/EC+달/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.172.10.1
이 사건을 둘러싼 법조계의 평가 가운데는 '상식'과 '부당한 입법'의 대결이라는 것이 있다.

이	이/MMD
사건을	사건/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
법조계의	법조/NNG+계/XSN+의/JKG
평가	평가/NNG
가운데는	가운데/NNG+는/JX
'상식'과	'/SS+상식/NNG+'/SS+과/JC
'부당한	'/SS+부당/NNG+하/XSA+ㄴ/ETM
입법'의	입법/NNG+'/SS+의/JKG
대결이라는	대결/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.172.10.2
한 전직 로펌 대표는 "법원이 세무서장의 손을 들어준다면 국민에게 어떻게 권리구제의 최종 보루라고 할 수 있겠는가"라고 했다.

한	한/MMN
전직	전직/NNG
로펌	로펌/NNG
대표는	대표/NNG+는/JX
"법원이	"/SS+법원/NNG+이/JKS
세무서장의	세무서장/NNG+의/JKG
손을	손/NNG+을/JKO
들어준다면	들/VV+어/EC+주/VX+ㄴ다면/EC
국민에게	국민/NNG+에게/JKB
어떻게	어떻/VA+게/EC
권리구제의	권리/NNG+구제/NNG+의/JKG
최종	최종/NNG
보루라고	보루/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있겠는가"라고	있/VA+겠/EP+는가/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.172.10.3
"선의의 기부자를 죄인 취급하는 나라를 제대로 된 나라라고 할 수 있느냐"는 것이다.

"선의의	"/SS+선의/NNG+의/JKG
기부자를	기부자/NNG+를/JKO
죄인	죄인/NNG
취급하는	취급/NNG+하/XSV+는/ETM
나라를	나라/NNG+를/JKO
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
나라라고	나라/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있느냐"는	있/VA+느냐/EF+"/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.172.11.1
국회는 지난해 문제의 '주식 기부 과세 규정'에 대한 개정 논의를 잠시 진행하다가 중단했다.

국회는	국회/NNG+는/JX
지난해	지난해/NNG
문제의	문제/NNG+의/JKG
'주식	'/SS+주식/NNG
기부	기부/NNG
과세	과세/NNG
규정'에	규정/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
개정	개정/NNG
논의를	논의/NNG+를/JKO
잠시	잠시/MAG
진행하다가	진행/NNG+하/XSV+다가/EC
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.172.11.2
재판을 질질 끈 사법부나 선의의 피해자를 양산하는 법을 고치지 않는 입법부(국회) 모두 무책임하다는 비판이 나왔다.

재판을	재판/NNG+을/JKO
질질	질질/MAG
끈	끌/VV+ㄴ/ETM
사법부나	사법부/NNG+나/JC
선의의	선의/NNG+의/JKG
피해자를	피해자/NNG+를/JKO
양산하는	양산/NNG+하/XSV+는/ETM
법을	법/NNG+을/JKO
고치지	고치/VV+지/EC
않는	않/VX+는/ETM
입법부(국회)	입법부/NNG+(/SS+국회/NNG+)/SS
모두	모두/MAG
무책임하다는	무/XPN+책임/NNG+하/XSA+다는/ETM
비판이	비판/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


