# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.413
metadata : {}


# id : NWRW1800000046.413.1.1
17일만에 어색한 만남… 文 "신당 잘 되나요" 安 "네, 네"

17일만에	17/SN+일/NNB+만/NNB+에/JKB
이에 문 대표는 "총선 시기에 맞추려면 시간이 별로 없습니다"고 했고 안 의원은 "네네. 다들 마찬가지죠"라고 답했다.

이에	이/NP+에/JKB
문	문/NNP
대표는	대표/NNG+는/JX
"총선	"/SS+총선/NNG
시기에	시기/NNG+에/JKB
맞추려면	맞추/VV+려면/EC
시간이	시간/NNG+이/JKS
별로	별로/MAG
없습니다"고	없/VA+습니다/EF+"/SS+고/JKQ
했고	하/VV+았/EP+고/EC
안	안/NNP
의원은	의원/NNG+은/JX
"네네.	"/SS+네/IC+네/IC+./SF
다들	다/MAG+들/XSN
마찬가지죠"라고	마찬가지/NNG+이/VCP+죠/EF+"/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.5.5
이후 선거구 획정, 개인 종교, 안 의원 머리 모양새 등을 놓고 4분 동안 어색한 대화가 띄엄띄엄 오갔지만 분위기는 냉랭했다.

이후	이후/NNG
선거구	선거구/NNG
획정,	획정/NNG+,/SP
개인	개인/NNG
종교,	종교/NNG+,/SP
안	안/NNP
의원	의원/NNG
머리	머리/NNG
모양새	모양새/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
4분	4/SN+분/NNB
동안	동안/NNG
어색한	어색하/VA+ㄴ/ETM
대화가	대화/NNG+가/JKS
띄엄띄엄	띄엄띄엄/MAG
오갔지만	오가/VV+았/EP+지만/EC
분위기는	분위기/NNG+는/JX
냉랭했다.	냉랭하/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.413.6.1
두 사람은 미사가 열리는 성당에 입장해서도 조용한 신경전을 벌였다.

두	두/MMN
사람은	사람/NNG+은/JX
미사가	미사/NNG+가/JKS
열리는	열리/VV+는/ETM
성당에	성당/NNG+에/JKB
입장해서도	입장/NNG+하/XSV+아서/EC+도/JX
조용한	조용하/VA+ㄴ/ETM
신경전을	신경전/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.413.6.2
문 대표는 문희상 의원, 이종걸 원내대표 등 더민주 의원들과 맨 앞줄에 자리를 잡았다.

문	문/NNP
대표는	대표/NNG+는/JX
문희상	문희상/NNP
의원,	의원/NNG+,/SP
이종걸	이종걸/NNP
원내대표	원내/NNG+대표/NNG
등	등/NNB
더민주	더민주/NNP
의원들과	의원/NNG+들/XSN+과/JKB
맨	맨/MMA
앞줄에	앞줄/NNG+에/JKB
자리를	자리/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.6.3
그러나 안 의원은 문 대표와 떨어진 셋째 줄에 앉았다.

그러나	그러나/MAJ
안	안/NNP
의원은	의원/NNG+은/JX
문	문/NNP
대표와	대표/NNG+와/JKB
떨어진	떨어지/VV+ㄴ/ETM
셋째	셋째/NR
줄에	줄/NNG+에/JKB
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.6.4
이를 본 이인영 의원이 안 의원에게 다가가 "앞으로 가시죠"라고 했지만 안 의원은 "아무래도 같이 찍히는 게 좀…"하며 거절했다.

이를	이/NP+를/JKO
본	보/VV+ㄴ/ETM
이인영	이인영/NNP
의원이	의원/NNG+이/JKS
안	안/NNP
의원에게	의원/NNG+에게/JKB
다가가	다가가/VV+아/EC
"앞으로	"/SS+앞/NNG+으로/JKB
가시죠"라고	가/VV+시/EP+죠/EF+"/SS+라고/JKQ
했지만	하/VV+았/EP+지만/EC
의원은	의원/NNG+은/JX
"아무래도	"/SS+아무래도/MAG
같이	같이/MAG
찍히는	찍히/VV+는/ETM
게	거/NNB+이/JKS
좀…"하며	좀/MAG+…/SE+"/SS+하/VV+며/EC
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.6.5
또 다른 인사가 다시 "그래도 앞으로 가시죠" 했지만 "아닙니다"라고 했다.

또	또/MAG
다른	다른/MMD
인사가	인사/NNG+가/JKS
다시	다시/MAG
"그래도	"/SS+그래도/MAJ
앞으로	앞/NNG+으로/JKB
가시죠"	가/VV+시/EP+죠/EF+"/SS
했지만	하/VV+았/EP+지만/EC
"아닙니다"라고	"/SS+아니/VCN+ㅂ니다/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.7.1
미사에는 김근태 전 의원의 부인 인재근 의원과 유족, 최규성·유승희 의원 등 야당 의원 10여 명을 비롯한 100여 명이 참석했다.

미사에는	미사/NNG+에/JKB+는/JX
김근태	김근태/NNP
전	전/MMD
의원의	의원/NNG+의/JKG
부인	부인/NNG
인재근	인재근/NNP
의원과	의원/NNG+과/JC
유족,	유족/NNG+,/SP
최규성·유승희	최규성/NNP+·/SP+유승희/NNP
의원	의원/NNG
등	등/NNB
야당	야당/NNG
10여	10/SN+여/XSN
명을	명/NNB+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
100여	100/SN+여/XSN
명이	명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.7.2
문 대표와 안 의원은 참회 기도문 중 '제 탓이요.

문	문/NNP
대표와	대표/NNG+와/JC
안	안/NNP
의원은	의원/NNG+은/JX
참회	참회/NNG
기도문	기도문/NNG
중	중/NNB
'제	'/SS+저/NP+의/JKG
탓이요.	탓/NNG+이/VCP+요/EF+./SF


# id : NWRW1800000046.413.7.3
제 탓이요' 구절을 외며 주먹으로 가슴을 두드렸다.

제	저/NP+의/JKG
탓이요'	탓/NNG+이/VCP+요/EF+'/SS
구절을	구절/NNG+을/JKO
외며	외/VV+며/EC
주먹으로	주먹/NNG+으로/JKB
가슴을	가슴/NNG+을/JKO
두드렸다.	두드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.413.7.4
남학현 신부 강론 중 야권(野圈) 분열을 우려하는 내용이 나오자 문 대표는 고개를 들고 신부를 바라봤고 안 의원은 고개를 숙인 채 순서지를 읽었다.

남학현	남학현/NNP
신부	신부/NNG
강론	강론/NNG
중	중/NNB
야권(野圈)	야권/NNG+(/SS+野圈/SH+)/SS
분열을	분열/NNG+을/JKO
우려하는	우려/NNG+하/XSV+는/ETM
내용이	내용/NNG+이/JKS
나오자	나오/VV+자/EC
문	문/NNP
대표는	대표/NNG+는/JX
고개를	고개/NNG+를/JKO
들고	들/VV+고/EC
신부를	신부/NNG+를/JKO
바라봤고	바라보/VV+았/EP+고/EC
안	안/NNP
의원은	의원/NNG+은/JX
숙인	숙이/VV+ㄴ/ETM
채	채/NNB
순서지를	순서지/NNG+를/JKO
읽었다.	읽/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.413.7.5
'평화를 빕니다'라고 말하며 신도들끼리 인사를 나누는 시간에도 두 사람은 눈빛을 마주치지 않았다.

'평화를	'/SS+평화/NNG+를/JKO
빕니다'라고	빌/VV+ㅂ니다/EF+'/SS+라고/JKQ
말하며	말/NNG+하/XSV+며/EC
신도들끼리	신도/NNG+들/XSN+끼리/XSN
인사를	인사/NNG+를/JKO
나누는	나누/VV+는/ETM
시간에도	시간/NNG+에/JKB+도/JX
두	두/MMN
사람은	사람/NNG+은/JX
눈빛을	눈빛/NNG+을/JKO
마주치지	마주치/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.413.7.6
함세웅 신부가 기도 중 한·일 합의와 관련해 "이 정부는 이완용 후예 같은 정부다. 불의한 정권을 퇴치해달라"고 할 때 문 대표는 두 눈을 감고 기도를 하는 듯했다.

함세웅	함세웅/NNP
신부가	신부/NNG+가/JKS
기도	기도/NNG
중	중/NNB
한·일	한·일/NNP
합의와	합의/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
"이	"/SS+이/MMD
정부는	정부/NNG+는/JX
이완용	이완용/NNP
후예	후예/NNG
같은	같/VA+은/ETM
정부다.	정부/NNG+이/VCP+다/EF+./SF
불의한	불의/NNG+하/XSA+ㄴ/ETM
정권을	정권/NNG+을/JKO
퇴치해달라"고	퇴치/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
할	하/VV+ㄹ/ETM
때	때/NNG
문	문/NNP
대표는	대표/NNG+는/JX
두	두/MMN
눈을	눈/NNG+을/JKO
감고	감/VV+고/EC
기도를	기도/NNG+를/JKO
하는	하/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.413.8.1
문 대표는 추모사에서 "우리는 더 혁신하고 더 단합해서 더 큰 통합으로 나아가야 한다"고 했다.

문	문/NNP
대표는	대표/NNG+는/JX
추모사에서	추모사/NNG+에서/JKB
"우리는	"/SS+우리/NP+는/JX
더	더/MAG
혁신하고	혁신/NNG+하/XSV+고/EC
단합해서	단합/NNG+하/XSV+아서/EC
큰	크/VA+ㄴ/ETM
통합으로	통합/NNG+으로/JKB
나아가야	나아가/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.8.2
사회자는 다음 추모사 낭독자로 안 의원을 호명했지만 안 의원은 고개를 가로저으며 사양했다.

사회자는	사회자/NNG+는/JX
다음	다음/NNG
추모사	추모사/NNG
낭독자로	낭독자/NNG+로/JKB
안	안/NNP
의원을	의원/NNG+을/JKO
호명했지만	호명/NNG+하/XSV+았/EP+지만/EC
의원은	의원/NNG+은/JX
고개를	고개/NNG+를/JKO
가로저으며	가로젓/VV+으며/EC
사양했다.	사양/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.8.3
약 1시간 동안 진행된 미사가 끝나자 안 의원은 1~2분간 문 대표 일행이 성당을 완전히 떠난 것을 확인하고서야 자리에서 일어났다.

약	약/MMA
1시간	1/SN+시간/NNB
동안	동안/NNG
진행된	진행/NNG+되/XSV+ㄴ/ETM
미사가	미사/NNG+가/JKS
끝나자	끝나/VV+자/EC
안	안/NNP
의원은	의원/NNG+은/JX
1~2분간	1/SN+~/SO+2/SN+분/NNB+간/XSN
문	문/NNP
대표	대표/NNG
일행이	일행/NNG+이/JKS
성당을	성당/NNG+을/JKO
완전히	완전히/MAG
떠난	떠나/VV+ㄴ/ETM
것을	것/NNB+을/JKO
확인하고서야	확인/NNG+하/XSV+고서/EC+야/JX
자리에서	자리/NNG+에서/JKB
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.9.1
문 대표는 성당에서 나오면서 '만남이 어색하지 않았느냐'는 취재진 질문에 "어색할 수도 있었지만 어떻게 하느냐"고 했다.

문	문/NNP
대표는	대표/NNG+는/JX
성당에서	성당/NNG+에서/JKB
나오면서	나오/VV+면서/EC
'만남이	'/SS+만남/NNG+이/JKS
어색하지	어색하/VA+지/EC
않았느냐'는	않/VX+았/EP+느냐/EF+'/SS+는/ETM
취재진	취재진/NNG
질문에	질문/NNG+에/JKB
"어색할	"/SS+어색하/VA+ㄹ/ETM
수도	수/NNB+도/JX
있었지만	있/VA+었/EP+지만/EC
어떻게	어떻/VA+게/EC
하느냐"고	하/VV+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.9.2
그는 "앞으로 좋은 경쟁을 해나가야 하고, 언젠가 또 합치기도 해야 하고, 길게 보면 같이 가야 할 사이"라며 향후 선거 연대 또는 재합당 가능성을 시사했다.

그는	그/NP+는/JX
"앞으로	"/SS+앞/NNG+으로/JKB
좋은	좋/VA+은/ETM
경쟁을	경쟁/NNG+을/JKO
해나가야	하/VV+아/EC+나가/VX+아야/EC
하고,	하/VX+고/EC+,/SP
언젠가	언젠가/MAG
또	또/MAG
합치기도	합치/VV+기/ETN+도/JX
해야	하/VX+아야/EC
길게	길/VA+게/EC
보면	보/VV+면/EC
같이	같이/MAG
가야	가/VV+아야/EC
할	하/VX+ㄹ/ETM
사이"라며	사이/NNG+"/SS+이/VCP+라며/EC
향후	향후/NNG
선거	선거/NNG
연대	연대/NNG
또는	또는/MAG
재합당	재/XPN+합당/NNG
가능성을	가능/NNG+성/XSN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.9.3
그러나 안 의원은 이와 관련한 질문에 "제 원칙은 이미 여러 차례 말씀드렸다"며 독자 세력화 방침을 다시 확인했다.

그러나	그러나/MAJ
안	안/NNP
의원은	의원/NNG+은/JX
이와	이/NP+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
질문에	질문/NNG+에/JKB
"제	"/SS+저/NP+의/JKG
원칙은	원칙/NNG+은/JX
이미	이미/MAG
여러	여러/MMN
차례	차례/NNG
말씀드렸다"며	말씀/NNG+드리/VV+었/EP+다/EF+"/SS+며/EC
독자	독자/NNG
세력화	세력/NNG+화/XSN
방침을	방침/NNG+을/JKO
다시	다시/MAG
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.9.4
안 의원 측은 추모사를 사양한 이유에 대해 "추모사를 낭독해달라는 사전 요청이 전혀 없었다"고 했다.

안	안/NNP
의원	의원/NNG
측은	측/NNB+은/JX
추모사를	추모사/NNG+를/JKO
사양한	사양/NNG+하/XSV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
"추모사를	"/SS+추모사/NNG+를/JKO
낭독해달라는	낭독/NNG+하/XSV+아/EC+달/VX+라는/ETM
사전	사전/NNG
요청이	요청/NNG+이/JKS
전혀	전혀/MAG
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


