# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.146
metadata : {}


# id : NWRW1800000037.146.1.1
[문학예술]죽고 나서 7일간의 여정… 中 위화의 신작소설

[문학예술]죽고	[/SS+문학예술/NNG+]/SS+죽/VV+고/EC
# id : NWRW1800000037.146.4.1
첫 장 제목 ‘첫째 날’은 죽은 지 첫날을 뜻한다.

첫	첫/MMN
장	장/NNG
제목	제목/NNG
‘첫째	‘/SS+첫째/NR
날’은	날/NNG+’/SS+은/JX
죽은	죽/VV+은/ETM
지	지/NNB
첫날을	첫날/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.146.4.2
주인공 양페이는 부스스 눈을 떠 읽은 현관 앞 통지문이 이끄는 대로 어리둥절한 채 더듬더듬 화장터를 찾아가다가 자신이 죽었다는 사실을 깨달아 간다.

주인공	주인공/NNG
양페이는	양페이/NNP+는/JX
부스스	부스스/MAG
눈을	눈/NNG+을/JKO
떠	뜨/VV+어/EC
읽은	읽/VV+은/ETM
현관	현관/NNG
앞	앞/NNG
통지문이	통지문/NNG+이/JKS
이끄는	이끌/VV+는/ETM
대로	대로/NNB
어리둥절한	어리둥절하/VA+ㄴ/ETM
채	채/NNB
더듬더듬	더듬더듬/MAG
화장터를	화장터/NNG+를/JKO
찾아가다가	찾아가/VV+다가/EC
자신이	자신/NNG+이/JKS
죽었다는	죽/VV+었/EP+다는/ETM
사실을	사실/NNG+을/JKO
깨달아	깨닫/VV+아/EC
간다.	가/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.146.4.3
죽은 사람은 자신의 죽음을 어떻게 의식해 갈까.

죽은	죽/VV+은/ETM
사람은	사람/NNG+은/JX
자신의	자신/NNG+의/JKG
죽음을	죽음/NNG+을/JKO
어떻게	어떻/VA+게/EC
의식해	의식/NNG+하/XSV+아/EC
갈까.	가/VX+ㄹ까/EF+./SF


# id : NWRW1800000037.146.4.4
‘인생’ ‘허삼관 매혈기’로 세계적 명성을 얻은 작가 위화(余華·53)는 사고로 사망한 양페이가 낯선 상황을 납득해 가는 7일간의 여정을 차분히 쫓아간다.

‘인생’	‘/SS+인생/NNG+’/SS
‘허삼관	‘/SS+허삼관/NNP
매혈기’로	매혈기/NNG+’/SS+로/JKB
세계적	세계/NNG+적/XSN
명성을	명성/NNG+을/JKO
얻은	얻/VV+은/ETM
작가	작가/NNG
위화(余華·53)는	위화/NNP+(/SS+余華/SH+·/SP+53/SN+)/SS+는/JX
사고로	사고/NNG+로/JKB
사망한	사망/NNG+하/XSV+ㄴ/ETM
양페이가	양페이/NNP+가/JKS
낯선	낯설/VA+ㄴ/ETM
상황을	상황/NNG+을/JKO
납득해	납득/NNG+하/XSV+아/EC
가는	가/VX+는/ETM
7일간의	7/SN+일/NNB+간/XSN+의/JKG
여정을	여정/NNG+을/JKO
차분히	차분히/MAG
쫓아간다.	쫓아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.146.5.1
사람은 죽음을 맞이하는 찰나에 살아온 경험을 영화 필름 빨리 감듯 후루룩 돌아본다고 한다.

사람은	사람/NNG+은/JX
죽음을	죽음/NNG+을/JKO
맞이하는	맞이하/VV+는/ETM
찰나에	찰나/NNG+에/JKB
살아온	살아오/VV+ㄴ/ETM
경험을	경험/NNG+을/JKO
영화	영화/NNG
필름	필름/NNG
빨리	빨리/MAG
감듯	감/VV+듯/EC
후루룩	후루룩/MAG
돌아본다고	돌아보/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.146.5.2
정말 그럴까.

정말	정말/MAG
그럴까.	그렇/VA+ㄹ까/EF+./SF


# id : NWRW1800000037.146.5.3
작가는 ‘이미 죽었는데 꼭 그렇게 서둘러 모든 것을 한목에 되짚어야 할 필요가 있겠느냐’는 듯 찬찬히 기억의 구석구석을 더듬는다.

작가는	작가/NNG+는/JX
‘이미	‘/SS+이미/MAG
죽었는데	죽/VV+었/EP+는데/EC
꼭	꼭/MAG
그렇게	그렇/VA+게/EC
서둘러	서두르/VV+어/EC
모든	모든/MMN
것을	것/NNB+을/JKO
한목에	한목/NNG+에/JKB
되짚어야	되짚/VV+어야/EC
할	하/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있겠느냐’는	있/VA+겠/EP+느냐/EF+’/SS+는/ETM
듯	듯/NNB
찬찬히	찬찬히/MAG
기억의	기억/NNG+의/JKG
구석구석을	구석구석/NNG+을/JKO
더듬는다.	더듬/VV+는다/EF+./SF


# id : NWRW1800000037.146.5.4
꼭 소중한 기억부터 떠오르지도 않을 거라는 듯한 시각이다.

꼭	꼭/MAG
소중한	소중하/VA+ㄴ/ETM
기억부터	기억/NNG+부터/JX
떠오르지도	떠오르/VV+지/EC+도/JX
않을	않/VX+을/ETM
거라는	거/NNB+이/VCP+라는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
시각이다.	시각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.146.5.5
흐려지는 의식으로 문득 붙잡은 것이 말 한 번 나눠 보지 못했던 옆집 소녀나 단골식당 주인 얼굴처럼 어처구니없는 대상일 수도 있다.

흐려지는	흐려지/VV+는/ETM
의식으로	의식/NNG+으로/JKB
문득	문득/MAG
붙잡은	붙잡/VV+은/ETM
것이	것/NNB+이/JKS
말	말/NNG
한	한/MMN
번	번/NNB
나눠	나누/VV+어/EC
보지	보/VX+지/EC
못했던	못하/VX+았/EP+던/ETM
옆집	옆집/NNG
소녀나	소녀/NNG+나/JC
단골식당	단골/NNG+식당/NNG
주인	주인/NNG
얼굴처럼	얼굴/NNG+처럼/JKB
어처구니없는	어처구니없/VA+는/ETM
대상일	대상/NNG+이/VCP+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.146.6.1
사랑은 어떨까.

사랑은	사랑/NNG+은/JX
어떨까.	어떻/VA+ㄹ까/EF+./SF


# id : NWRW1800000037.146.6.2
양페이는 짧은 세월 함께 머물다 떠나간 아내를 잠시 만난다.

양페이는	양페이/NNP+는/JX
짧은	짧/VA+은/ETM
세월	세월/NNG
함께	함께/MAG
머물다	머물/VV+다/EC
떠나간	떠나가/VV+ㄴ/ETM
아내를	아내/NNG+를/JKO
잠시	잠시/MAG
만난다.	만나/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.146.6.3
아내도 며칠 전에 죽었다.

아내도	아내/NNG+도/JX
며칠	며칠/NNG
전에	전/NNG+에/JKB
죽었다.	죽/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.146.6.4
짐을 정리해 떠나는 모습을 바라보고 서 있던 기억과 처음 머리를 어깨에 얹어오던 날의 기억이 그에게는 똑같이 선명하다.

짐을	짐/NNG+을/JKO
정리해	정리/NNG+하/XSV+아/EC
떠나는	떠나/VV+는/ETM
모습을	모습/NNG+을/JKO
바라보고	바라보/VV+고/EC
서	서/VV+어/EC
있던	있/VX+던/ETM
기억과	기억/NNG+과/JC
처음	처음/NNG
머리를	머리/NNG+를/JKO
어깨에	어깨/NNG+에/JKB
얹어오던	얹/VV+어/EC+오/VX+던/ETM
날의	날/NNG+의/JKG
기억이	기억/NNG+이/JKS
그에게는	그/NP+에게/JKB+는/JX
똑같이	똑같이/MAG
선명하다.	선명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.146.6.5
양페이는 문득 접한 아내의 사망 소식에 정신을 놓았다가 사고를 당했다.

양페이는	양페이/NNP+는/JX
문득	문득/MAG
접한	접하/VV+ㄴ/ETM
아내의	아내/NNG+의/JKG
사망	사망/NNG
소식에	소식/NNG+에/JKB
정신을	정신/NNG+을/JKO
놓았다가	놓/VV+았/EP+다가/EC
사고를	사고/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.146.6.6
아내가 “나 때문이구나. 미안해”라고 말하자 그가 답한다.

아내가	아내/NNG+가/JKS
“나	“/SS+나/NP
때문이구나.	때문/NNB+이/VCP+구나/EF+./SF
미안해”라고	미안/NNG+하/XSA+아/EF+”/SS+라고/JKQ
말하자	말/NNG+하/XSV+자/EC
그가	그/NP+가/JKS
답한다.	답/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.146.6.7
“아니, 뉴스 때문이지.

“아니,	“/SS+아니/IC+,/SP
뉴스	뉴스/NNG
때문이지.	때문/NNB+이/VCP+지/EF+./SF


# id : NWRW1800000037.146.6.8
당신 때문이 아니야.”

당신	당신/NP
때문이	때문/NNB+이/JKC
아니야.”	아니/VCN+야/EF+./SF+”/SS


# id : NWRW1800000037.146.7.1
죽은 이들이 떠돌며 만나 이야기하는 것도 결국 삶의 기억이다.

죽은	죽/VV+은/ETM
이들이	이/NNB+들/XSN+이/JKS
떠돌며	떠돌/VV+며/EC
만나	만나/VV+아/EC
이야기하는	이야기/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
결국	결국/NNG
삶의	삶/NNG+의/JKG
기억이다.	기억/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.146.7.2
죽었다고 해서 다 좋은 기억이 되는 건 아니다.

죽었다고	죽/VV+었/EP+다고/EC
해서	하/VV+아서/EC
다	다/MAG
좋은	좋/VA+은/ETM
기억이	기억/NNG+이/JKC
되는	되/VV+는/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000037.146.7.3
슬픈 기억은 여전히 슬픈 채다.

슬픈	슬프/VA+ㄴ/ETM
기억은	기억/NNG+은/JX
여전히	여전히/MAG
채다.	채/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.146.7.4
작가는 죽은 뒤 먼저 잊혀지는 건 어쩌면 살아오는 동안 가장 간절히 붙들고 싶어 한 것일지도 모른다고 말한다.

작가는	작가/NNG+는/JX
죽은	죽/VV+은/ETM
뒤	뒤/NNG
먼저	먼저/MAG
잊혀지는	잊혀지/VV+는/ETM
건	거/NNB+ㄴ/JX
어쩌면	어쩌면/MAG
살아오는	살아오/VV+는/ETM
동안	동안/NNG
가장	가장/MAG
간절히	간절히/MAG
붙들고	붙들/VV+고/EC
싶어	싶/VX+어/EC
한	하/VX+ㄴ/ETM
것일지도	것/NNB+이/VCP+ㄹ지/EC+도/JX
모른다고	모르/VV+ㄴ다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.146.7.5
양페이가 어린 시절 처음 기차를 타고 창밖을 내다보다가 아버지에게 물었다.

양페이가	양페이/NNP+가/JKS
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
처음	처음/NNG
기차를	기차/NNG+를/JKO
타고	타/VV+고/EC
창밖을	창밖/NNG+을/JKO
내다보다가	내다보/VV+다가/EC
아버지에게	아버지/NNG+에게/JKB
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.146.7.6
“왜 가까이 있는 것일수록 빨리 사라지고 멀리 있는 것일수록 느리게 사라져요?”

“왜	“/SS+왜/MAG
가까이	가까이/MAG
있는	있/VA+는/ETM
것일수록	것/NNB+이/VCP+ㄹ수록/EC
빨리	빨리/MAG
사라지고	사라지/VV+고/EC
멀리	멀리/MAG
느리게	느리/VA+게/EC
사라져요?”	사라지/VV+어요/EF+?/SF+”/SS


# id : NWRW1800000037.146.8.1
아버지가 슬픈 목소리로 답했다.

아버지가	아버지/NNG+가/JKS
슬픈	슬프/VA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.146.8.2
“모르겠구나.”

“모르겠구나.”	“/SS+모르/VV+겠/EP+구나/EF+./SF+”/SS


