# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.103
metadata : {}


# id : NWRW1800000038.103.1.1
[화제人] 밀라노 국제가구박람회서 호평받은 서울대 공대 벤처기업 '움직임' CEO 양재혁씨

[화제人]	[/SS+화제/NNG+人/SH+]/SS
이 신문은 세계 최대 규모의 밀라노 가구 박람회에 참가한 양씨를 벨기에의 패트릭 비요트(Beyeart), 이탈리아의 일라리아 이노센티(Innocenti)와 함께 '주목해야 할 3대 디자이너'로 꼽으며, "가구의 '실용성'에 대해 열변을 토한 양재혁이 직접 만든 책꽂이, 문서꽂이, 쓰레기통은 간결하고 독창적"이라고 평가했다.

이	이/MMD
신문은	신문/NNG+은/JX
세계	세계/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
밀라노	밀라노/NNP
가구	가구/NNG
박람회에	박람회/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
양씨를	양/NNP+씨/NNB+를/JKO
벨기에의	벨기에/NNP+의/JKG
패트릭	패트릭/NNP
비요트(Beyeart),	비요트/NNP+(/SS+Beyeart/SL+)/SS+,/SP
이탈리아의	이탈리아/NNP+의/JKG
일라리아	일라리아/NNP
이노센티(Innocenti)와	이노센티/NNP+(/SS+Innocenti/SL+)/SS+와/JKB
함께	함께/MAG
'주목해야	'/SS+주목/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
3대	3/SN+대/NNG
디자이너'로	디자이너/NNG+'/SS+로/JKB
꼽으며,	꼽/VV+으며/EC+,/SP
"가구의	"/SS+가구/NNG+의/JKG
'실용성'에	'/SS+실용/NNG+성/XSN+'/SS+에/JKB
대해	대하/VV+아/EC
열변을	열변/NNG+을/JKO
토한	토하/VV+ㄴ/ETM
양재혁이	양재혁/NNP+이/JKS
직접	직접/MAG
만든	만들/VV+ㄴ/ETM
책꽂이,	책꽂이/NNG+,/SP
문서꽂이,	문서꽂이/NNG+,/SP
쓰레기통은	쓰레기통/NNG+은/JX
간결하고	간결하/VA+고/EC
독창적"이라고	독창/NNG+적/XSN+"/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.103.5.1
"이렇게 저희의 제품이 호평받을지 몰랐습니다."

"이렇게	"/SS+이렇/VA+게/EC
저희의	저희/NP+의/JKG
제품이	제품/NNG+이/JKS
호평받을지	호평/NNG+받/XSV+을지/EF
몰랐습니다."	모르/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000038.103.5.2
서울대 공대생들이 만든 벤처 기업 '움직임'이 밀라노 국제가구박람회에서 '대박'을 터뜨렸다.

서울대	서울대/NNP
공대생들이	공대/NNG+생/XSN+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
벤처	벤처/NNG
기업	기업/NNG
'움직임'이	'/SS+움직임/NNP+'/SS+이/JKS
밀라노	밀라노/NNP
국제가구박람회에서	국제/NNG+가구/NNG+박람회/NNG+에서/JKB
'대박'을	'/SS+대/XPN+박/NNG+'/SS+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.103.5.3
양씨는 "이탈리아와 네덜란드의 유명 디자인 업체와 계약을 추진 중이며, 밀라노·로마·파리 등 유럽 각지의 갤러리 10여곳에서 납품 요청을 받았다"고 전했다.

양씨는	양/NNP+씨/NNB+는/JX
"이탈리아와	"/SS+이탈리아/NNP+와/JC
네덜란드의	네덜란드/NNP+의/JKG
유명	유명/NNG
디자인	디자인/NNG
업체와	업체/NNG+와/JKB
계약을	계약/NNG+을/JKO
추진	추진/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
밀라노·로마·파리	밀라노/NNP+·/SP+로마/NNP+·/SP+파리/NNP
등	등/NNB
유럽	유럽/NNP
각지의	각지/NNG+의/JKG
갤러리	갤러리/NNG
10여곳에서	10/SN+여/XSN+곳/NNG+에서/JKB
납품	납품/NNG
요청을	요청/NNG+을/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.103.5.4
'움직임'의 가구들은 현지 디자인 관계자들로부터 '얼핏 투박해 보이지만 장식을 최소화한 채 실용성에 집중한 독창적인 디자인'으로 평가받았다.

'움직임'의	'/SS+움직임/NNP+'/SS+의/JKG
가구들은	가구/NNG+들/XSN+은/JX
현지	현지/NNG
디자인	디자인/NNG
관계자들로부터	관계자/NNG+들/XSN+로부터/JKB
'얼핏	'/SS+얼핏/MAG
투박해	투박하/VA+아/EC
보이지만	보이/VV+지만/EC
장식을	장식/NNG+을/JKO
최소화한	최소/NNG+화/XSN+하/XSV+ㄴ/ETM
채	채/NNB
실용성에	실용/NNG+성/XSN+에/JKB
집중한	집중/NNG+하/XSV+ㄴ/ETM
독창적인	독창/NNG+적/XSN+이/VCP+ㄴ/ETM
디자인'으로	디자인/NNG+'/SS+으로/JKB
평가받았다.	평가/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.103.5.5
구조에 필요한 최소한의 선(線)만 남겨놓고 불필요한 요소를 모두 없앤 철제 책꽂이는 현지인들에게 가장 큰 호응을 얻었다.

구조에	구조/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
선(線)만	선/NNG+(/SS+線/SH+)/SS+만/JX
남겨놓고	남기/VV+어/EC+놓/VX+고/EC
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
요소를	요소/NNG+를/JKO
모두	모두/MAG
없앤	없애/VV+ㄴ/ETM
철제	철제/NNG
책꽂이는	책꽂이/NNG+는/JX
현지인들에게	현지인/NNG+들/XSN+에게/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
호응을	호응/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.103.6.1
밀라노 국제가구박람회는 매년 방문자만 30만명, 규모가 13조원에 이르는 세계 최대 가구박람회.

밀라노	밀라노/NNP
국제가구박람회는	국제/NNG+가구/NNG+박람회/NNG+는/JX
매년	매년/MAG
방문자만	방문자/NNG+만/JX
30만명,	30/SN+만/NR+명/NNB+,/SP
규모가	규모/NNG+가/JKS
13조원에	13/SN+조/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
세계	세계/NNG
최대	최대/NNG
가구박람회.	가구/NNG+박람회/NNG+./SF


# id : NWRW1800000038.103.6.2
행사 자체가 거대한 '산업'으로 평가받는 이 박람회에서 양씨는 신진 디자이너들의 등용문인 '사텔리테(satelite)' 부문에 초청받았다.

행사	행사/NNG
자체가	자체/NNG+가/JKS
거대한	거대/NNG+하/XSA+ㄴ/ETM
'산업'으로	'/SS+산업/NNG+'/SS+으로/JKB
평가받는	평가/NNG+받/XSV+는/ETM
이	이/MMD
박람회에서	박람회/NNG+에서/JKB
양씨는	양/NNP+씨/NNB+는/JX
신진	신진/NNG
디자이너들의	디자이너/NNG+들/XSN+의/JKG
등용문인	등용문/NNG+이/VCP+ㄴ/ETM
'사텔리테(satelite)'	'/SS+사텔리테/NNP+(/SS+satelite/SL+)/SS+'/SS
부문에	부문/NNG+에/JKB
초청받았다.	초청/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.103.7.1
'움직임'은 서울대 공대의 융합 교육 성과 '1호' 벤처기업으로, 서울대 공대 재학생들을 중심으로 결성됐다.

'움직임'은	'/SS+움직임/NNP+'/SS+은/JX
서울대	서울대/NNP
공대의	공대/NNG+의/JKG
융합	융합/NNG
교육	교육/NNG
성과	성과/NNG
'1호'	'/SS+1/SN+호/NNB+'/SS
벤처기업으로,	벤처/NNG+기업/NNG+으로/JKB+,/SP
공대	공대/NNG
재학생들을	재학/NNG+생/XSN+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
결성됐다.	결성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.103.7.2
"공학도로서 재료의 속성과 물성(物性)을 정확히 이해한 디자인을 하고 싶었다"는 게 이들의 신념이다.

"공학도로서	"/SS+공학도/NNG+로서/JKB
재료의	재료/NNG+의/JKG
속성과	속성/NNG+과/JC
물성(物性)을	물성/NNG+(/SS+物性/SH+)/SS+을/JKO
정확히	정확히/MAG
이해한	이해/NNG+하/XSV+ㄴ/ETM
디자인을	디자인/NNG+을/JKO
하고	하/VV+고/EC
싶었다"는	싶/VX+었/EP+다/EF+"/SS+는/ETM
게	거/NNB+이/JKS
이들의	이/NP+들/XSN+의/JKG
신념이다.	신념/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.103.7.3
"유럽에서 우리 디자인이 통하는 모습을 보니 자신감이 생겼습니다.

"유럽에서	"/SS+유럽/NNP+에서/JKB
우리	우리/NP
디자인이	디자인/NNG+이/JKS
통하는	통하/VV+는/ETM
모습을	모습/NNG+을/JKO
보니	보/VV+니/EC
자신감이	자신감/NNG+이/JKS
생겼습니다.	생기/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000038.103.7.4
가구업계의 '애플'이 되겠다는 꿈을 꼭 이루고 싶습니다."

가구업계의	가구업/NNG+계/XSN+의/JKG
'애플'이	'/SS+애플/NNP+'/SS+이/JKC
되겠다는	되/VV+겠/EP+다는/ETM
꿈을	꿈/NNG+을/JKO
꼭	꼭/MAG
이루고	이루/VV+고/EC
싶습니다."	싶/VX+습니다/EF+./SF+"/SS


