# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.316
metadata : {}


# id : NWRW1800000041.316.1.1
‘위안부’는 쏙 빼고… 아베, 왜곡된 역사 미래세대에 세뇌

‘위안부’는	‘/SS+위안부/NNG+’/SS+는/JX
신청한	신청/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
문부과학성이	문부/NNG+과학성/NNG+이/JKS
약	약/MMA
1년간	1/SN+년/NNB+간/XSN
심사해	심사/NNG+하/XSV+아/EC
확정한	확정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.316.5.1
4년 전 검정을 통과한 초등학교 5, 6학년용 교과서 5종 가운데 “한국이 독도를 불법으로 점거하고 있다”는 내용이 포함된 것은 니혼분쿄(日本文敎)출판 교과서뿐이었다.

4년	4/SN+년/NNB
전	전/NNG
검정을	검정/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
초등학교	초등학교/NNG
5,	5/SN+,/SP
6학년용	6/SN+학년/NNG+용/XSN
교과서	교과서/NNG
5종	5/SN+종/NNG
가운데	가운데/NNG
“한국이	“/SS+한국/NNP+이/JKS
독도를	독도/NNP+를/JKO
불법으로	불법/NNG+으로/JKB
점거하고	점거/NNG+하/XSV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
내용이	내용/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
니혼분쿄(日本文敎)출판	니혼분쿄/NNP+(/SS+日本文敎/SH+)/SS+출판/NNG
교과서뿐이었다.	교과서/NNG+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.316.5.2
나머지는 지도에 독도를 다케시마(竹島·독도의 일본식 이름)로 표현하는 수준이었다.

나머지는	나머지/NNG+는/JX
지도에	지도/NNG+에/JKB
독도를	독도/NNP+를/JKO
다케시마(竹島·독도의	다케시마/NNP+(/SS+竹島/SH+·/SP+독도/NNP+의/JKG
일본식	일본식/NNG
이름)로	이름/NNG+)/SS+로/JKB
표현하는	표현/NNG+하/XSV+는/ETM
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.316.5.3
그러나 이번에 검정을 통과한 4개 출판사의 5, 6학년 사회과 교과서 4종은 예외 없이 “일본해에 위치한 다케시마는 일본 고유의 영토다.

그러나	그러나/MAJ
이번에	이번/NNG+에/JKB
검정을	검정/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
4개	4/SN+개/NNB
출판사의	출판사/NNG+의/JKG
5,	5/SN+,/SP
6학년	6/SN+학년/NNG
사회과	사회과/NNG
교과서	교과서/NNG
4종은	4/SN+종/NNG+은/JX
예외	예외/NNG
없이	없이/MAG
“일본해에	“/SS+일본해/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
다케시마는	다케시마/NNP+는/JX
일본	일본/NNP
고유의	고유/NNG+의/JKG
영토다.	영토/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.316.5.4
한국이 불법으로 점거하고 있다”(미쓰무라도서)는 내용이 들어갔다.

한국이	한국/NNP+이/JKS
불법으로	불법/NNG+으로/JKB
점거하고	점거/NNG+하/XSV+고/EC
있다”(미쓰무라도서)는	있/VX+다/EF+”/SS+(/SS+미쓰무라도서/NNP+)/SS+는/JX
내용이	내용/NNG+이/JKS
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.6.1
검정을 통과한 3, 4학년 교과서 4종 가운데 2종은 지도에 독도를 ‘다케시마’라고 표기했다.

검정을	검정/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
3,	3/SN+,/SP
4학년	4/SN+학년/NNG
교과서	교과서/NNG
4종	4/SN+종/NNG
가운데	가운데/NNG
2종은	2/SN+종/NNG+은/JX
지도에	지도/NNG+에/JKB
독도를	독도/NNP+를/JKO
‘다케시마’라고	‘/SS+다케시마/NNP+’/SS+라고/JKQ
표기했다.	표기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.6.2
종전의 4학년 이하 저학년 교과서에는 독도 관련 내용이 서술되지 않았다.

종전의	종전/NNG+의/JKG
4학년	4/SN+학년/NNG
이하	이하/NNG
저학년	저/XPN+학년/NNG
교과서에는	교과서/NNG+에/JKB+는/JX
독도	독도/NNP
관련	관련/NNG
내용이	내용/NNG+이/JKS
서술되지	서술/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.316.6.3
결국 일본 초등학생이 독도 영유권 주장을 접하는 시기가 3, 4학년으로 당겨지고 이들이 장차 한국에 반감을 지닐 가능성도 커진다는 얘기다.

결국	결국/MAG
일본	일본/NNP
초등학생이	초등학생/NNG+이/JKS
독도	독도/NNP
영유권	영유/NNG+권/XSN
주장을	주장/NNG+을/JKO
접하는	접하/VV+는/ETM
시기가	시기/NNG+가/JKS
3,	3/SN+,/SP
4학년으로	4/SN+학년/NNG+으로/JKB
당겨지고	당기/VV+어/EC+지/VX+고/EC
이들이	이/NP+들/XSN+이/JKS
장차	장차/MAG
한국에	한국/NNP+에/JKB
반감을	반감/NNG+을/JKO
지닐	지니/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
커진다는	커지/VV+ㄴ다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.316.6.4
미쓰무라도서의 6학년 사회 교과서는 2002년 한일 월드컵 공동개최 사실을 삭제하고 한국의 독도 점거에 일본이 강하게 항의하고 있다는 내용을 넣었다.

미쓰무라도서의	미쓰무라도서/NNP+의/JKG
6학년	6/SN+학년/NNG
사회	사회/NNG
교과서는	교과서/NNG+는/JX
2002년	2002/SN+년/NNB
한일	한일/NNP
월드컵	월드컵/NNG
공동개최	공동/NNG+개최/NNG
사실을	사실/NNG+을/JKO
삭제하고	삭제/NNG+하/XSV+고/EC
한국의	한국/NNP+의/JKG
독도	독도/NNP
점거에	점거/NNG+에/JKB
일본이	일본/NNP+이/JKS
강하게	강하/VA+게/EC
항의하고	항의/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
내용을	내용/NNG+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.316.6.5
군 위안부 피해자 문제에 관해서는 2010년과 마찬가지로 모두 기술하지 않았다.

군	군/NNG
위안부	위안부/NNG
피해자	피해자/NNG
문제에	문제/NNG+에/JKB
관해서는	관하/VV+아서/EC+는/JX
2010년과	2010/SN+년/NNB+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
모두	모두/MAG
기술하지	기술/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.316.7.1
일본 교과서의 역사 왜곡은 아베 신조(安倍晋三) 내각이 주도해왔다.

일본	일본/NNP
교과서의	교과서/NNG+의/JKG
역사	역사/NNG
왜곡은	왜곡/NNG+은/JX
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
내각이	내각/NNG+이/JKS
주도해왔다.	주도/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.316.7.2
아베 내각은 2006년 교육기본법을 개정한 이후 우익의 수정주의 역사관을 토대로 제국주의 시절의 강한 일본을 미화하는 교과서 편찬에 주력해왔다.

아베	아베/NNP
내각은	내각/NNG+은/JX
2006년	2006/SN+년/NNB
교육기본법을	교육/NNG+기본법/NNG+을/JKO
개정한	개정/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
우익의	우익/NNG+의/JKG
수정주의	수정주의/NNG
역사관을	역사관/NNG+을/JKO
토대로	토대/NNG+로/JKB
제국주의	제국주의/NNG
시절의	시절/NNG+의/JKG
강한	강하/VA+ㄴ/ETM
일본을	일본/NNP+을/JKO
미화하는	미화/NNG+하/XSV+는/ETM
교과서	교과서/NNG
편찬에	편찬/NNG+에/JKB
주력해왔다.	주력/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.316.7.3
아베 총리의 측근인 시모무라 하쿠분(下村博文) 일본 문부과학상은 이날 기자회견에서 “자국 영토를 올바르게 가르치는 것은 당연한 일”이라며 “타국이 항의할 일이 아니다”라고 주장했다.

아베	아베/NNP
총리의	총리/NNG+의/JKG
측근인	측근/NNG+이/VCP+ㄴ/ETM
시모무라	시모무라/NNP
하쿠분(下村博文)	하쿠분/NNP+(/SS+下村博文/SH+)/SS
일본	일본/NNP
문부과학상은	문부/NNG+과학상/NNG+은/JX
이날	이날/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“자국	“/SS+자국/NNG
영토를	영토/NNG+를/JKO
올바르게	올바르/VA+게/EC
가르치는	가르치/VV+는/ETM
것은	것/NNB+은/JX
당연한	당연/NNG+하/XSA+ㄴ/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“타국이	“/SS+타국/NNG+이/JKS
항의할	항의/NNG+하/XSV+ㄹ/ETM
일이	일/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.8.1
일본은 4일 각의(국무회의)에서 통과시킨 외교청서에서도 독도에 대해 “역사적 사실로도, 국제법상으로도 일본 고유의 영토”라고 거듭 주장했다.

일본은	일본/NNP+은/JX
4일	4/SN+일/NNB
각의(국무회의)에서	각의/NNG+(/SS+국무/NNG+회의/NNG+)/SS+에서/JKB
통과시킨	통과/NNG+시키/XSV+ㄴ/ETM
외교청서에서도	외교/NNG+청서/NNG+에서/JKB+도/JX
독도에	독도/NNP+에/JKB
대해	대하/VV+아/EC
“역사적	“/SS+역사/NNG+적/XSN
사실로도,	사실/NNG+로/JKB+도/JX+,/SP
국제법상으로도	국제법/NNG+상/XSN+으로/JKB+도/JX
일본	일본/NNP
고유의	고유/NNG+의/JKG
영토”라고	영토/NNG+”/SS+라고/JKQ
거듭	거듭/MAG
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.8.2
1963년 독도 영유권 문제를 처음 거론한 이후 해마다 되풀이해온 내용이다.

1963년	1963/SN+년/NNB
독도	독도/NNP
영유권	영유/NNG+권/XSN
문제를	문제/NNG+를/JKO
처음	처음/NNG
거론한	거론/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
해마다	해마다/MAG
되풀이해온	되풀이/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.316.8.3
특히 외교청서는 군 위안부 문제에 대해 “법적으로 완전히 해결됐다”고 기술했다.

특히	특히/MAG
외교청서는	외교/NNG+청서/NNG+는/JX
군	군/NNG
위안부	위안부/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
“법적으로	“/SS+법/NNG+적/XSN+으로/JKB
완전히	완전히/MAG
해결됐다”고	해결/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
기술했다.	기술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.8.4
강제징용 피해자 소송 문제도 법적으로 해결이 끝났다는 주장을 담았다.

강제징용	강제/NNG+징용/NNG
피해자	피해자/NNG
소송	소송/NNG
문제도	문제/NNG+도/JX
법적으로	법/NNG+적/XSN+으로/JKB
해결이	해결/NNG+이/JKS
끝났다는	끝나/VV+았/EP+다는/ETM
주장을	주장/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.9.1
조태용 외교부 1차관은 4일 벳쇼 고로(別所浩郞) 주한 일본대사를 초치해 강력히 항의했다.

조태용	조태용/NNP
외교부	외교부/NNG
1차관은	1/SN+차관/NNG+은/JX
4일	4/SN+일/NNB
벳쇼	벳쇼/NNP
고로(別所浩郞)	고로/NNP+(/SS+別所浩郞/SH+)/SS
주한	주한/NNG
일본대사를	일본/NNP+대사/NNG+를/JKO
초치해	초치/NNG+하/XSV+아/EC
강력히	강력히/MAG
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.9.2
외교부는 별도의 성명을 내고 “아베 총리가 불과 3주 전 ‘역대 내각의 역사인식을 계승한다’고 공언하고서도 제국주의 침탈 역사를 왜곡, 은폐하는 교육을 실시한다면 이는 약속을 저버리는 행위”라며 “독도 도발을 계속한다면 한일관계 개선의 길은 멀어질 수밖에 없다”고 경고했다.

외교부는	외교부/NNG+는/JX
별도의	별도/NNG+의/JKG
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
“아베	“/SS+아베/NNP
총리가	총리/NNG+가/JKS
불과	불과/MAG
3주	3/SN+주/NNB
전	전/NNG
‘역대	‘/SS+역대/NNG
내각의	내각/NNG+의/JKG
역사인식을	역사/NNG+인식/NNG+을/JKO
계승한다’고	계승/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
공언하고서도	공언/NNG+하/XSV+고서/EC+도/JX
제국주의	제국주의/NNG
침탈	침탈/NNG
역사를	역사/NNG+를/JKO
왜곡,	왜곡/NNG+,/SP
은폐하는	은폐/NNG+하/XSV+는/ETM
교육을	교육/NNG+을/JKO
실시한다면	실시/NNG+하/XSV+ㄴ다면/EC
이는	이/NP+는/JX
약속을	약속/NNG+을/JKO
저버리는	저버리/VV+는/ETM
행위”라며	행위/NNG+”/SS+이/VCP+라며/EC
“독도	“/SS+독도/NNP
도발을	도발/NNG+을/JKO
계속한다면	계속/NNG+하/XSV+ㄴ다면/EC
한일관계	한일/NNP+관계/NNG
개선의	개선/NNG+의/JKG
길은	길/NNG+은/JX
멀어질	멀어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.9.3
훙레이(洪磊) 중국 외교부 대변인도 4일 “일본이 (역사) 관련 문제에서 도발을 중지할 것을 요구한다”고 촉구했다.

훙레이(洪磊)	훙레이/NNP+(/SS+洪磊/SH+)/SS
중국	중국/NNP
외교부	외교부/NNG
대변인도	대변인/NNG+도/JX
4일	4/SN+일/NNB
“일본이	“/SS+일본/NNP+이/JKS
(역사)	(/SS+역사/NNG+)/SS
관련	관련/NNG
문제에서	문제/NNG+에서/JKB
도발을	도발/NNG+을/JKO
중지할	중지/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구한다”고	요구/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.10.1
특히 한중 양국은 과거사 문제 공조 방침을 굳히고 있어 일본과의 갈등이 더 깊어질 가능성이 크다.

특히	특히/MAG
한중	한중/NNP
양국은	양국/NNG+은/JX
과거사	과거사/NNG
문제	문제/NNG
공조	공조/NNG
방침을	방침/NNG+을/JKO
굳히고	굳히/VV+고/EC
있어	있/VX+어/EC
일본과의	일본/NNP+과/JKB+의/JKG
갈등이	갈등/NNG+이/JKS
더	더/MAG
깊어질	깊어지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000041.316.10.2
한국 정부는 5월 중순 중국 하얼빈(哈爾濱)에 건립된 안중근 의사 기념관을 정부 대표단이 공식 방문하는 방안과 한중 공동 역사 연구 등을 추진하고 있다.

한국	한국/NNP
정부는	정부/NNG+는/JX
5월	5/SN+월/NNB
중순	중순/NNG
중국	중국/NNP
하얼빈(哈爾濱)에	하얼빈/NNP+(/SS+哈爾濱/SH+)/SS+에/JKB
건립된	건립/NNG+되/XSV+ㄴ/ETM
안중근	안중근/NNP
의사	의사/NNG
기념관을	기념관/NNG+을/JKO
정부	정부/NNG
대표단이	대표단/NNG+이/JKS
공식	공식/NNG
방문하는	방문/NNG+하/XSV+는/ETM
방안과	방안/NNG+과/JC
한중	한중/NNP
공동	공동/NNG
역사	역사/NNG
연구	연구/NNG
등을	등/NNB+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


