# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.60
metadata : {}


# id : NWRW1800000056.60.1.1
‘김정남 가족 보호하나?’ “모른다”…신중한 중국

‘김정남	‘/SS+김정남/NNP
평론가	평론가/NNG
쑨자예는	쑨자예/NNP+는/JX
“김정남을	“/SS+김정남/NNP+을/JKO
죽인	죽이/VV+ㄴ/ETM
것은	것/NNB+은/JX
김정은의	김정은/NNP+의/JKG
중국에	중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
보복이며,	보복/NNG+이/VCP+며/EC+,/SP
중국이	중국/NNP+이/JKS
조선(북)에	조선/NNP+(/SS+북/NNP+)/SS+에/JKB
개입할	개입/NNG+하/XSV+ㄹ/ETM
후환을	후환/NNG+을/JKO
근절했다고	근절/NNG+하/XSV+았/EP+다고/EC
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
과도한	과도/NNG+하/XSA+ㄴ/ETM
해석”이라고	해석/NNG+”/SS+이라고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.60.7.3
김정남 피살 직후, 중국 안팎에선 북한이 이번 사건의 배후라는 것을 전제로, ‘그동안 김정남이 중국의 보호를 받았으니 사건 배후로 지목되는 김정은 위원장이 중국에 한방 먹인 것’이라는 시각이 적지 않았다.

김정남	김정남/NNP
피살	피살/NNG
직후,	직후/NNG+,/SP
중국	중국/NNP
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
북한이	북한/NNP+이/JKS
이번	이번/NNG
사건의	사건/NNG+의/JKG
배후라는	배후/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
전제로,	전제/NNG+로/JKB+,/SP
‘그동안	‘/SS+그동안/NNG
김정남이	김정남/NNP+이/JKS
중국의	중국/NNP+의/JKG
보호를	보호/NNG+를/JKO
받았으니	받/VV+았/EP+으니/EC
사건	사건/NNG
배후로	배후/NNG+로/JKB
지목되는	지목/NNG+되/XSV+는/ETM
김정은	김정은/NNP
위원장이	위원장/NNG+이/JKS
중국에	중국/NNP+에/JKB
한방	한/MMN+방/NNB
먹인	먹이/VV+ㄴ/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
시각이	시각/NNG+이/JKS
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.60.7.4
칼럼은 ‘김정남이 중국의 보호를 받았다’는 사실 자체에 의문을 제기했다.

칼럼은	칼럼/NNG+은/JX
‘김정남이	‘/SS+김정남/NNP+이/JKS
중국의	중국/NNP+의/JKG
보호를	보호/NNG+를/JKO
받았다’는	받/VV+았/EP+다/EF+’/SS+는/ETM
사실	사실/NNG
자체에	자체/NNG+에/JKB
의문을	의문/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.60.8.1
또 중국 <환구시보>는 16일 사내칼럼에서 전날 베트남 여권을 소지한 채 붙잡힌 용의자가 “장난인 줄 알았다”고 진술한 것으로 알려진 데 대해, “충성도, 능수능란함도 없는 (범인들의) 이런 행동은 성공하기도 어렵고, ‘운에 맡기고 행동한’ 요소가 매우 강하다”며 “이번 사건은 의외의 진전이 있을 가능성이 높다”고 말했다.

또	또/MAG
중국	중국/NNP
<환구시보>는	</SS+환구시보/NNP+>/SS+는/JX
16일	16/SN+일/NNB
사내칼럼에서	사내/NNG+칼럼/NNG+에서/JKB
전날	전날/NNG
베트남	베트남/NNP
여권을	여권/NNG+을/JKO
소지한	소지/NNG+하/XSV+ㄴ/ETM
채	채/NNB
붙잡힌	붙잡히/VV+ㄴ/ETM
용의자가	용의자/NNG+가/JKS
“장난인	“/SS+장난/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
알았다”고	알/VV+았/EP+다/EF+”/SS+고/JKQ
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
데	데/NNB
대해,	대하/VV+아/EC+,/SP
“충성도,	“/SS+충성/NNG+도/JX+,/SP
능수능란함도	능수능란하/VA+ㅁ/ETN+도/JX
없는	없/VA+는/ETM
(범인들의)	(/SS+범인/NNG+들/XSN+의/JKG+)/SS
이런	이런/MMD
행동은	행동/NNG+은/JX
성공하기도	성공/NNG+하/XSV+기/ETN+도/JX
어렵고,	어렵/VA+고/EC+,/SP
‘운에	‘/SS+운/NNG+에/JKB
맡기고	맡기/VV+고/EC
행동한’	행동/NNG+하/XSV+ㄴ/ETM+’/SS
요소가	요소/NNG+가/JKS
매우	매우/MAG
강하다”며	강하/VA+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
사건은	사건/NNG+은/JX
의외의	의외/NNG+의/JKG
진전이	진전/NNG+이/JKS
있을	있/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.60.8.2
범행 이후 드러난 용의자들의 서투른 움직임 등이 공작원의 행동이라고는 도저히 보기 힘들어, 사건 전모가 드러날 때까지 예단을 피하겠다는 뜻으로 읽힌다.

범행	범행/NNG
이후	이후/NNG
드러난	드러나/VV+ㄴ/ETM
용의자들의	용의자/NNG+들/XSN+의/JKG
서투른	서투르/VA+ㄴ/ETM
움직임	움직임/NNG
등이	등/NNB+이/JKS
공작원의	공작원/NNG+의/JKG
행동이라고는	행동/NNG+이/VCP+라고/EC+는/JX
도저히	도저히/MAG
보기	보/VV+기/ETN
힘들어,	힘들/VA+어/EF+,/SP
사건	사건/NNG
전모가	전모/NNG+가/JKS
드러날	드러나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
예단을	예단/NNG+을/JKO
피하겠다는	피하/VV+겠/EP+다는/ETM
뜻으로	뜻/NNG+으로/JKB
읽힌다.	읽히/VV+ㄴ다/EF+./SF


