# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.402
metadata : {}


# id : NWRW1800000040.402.1.1
국정원·경찰 27명 증언대…신원 노출 막으려 ‘가림막 청문회’

국정원·경찰	국정원/NNG+·/SP+경찰/NNG
경찰의	경찰/NNG+의/JKG
공모	공모/NNG
여부	여부/NNG
등을	등/NNB+을/JKO
파고들	파고들/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.402.10.2
국정조사 특위 민주당 위원인 박영선 의원은 18일 기자간담회에서 “권영세-박원동-김용판으로 이어지는 라인만 봐도 2012년 대선은 새누리당과 국정원의 시나리오”라며 “박원동 전 국장과 권영세 당시 박근혜 후보 캠프 상황실장은 수차례 통화했다.

국정조사	국정/NNG+조사/NNG
특위	특위/NNG
민주당	민주당/NNP
위원인	위원/NNG+이/VCP+ㄴ/ETM
박영선	박영선/NNP
의원은	의원/NNG+은/JX
18일	18/SN+일/NNB
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“권영세-박원동-김용판으로	“/SS+권영세/NNP+-/SO+박원동/NNP+-/SO+김용판/NNP+으로/JKB
이어지는	이어지/VV+는/ETM
라인만	라인/NNG+만/JX
봐도	보/VV+아도/EC
2012년	2012/SN+년/NNB
대선은	대선/NNG+은/JX
새누리당과	새누리당/NNP+과/JC
국정원의	국정원/NNG+의/JKG
시나리오”라며	시나리오/NNG+”/SS+이/VCP+라며/EC
“박원동	“/SS+박원동/NNP
전	전/MMD
국장과	국장/NNG+과/JC
권영세	권영세/NNP
당시	당시/NNG
박근혜	박근혜/NNP
후보	후보/NNG
캠프	캠프/NNG
상황실장은	상황실장/NNG+은/JX
수차례	수차례/NNG
통화했다.	통화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.402.10.3
이 부분이 밝혀져야 한다”고 주장했다.

이	이/MMD
부분이	부분/NNG+이/JKS
밝혀져야	밝혀지/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.402.10.4
민주당은 또 직접 댓글을 단 국정원 직원 김하영씨뿐 아니라 이종명 전 국정원 3차장, 민병주 전 국정원 심리전단 단장 등도 대선개입 의혹을 밝혀줄 주요 증인으로 보고, 벼르고 있다.

민주당은	민주당/NNP+은/JX
또	또/MAG
직접	직접/MAG
댓글을	댓글/NNG+을/JKO
단	달/VV+ㄴ/ETM
국정원	국정원/NNG
직원	직원/NNG
김하영씨뿐	김하영/NNP+씨/NNB+뿐/JX
아니라	아니/VCN+라/EC
이종명	이종명/NNP
전	전/MMD
3차장,	3/SN+차장/NNG+,/SP
민병주	민병주/NNP
심리전단	심리전단/NNG
단장	단장/NNG
등도	등/NNB+도/JX
대선개입	대선/NNG+개입/NNG
의혹을	의혹/NNG+을/JKO
밝혀줄	밝히/VV+어/EC+주/VX+ㄹ/ETM
주요	주요/NNG
증인으로	증인/NNG+으로/JKB
보고,	보/VV+고/EC+,/SP
벼르고	벼르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.402.11.1
야당은 국정원 댓글사건의 수사책임자였던 권은희 수서경찰서 수사과장에게도 기대를 걸고 있다.

야당은	야당/NNG+은/JX
국정원	국정원/NNG
댓글사건의	댓글/NNG+사건/NNG+의/JKG
수사책임자였던	수사/NNG+책임자/NNG+이/VCP+었/EP+던/ETM
권은희	권은희/NNP
수서경찰서	수서경찰서/NNP
수사과장에게도	수사과장/NNG+에게/JKB+도/JX
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.402.11.2
권 과장은 지난해 국정원 댓글의혹 사건을 수사한 실무책임자로 지난 2월 전보조치됐고, 4월 윗선의 수사 축소·은폐 지시를 받았다고 폭로한 바 있다.

권	권/NNP
과장은	과장/NNG+은/JX
지난해	지난해/NNG
국정원	국정원/NNG
댓글의혹	댓글/NNG+의혹/NNG
사건을	사건/NNG+을/JKO
수사한	수사/NNG+하/XSV+ㄴ/ETM
실무책임자로	실무/NNG+책임자/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
전보조치됐고,	전보/NNG+조치/NNG+되/XSV+었/EP+고/EC+,/SP
4월	4/SN+월/NNB
윗선의	윗선/NNG+의/JKG
수사	수사/NNG
축소·은폐	축소/NNG+·/SP+은폐/NNG
지시를	지시/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.402.12.1
새누리당에서는 지난 청문회에 이어 국정원 여직원 감금 의혹과 민주당의 국정원 매관매직 의혹 등을 주된 이슈로 부각시킬 예정이다.

새누리당에서는	새누리당/NNP+에서/JKB+는/JX
지난	지나/VV+ㄴ/ETM
청문회에	청문회/NNG+에/JKB
이어	잇/VV+어/EC
국정원	국정원/NNG
여직원	여직원/NNG
감금	감금/NNG
의혹과	의혹/NNG+과/JC
민주당의	민주당/NNP+의/JKG
매관매직	매관매직/NNG
의혹	의혹/NNG
등을	등/NNB+을/JKO
주된	주/NNG+되/XSV+ㄴ/ETM
이슈로	이슈/NNG+로/JKB
부각시킬	부각/NNG+시키/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.402.12.2
새누리당의 한 특위위원은 “19일 청문회도 따로 크게 준비할 것은 없다.

새누리당의	새누리당/NNP+의/JKG
한	한/MMN
특위위원은	특위/NNG+위원/NNG+은/JX
“19일	“/SS+19/SN+일/NNB
청문회도	청문회/NNG+도/JX
따로	따로/MAG
크게	크/VA+게/EC
준비할	준비/NNG+하/XSV+ㄹ/ETM
것은	것/NNB+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.402.12.3
16일 청문회와 비슷한 기조로 임할 것”이라고 말했다.

16일	16/SN+일/NNB
청문회와	청문회/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
기조로	기조/NNG+로/JKB
임할	임하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.402.12.4
특히 새누리당은 “문재인 민주당 후보가 집권하면 자리를 보장해 주겠다”는 약속이 있었다는 이른바 매관매직 의혹을 규명하기 위해 국정원 전직 간부인 김상욱씨와 민주당 의원 보좌관인 유대영씨의 정보거래 여부를 파헤친다는 계획이다.

특히	특히/MAG
새누리당은	새누리당/NNP+은/JX
“문재인	“/SS+문재인/NNP
민주당	민주당/NNP
후보가	후보/NNG+가/JKS
집권하면	집권/NNG+하/XSV+면/EC
자리를	자리/NNG+를/JKO
보장해	보장/NNG+하/XSV+아/EC
주겠다”는	주/VX+겠/EP+다/EF+”/SS+는/ETM
약속이	약속/NNG+이/JKS
있었다는	있/VA+었/EP+다는/ETM
이른바	이른바/MAG
매관매직	매관매직/NNG
의혹을	의혹/NNG+을/JKO
규명하기	규명/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
국정원	국정원/NNG
전직	전직/NNG
간부인	간부/NNG+이/VCP+ㄴ/ETM
김상욱씨와	김상욱/NNP+씨/NNB+와/JC
의원	의원/NNG
보좌관인	보좌관/NNG+이/VCP+ㄴ/ETM
유대영씨의	유대영/NNP+씨/NNB+의/JKG
정보거래	정보/NNG+거래/NNG
여부를	여부/NNG+를/JKO
파헤친다는	파헤치/VV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.402.13.1
특위는 현직 국정원 직원의 경우 신원노출 우려가 있는 만큼 가림막 뒤에서 증언하도록 한다는 데 합의했다.

특위는	특위/NNG+는/JX
현직	현직/NNG
국정원	국정원/NNG
직원의	직원/NNG+의/JKG
경우	경우/NNG
신원노출	신원/NNG+노출/NNG
우려가	우려/NNG+가/JKS
있는	있/VA+는/ETM
만큼	만큼/NNB
가림막	가림막/NNG
뒤에서	뒤/NNG+에서/JKB
증언하도록	증언/NNG+하/XSV+도록/EC
한다는	하/VX+ㄴ다는/ETM
데	데/NNB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.402.13.2
다만 박원동 전 국장의 공개증언 여부는 논란이 될 것으로 보인다.

다만	다만/MAG
박원동	박원동/NNP
전	전/MMD
국장의	국장/NNG+의/JKG
공개증언	공개/NNG+증언/NNG
여부는	여부/NNG+는/JX
논란이	논란/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.402.13.3
민주당에서는 박 전 국장이 사실상 퇴직한 상태이고 핵심 증인이니 공개증언을 해야 한다고 주장하고 있지만, 새누리당에서는 그가 지난 6월 정년퇴직 대상이 됐지만 현재 검찰 수사가 진행중이어서 퇴직 처리가 되지 않은 만큼 현직 직원 신분이라고 맞서고 있다.

민주당에서는	민주당/NNP+에서/JKB+는/JX
박	박/NNP
전	전/MMD
국장이	국장/NNG+이/JKS
사실상	사실/NNG+상/XSN
퇴직한	퇴직/NNG+하/XSV+ㄴ/ETM
상태이고	상태/NNG+이/VCP+고/EC
핵심	핵심/NNG
증인이니	증인/NNG+이/VCP+니/EC
공개증언을	공개/NNG+증언/NNG+을/JKO
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장하고	주장/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
새누리당에서는	새누리당/NNP+에서/JKB+는/JX
그가	그/NP+가/JKS
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
정년퇴직	정년퇴직/NNG
대상이	대상/NNG+이/JKC
됐지만	되/VV+었/EP+지만/EC
현재	현재/MAG
검찰	검찰/NNG
수사가	수사/NNG+가/JKS
진행중이어서	진행/NNG+중/NNB+이/VCP+어서/EC
퇴직	퇴직/NNG
처리가	처리/NNG+가/JKC
되지	되/VV+지/EC
않은	않/VX+은/ETM
만큼	만큼/NNB
현직	현직/NNG
직원	직원/NNG
신분이라고	신분/NNG+이/VCP+라고/EC
맞서고	맞서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.402.14.1
김무성 새누리당 의원과 권영세 주중 대사의 21일 출석 협의도 19일 청문회의 핵심 쟁점이 될 것으로 보인다.

김무성	김무성/NNP
새누리당	새누리당/NNP
의원과	의원/NNG+과/JC
권영세	권영세/NNP
주중	주중/NNG
대사의	대사/NNG+의/JKG
21일	21/SN+일/NNB
출석	출석/NNG
협의도	협의/NNG+도/JX
19일	19/SN+일/NNB
청문회의	청문회/NNG+의/JKG
핵심	핵심/NNG
쟁점이	쟁점/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.402.14.2
새누리당은 더이상 논의할 뜻이 없다고 밝혔지만, 정청래 민주당 특위 간사는 “두 사람의 국정원 대선개입과 관련한 의혹이 드러난 만큼 21일 (청문회에) 증인으로 채택해야 한다”고 주장했다.

새누리당은	새누리당/NNP+은/JX
더이상	더/MAG+이상/NNG
논의할	논의/NNG+하/XSV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
없다고	없/VA+다고/EC
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
정청래	정청래/NNP
민주당	민주당/NNP
특위	특위/NNG
간사는	간사/NNG+는/JX
“두	“/SS+두/MMN
사람의	사람/NNG+의/JKG
국정원	국정원/NNG
대선개입과	대선/NNG+개입/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
만큼	만큼/NNB
21일	21/SN+일/NNB
(청문회에)	(/SS+청문회/NNG+에/JKB+)/SS
증인으로	증인/NNG+으로/JKB
채택해야	채택/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


