# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.214
metadata : {}


# id : NWRW1800000040.214.1.1
지난번 검찰총장 유력후보…“발 넓어” 위태 지적도 김 차관 부친, 박정희 시절 육군 대령…월남전 참전

지난번	지난번/NNG
빼려는	빼/VV+려는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
분석도	분석/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.214.5.1
김 전 차관의 발탁에는 부친의 ‘후광’이 작용했다는 말도 나왔다.

김	김/NNP
전	전/MMD
차관의	차관/NNG+의/JKG
발탁에는	발탁/NNG+에/JKB+는/JX
부친의	부친/NNG+의/JKG
‘후광’이	‘/SS+후광/NNG+’/SS+이/JKS
작용했다는	작용/NNG+하/XSV+았/EP+다는/ETM
말도	말/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.214.5.2
김 전 차관의 부친은 박정희 대통령 시절 육군 대령 출신으로 베트남전에 참전하고 무공훈장 등을 받았다.

김	김/NNP
전	전/MMD
차관의	차관/NNG+의/JKG
부친은	부친/NNG+은/JX
박정희	박정희/NNP
대통령	대통령/NNG
시절	시절/NNG
육군	육군/NNG
대령	대령/NNG
출신으로	출신/NNG+으로/JKB
베트남전에	베트남전/NNG+에/JKB
참전하고	참전/NNG+하/XSV+고/EC
무공훈장	무공/NNG+훈장/NNG
등을	등/NNB+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.214.5.3
그러나 김 전 차관은 “박정희 전 대통령은 물론 박근혜 대통령과도 직접적인 인연이 없다”고 말해 왔다.

그러나	그러나/MAJ
김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
“박정희	“/SS+박정희/NNP
대통령은	대통령/NNG+은/JX
물론	물론/MAG
박근혜	박근혜/NNP
대통령과도	대통령/NNG+과/JKB+도/JX
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
인연이	인연/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.214.6.1
친화력이 좋다는 평을 받는 김 전 차관은 일선 지검장 시절 지역의 유력 인사들과 자주 접촉했던 것으로 알려졌다.

친화력이	친화력/NNG+이/JKS
좋다는	좋/VA+다는/ETM
평을	평/NNG+을/JKO
받는	받/VV+는/ETM
김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
일선	일선/NNG
지검장	지검장/NNG
시절	시절/NNG
지역의	지역/NNG+의/JKG
유력	유력/NNG
인사들과	인사/NNG+들/XSN+과/JKB
자주	자주/MAG
접촉했던	접촉/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.214.6.2
검찰 출신의 한 변호사는 “김 전 차관은 발이 넓어 위태위태해 보이기도 했다”고 말했다.

검찰	검찰/NNG
출신의	출신/NNG+의/JKG
한	한/MMN
변호사는	변호사/NNG+는/JX
“김	“/SS+김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
발이	발/NNG+이/JKS
넓어	넓/VA+어/EC
위태위태해	위태위태하/VA+아/EC
보이기도	보이/VV+기/ETN+도/JX
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.214.7.1
하지만 김 전 차관은 21일 사퇴 입장을 밝히면서 “모든 것이 사실이 아니다”라고 거듭 강조했다.

하지만	하지만/MAJ
김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
21일	21/SN+일/NNB
사퇴	사퇴/NNG
입장을	입장/NNG+을/JKO
밝히면서	밝히/VV+면서/EC
“모든	“/SS+모든/MMN
것이	것/NNB+이/JKS
사실이	사실/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
거듭	거듭/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.214.7.2
김 전 차관은 “이름과 관직이 거론된다는 사실 자체만으로도 부과된 소임을 수행할 수 없음을 통감한다.

김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
“이름과	“/SS+이름/NNG+과/JC
관직이	관직/NNG+이/JKS
거론된다는	거론/NNG+되/XSV+ㄴ다는/ETM
사실	사실/NNG
자체만으로도	자체/NNG+만/JX+으로/JKB+도/JX
부과된	부과/NNG+되/XSV+ㄴ/ETM
소임을	소임/NNG+을/JKO
수행할	수행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없음을	없/VA+음/ETN+을/JKO
통감한다.	통감/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.214.7.3
확인되지 않은 언론 보도로 인격과 가정의 평화가 침해되는 일이 없기를 바란다”고 밝혔다.

확인되지	확인/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
언론	언론/NNG
보도로	보도/NNG+로/JKB
인격과	인격/NNG+과/JC
가정의	가정/NNG+의/JKG
평화가	평화/NNG+가/JKS
침해되는	침해/NNG+되/XSV+는/ETM
일이	일/NNG+이/JKS
없기를	없/VA+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


