# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.267
metadata : {}


# id : NWRW1800000028.267.1.1
서울시, 대형건물 앞 개방땐 혜택

서울시,	서울시/NNP+,/SP
용적률도	용적/NNG+률/XSN+도/JX
기존	기존/NNG
600%	600/SN+%/SW
이하인	이하/NNG+이/VCP+ㄴ/ETM
경우	경우/NNG
최대	최대/NNG
660%까지	660/SN+%/SW+까지/JX
허용하고,	허용/NNG+하/XSV+고/EC+,/SP
이상이면	이상/NNG+이/VCP+면/EC
10%	10/SN+%/SW
범위	범위/NNG
안에서	안/NNG+에서/JKB
상향	상향/NNG
조정할	조정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.267.4.2
세부적인 용적률 허용 기준은 옥외주차장 등 공간 개방 면적과 가로 활성화 및 문화복지 용도 도입 등 공공기여 정도를 보고 결정한다.

세부적인	세부/NNG+적/XSN+이/VCP+ㄴ/ETM
용적률	용적/NNG+률/XSN
허용	허용/NNG
기준은	기준/NNG+은/JX
옥외주차장	옥외/NNG+주차장/NNG
등	등/NNB
공간	공간/NNG
개방	개방/NNG
면적과	면적/NNG+과/JC
가로	가로/NNG
활성화	활성/NNG+화/XSN
및	및/MAG
문화복지	문화/NNG+복지/NNG
용도	용도/NNG
도입	도입/NNG
공공기여	공공/NNG+기여/NNG
정도를	정도/NNG+를/JKO
보고	보/VV+고/EC
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.267.5.1
서울시는 시민들의 접근이 어려웠던 도심 속 대형건물의 옥외주차장과 로비를 시민 휴게공간으로 조성해 가로를 활성화하는 사업을 지난 4월부터 추진하고 있다.

서울시는	서울시/NNP+는/JX
시민들의	시민/NNG+들/XSN+의/JKG
접근이	접근/NNG+이/JKS
어려웠던	어렵/VA+었/EP+던/ETM
도심	도심/NNG
속	속/NNG
대형건물의	대형/NNG+건물/NNG+의/JKG
옥외주차장과	옥외/NNG+주차장/NNG+과/JC
로비를	로비/NNG+를/JKO
시민	시민/NNG
휴게공간으로	휴게/NNG+공간/NNG+으로/JKB
조성해	조성/NNG+하/XSV+아/EC
가로를	가로/NNG+를/JKO
활성화하는	활성/NNG+화/XSN+하/XSV+는/ETM
사업을	사업/NNG+을/JKO
지난	지나/VV+ㄴ/ETM
4월부터	4/SN+월/NNB+부터/JX
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.267.6.1
김병하 서울시 도심활성화기획관은 “기업은 사회공헌으로 브랜드가치를 높이고 공공기관은 별도의 예산 없이 시민에게 휴게공간을 마련하는 윈윈 효과가 기대된다”고 말했다.

김병하	김병하/NNP
서울시	서울시/NNP
도심활성화기획관은	도심/NNG+활성/NNG+화/XSN+기획관/NNG+은/JX
“기업은	“/SS+기업/NNG+은/JX
사회공헌으로	사회/NNG+공헌/NNG+으로/JKB
브랜드가치를	브랜드/NNG+가치/NNG+를/JKO
높이고	높이/VV+고/EC
공공기관은	공공/NNG+기관/NNG+은/JX
별도의	별도/NNG+의/JKG
예산	예산/NNG
없이	없이/MAG
시민에게	시민/NNG+에게/JKB
휴게공간을	휴게/NNG+공간/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
윈윈	윈윈/NNG
효과가	효과/NNG+가/JKS
기대된다”고	기대/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


