# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.19
metadata : {}


# id : NWRW1800000046.19.1.1
탄력받는 '아베노믹스'

탄력받는	탄력/NNG+받/XSV+는/ETM
IT(정보기술)	IT/SL+(/SS+정보/NNG+기술/NNG+)/SS
버블이	버블/NNG+이/JKS
주가를	주가/NNG+를/JKO
한껏	한껏/MAG
끌어올린	끌어올리/VV+ㄴ/ETM
2000년	2000/SN+년/NNB
4월	4/SN+월/NNB
14일이	14/SN+일/NNB+이/JKS
마지막이었다.	마지막/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.19.5.1
전문가들은 일본은행이 금융 완화 정책을 계속 가동해 시중에 추가로 돈을 풀 것이라는 기대감이 주가를 끌어올리고 있다고 분석했다.

전문가들은	전문가/NNG+들/XSN+은/JX
일본은행이	일본은행/NNP+이/JKS
금융	금융/NNG
완화	완화/NNG
정책을	정책/NNG+을/JKO
계속	계속/MAG
가동해	가동/NNG+하/XSV+아/EC
시중에	시중/NNG+에/JKB
추가로	추가/NNG+로/JKB
돈을	돈/NNG+을/JKO
풀	풀/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대감이	기대감/NNG+이/JKS
주가를	주가/NNG+를/JKO
끌어올리고	끌어올리/VV+고/EC
있다고	있/VX+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.19.5.2
니혼게이자이신문은 "엔화 약세에 힘입어 수출 기업 실적이 계속 오를 것이라는 기대감도 주가 상승세를 견인하고 있다"고 보도했다.

니혼게이자이신문은	니혼게이자이신문/NNP+은/JX
"엔화	"/SS+엔화/NNG
약세에	약세/NNG+에/JKB
힘입어	힘입/VV+어/EC
수출	수출/NNG
기업	기업/NNG
실적이	실적/NNG+이/JKS
계속	계속/MAG
오를	오르/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대감도	기대감/NNG+도/JX
주가	주가/NNG
상승세를	상승세/NNG+를/JKO
견인하고	견인/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.19.5.3
개인투자자들도 적극적으로 주식 투자에 뛰어들고 있다.

개인투자자들도	개인/NNG+투자자/NNG+들/XSN+도/JX
적극적으로	적극/NNG+적/XSN+으로/JKB
주식	주식/NNG
투자에	투자/NNG+에/JKB
뛰어들고	뛰어들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.19.6.1
무역수지도 2년 9개월 만에 흑자로 돌아섰다.

무역수지도	무역/NNG+수지/NNG+도/JX
2년	2/SN+년/NNB
9개월	9/SN+개월/NNB
만에	만/NNB+에/JKB
흑자로	흑자/NNG+로/JKB
돌아섰다.	돌아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.19.6.2
일본 재무성은 3월 무역수지가 2293억엔(2조705억원) 흑자라고 발표했다.

일본	일본/NNP
재무성은	재무성/NNP+은/JX
3월	3/SN+월/NNB
무역수지가	무역/NNG+수지/NNG+가/JKS
2293억엔(2조705억원)	2293/SN+억/NR+엔/NNB+(/SS+2/SN+조/NR+705/SN+억/NR+원/NNB+)/SS
흑자라고	흑자/NNG+이/VCP+라고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.19.6.3
전달인 2월 4250억엔 적자에서 바로 흑자로 반등했다.

전달인	전달/NNG+이/VCP+ㄴ/ETM
2월	2/SN+월/NNB
4250억엔	4250/SN+억/NR+엔/NNB
적자에서	적자/NNG+에서/JKB
바로	바로/MAG
흑자로	흑자/NNG+로/JKB
반등했다.	반등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.19.6.4
전망치였던 446억엔 흑자를 크게 뛰어넘었다.

전망치였던	전망/NNG+치/XSN+이/VCP+었/EP+던/ETM
446억엔	446/SN+억/NR+엔/NNB
흑자를	흑자/NNG+를/JKO
크게	크/VA+게/EC
뛰어넘었다.	뛰어넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.19.6.5
2012년 6월 이후 첫 무역수지 흑자다.

2012년	2012/SN+년/NNB
6월	6/SN+월/NNB
이후	이후/NNG
첫	첫/MMN
무역수지	무역/NNG+수지/NNG
흑자다.	흑자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.19.6.6
일본 언론은 엔저 덕분에 가격 경쟁력을 앞세운 자동차·전자제품 수출이 호조이고, 국제 원유값 하락으로 에너지 수입 비용이 급감한 것을 원인으로 분석했다.

일본	일본/NNP
언론은	언론/NNG+은/JX
엔저	엔저/NNG
덕분에	덕분/NNG+에/JKB
가격	가격/NNG
경쟁력을	경쟁력/NNG+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
자동차·전자제품	자동차/NNG+·/SP+전자/NNG+제품/NNG
수출이	수출/NNG+이/JKS
호조이고,	호조/NNG+이/VCP+고/EC+,/SP
국제	국제/NNG
원유값	원유값/NNG
하락으로	하락/NNG+으로/JKB
에너지	에너지/NNG
수입	수입/NNG
비용이	비용/NNG+이/JKS
급감한	급감/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
원인으로	원인/NNG+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.19.6.7
올해 3월은 작년 3월과 비교해 수출은 8.5% 늘어나고 수입은 14.5% 줄었다.

올해	올해/NNG
3월은	3/SN+월/NNB+은/JX
작년	작년/NNG
3월과	3/SN+월/NNB+과/JKB
비교해	비교/NNG+하/XSV+아/EC
수출은	수출/NNG+은/JX
8.5%	8/SN+./SP+5/SN+%/SW
늘어나고	늘어나/VV+고/EC
수입은	수입/NNG+은/JX
14.5%	14/SN+./SP+5/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.19.6.8
수출은 7개월 연속 늘어나는 중이다.

수출은	수출/NNG+은/JX
7개월	7/SN+개월/NNB
연속	연속/NNG
늘어나는	늘어나/VV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.19.7.1
좀처럼 적자에서 벗어나지 못해 아베노믹스의 약점으로 지목된 무역수지가 아베 정권 출범 후 처음으로 흑자를 기록하자 마침내 'J커브' 효과가 나타났다는 분석도 나온다.

좀처럼	좀처럼/MAG
적자에서	적자/NNG+에서/JKB
벗어나지	벗어나/VV+지/EC
못해	못하/VX+아/EC
아베노믹스의	아베노믹스/NNG+의/JKG
약점으로	약점/NNG+으로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
무역수지가	무역/NNG+수지/NNG+가/JKS
아베	아베/NNP
정권	정권/NNG
출범	출범/NNG
후	후/NNG
처음으로	처음/NNG+으로/JKB
흑자를	흑자/NNG+를/JKO
기록하자	기록/NNG+하/XSV+자/EC
마침내	마침내/MAG
'J커브'	'/SS+J/SL+커브/NNG+'/SS
효과가	효과/NNG+가/JKS
나타났다는	나타나/VV+았/EP+다는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.19.7.2
J커브 효과는 통화가치가 하락할 경우 초반에 무역수지가 악화되지만 시일이 지나면서 개선되는 현상을 말한다.

J커브	J/SL+커브/NNG
효과는	효과/NNG+는/JX
통화가치가	통화/NNG+가치/NNG+가/JKS
하락할	하락/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
초반에	초반/NNG+에/JKB
무역수지가	무역/NNG+수지/NNG+가/JKS
악화되지만	악화/NNG+되/XSV+지만/EC
시일이	시일/NNG+이/JKS
지나면서	지나/VV+면서/EC
개선되는	개선/NNG+되/XSV+는/ETM
현상을	현상/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.19.8.1
올해 일본 경제는 계속 상승세를 탈 것이라는 전망이 우세하다.

올해	올해/NNG
일본	일본/NNP
경제는	경제/NNG+는/JX
계속	계속/MAG
상승세를	상승세/NNG+를/JKO
탈	타/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
우세하다.	우세/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.19.8.2
3월 소비자태도지수가 4개월 연속 상승하면서 소비 심리도 되살아나고 있다.

3월	3/SN+월/NNB
소비자태도지수가	소비자/NNG+태도/NNG+지수/NNG+가/JKS
4개월	4/SN+개월/NNB
연속	연속/NNG
상승하면서	상승/NNG+하/XSV+면서/EC
소비	소비/NNG
심리도	심리/NNG+도/JX
되살아나고	되살아나/VV+고/EC
있다.	있/VX+다/EF+./SF


