# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.199
metadata : {}


# id : NWRW1800000041.199.1.1
지하철역 상가 불나고… 달리던 시외버스 전소

지하철역	지하철역/NNG
경부고속도로	경부고속도로/NNP
양재나들목에서	양재나들목/NNP+에서/JKB
부산	부산/NNP
방향	방향/NNG
3km	3/SN+km/SW
지점에서	지점/NNG+에서/JKB
달리던	달리/VV+던/ETM
청주행	청주행/NNG
시외버스	시외버스/NNG
차량	차량/NNG
앞쪽에서	앞쪽/NNG+에서/JKB
연기가	연기/NNG+가/JKS
솟아올랐다.	솟아오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.199.4.2
이를 본 운전사 윤모 씨(56)는 서둘러 차를 갓길에 세운 다음 승객들에게 “차에서 내리라”고 안내했다.

이를	이/NP+를/JKO
본	보/VV+ㄴ/ETM
운전사	운전사/NNG
윤모	윤/NNP+모/NP
씨(56)는	씨/NNB+(/SS+56/SN+)/SS+는/JX
서둘러	서두르/VV+어/EC
차를	차/NNG+를/JKO
갓길에	갓길/NNG+에/JKB
세운	세우/VV+ㄴ/ETM
다음	다음/NNG
승객들에게	승객/NNG+들/XSN+에게/JKB
“차에서	“/SS+차/NNG+에서/JKB
내리라”고	내리/VV+라/EF+”/SS+고/JKQ
안내했다.	안내/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.199.4.3
차에 탔던 승객들 23명이 모두 차에서 내리는 걸 확인한 윤 씨는 소방당국이 출동할 때까지 차 안에 비치된 소화기로 불길을 자체 진압하려 시도하기도 했다.

차에	차/NNG+에/JKB
탔던	타/VV+았/EP+던/ETM
승객들	승객/NNG+들/XSN
23명이	23/SN+명/NNB+이/JKS
모두	모두/MAG
차에서	차/NNG+에서/JKB
내리는	내리/VV+는/ETM
걸	거/NNB+ㄹ/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
윤	윤/NNP
씨는	씨/NNB+는/JX
소방당국이	소방/NNG+당국/NNG+이/JKS
출동할	출동/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
차	차/NNG
안에	안/NNG+에/JKB
비치된	비치/NNG+되/XSV+ㄴ/ETM
소화기로	소화기/NNG+로/JKB
불길을	불길/NNG+을/JKO
자체	자체/NNG
진압하려	진압/NNG+하/XSV+려/EC
시도하기도	시도/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.199.5.1
불길은 계속 번져 30여 분 만에 차를 전부 태우고 나서야 꺼졌지만 승객들은 대체 투입된 버스로 갈아타 인명피해는 없었다.

불길은	불길/NNG+은/JX
계속	계속/MAG
번져	번지/VV+어/EC
30여	30/SN+여/XSN
분	분/NNB
만에	만/NNB+에/JKB
차를	차/NNG+를/JKO
전부	전부/MAG
태우고	태우/VV+고/EC
나서야	나/VX+아서/EC+야/JX
꺼졌지만	꺼지/VV+었/EP+지만/EC
승객들은	승객/NNG+들/XSN+은/JX
대체	대체/NNG
투입된	투입/NNG+되/XSV+ㄴ/ETM
버스로	버스/NNG+로/JKB
갈아타	갈아타/VV+아/EC
인명피해는	인명/NNG+피해/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.199.5.2
화재를 목격한 이창행 씨(57)는 “버스가 완전히 타 인명피해를 걱정했는데 운전사가 잘 대처한 것 같다.

화재를	화재/NNG+를/JKO
목격한	목격/NNG+하/XSV+ㄴ/ETM
이창행	이창행/NNP
씨(57)는	씨/NNB+(/SS+57/SN+)/SS+는/JX
“버스가	“/SS+버스/NNG+가/JKS
완전히	완전히/MAG
타	타/VV+아/EC
인명피해를	인명/NNG+피해/NNG+를/JKO
걱정했는데	걱정/NNG+하/XSV+았/EP+는데/EC
운전사가	운전사/NNG+가/JKS
잘	잘/MAG
대처한	대처/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000041.199.5.3
불이 난 채 운전했거나 도로 한가운데 차를 세웠으면 많은 사람이 다쳤을 것”이라고 전했다.

불이	불/NNG+이/JKS
난	나/VV+ㄴ/ETM
채	채/NNB
운전했거나	운전/NNG+하/XSV+았/EP+거나/EC
도로	도로/NNG
한가운데	한/XPN+가운데/NNG
차를	차/NNG+를/JKO
세웠으면	세우/VV+었/EP+으면/EC
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
다쳤을	다치/VV+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.199.6.1
17일 오후 11시 반경에는 서울 지하철 2호선 역삼역 내에 있는 옷가게 내부에서 불이 났으나 4분 만에 인명피해 없이 진화됐다.

17일	17/SN+일/NNB
오후	오후/NNG
11시	11/SN+시/NNB
반경에는	반/NNG+경/XSN+에/JKB+는/JX
서울	서울/NNP
지하철	지하철/NNG
2호선	2/SN+호선/NNB
역삼역	역삼역/NNP
내에	내/NNB+에/JKB
있는	있/VA+는/ETM
옷가게	옷/NNG+가게/NNG
내부에서	내부/NNG+에서/JKB
불이	불/NNG+이/JKS
났으나	나/VV+았/EP+으나/EC
4분	4/SN+분/NNB
만에	만/NNB+에/JKB
인명피해	인명/NNG+피해/NNG
없이	없이/MAG
진화됐다.	진화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.199.6.2
당시 역내를 순찰하던 서울메트로 직원 윤양채 씨(54)가 연기가 나는 걸 보고 신속하게 대응해 불길이 커지지 않았다.

당시	당시/NNG
역내를	역내/NNG+를/JKO
순찰하던	순찰/NNG+하/XSV+던/ETM
서울메트로	서울메트로/NNP
직원	직원/NNG
윤양채	윤양채/NNP
씨(54)가	씨/NNB+(/SS+54/SN+)/SS+가/JKS
연기가	연기/NNG+가/JKS
나는	나/VV+는/ETM
걸	거/NNB+ㄹ/JKO
보고	보/VV+고/EC
신속하게	신속/NNG+하/XSA+게/EC
대응해	대응/NNG+하/XSV+아/EC
불길이	불길/NNG+이/JKS
커지지	커지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.199.6.3
윤 씨는 소방서에 신고하는 동시에 비상공구함에서 망치를 꺼내 유리를 깨고 점포에 들어가 소화기로 불길을 잡았다.

윤	윤/NNP
씨는	씨/NNB+는/JX
소방서에	소방서/NNG+에/JKB
신고하는	신고/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
비상공구함에서	비상/NNG+공구함/NNG+에서/JKB
망치를	망치/NNG+를/JKO
꺼내	꺼내/VV+어/EC
유리를	유리/NNG+를/JKO
깨고	깨/VV+고/EC
점포에	점포/NNG+에/JKB
들어가	들어가/VV+아/EC
소화기로	소화기/NNG+로/JKB
불길을	불길/NNG+을/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.199.6.4
역사 내에선 화재 안내방송이 나와 100여 명이 대피하기도 했지만 불길이 금방 잡혀 지하철은 정상 운행됐다.

역사	역사/NNG
내에선	내/NNB+에서/JKB+ㄴ/JX
화재	화재/NNG
안내방송이	안내/NNG+방송/NNG+이/JKS
나와	나오/VV+아/EC
100여	100/SN+여/XSN
명이	명/NNB+이/JKS
대피하기도	대피/NNG+하/XSV+기/ETN+도/JX
했지만	하/VX+았/EP+지만/EC
불길이	불길/NNG+이/JKS
금방	금방/MAG
잡혀	잡히/VV+어/EC
지하철은	지하철/NNG+은/JX
정상	정상/NNG
운행됐다.	운행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.199.6.5
경찰과 소방당국은 옷가게 안 에어컨 근처에서 불이 난 것으로 보고 정확한 화재 원인을 조사 중이다.

경찰과	경찰/NNG+과/JC
소방당국은	소방/NNG+당국/NNG+은/JX
옷가게	옷/NNG+가게/NNG
안	안/NNG
에어컨	에어컨/NNG
근처에서	근처/NNG+에서/JKB
불이	불/NNG+이/JKS
난	나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
화재	화재/NNG
원인을	원인/NNG+을/JKO
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


