# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.70
metadata : {}


# id : NWRW1800000044.70.1.1
중미 대선에도 ‘좌파 바람’ 부나

중미	중미/NNP
# id : NWRW1800000044.70.9.2
이대로 선거 결과가 확정되면 엘살바도르에선 3월9일, 코스타리카에선 4월6일 각각 결선 투표가 치러질 예정이다.

이대로	이대로/MAG
선거	선거/NNG
결과가	결과/NNG+가/JKS
확정되면	확정/NNG+되/XSV+면/EC
엘살바도르에선	엘살바도르/NNP+에서/JKB+ㄴ/JX
3월9일,	3/SN+월/NNB+9/SN+일/NNB+,/SP
코스타리카에선	코스타리카/NNP+에서/JKB+ㄴ/JX
4월6일	4/SN+월/NNB+6/SN+일/NNB
각각	각각/MAG
결선	결선/NNG
투표가	투표/NNG+가/JKS
치러질	치르/VV+어/EC+지/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.70.9.3
코스타리카에서 솔리스 후보가 당선되면, 카리브 연안국가를 포함한 20개 라틴아메리카 국가 가운데 좌파정부는 13개국으로 늘게 된다.

코스타리카에서	코스타리카/NNP+에서/JKB
솔리스	솔리스/NNP
후보가	후보/NNG+가/JKS
당선되면,	당선/NNG+되/XSV+면/EC+,/SP
카리브	카리브/NNP
연안국가를	연안/NNG+국가/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
20개	20/SN+개/NNB
라틴아메리카	라틴아메리카/NNP
국가	국가/NNG
가운데	가운데/NNG
좌파정부는	좌파/NNG+정부/NNG+는/JX
13개국으로	13/SN+개국/NNB+으로/JKB
늘게	늘/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


