# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.312
metadata : {}


# id : NWRW1800000022.312.1.1
[北 무단방류 '임진강 참변'] "방류 직전 水位, 평소보다 안 높았는데 왜?";전문가들 '北 주장' 비판 "北, 댐 수위 조절하려면 조금씩 흘려도 충분한데 갑자기 수문 열어 피해"

[北	[/SS+北/SH
164㎜)가	164/SN+㎜/SW+)/SS+가/JKS
내린	내리/VV+ㄴ/ETM
것	것/NNB
외에는	외/NNB+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
비가	비/NNG+가/JKS
오지	오/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
기상청은	기상청/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.312.5.1
다만 올여름에는 북한의 다른 지역에 비해 비가 상대적으로 많이 와서 황강댐의 저수량도 상당 부분 차 있었던 것으로 추정된다.

다만	다만/MAG
올여름에는	올여름/NNG+에/JKB+는/JX
북한의	북한/NNP+의/JKG
다른	다른/MMD
지역에	지역/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
비가	비/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
많이	많이/MAG
와서	오/VV+아서/EC
황강댐의	황강댐/NNP+의/JKG
저수량도	저수량/NNG+도/JX
상당	상당/NNG
부분	부분/NNG
차	차/VV+아/EC
있었던	있/VX+었/EP+던/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.312.5.2
기상청에 따르면 황강댐 주변 지역은 지난 7~8월 두 달 동안 1090㎜의 비가 쏟아졌다.

기상청에	기상청/NNG+에/JKB
따르면	따르/VV+면/EC
황강댐	황강댐/NNP
주변	주변/NNG
지역은	지역/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7~8월	7/SN+~/SO+8/SN+월/NNB
두	두/MMN
달	달/NNB
동안	동안/NNG
1090㎜의	1090/SN+㎜/SW+의/JKG
비가	비/NNG+가/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.312.5.3
이런 강수량은 이 지역 평년 강수량(601㎜)의 두 배에 가까운 수준.

이런	이런/MMD
강수량은	강수량/NNG+은/JX
이	이/MMD
지역	지역/NNG
평년	평년/NNG
강수량(601㎜)의	강수량/NNG+(/SS+601/SN+㎜/SW+)/SS+의/JKG
두	두/MMN
배에	배/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
수준.	수준/NNG+./SF


# id : NWRW1800000022.312.5.4
이로 인해 황강댐도 여름에 내린 비를 받아두면서 담수 여유가 그렇게 많지는 않았을 것이란 북측의 주장이 가능해 보일 수 있다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
황강댐도	황강댐/NNP+도/JX
여름에	여름/NNG+에/JKB
내린	내리/VV+ㄴ/ETM
비를	비/NNG+를/JKO
받아두면서	받/VV+아/EC+두/VX+면서/EC
담수	담수/NNG
여유가	여유/NNG+가/JKS
그렇게	그렇/VA+게/EC
많지는	많/VA+지/EC+는/JX
않았을	않/VX+았/EP+을/ETM
것이란	것/NNB+이/VCP+란/ETM
북측의	북측/NNG+의/JKG
주장이	주장/NNG+이/JKS
가능해	가능/NNG+하/XSA+아/EC
보일	보이/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.312.5.5
하지만 조원철 연세대(사회환경시스템공학부) 교수는 "이번 사건이 발생하기 전 일주일 동안 임진강 수위는 평상시 수준(2.4m)보다 높지 않았다"며 "북한이 정말 댐 수위를 조절할 필요가 있었다면 충분히 방류할 시간적 여유가 있었다"고 지적했다.

하지만	하지만/MAJ
조원철	조원철/NNP
연세대(사회환경시스템공학부)	연세대/NNP+(/SS+사회/NNG+환경/NNG+시스템/NNG+공학부/NNG+)/SS
교수는	교수/NNG+는/JX
"이번	"/SS+이번/NNG
사건이	사건/NNG+이/JKS
발생하기	발생/NNG+하/XSV+기/ETN
전	전/NNG
일주일	일주일/NNG
동안	동안/NNG
임진강	임진강/NNP
수위는	수위/NNG+는/JX
평상시	평상시/NNG
수준(2.4m)보다	수준/NNG+(/SS+2/SN+./SP+4/SN+m/SW+)/SS+보다/JKB
높지	높/VA+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"북한이	"/SS+북한/NNP+이/JKS
정말	정말/MAG
댐	댐/NNG
수위를	수위/NNG+를/JKO
조절할	조절/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있었다면	있/VA+었/EP+다면/EC
충분히	충분히/MAG
방류할	방류/NNG+하/XSV+ㄹ/ETM
시간적	시간/NNG+적/XSN
여유가	여유/NNG+가/JKS
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.312.5.6
한국수자원공사 관계자도 "보통 큰 비가 내리고 3~4일이 지나면 댐 수위가 올라 방류를 결정하는 게 일반적인데 북한이 일주일이 넘도록 그대로 둔 것은 이해하기 어렵다"고 말했다.

한국수자원공사	한국수자원공사/NNP
관계자도	관계자/NNG+도/JX
"보통	"/SS+보통/MAG
큰	크/VA+ㄴ/ETM
비가	비/NNG+가/JKS
내리고	내리/VV+고/EC
3~4일이	3/SN+~/SO+4/SN+일/NNB+이/JKS
지나면	지나/VV+면/EC
댐	댐/NNG
수위가	수위/NNG+가/JKS
올라	오르/VV+아/EC
방류를	방류/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
일반적인데	일반/NNG+적/XSN+이/VCP+ㄴ데/EC
북한이	북한/NNP+이/JKS
일주일이	일주일/NNG+이/JKS
넘도록	넘/VV+도록/EC
그대로	그대로/MAG
둔	두/VV+ㄴ/ETM
것은	것/NNB+은/JX
이해하기	이해/NNG+하/XSV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.312.6.1
◆부실공사·기술적 오류 가능성 희박

◆부실공사·기술적	◆/SW+부실/NNG+공사/NNG+·/SP+기술/NNG+적/XSN
오류	오류/NNG
가능성	가능/NNG+성/XSN
희박	희박/XR


# id : NWRW1800000022.312.7.1
북한이 해명한 '긴급 방류'의 이유로 감안할 수 있는 상황으로는 댐 균열 등을 들 수 있다.

북한이	북한/NNP+이/JKS
해명한	해명/NNG+하/XSV+ㄴ/ETM
'긴급	'/SS+긴급/NNG
방류'의	방류/NNG+'/SS+의/JKG
이유로	이유/NNG+로/JKB
감안할	감안/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황으로는	상황/NNG+으로/JKB+는/JX
댐	댐/NNG
균열	균열/NNG
등을	등/NNB+을/JKO
들	들/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.312.7.2
지난 2월에 완공된 황강댐이 건설 당시 철근·콘크리트 부실 등으로 댐 본체나 주변 시설에 부분적으로 균열이 발생, 물을 긴급히 내려 보냈을 가능성이다.

지난	지나/VV+ㄴ/ETM
2월에	2/SN+월/NNB+에/JKB
완공된	완공/NNG+되/XSV+ㄴ/ETM
황강댐이	황강댐/NNP+이/JKS
건설	건설/NNG
당시	당시/NNG
철근·콘크리트	철근/NNG+·/SP+콘크리트/NNG
부실	부실/NNG
등으로	등/NNB+으로/JKB
댐	댐/NNG
본체나	본체/NNG+나/JC
주변	주변/NNG
시설에	시설/NNG+에/JKB
부분적으로	부분/NNG+적/XSN+으로/JKB
균열이	균열/NNG+이/JKS
발생,	발생/NNG+,/SP
물을	물/NNG+을/JKO
긴급히	긴급히/MAG
내려	내리/VV+어/EC
보냈을	보내/VV+었/EP+을/ETM
가능성이다.	가능/NNG+성/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.312.7.3
그러나 전문가들은 이 역시 시간적 여유를 두고 대처가 가능한 부분이라고 주장한다.

그러나	그러나/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
이	이/MMD
역시	역시/MAG
시간적	시간/NNG+적/XSN
여유를	여유/NNG+를/JKO
두고	두/VV+고/EC
대처가	대처/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
부분이라고	부분/NNG+이/VCP+라고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.312.7.4
한 수자원 전문가는 "북한의 건설기술이 우리보다 뒤처진다고 해도 철근·콘크리트로 짓는 댐에 균열이 생길 정도는 아니다"라며 "만일 댐에 균열이 발생했다고 쳐도 수위가 어느 정도만 차면 발견이 가능하다"고 말했다.

한	한/MMN
수자원	수자원/NNG
전문가는	전문가/NNG+는/JX
"북한의	"/SS+북한/NNP+의/JKG
건설기술이	건설/NNG+기술/NNG+이/JKS
우리보다	우리/NP+보다/JKB
뒤처진다고	뒤처지/VV+ㄴ다고/EC
해도	하/VX+아도/EC
철근·콘크리트로	철근/NNG+·/SP+콘크리트/NNG+로/JKB
짓는	짓/VV+는/ETM
댐에	댐/NNG+에/JKB
균열이	균열/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
정도는	정도/NNG+는/JX
아니다"라며	아니/VCN+다/EF+"/SS+이/VCP+라며/EC
"만일	"/SS+만일/MAG
발생했다고	발생/NNG+하/XSV+았/EP+다고/EC
쳐도	치/VV+어도/EC
수위가	수위/NNG+가/JKS
어느	어느/MMD
정도만	정도/NNG+만/JX
차면	차/VV+면/EC
발견이	발견/NNG+이/JKS
가능하다"고	가능/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.312.8.1
일각에서는 북한이 물을 방류하는 과정에서 실수 또는 기술적 오류로 예성강 쪽이 아닌 임진강 쪽 수문을 연 것 아니냐는 분석도 나온다.

일각에서는	일각/NNG+에서/JKB+는/JX
북한이	북한/NNP+이/JKS
물을	물/NNG+을/JKO
방류하는	방류/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
실수	실수/NNG
또는	또는/MAG
기술적	기술/NNG+적/XSN
오류로	오류/NNG+로/JKB
예성강	예성강/NNP
쪽이	쪽/NNB+이/JKC
아닌	아니/VCN+ㄴ/ETM
임진강	임진강/NNP
쪽	쪽/NNB
수문을	수문/NNG+을/JKO
연	열/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.312.8.2
하지만 이 역시 설득력이 떨어지기는 마찬가지다.

하지만	하지만/MAJ
이	이/MMD
역시	역시/MAG
설득력이	설득력/NNG+이/JKS
떨어지기는	떨어지/VV+기/ETN+는/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.312.8.3
설혹 북한이 댐 수문을 잘못 열었다고 하더라도 이를 닫기까지 걸리는 시간은 불과 한 시간도 채 걸리지 않는다.

설혹	설혹/MAG
북한이	북한/NNP+이/JKS
댐	댐/NNG
수문을	수문/NNG+을/JKO
잘못	잘못/MAG
열었다고	열/VV+었/EP+다고/EC
하더라도	하/VV+더라도/EC
이를	이/NP+를/JKO
닫기까지	닫/VV+기/ETN+까지/JX
걸리는	걸리/VV+는/ETM
시간은	시간/NNG+은/JX
불과	불과/MAG
한	한/MMN
시간도	시간/NNB+도/JX
채	채/MAG
걸리지	걸리/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.312.9.1
◆굳이 한밤에 왜 임진강 쪽으로?

◆굳이	◆/SW+굳이/MAG
한밤에	한/XPN+밤/NNG+에/JKB
왜	왜/MAG
임진강	임진강/NNP
쪽으로?	쪽/NNB+으로/JKB+?/SF


# id : NWRW1800000022.312.10.1
북한이 피치 못하게 댐에서 물을 방류할 수밖에 없는 상황이었다고 하더라도 굳이 임진강 쪽으로의 방류를 택한 것은 전혀 이해할 수 없다는 반응이다.

북한이	북한/NNP+이/JKS
피치	피하/VV+지/EC
못하게	못하/VX+게/EC
댐에서	댐/NNG+에서/JKB
물을	물/NNG+을/JKO
방류할	방류/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
상황이었다고	상황/NNG+이/VCP+었/EP+다고/EC
하더라도	하/VV+더라도/EC
굳이	굳이/MAG
임진강	임진강/NNP
쪽으로의	쪽/NNB+으로/JKB+의/JKG
방류를	방류/NNG+를/JKO
택한	택하/VV+ㄴ/ETM
것은	것/NNB+은/JX
전혀	전혀/MAG
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
반응이다.	반응/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.312.10.2
조원철 교수는 "북한은 2007년 10월부터 황강댐의 수로를 예성강(개성 지역에서 서해로 흐르는 강)으로 돌리는 유역변경식 댐으로 전환하면서 담수(湛水)에 들어갔다"며 "그런데 이제 와서 왜 갑자기 예성강이 아닌 임진강 쪽으로 물을 흘려보냈는지 이해할 수 없다"고 말했다.

조원철	조원철/NNP
교수는	교수/NNG+는/JX
"북한은	"/SS+북한/NNP+은/JX
2007년	2007/SN+년/NNB
10월부터	10/SN+월/NNB+부터/JX
황강댐의	황강댐/NNP+의/JKG
수로를	수로/NNG+를/JKO
예성강(개성	예성강/NNP+(/SS+개성/NNP
지역에서	지역/NNG+에서/JKB
서해로	서해/NNP+로/JKB
흐르는	흐르/VV+는/ETM
강)으로	강/NNG+)/SS+으로/JKB
돌리는	돌리/VV+는/ETM
유역변경식	유역/NNG+변경식/NNG
댐으로	댐/NNG+으로/JKB
전환하면서	전환/NNG+하/XSV+면서/EC
담수(湛水)에	담수/NNG+(/SS+湛水/SH+)/SS+에/JKB
들어갔다"며	들어가/VV+았/EP+다/EF+"/SS+며/EC
"그런데	"/SS+그런데/MAJ
이제	이제/MAG
와서	오/VV+아서/EC
왜	왜/MAG
갑자기	갑자기/MAG
예성강이	예성강/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
임진강	임진강/NNP
쪽으로	쪽/NNB+으로/JKB
물을	물/NNG+을/JKO
흘려보냈는지	흘리/VV+어/EC+보내/VV+었/EP+는지/EC
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.312.10.3
대한토목학회 임충수 사무총장은 "이번과 같은 사건이 재발하지 않도록 남과 북 정부 관계자는 물론 수자원 전문가들이 모여 향후 임진강 수계를 안전하게 관리·운영하는 방안을 함께 모색해야 할 것"이라고 말했다.

대한토목학회	대한토목학회/NNP
임충수	임충수/NNP
사무총장은	사무총장/NNG+은/JX
"이번과	"/SS+이번/NNG+과/JKB
같은	같/VA+은/ETM
사건이	사건/NNG+이/JKS
재발하지	재발/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
남과	남/NNP+과/JC
북	북/NNP
정부	정부/NNG
관계자는	관계자/NNG+는/JX
물론	물론/MAG
수자원	수자원/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
향후	향후/NNG
임진강	임진강/NNP
수계를	수계/NNG+를/JKO
안전하게	안전/NNG+하/XSA+게/EC
관리·운영하는	관리/NNG+·/SP+운영/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
함께	함께/MAG
모색해야	모색/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


