# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.418
metadata : {}


# id : NWRW1800000038.418.1.1
김정은이 추진 중인 경제개혁, 北기득권층 반발에 오락가락

김정은이	김정은/NNP+이/JKS
것을	것/NNB+을/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
'6·28	'/SS+6/SN+·/SP+28/SN
조치'를	조치/NNG+'/SS+를/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
각	각/MMD
대학	대학/NNG
등	등/NNB
연구	연구/NNG
기관에	기관/NNG+에/JKB
"누구나	"/SS+누구/NP+나/JX
마음	마음/NNG
놓고	놓/VV+고/EC
정책을	정책/NNG+을/JKO
제안하라"고	제안/NNG+하/XSV+라/EF+"/SS+고/JKQ
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.418.5.1
이에 따라 일부 연구 기관들은 "근로 인민 대중이 땅과 공장의 진짜 주인이 돼야 한다", "중국도 가족 영농으로 2년 만에 먹고사는 문제를 해결한 것처럼 토지를 개인에게 나눠주고 중소기업도 개인이 경영하게 해야 한다"는 등의 보고서를 올렸다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
일부	일부/NNG
연구	연구/NNG
기관들은	기관/NNG+들/XSN+은/JX
"근로	"/SS+근로/NNG
인민	인민/NNG
대중이	대중/NNG+이/JKS
땅과	땅/NNG+과/JC
공장의	공장/NNG+의/JKG
진짜	진짜/NNG
주인이	주인/NNG+이/JKC
돼야	되/VV+어야/EC
한다",	하/VX+ㄴ다/EF+"/SS+,/SP
"중국도	"/SS+중국/NNP+도/JX
가족	가족/NNG
영농으로	영농/NNG+으로/JKB
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
먹고사는	먹고살/VV+는/ETM
문제를	문제/NNG+를/JKO
해결한	해결/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
토지를	토지/NNG+를/JKO
개인에게	개인/NNG+에게/JKB
나눠주고	나누/VV+어/EC+주/VX+고/EC
중소기업도	중소기업/NNG+도/JX
개인이	개인/NNG+이/JKS
경영하게	경영/NNG+하/XSV+게/EC
해야	하/VX+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
보고서를	보고서/NNG+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.418.5.2
이를 받아든 노동당 조직부는 지난해 10월 "사상적으로 문제가 있으니 강하게 처벌해야 한다"고 주장했고, 김정은도 "반동적 발언이 다시는 나타나지 않도록 짓뭉개 버리라"고 지시, 보고서를 올린 연구원들은 모두 사상 검열과 함께 처벌을 받았다.

이를	이/NP+를/JKO
받아든	받/VV+아/EC+들/VV+ㄴ/ETM
노동당	노동당/NNP
조직부는	조직부/NNG+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
"사상적으로	"/SS+사상/NNG+적/XSN+으로/JKB
문제가	문제/NNG+가/JKS
있으니	있/VA+으니/EC
강하게	강하/VA+게/EC
처벌해야	처벌/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했고,	주장/NNG+하/XSV+았/EP+고/EC+,/SP
김정은도	김정은/NNP+도/JX
"반동적	"/SS+반동/NNG+적/XSN
발언이	발언/NNG+이/JKS
다시는	다시/MAG+는/JX
나타나지	나타나/VV+지/EC
않도록	않/VX+도록/EC
짓뭉개	짓뭉개/VV+어/EC
버리라"고	버리/VX+라/EF+"/SS+고/JKQ
지시,	지시/NNG+,/SP
보고서를	보고서/NNG+를/JKO
올린	올리/VV+ㄴ/ETM
연구원들은	연구원/NNG+들/XSN+은/JX
모두	모두/MAG
사상	사상/NNG
검열과	검열/NNG+과/JKB
함께	함께/MAG
처벌을	처벌/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.418.6.1
김정은은 또 지난 4월 해외 근무자 자녀 복귀를 지시했다가 5개월 만에 철회했다.

김정은은	김정은/NNP+은/JX
또	또/MAG
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
해외	해외/NNG
근무자	근무자/NNG
자녀	자녀/NNG
복귀를	복귀/NNG+를/JKO
지시했다가	지시/NNG+하/XSV+았/EP+다가/EC
5개월	5/SN+개월/NNB
만에	만/NNB+에/JKB
철회했다.	철회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.418.6.2
당시 자녀를 해외에 보낸 북한 권력층 사이에서는 "이런 조치를 취하도록 만든 놈은 당과 대중을 이탈시키려는 나쁜 놈들", "김정은이 정말 큰 실수를 한 것"이라는 얘기가 나왔다고 한다.

당시	당시/NNG
자녀를	자녀/NNG+를/JKO
해외에	해외/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
북한	북한/NNP
권력층	권력/NNG+층/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
"이런	"/SS+이런/MMD
조치를	조치/NNG+를/JKO
취하도록	취하/VV+도록/EC
만든	만들/VV+ㄴ/ETM
놈은	놈/NNB+은/JX
당과	당/NNG+과/JC
대중을	대중/NNG+을/JKO
이탈시키려는	이탈/NNG+시키/XSV+려는/ETM
나쁜	나쁘/VA+ㄴ/ETM
놈들",	놈/NNB+들/XSN+"/SS+,/SP
"김정은이	"/SS+김정은/NNP+이/JKS
정말	정말/MAG
큰	크/VA+ㄴ/ETM
실수를	실수/NNG+를/JKO
한	하/VV+ㄴ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
얘기가	얘기/NNG+가/JKS
나왔다고	나오/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.418.7.1
정부 소식통은 "일부 해외 근무자 자녀는 아예 복귀하지 않고 버텼고, 돌아온 사람들 사이에서는 비행기표 값을 물어내라는 말까지 나온 것으로 안다"고 말했다.

정부	정부/NNG
소식통은	소식통/NNG+은/JX
"일부	"/SS+일부/NNG
해외	해외/NNG
근무자	근무자/NNG
자녀는	자녀/NNG+는/JX
아예	아예/MAG
복귀하지	복귀/NNG+하/XSV+지/EC
않고	않/VX+고/EC
버텼고,	버티/VV+었/EP+고/EC+,/SP
돌아온	돌아오/VV+ㄴ/ETM
사람들	사람/NNG+들/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
비행기표	비행기표/NNG
값을	값/NNG+을/JKO
물어내라는	물어내/VV+라는/ETM
말까지	말/NNG+까지/JX
나온	나오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


