# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.303
metadata : {}


# id : NWRW1800000053.303.1.1
바른정당 끝장토론 “국정농단 세력과 연대는 없다”

바른정당	바른정당/NNP
하지만	하지만/MAJ
두	두/MMN
후보	후보/NNG
모두	모두/MAG
경선을	경선/NNG+을/JKO
치러야	치르/VV+어야/EC
하는	하/VX+는/ETM
상황에서	상황/NNG+에서/JKB
당론으로	당론/NNG+으로/JKB
어느	어느/MMD
한쪽	한쪽/NNG
손을	손/NNG+을/JKO
들어주기는	들/VV+어/EC+주/VX+기/ETN+는/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000053.303.5.2
이 때문에 당 대선 후보를 확정할 때까지 불필요한 논란을 최대한 잠재우기 위해 두 후보 모두 공감하고 있는 “국정 농단 세력과의 연대는 있을 수 없다”는 선에서 봉합을 시도한 것으로 해석된다.

이	이/MMD
때문에	때문/NNB+에/JKB
당	당/NNG
대선	대선/NNG
후보를	후보/NNG+를/JKO
확정할	확정/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
논란을	논란/NNG+을/JKO
최대한	최대한/MAG
잠재우기	잠재우/VV+기/ETN
위해	위하/VV+아/EC
두	두/MMN
후보	후보/NNG
모두	모두/MAG
공감하고	공감/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
“국정	“/SS+국정/NNG
농단	농단/NNG
세력과의	세력/NNG+과/JKB+의/JKG
연대는	연대/NNG+는/JX
있을	있/VA+을/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
선에서	선/NNG+에서/JKB
봉합을	봉합/NNG+을/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.303.5.3
오신환 대변인은 “일단 후보가 확정될 때까지 개혁정당이라는 당 정체성을 바로 세우는 게 우선”이라고 설명했다.

오신환	오신환/NNP
대변인은	대변인/NNG+은/JX
“일단	“/SS+일단/MAG
후보가	후보/NNG+가/JKS
확정될	확정/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
개혁정당이라는	개혁/NNG+정당/NNG+이/VCP+라는/ETM
당	당/NNG
정체성을	정체/NNG+성/XSN+을/JKO
바로	바로/MAG
세우는	세우/VV+는/ETM
게	거/NNB+이/JKS
우선”이라고	우선/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.303.5.4
이날 토론회에서 “박근혜 대통령에 대한 탄핵 심판이 기각되면 모두 의원직을 사퇴하자”는 이야기까지 나왔다.

이날	이날/NNG
토론회에서	토론회/NNG+에서/JKB
“박근혜	“/SS+박근혜/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
탄핵	탄핵/NNG
심판이	심판/NNG+이/JKS
기각되면	기각/NNG+되/XSV+면/EC
모두	모두/MAG
의원직을	의원직/NNG+을/JKO
사퇴하자”는	사퇴/NNG+하/XSV+자/EF+”/SS+는/ETM
이야기까지	이야기/NNG+까지/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.303.6.1
토론회에는 창당 이후 20일이 지나도록 지지율 상승에 실패하면서 위기의식을 느낀 국회의원, 원외 당협위원장 60여 명이 참석해 오후 4시부터 6시간 넘게 난상 토론을 벌였다.

토론회에는	토론회/NNG+에/JKB+는/JX
창당	창당/NNG
이후	이후/NNG
20일이	20/SN+일/NNB+이/JKS
지나도록	지나/VV+도록/EC
지지율	지지/NNG+율/XSN
상승에	상승/NNG+에/JKB
실패하면서	실패/NNG+하/XSV+면서/EC
위기의식을	위기의식/NNG+을/JKO
느낀	느끼/VV+ㄴ/ETM
국회의원,	국회/NNG+의원/NNG+,/SP
원외	원외/NNG
당협위원장	당협/NNG+위원장/NNG
60여	60/SN+여/XSN
명이	명/NNB+이/JKS
참석해	참석/NNG+하/XSV+아/EC
오후	오후/NNG
4시부터	4/SN+시/NNB+부터/JX
6시간	6/SN+시간/NNB
넘게	넘/VV+게/EC
난상	난상/NNG
토론을	토론/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.303.6.2
이 자리에선 김무성 의원의 재등판론도 공식 논의됐다.

이	이/MMD
자리에선	자리/NNG+에서/JKB+ㄴ/JX
김무성	김무성/NNP
의원의	의원/NNG+의/JKG
재등판론도	재/XPN+등판/NNG+론/XSN+도/JX
공식	공식/NNG
논의됐다.	논의/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.303.6.3
이미 김 의원 주변에선 “다시 출마하는 방향으로 마음이 기울었다”는 얘기도 나온다.

이미	이미/MAG
김	김/NNP
의원	의원/NNG
주변에선	주변/NNG+에서/JKB+ㄴ/JX
“다시	“/SS+다시/MAG
출마하는	출마/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
마음이	마음/NNG+이/JKS
기울었다”는	기울/VV+었/EP+다/EF+”/SS+는/ETM
얘기도	얘기/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.303.6.4
하지만 이날 김 의원은 동아일보와의 통화에서 “나는 내가 한 말에 대해 약속을 지키는 사람”이라며 선을 그었다.

하지만	하지만/MAJ
이날	이날/NNG
김	김/NNP
의원은	의원/NNG+은/JX
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“나는	“/SS+나/NP+는/JX
내가	내/NP+가/JKS
한	하/VV+ㄴ/ETM
말에	말/NNG+에/JKB
대해	대하/VV+아/EC
약속을	약속/NNG+을/JKO
지키는	지키/VV+는/ETM
사람”이라며	사람/NNG+”/SS+이/VCP+라며/EC
선을	선/NNG+을/JKO
그었다.	긋/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.303.7.1
지지율을 끌어올리는 데 어려움을 겪고 있는 유 의원은 11일 대구시당 개소식에서 “헌법재판소 결정 이후 바른정당과 내가 TK(대구경북)를 완전히 점령할 것”이라며 “지지도가 많이 오르지 않아 걱정하시는데, 헌재 결정이 나오면 많은 것이 변하고 세상이 바뀔 것이니 걱정하지 말라”고 자신감을 내비쳤다.

지지율을	지지/NNG+율/XSN+을/JKO
끌어올리는	끌어올리/VV+는/ETM
데	데/NNB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
유	유/NNP
의원은	의원/NNG+은/JX
11일	11/SN+일/NNB
대구시당	대구시/NNP+당/NNG
개소식에서	개소식/NNG+에서/JKB
“헌법재판소	“/SS+헌법/NNG+재판소/NNG
결정	결정/NNG
이후	이후/NNG
바른정당과	바른정당/NNP+과/JC
내가	내/NP+가/JKS
TK(대구경북)를	TK/SL+(/SS+대구/NNP+경북/NNP+)/SS+를/JKO
완전히	완전히/MAG
점령할	점령/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“지지도가	“/SS+지지도/NNG+가/JKS
많이	많이/MAG
오르지	오르/VV+지/EC
않아	않/VX+아/EC
걱정하시는데,	걱정/NNG+하/XSV+시/EP+는데/EC+,/SP
헌재	헌재/NNG
결정이	결정/NNG+이/JKS
나오면	나오/VV+면/EC
많은	많/VA+은/ETM
것이	것/NNB+이/JKS
변하고	변하/VV+고/EC
세상이	세상/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
것이니	것/NNB+이/VCP+니/EC
걱정하지	걱정/NNG+하/XSV+지/EC
말라”고	말/VX+라/EF+”/SS+고/JKQ
자신감을	자신감/NNG+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.303.8.1
남 지사는 12일 토론회에 앞서 ‘사교육 철폐’를 주제로 한 교육 공약을 발표했다.

남	남/NNP
지사는	지사/NNG+는/JX
12일	12/SN+일/NNB
토론회에	토론회/NNG+에/JKB
앞서	앞서/VV+어/EC
‘사교육	‘/SS+사교육/NNG
철폐’를	철폐/NNG+’/SS+를/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
교육	교육/NNG
공약을	공약/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.303.8.2
남 지사는 “내년 지방선거에서 국민투표로 사교육 금지에 대한 찬반을 묻겠다”고 밝혔다.

남	남/NNP
지사는	지사/NNG+는/JX
“내년	“/SS+내년/NNG
지방선거에서	지방/NNG+선거/NNG+에서/JKB
국민투표로	국민/NNG+투표/NNG+로/JKB
사교육	사교육/NNG
금지에	금지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
찬반을	찬반/NNG+을/JKO
묻겠다”고	묻/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


