# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.206
metadata : {}


# id : NWRW1800000022.206.1.1
[제주ㆍ서울]우도 차량총량제 올 휴가철에도 시행

[제주ㆍ서울]우도	[/SS+제주/NNP+ㆍ/SP+서울/NNP+]/SS+우도/NNP
우도면,	우도면/NNP+,/SP
우도도항선	우도/NNP+도항선/NNG
대합실	대합실/NNG
등에	등/NNB+에/JKB
차량총량제	차량/NNG+총량/NNG+제/XSN
상황실을	상황실/NNG+을/JKO
설치해	설치/NNG+하/XSV+아/EC
운영하고	운영/NNG+하/XSV+고/EC
관광여행안내사협회	관광/NNG+여행/NNG+안내사/NNG+협회/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
피서객들에게	피서객/NNG+들/XSN+에게/JKB
이를	이/NP+를/JKO
적극	적극/NNG
홍보할	홍보/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.206.4.2
지난해 우도 피서객 차량이 1일 605대를 초과해 반입이 통제된 날은 모두 11일이었으며, 총통제대수는 738대였다.

지난해	지난해/NNG
우도	우도/NNP
피서객	피서객/NNG
차량이	차량/NNG+이/JKS
1일	1/SN+일/NNB
605대를	605/SN+대/NNB+를/JKO
초과해	초과/NNG+하/XSV+아/EC
반입이	반입/NNG+이/JKS
통제된	통제/NNG+되/XSV+ㄴ/ETM
날은	날/NNG+은/JX
모두	모두/MAG
11일이었으며,	11/SN+일/NNB+이/VCP+었/EP+으며/EC+,/SP
총통제대수는	총/MMA+통제/NNG+대수/NNG+는/JX
738대였다.	738/SN+대/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.206.5.1
면적이 5.999㎢인 우도에는 696가구, 1589명의 주민이 차량 629대(이륜차 94대)를 보유하고 있다.

면적이	면적/NNG+이/JKS
5.999㎢인	5/SN+./SP+999/SN+㎢/SW+이/VCP+ㄴ/ETM
우도에는	우도/NNP+에/JKB+는/JX
696가구,	696/SN+가구/NNG+,/SP
1589명의	1589/SN+명/NNB+의/JKG
주민이	주민/NNG+이/JKS
차량	차량/NNG
629대(이륜차	629/SN+대/NNB+(/SS+이륜차/NNG
94대)를	94/SN+대/NNB+)/SS+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


