# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.214
metadata : {}


# id : NWRW1800000041.214.1.1
現 고1부터 치르는 2017학년도 수능필수 한국사

現	現/SH
대입에서도	대입/NNG+에서/JKB+도/JX
전형방법	전형/NNG+방법/NNG
수를	수/NNG+를/JKO
수시	수시/NNG
4개,	4/SN+개/NNB+,/SP
정시	정시/NNG
2개로	2/SN+개/NNB+로/JKB
한정하는	한정/NNG+하/XSV+는/ETM
대입전형	대입/NNG+전형/NNG
간소화와	간소/NNG+화/XSN+와/JC
우선선발	우선/NNG+선발/NNG
폐지,	폐지/NNG+,/SP
대학별	대학/NNG+별/XSN
고사	고사/NNG
지양	지양/NNG
등	등/NNB
교육부의	교육부/NNG+의/JKG
기존	기존/NNG
정책들은	정책/NNG+들/XSN+은/JX
유지된다.	유지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.214.9.2
단 2016학년도 정시모집까지는 모집단위가 200명 이상일 경우 가나, 가다, 나다 등 2개 군까지 분할모집이 허용되지만 2017학년도부터는 전면 금지된다.

단	단/MAJ
2016학년도	2016/SN+학년도/NNG
정시모집까지는	정시/NNG+모집/NNG+까지/JX+는/JX
모집단위가	모집/NNG+단위/NNG+가/JKS
200명	200/SN+명/NNB
이상일	이상/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
가나,	가/NNG+나/NNG+,/SP
가다,	가/NNG+다/NNG+,/SP
나다	나/NNG+다/NNG
등	등/NNB
2개	2/SN+개/NNB
군까지	군/NNG+까지/JX
분할모집이	분할/NNG+모집/NNG+이/JKS
허용되지만	허용/NNG+되/XSV+지만/EC
2017학년도부터는	2017/SN+학년도/NNG+부터/JX+는/JX
전면	전면/NNG
금지된다.	금지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.214.9.3
2017학년도 수능일은 2016년 11월 17일이다.

2017학년도	2017/SN+학년도/NNG
수능일은	수능일/NNG+은/JX
2016년	2016/SN+년/NNB
11월	11/SN+월/NNB
17일이다.	17/SN+일/NNB+이/VCP+다/EF+./SF


