# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.10
metadata : {}


# id : NWRW1800000048.10.1.1
결혼하기 좋은 계절, 백화점들 속속 웨딩페어

결혼하기	결혼/NNG+하/XSV+기/ETN
최대	최대/NNG
50%	50/SN+%/SW
할인	할인/NNG
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.10.5.2
예물 구매 고객을 대상으로는 드비어스, 피아제, 부쉐론 등의 브랜드와 함께 웨딩 인기 제품을 선보이고 사은품을 증정한다.

예물	예물/NNG
구매	구매/NNG
고객을	고객/NNG+을/JKO
대상으로는	대상/NNG+으로/JKB+는/JX
드비어스,	드비어스/NNP+,/SP
피아제,	피아제/NNP+,/SP
부쉐론	부쉐론/NNP
등의	등/NNB+의/JKG
브랜드와	브랜드/NNG+와/JKB
함께	함께/MAG
웨딩	웨딩/NNG
인기	인기/NNG
제품을	제품/NNG+을/JKO
선보이고	선보이/VV+고/EC
사은품을	사은품/NNG+을/JKO
증정한다.	증정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.10.5.3
마인, 랑방컬렉션, 레니본, 샤틴 등 20여개 여성복 브랜드와 비비안, 트라이엄프 등 7개 속옷 브랜드 매장에서는 청첩장을 가져온 고객에게 5~10%를 할인해 준다.

마인,	마인/NNP+,/SP
랑방컬렉션,	랑방컬렉션/NNP+,/SP
레니본,	레니본/NNP+,/SP
샤틴	샤틴/NNP
등	등/NNB
20여개	20/SN+여/XSN+개/NNB
여성복	여성복/NNG
브랜드와	브랜드/NNG+와/JC
비비안,	비비안/NNP+,/SP
트라이엄프	트라이엄프/NNP
7개	7/SN+개/NNB
속옷	속옷/NNG
브랜드	브랜드/NNG
매장에서는	매장/NNG+에서/JKB+는/JX
청첩장을	청첩장/NNG+을/JKO
가져온	가져오/VV+ㄴ/ETM
고객에게	고객/NNG+에게/JKB
5~10%를	5/SN+~/SO+10/SN+%/SW+를/JKO
할인해	할인/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.10.6.1
롯데백화점 ‘웨딩멤버스’에 가입하면 가입 이후 9개월간의 구매 실적에 따라 5%에 해당하는 상품권을 받을 수 있다.

롯데백화점	롯데백화점/NNP
‘웨딩멤버스’에	‘/SS+웨딩멤버스/NNP+’/SS+에/JKB
가입하면	가입/NNG+하/XSV+면/EC
가입	가입/NNG
이후	이후/NNG
9개월간의	9/SN+개월/NNB+간/XSN+의/JKG
구매	구매/NNG
실적에	실적/NNG+에/JKB
따라	따르/VV+아/EC
5%에	5/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
상품권을	상품/NNG+권/XSN+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.10.6.2
또 롯데카드의 ‘웨딩클럽 서비스’를 통해 가입 뒤 1년간 롯데카드 사용금액에 따라 5만~100만원 상당의 롯데상품권을 받을 수도 있다.

또	또/MAG
롯데카드의	롯데카드/NNP+의/JKG
‘웨딩클럽	‘/SS+웨딩클럽/NNP
서비스’를	서비스/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
가입	가입/NNG
뒤	뒤/NNG
1년간	1/SN+년/NNB+간/XSN
롯데카드	롯데카드/NNP
사용금액에	사용/NNG+금액/NNG+에/JKB
따라	따르/VV+아/EC
5만~100만원	5/SN+만/NR+~/SO+100/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
롯데상품권을	롯데/NNP+상품/NNG+권/XSN+을/JKO
받을	받/VV+을/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.10.6.3
롯데백화점 쪽은 “웨딩멤버스 가입고객의 지난해 구매 실적을 보니 백화점 전체 고객 가운데 상위 5% 고객의 구매 금액에 버금가는 수준이었다.

롯데백화점	롯데백화점/NNP
쪽은	쪽/NNB+은/JX
“웨딩멤버스	“/SS+웨딩멤버스/NNP
가입고객의	가입/NNG+고객/NNG+의/JKG
지난해	지난해/NNG
구매	구매/NNG
실적을	실적/NNG+을/JKO
보니	보/VV+니/EC
백화점	백화점/NNG
전체	전체/NNG
고객	고객/NNG
가운데	가운데/NNG
상위	상위/NNG
5%	5/SN+%/SW
고객의	고객/NNG+의/JKG
금액에	금액/NNG+에/JKB
버금가는	버금가/VV+는/ETM
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.10.6.4
향후 백화점의 핵심 고객으로 주목된다”고 밝혔다.

향후	향후/NNG
백화점의	백화점/NNG+의/JKG
핵심	핵심/NNG
고객으로	고객/NNG+으로/JKB
주목된다”고	주목/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.10.7.1
현대백화점도 같은 기간 웨딩페어를 진행한다.

현대백화점도	현대백화점/NNP+도/JX
같은	같/VA+은/ETM
기간	기간/NNG
웨딩페어를	웨딩페어/NNG+를/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.10.7.2
서울 압구정 본점에서는 ‘주얼리 대전’을 진행해 루첸리, 루시에 등 인기 주얼리 상품을 최대 35% 할인 판매한다.

서울	서울/NNP
압구정	압구정/NNP
본점에서는	본점/NNG+에서/JKB+는/JX
‘주얼리	‘/SS+주얼리/NNG
대전’을	대전/NNG+’/SS+을/JKO
진행해	진행/NNG+하/XSV+아/EC
루첸리,	루첸리/NNP+,/SP
루시에	루시에/NNP
등	등/NNB
인기	인기/NNG
주얼리	주얼리/NNG
상품을	상품/NNG+을/JKO
최대	최대/NNG
35%	35/SN+%/SW
할인	할인/NNG
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.10.7.3
서울 무역센터점에서는 ‘혼수 침구 대전’을 열어 바세티, 마르띠노 등 인기 침구를 최대 40% 할인 판매한다.

서울	서울/NNP
무역센터점에서는	무역센터점/NNG+에서/JKB+는/JX
‘혼수	‘/SS+혼수/NNG
침구	침구/NNG
대전’을	대전/NNG+’/SS+을/JKO
열어	열/VV+어/EC
바세티,	바세티/NNP+,/SP
마르띠노	마르띠노/NNP
등	등/NNB
인기	인기/NNG
침구를	침구/NNG+를/JKO
최대	최대/NNG
40%	40/SN+%/SW
할인	할인/NNG
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.10.7.4
현대백화점이 예비 신혼 부부를 위해 운영하고 있는 ‘클럽웨딩’의 경우 가입자수가 2012년과 2013년에 각각 24.3%, 22.8% 증가했고, 지난해에도 26.3% 늘었다.

현대백화점이	현대백화점/NNP+이/JKS
예비	예비/NNG
신혼	신혼/NNG
부부를	부부/NNG+를/JKO
위해	위하/VV+아/EC
운영하고	운영/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘클럽웨딩’의	‘/SS+클럽웨딩/NNP+’/SS+의/JKG
경우	경우/NNG
가입자수가	가입자/NNG+수/NNG+가/JKS
2012년과	2012/SN+년/NNB+과/JC
2013년에	2013/SN+년/NNB+에/JKB
각각	각각/MAG
24.3%,	24/SN+./SP+3/SN+%/SW+,/SP
22.8%	22/SN+./SP+8/SN+%/SW
증가했고,	증가/NNG+하/XSV+았/EP+고/EC+,/SP
지난해에도	지난해/NNG+에/JKB+도/JX
26.3%	26/SN+./SP+3/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


