# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.250
metadata : {}


# id : NWRW1800000022.250.1.1
[충청] 태안 신두사구에 생태공원 만든다

[충청]	[/SS+충청/NNP+]/SS
생태관찰로,	생태/NNG+관찰/NNG+로/JKB+,/SP
자연학습원,	자연/NNG+학습원/NNG+,/SP
야외무대,	야외무대/NNG+,/SP
광장	광장/NNG
등을	등/NNB+을/JKO
조성할	조성/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.250.6.1
군은 신두사구 생태공원이 조성되면 토양학습, 사구식물학습 등 프로그램과 교재 개발 사업 등을 추진한다는 계획이다.

군은	군/NNG+은/JX
신두사구	신두사구/NNP
생태공원이	생태/NNG+공원/NNG+이/JKS
조성되면	조성/NNG+되/XSV+면/EC
토양학습,	토양/NNG+학습/NNG+,/SP
사구식물학습	사구/NNG+식물/NNG+학습/NNG
등	등/NNB
프로그램과	프로그램/NNG+과/JC
교재	교재/NNG
개발	개발/NNG
사업	사업/NNG
등을	등/NNB+을/JKO
추진한다는	추진/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


