# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.162
metadata : {}


# id : NWRW1800000053.162.1.1
최순실이 변호사 200명 먹여 살린다고?

최순실이	최순실/NNP+이/JKS
변호사까지	변호사/NNG+까지/JX
포함하면	포함/NNG+하/XSV+면/EC
전체	전체/NNG
숫자는	숫자/NNG+는/JX
훨씬	훨씬/MAG
늘어날	늘어나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.162.9.1
국정 농단 사건 참여 변호사 중에는 중소 로펌 소속이나 개인 법률사무소를 운영하는 변호사가 많다.

국정	국정/NNG
농단	농단/NNG
사건	사건/NNG
참여	참여/NNG
변호사	변호사/NNG
중에는	중/NNB+에/JKB+는/JX
중소	중소/NNG
로펌	로펌/NNG
소속이나	소속/NNG+이나/JC
개인	개인/NNG
법률사무소를	법률/NNG+사무소/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
변호사가	변호사/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000053.162.9.2
판사 출신 한 변호사는 “대형 로펌은 주로 특검 수사 대상인 대기업을 대리하거나 자문에 응하고 있기 때문에 담당 변호사들이 잘 드러나지 않는다”고 말했다.

판사	판사/NNG
출신	출신/NNG
한	한/MMN
변호사는	변호사/NNG+는/JX
“대형	“/SS+대형/NNG
로펌은	로펌/NNG+은/JX
주로	주로/MAG
특검	특검/NNG
수사	수사/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
대기업을	대/XPN+기업/NNG+을/JKO
대리하거나	대리/NNG+하/XSV+거나/EC
자문에	자문/NNG+에/JKB
응하고	응하/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
담당	담당/NNG
변호사들이	변호사/NNG+들/XSN+이/JKS
잘	잘/MAG
드러나지	드러나/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.162.10.1
평소 법정이나 검찰청에서 모습을 보기 힘든 원로 법조인들이 직접 사건을 맡은 것도 특징이다.

평소	평소/NNG
법정이나	법정/NNG+이나/JC
검찰청에서	검찰청/NNG+에서/JKB
모습을	모습/NNG+을/JKO
보기	보/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
원로	원로/NNG
법조인들이	법조인/NNG+들/XSN+이/JKS
직접	직접/MAG
사건을	사건/NNG+을/JKO
맡은	맡/VV+은/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.10.2
박 대통령 탄핵 심판 대리인단에 최근 합류한 정기승 전 대법관(89)은 그중에서도 최고령이다.

박	박/NNP
대통령	대통령/NNG
탄핵	탄핵/NNG
심판	심판/NNG
대리인단에	대리인단/NNG+에/JKB
최근	최근/NNG
합류한	합류/NNG+하/XSV+ㄴ/ETM
정기승	정기승/NNP
전	전/MMD
대법관(89)은	대/XPN+법관/NNG+(/SS+89/SN+)/SS+은/JX
그중에서도	그중/NNG+에서/JKB+도/JX
최고령이다.	최/XPN+고령/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.10.3
정 전 대법관은 사법시험 시행 이전인 고등고시 사법과(8회) 출신이다.

정	정/NNP
전	전/MMD
대법관은	대/XPN+법관/NNG+은/JX
사법시험	사법/NNG+시험/NNG
시행	시행/NNG
이전인	이전/NNG+이/VCP+ㄴ/ETM
고등고시	고등/NNG+고시/NNG
사법과(8회)	사법과/NNG+(/SS+8/SN+회/NNB+)/SS
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.10.4
이번 사건에서 최고령 구속자인 김기춘 전 대통령비서실장(78)은 사시 2회 출신인 김기수 전 검찰총장(77)을 23일 추가 선임하면서 변호인을 11명으로 늘렸다.

이번	이번/NNG
사건에서	사건/NNG+에서/JKB
최고령	최/XPN+고령/NNG
구속자인	구속자/NNG+이/VCP+ㄴ/ETM
김기춘	김기춘/NNP
전	전/MMD
대통령비서실장(78)은	대통령/NNG+비서실장/NNG+(/SS+78/SN+)/SS+은/JX
사시	사시/NNG
2회	2/SN+회/NNB
출신인	출신/NNG+이/VCP+ㄴ/ETM
김기수	김기수/NNP
검찰총장(77)을	검찰/NNG+총장/NNG+(/SS+77/SN+)/SS+을/JKO
23일	23/SN+일/NNB
추가	추가/NNG
선임하면서	선임/NNG+하/XSV+면서/EC
변호인을	변호인/NNG+을/JKO
11명으로	11/SN+명/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.162.11.1
본보 분석 결과 국정 농단 사건 전체 피고인(기소 예정 피의자 포함) 34명 가운데 최 씨의 조카 장시호 씨(38)와 이화여대 김경숙(62) 남궁곤 교수(56)를 제외한 31명이 73명의 판검사 출신 전관 변호사를 선임한 것으로 확인됐다.

본보	본보/NNG
분석	분석/NNG
결과	결과/NNG
국정	국정/NNG
농단	농단/NNG
사건	사건/NNG
전체	전체/NNG
피고인(기소	피고인/NNG+(/SS+기소/NNG
예정	예정/NNG
피의자	피의자/NNG
포함)	포함/NNG+)/SS
34명	34/SN+명/NNB
가운데	가운데/NNG
최	최/NNP
씨의	씨/NNB+의/JKG
조카	조카/NNG
장시호	장시호/NNP
씨(38)와	씨/NNB+(/SS+38/SN+)/SS+와/JC
이화여대	이화여대/NNP
김경숙(62)	김경숙/NNP+(/SS+62/SN+)/SS
남궁곤	남궁곤/NNP
교수(56)를	교수/NNG+(/SS+56/SN+)/SS+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
31명이	31/SN+명/NNB+이/JKS
73명의	73/SN+명/NNB+의/JKG
판검사	판검사/NNG
출신	출신/NNG
전관	전관/NNG
변호사를	변호사/NNG+를/JKO
선임한	선임/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.162.11.2
국정 농단 사건 피의자와 참고인 대부분이 경제적으로 여유가 있는 정·관·재계 고위직 출신인 점과 연관이 있는 것으로 보인다.

국정	국정/NNG
농단	농단/NNG
사건	사건/NNG
피의자와	피의자/NNG+와/JC
참고인	참고인/NNG
대부분이	대/XPN+부분/NNG+이/JKS
경제적으로	경제/NNG+적/XSN+으로/JKB
여유가	여유/NNG+가/JKS
있는	있/VA+는/ETM
정·관·재계	정·관·재계/NNG
고위직	고위직/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
점과	점/NNG+과/JKB
연관이	연관/NNG+이/JKS
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.162.11.3
‘문화예술계 블랙리스트’ 작성을 주도한 혐의로 구속 기소된 조윤선 전 문화체육관광부 장관(51)은 남편인 김앤장 법률사무소 소속 박성엽 변호사가 직접 변론을 맡았다.

‘문화예술계	‘/SS+문화/NNG+예술/NNG+계/XSN
블랙리스트’	블랙리스트/NNG+’/SS
작성을	작성/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
구속	구속/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
조윤선	조윤선/NNP
전	전/MMD
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
장관(51)은	장관/NNG+(/SS+51/SN+)/SS+은/JX
남편인	남편/NNG+이/VCP+ㄴ/ETM
김앤장	김앤장/NNP
법률사무소	법률/NNG+사무소/NNG
소속	소속/NNG
박성엽	박성엽/NNP
변호사가	변호사/NNG+가/JKS
직접	직접/MAG
변론을	변론/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


