# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.65
metadata : {}


# id : NWRW1800000029.65.1.1
“은퇴자산 축적엔 ETF-배분엔 물가연동채권”… ‘100세 시대’ 투자 심포지엄

“은퇴자산	“/SS+은퇴/NNG+자산/NNG
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
투자를	투자/NNG+를/JKO
통해	통하/VV+아/EC
노리는	노리/VV+는/ETM
것은	것/NNB+은/JX
물론이고	물론/NNG+이/VCP+고/EC
예측	예측/NNG
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
노후기간에	노후/NNG+기간/NNG+에/JKB
자산이	자산/NNG+이/JKS
소진되지	소진/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
관리해야	관리/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
차별화된다”고	차별/NNG+화/XSN+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.65.4.2
인플레이션처럼 다양한 위험에 대비해야 한다는 얘기다.

인플레이션처럼	인플레이션/NNG+처럼/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
위험에	위험/NNG+에/JKB
대비해야	대비/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.65.4.3
그는 개인들이 이용할 수 있는 금융투자 상품을 크게 은퇴 시점까지 충분한 자금을 마련하기 위한 ‘은퇴자산 축적 상품’과 은퇴 이후 정기적인 수익창출을 위한 ‘은퇴자산 배분 상품’으로 나눴다.

그는	그/NP+는/JX
개인들이	개인/NNG+들/XSN+이/JKS
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
금융투자	금융/NNG+투자/NNG
상품을	상품/NNG+을/JKO
크게	크/VA+게/EC
은퇴	은퇴/NNG
시점까지	시점/NNG+까지/JX
충분한	충분하/VA+ㄴ/ETM
자금을	자금/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
‘은퇴자산	‘/SS+은퇴/NNG+자산/NNG
축적	축적/NNG
상품’과	상품/NNG+’/SS+과/JC
이후	이후/NNG
정기적인	정기/NNG+적/XSN+이/VCP+ㄴ/ETM
수익창출을	수익/NNG+창출/NNG+을/JKO
배분	배분/NNG
상품’으로	상품/NNG+’/SS+으로/JKB
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.65.5.1
그가 꼽은 대표적 은퇴자산 축적상품은 은퇴 시점과 투자기간에 따라 위험자산 투자비중을 변경할 수 있는 펀드인 라이프사이클펀드와 기초연계자산에 따라 다양한 자산에 투자가 가능한 상장지수펀드(ETF), 원자재펀드 등이다.

그가	그/NP+가/JKS
꼽은	꼽/VV+은/ETM
대표적	대표/NNG+적/XSN
은퇴자산	은퇴/NNG+자산/NNG
축적상품은	축적/NNG+상품/NNG+은/JX
은퇴	은퇴/NNG
시점과	시점/NNG+과/JC
투자기간에	투자/NNG+기간/NNG+에/JKB
따라	따르/VV+아/EC
위험자산	위험/NNG+자산/NNG
투자비중을	투자/NNG+비중/NNG+을/JKO
변경할	변경/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
펀드인	펀드/NNG+이/VCP+ㄴ/ETM
라이프사이클펀드와	라이프사이클/NNG+펀드/NNG+와/JC
기초연계자산에	기초/NNG+연계/NNG+자산/NNG+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
자산에	자산/NNG+에/JKB
투자가	투자/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
상장지수펀드(ETF),	상장/NNG+지수/NNG+펀드/NNG+(/SS+ETF/SL+)/SS+,/SP
원자재펀드	원자재/NNG+펀드/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.65.5.2
그는 “특히 ETF는 일반펀드에 비해 보수가 저렴해 장기투자 때 상대적으로 유리하며 주식 ETF, 물가연동채권 ETF 등을 통해 분산투자가 가능하다”고 설명했다.

그는	그/NP+는/JX
“특히	“/SS+특히/MAG
ETF는	ETF/SL+는/JX
일반펀드에	일반/NNG+펀드/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
보수가	보수/NNG+가/JKS
저렴해	저렴하/VA+아/EC
장기투자	장기/NNG+투자/NNG
때	때/NNG
상대적으로	상대/NNG+적/XSN+으로/JKB
유리하며	유리/NNG+하/XSA+며/EC
주식	주식/NNG
ETF,	ETF/SL+,/SP
물가연동채권	물가/NNG+연동/NNG+채권/NNG
ETF	ETF/SL
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
분산투자가	분산/NNG+투자/NNG+가/JKS
가능하다”고	가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.65.5.3
은퇴자산 배분상품으로는 고배당주와 투자원금을 물가상승률에 반영한 뒤 그에 대한 이자를 지급하는 물가연동채권 등을 제시했다.

은퇴자산	은퇴/NNG+자산/NNG
배분상품으로는	배분/NNG+상품/NNG+으로/JKB+는/JX
고배당주와	고배당주/NNG+와/JC
투자원금을	투자/NNG+원금/NNG+을/JKO
물가상승률에	물가/NNG+상승/NNG+률/XSN+에/JKB
반영한	반영/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
그에	그/NP+에/JKB
대한	대하/VV+ㄴ/ETM
이자를	이자/NNG+를/JKO
지급하는	지급/NNG+하/XSV+는/ETM
물가연동채권	물가/NNG+연동/NNG+채권/NNG
등을	등/NNB+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.65.6.1
하지만 그는 “각 상품의 수익이 다르고 위험도 다 다르기 때문에 어느 한 상품만으로는 은퇴와 관련한 위험을 모두 제거할 수 없다”고 밝혔다.

하지만	하지만/MAJ
그는	그/NP+는/JX
“각	“/SS+각/MMD
상품의	상품/NNG+의/JKG
수익이	수익/NNG+이/JKS
다르고	다르/VA+고/EC
위험도	위험/NNG+도/JX
다	다/MAG
다르기	다르/VA+기/ETN
때문에	때문/NNB+에/JKB
어느	어느/MMD
한	한/MMN
상품만으로는	상품/NNG+만/JX+으로/JKB+는/JX
은퇴와	은퇴/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
위험을	위험/NNG+을/JKO
모두	모두/MAG
제거할	제거/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.65.6.2
은퇴와 관련한 위험을 효과적으로 감소시키기 위해서는 어느 한 상품뿐만 아니라 보완관계에 있는 상품들을 적절하게 조화시키는 투자가 바람직하다는 조언이다.

은퇴와	은퇴/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
위험을	위험/NNG+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
감소시키기	감소/NNG+시키/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
어느	어느/MMD
한	한/MMN
상품뿐만	상품/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
보완관계에	보완/NNG+관계/NNG+에/JKB
있는	있/VA+는/ETM
상품들을	상품/NNG+들/XSN+을/JKO
적절하게	적절하/VA+게/EC
조화시키는	조화/NNG+시키/XSV+는/ETM
투자가	투자/NNG+가/JKS
바람직하다는	바람직하/VA+다는/ETM
조언이다.	조언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.65.6.3
그는 이 같은 측면에서 앞으로 ‘결합상품’이 늘어날 것이라고 밝혔다.

그는	그/NP+는/JX
이	이/NP
같은	같/VA+은/ETM
측면에서	측면/NNG+에서/JKB
앞으로	앞/NNG+으로/JKB
‘결합상품’이	‘/SS+결합/NNG+상품/NNG+’/SS+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.65.6.4
유 대표는 “금융투자 상품과 보험 상품이 결합된 상품처럼 은퇴와 관련한 위험관리를 종합적으로 할 수 있는 상품이 눈길을 끌 수밖에 없다”고 내다봤다.

유	유/NNP
대표는	대표/NNG+는/JX
“금융투자	“/SS+금융/NNG+투자/NNG
상품과	상품/NNG+과/JC
보험	보험/NNG
상품이	상품/NNG+이/JKS
결합된	결합/NNG+되/XSV+ㄴ/ETM
상품처럼	상품/NNG+처럼/JKB
은퇴와	은퇴/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
위험관리를	위험/NNG+관리/NNG+를/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
눈길을	눈길/NNG+을/JKO
끌	끌/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


