# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.7
metadata : {}


# id : NWRW1800000040.7.1.1
‘지하경제 양성화’ 시작부터 꼬이나

‘지하경제	‘/SS+지하/NNG+경제/NNG
인수위 관계자는 “인수위는 과거 인수위와 달리 각 부처의 이견을 조율해 정책을 결정하는 기구가 아니다”라고 말하고 있지만, 검찰·경찰과 함께 핵심 권력기관인 국세청에 금정원 정보를 공개하는 결정을 내리는 게 부담스러웠을 것이라는 해석도 있다.

인수위	인수위/NNG
관계자는	관계자/NNG+는/JX
“인수위는	“/SS+인수위/NNG+는/JX
과거	과거/NNG
인수위와	인수위/NNG+와/JKB
달리	달리/MAG
각	각/MMD
부처의	부처/NNG+의/JKG
이견을	이견/NNG+을/JKO
조율해	조율/NNG+하/XSV+아/EC
정책을	정책/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
기구가	기구/NNG+가/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말하고	말/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
검찰·경찰과	검찰/NNG+·/SP+경찰/NNG+과/JKB
함께	함께/MAG
핵심	핵심/NNG
권력기관인	권력/NNG+기관/NNG+이/VCP+ㄴ/ETM
국세청에	국세청/NNG+에/JKB
금정원	금정원/NNG
정보를	정보/NNG+를/JKO
공개하는	공개/NNG+하/XSV+는/ETM
결정을	결정/NNG+을/JKO
내리는	내리/VV+는/ETM
게	거/NNB+이/JKS
부담스러웠을	부담/NNG+스럽/XSA+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
해석도	해석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.7.9.1
결국 금정원을 둘러싼 논쟁은 4일부터 열린 2월 임시국회로 넘어갈 전망이다.

결국	결국/MAG
금정원을	금정원/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논쟁은	논쟁/NNG+은/JX
4일부터	4/SN+일/NNB+부터/JX
열린	열리/VV+ㄴ/ETM
2월	2/SN+월/NNB
임시국회로	임시/NNG+국회/NNG+로/JKB
넘어갈	넘어가/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.7.9.2
이한구 새누리당 원내대표가 이미 지난해 8월 금정원에 보고된 고액 현금거래 자료를 국세청이 쓸 수 있도록 하는 ‘특정 금융거래정보의 보고 및 이용에 관한 법률’ 개정안을 발의했기 때문이다.

이한구	이한구/NNP
새누리당	새누리당/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
이미	이미/MAG
지난해	지난해/NNG
8월	8/SN+월/NNB
금정원에	금정원/NNG+에/JKB
보고된	보고/NNG+되/XSV+ㄴ/ETM
고액	고액/NNG
현금거래	현금/NNG+거래/NNG
자료를	자료/NNG+를/JKO
국세청이	국세청/NNG+이/JKS
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
‘특정	‘/SS+특정/NNG
금융거래정보의	금융/NNG+거래/NNG+정보/NNG+의/JKG
보고	보고/NNG
및	및/MAG
이용에	이용/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SS
개정안을	개정안/NNG+을/JKO
발의했기	발의/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


