# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.214
metadata : {}


# id : NWRW1800000032.214.1.1
‘알몸’ 잊어주세요…졸업식은 ‘축제’

‘알몸’	‘/SS+알몸/NNG+’/SS
축제	축제/NNG
형태의	형태/NNG+의/JKG
프로그램을	프로그램/NNG+을/JKO
함께	함께/MAG
만들었다”고	만들/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.214.6.1
지난해 이 학교의 일부 학생들이 졸업식을 마친 뒤 밀가루와 계란을 뒤집어쓴 채 알몸 상태로 뒤풀이를 했고, 이 장면을 찍은 사진과 동영상이 인터넷에 유포되면서 사회적으로 충격을 줬다.

지난해	지난해/NNG
이	이/MMD
학교의	학교/NNG+의/JKG
일부	일부/NNG
학생들이	학생/NNG+들/XSN+이/JKS
졸업식을	졸업식/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
밀가루와	밀가루/NNG+와/JC
계란을	계란/NNG+을/JKO
뒤집어쓴	뒤집어쓰/VV+ㄴ/ETM
채	채/NNB
알몸	알몸/NNG
상태로	상태/NNG+로/JKB
뒤풀이를	뒤풀이/NNG+를/JKO
했고,	하/VV+았/EP+고/EC+,/SP
장면을	장면/NNG+을/JKO
찍은	찍/VV+은/ETM
사진과	사진/NNG+과/JC
동영상이	동영상/NNG+이/JKS
인터넷에	인터넷/NNG+에/JKB
유포되면서	유포/NNG+되/XSV+면서/EC
사회적으로	사회/NNG+적/XSN+으로/JKB
충격을	충격/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.214.6.2
그 여파로 학생들이 입학을 꺼리던 이 학교는 ‘절치부심’한 끝에 지난해 9월 경기도교육청의 혁신학교로 지정된 뒤 학업성취도 평가에서도 좋은 성적을 거둬 올해는 신입생 모집에서 정원을 초과하는 ‘선호학교’로 탈바꿈했다.

그	그/MMD
여파로	여파/NNG+로/JKB
학생들이	학생/NNG+들/XSN+이/JKS
입학을	입학/NNG+을/JKO
꺼리던	꺼리/VV+던/ETM
이	이/MMD
학교는	학교/NNG+는/JX
‘절치부심’한	‘/SS+절치부심/NNG+’/SS+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
지난해	지난해/NNG
9월	9/SN+월/NNB
경기도교육청의	경기도교육청/NNP+의/JKG
혁신학교로	혁신/NNG+학교/NNG+로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
학업성취도	학업/NNG+성취도/NNG
평가에서도	평가/NNG+에서/JKB+도/JX
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
거둬	거두/VV+어/EC
올해는	올해/NNG+는/JX
신입생	신입/NNG+생/XSN
모집에서	모집/NNG+에서/JKB
정원을	정원/NNG+을/JKO
초과하는	초과/NNG+하/XSV+는/ETM
‘선호학교’로	‘/SS+선호/NNG+학교/NNG+’/SS+로/JKB
탈바꿈했다.	탈바꿈/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.214.7.1
이번 졸업식을 마친 뒤엔 교사들이 경찰·교육청 등과 협조해 자정까지 순회 지도에 나선다.

이번	이번/NNG
졸업식을	졸업식/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
교사들이	교사/NNG+들/XSN+이/JKS
경찰·교육청	경찰/NNG+·/SP+교육청/NNG
등과	등/NNB+과/JKB
협조해	협조/NNG+하/XSV+아/EC
자정까지	자정/NNG+까지/JX
순회	순회/NNG
지도에	지도/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.214.7.2
‘혹시나 불미스런 일이 일어나지 않을까’ 하는 염려를 떨칠 수 없기 때문이다.

‘혹시나	‘/SS+혹시나/MAG
불미스런	불미/NNG+스럽/XSA+ㄴ/ETM
일이	일/NNG+이/JKS
일어나지	일어나/VV+지/EC
않을까’	않/VX+을까/EF+’/SS
하는	하/VV+는/ETM
염려를	염려/NNG+를/JKO
떨칠	떨치/VV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.214.8.1
이 학교 졸업식엔 남다른 관심이 쏠려왔다.

이	이/MMD
학교	학교/NNG
졸업식엔	졸업식/NNG+에/JKB+ㄴ/JX
남다른	남다르/VA+ㄴ/ETM
관심이	관심/NNG+이/JKS
쏠려왔다.	쏠리/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.214.8.2
청와대 직원과 교육과학기술부 관계자도 지난달 이 학교를 찾아 졸업식 준비 상황을 ‘챙기는’ 모습도 보였다.

청와대	청와대/NNP
직원과	직원/NNG+과/JC
교육과학기술부	교육/NNG+과학/NNG+기술부/NNG
관계자도	관계자/NNG+도/JX
지난달	지난달/NNG
이	이/MMD
학교를	학교/NNG+를/JKO
찾아	찾/VV+아/EC
졸업식	졸업식/NNG
준비	준비/NNG
상황을	상황/NNG+을/JKO
‘챙기는’	‘/SS+챙기/VV+는/ETM+’/SS
모습도	모습/NNG+도/JX
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.214.8.3
경기도교육청은 최근 경기지방경찰청에 공문을 보내, 졸업식 당일에 경찰관을 각 학교에 배치하고 배회하는 학생의 귀가 지도와 취약지역 순찰, 유해업소 학생 출입 단속 등을 요청했다.

경기도교육청은	경기도교육청/NNP+은/JX
최근	최근/MAG
경기지방경찰청에	경기지방경찰청/NNP+에/JKB
공문을	공문/NNG+을/JKO
보내,	보내/VV+어/EC+,/SP
졸업식	졸업식/NNG
당일에	당일/NNG+에/JKB
경찰관을	경찰관/NNG+을/JKO
각	각/MMD
학교에	학교/NNG+에/JKB
배치하고	배치/NNG+하/XSV+고/EC
배회하는	배회/NNG+하/XSV+는/ETM
학생의	학생/NNG+의/JKG
귀가	귀가/NNG
지도와	지도/NNG+와/JC
취약지역	취약/NNG+지역/NNG
순찰,	순찰/NNG+,/SP
유해업소	유해업소/NNG
학생	학생/NNG
출입	출입/NNG
단속	단속/NNG
등을	등/NNB+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.214.9.1
인근 다른 중학교들도 졸업식을 여느 해와는 달리 꾸미려고 힘쓰고 있다.

인근	인근/NNG
다른	다른/MMD
중학교들도	중학교/NNG+들/XSN+도/JX
졸업식을	졸업식/NNG+을/JKO
여느	여느/MMA
해와는	해/NNG+와/JKB+는/JX
달리	달리/MAG
꾸미려고	꾸미/VV+려고/EC
힘쓰고	힘쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.214.9.2
같은날 졸업식을 하는 ㅈ중학교는 멀티미디어를 활용해 재학생·졸업생의 송사·답사 등 다채로운 동영상을 선보인다.

같은날	같/VA+은/ETM+날/NNG
졸업식을	졸업식/NNG+을/JKO
하는	하/VV+는/ETM
ㅈ중학교는	ㅈ/NNG+중학교/NNG+는/JX
멀티미디어를	멀티미디어/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
재학생·졸업생의	재학/NNG+생/XSN+·/SP+졸업/NNG+생/XSN+의/JKG
송사·답사	송사/NNG+·/SP+답사/NNG
등	등/NNB
다채로운	다채롭/VA+ㄴ/ETM
동영상을	동영상/NNG+을/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.214.9.3
또 ㅂ중학교는 학부모들이 많이 참여할 수 있게 2월10일 오후 6시에 졸업식을 연다.

또	또/MAG
ㅂ중학교는	ㅂ/NNG+중학교/NNG+는/JX
학부모들이	학부모/NNG+들/XSN+이/JKS
많이	많이/MAG
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
2월10일	2/SN+월/NNB+10/SN+일/NNB
오후	오후/NNG
6시에	6/SN+시/NNB+에/JKB
졸업식을	졸업식/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


