# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.145
metadata : {}


# id : NWRW1800000048.145.1.1
호남고속철 서대전 경유 ‘수요냐 시간이냐’

호남고속철	호남고속철/NNP
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.145.5.2
국토부 쪽은 수요를, 호남 쪽은 시간을 중시하는 태도다.

국토부	국토부/NNG
쪽은	쪽/NNB+은/JX
수요를,	수요/NNG+를/JKO+,/SP
호남	호남/NNP
시간을	시간/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.145.6.1
21일 국토부와 철도공사, 관련 지방정부들은 3월부터 운행하는 호남고속철도 운행 편에 서대전역 경유 편을 포함할지를 두고 협의하고 있다.

21일	21/SN+일/NNB
국토부와	국토부/NNG+와/JC
철도공사,	철도공사/NNP+,/SP
관련	관련/NNG
지방정부들은	지방/NNG+정부/NNG+들/XSN+은/JX
3월부터	3/SN+월/NNB+부터/JX
운행하는	운행/NNG+하/XSV+는/ETM
호남고속철도	호남고속철도/NNP
운행	운행/NNG
편에	편/NNB+에/JKB
서대전역	서대전역/NNP
경유	경유/NNG
편을	편/NNB+을/JKO
포함할지를	포함/NNG+하/XSV+ㄹ지/EF+를/JKO
두고	두/VV+고/EC
협의하고	협의/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.145.6.2
최근 호남고속철도의 운영회사인 철도공사는 국토부에 제출한 운영 방안에서 전체 편 가운데 20%를 서대전역에 들르게 하겠다는 의견을 냈다.

최근	최근/NNG
호남고속철도의	호남고속철도/NNP+의/JKG
운영회사인	운영/NNG+회사/NNG+이/VCP+ㄴ/ETM
철도공사는	철도공사/NNP+는/JX
국토부에	국토부/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
운영	운영/NNG
방안에서	방안/NNG+에서/JKB
전체	전체/NNG
편	편/NNB
가운데	가운데/NNG
20%를	20/SN+%/SW+를/JKO
서대전역에	서대전역/NNP+에/JKB
들르게	들르/VV+게/EC
하겠다는	하/VX+겠/EP+다는/ETM
의견을	의견/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.145.6.3
고범석 언론홍보처장은 “서대전역이 기존 호남선 분기역으로 이용 승객이 많기 때문에 일부 편이 경유할 필요가 있다.

고범석	고범석/NNP
언론홍보처장은	언론/NNG+홍보처장/NNG+은/JX
“서대전역이	“/SS+서대전역/NNP+이/JKS
기존	기존/NNG
호남선	호남선/NNP
분기역으로	분기역/NNG+으로/JKB
이용	이용/NNG
승객이	승객/NNG+이/JKS
많기	많/VA+기/ETN
때문에	때문/NNB+에/JKB
일부	일부/NNG
편이	편/NNB+이/JKS
경유할	경유/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.145.6.4
경유 편이 없다면 대전의 호남선 이용객들은 큰 불편을 겪을 것”이라고 말했다.

경유	경유/NNG
편이	편/NNB+이/JKS
없다면	없/VA+다면/EC
대전의	대전/NNP+의/JKG
호남선	호남선/NNP
이용객들은	이용객/NNG+들/XSN+은/JX
큰	크/VA+ㄴ/ETM
불편을	불편/NNG+을/JKO
겪을	겪/VV+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.145.7.1
2013년 철도공사의 역별 승하차 인원 통계를 보면, 호남선에서 가장 이용객이 많은 역은 용산역으로 하루 2만4164명이며, 두번째로 많은 역이 서대전역으로 하루 1만3409명이다.

2013년	2013/SN+년/NNB
철도공사의	철도공사/NNP+의/JKG
역별	역/NNG+별/XSN
승하차	승하차/NNG
인원	인원/NNG
통계를	통계/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
호남선에서	호남선/NNP+에서/JKB
가장	가장/MAG
이용객이	이용객/NNG+이/JKS
많은	많/VA+은/ETM
역은	역/NNG+은/JX
용산역으로	용산역/NNP+으로/JKB
하루	하루/NNG
2만4164명이며,	2/SN+만/NR+4164/SN+명/NNB+이/VCP+며/EC+,/SP
두번째로	두/MMN+번/NNB+째/XSN+로/JKB
역이	역/NNG+이/JKS
서대전역으로	서대전역/NNP+으로/JKB
1만3409명이다.	1/SN+만/NR+3409/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.145.7.2
그다음은 익산 1만607명, 광주 송정 5063명, 광주 4993명이다.

그다음은	그다음/NNG+은/JX
익산	익산/NNP
1만607명,	1/SN+만/NR+607/SN+명/NNB+,/SP
광주	광주/NNP
송정	송정/NNP
5063명,	5063/SN+명/NNB+,/SP
4993명이다.	4993/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.145.7.3
서대전역 이용객이 전체 호남선 이용객의 29.3%나 된다.

서대전역	서대전역/NNP
이용객이	이용객/NNG+이/JKS
전체	전체/NNG
호남선	호남선/NNP
이용객의	이용객/NNG+의/JKG
29.3%나	29/SN+./SP+3/SN+%/SW+나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.145.8.1
철도공사는 호남고속철에서 서대전역을 완전히 배제하면 기존 호남선의 용산역~서대전역 편을 이용하던 승객들은 거의 다 경부선의 서울역~대전역 편으로 이동할 것으로 본다.

철도공사는	철도공사/NNP+는/JX
호남고속철에서	호남고속철/NNP+에서/JKB
서대전역을	서대전역/NNP+을/JKO
완전히	완전히/MAG
배제하면	배제/NNG+하/XSV+면/EC
기존	기존/NNG
호남선의	호남선/NNP+의/JKG
용산역~서대전역	용산역/NNP+~/SO+서대전역/NNP
편을	편/NNB+을/JKO
이용하던	이용/NNG+하/XSV+던/ETM
승객들은	승객/NNG+들/XSN+은/JX
거의	거의/MAG
다	다/MAG
경부선의	경부선/NNP+의/JKG
서울역~대전역	서울역/NNP+~/SO+대전역/NNP
편으로	편/NNB+으로/JKB
이동할	이동/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.145.8.2
현재 호남선 이용객의 10.7배나 되는 경부선 이용객은 더 늘고, 경부선 이용객의 9.4%에 불과한 호남선 이용객은 더 줄어든다는 것이다.

현재	현재/MAG
호남선	호남선/NNP
이용객의	이용객/NNG+의/JKG
10.7배나	10/SN+./SP+7/SN+배/NNG+나/JX
되는	되/VV+는/ETM
경부선	경부선/NNP
이용객은	이용객/NNG+은/JX
더	더/MAG
늘고,	늘/VV+고/EC+,/SP
9.4%에	9/SN+./SP+4/SN+%/SW+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
줄어든다는	줄어들/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.145.8.3
하지만 용산에서 광주 송정까지 1시간33분 걸리는 호남고속철이 서대전을 거치면서 기존 선로를 이용하면 2시간18분~2시간45분 걸리는 까닭에 호남 쪽은 일부 편의 서대전 경유도 반대한다.

하지만	하지만/MAJ
용산에서	용산/NNP+에서/JKB
광주	광주/NNP
송정까지	송정/NNP+까지/JX
1시간33분	1/SN+시간/NNB+33/SN+분/NNB
걸리는	걸리/VV+는/ETM
호남고속철이	호남고속철/NNP+이/JKS
서대전을	서대전/NNP+을/JKO
거치면서	거치/VV+면서/EC
기존	기존/NNG
선로를	선로/NNG+를/JKO
이용하면	이용/NNG+하/XSV+면/EC
2시간18분~2시간45분	2/SN+시간/NNB+18/SN+분/NNB+~/SO+2/SN+시간/NNB+45/SN+분/NNB
까닭에	까닭/NNG+에/JKB
호남	호남/NNP
쪽은	쪽/NNB+은/JX
일부	일부/NNG
편의	편/NNB+의/JKG
서대전	서대전/NNP
경유도	경유/NNG+도/JX
반대한다.	반대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.145.9.1
현재 국토부는 크게 세 가지 방안을 두고 고민 중이다.

현재	현재/MAG
국토부는	국토부/NNG+는/JX
크게	크/VA+게/EC
세	세/MMN
가지	가지/NNB
방안을	방안/NNG+을/JKO
두고	두/VV+고/EC
고민	고민/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.145.9.2
첫째는 호남 쪽의 요구대로 서대전역을 완전 배제하는 안이다.

첫째는	첫째/NR+는/JX
호남	호남/NNP
쪽의	쪽/NNB+의/JKG
요구대로	요구/NNG+대로/JX
서대전역을	서대전역/NNP+을/JKO
완전	완전/MAG
배제하는	배제/NNG+하/XSV+는/ETM
안이다.	안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.145.9.3
둘째는 일부 서대전을 거치되 서대전~익산 구간만 기존 선로를 이용하고 나머지는 고속선로를 이용하는 안이다.

둘째는	둘째/NR+는/JX
일부	일부/NNG
서대전을	서대전/NNP+을/JKO
거치되	거치/VV+되/EC
서대전~익산	서대전/NNP+~/SO+익산/NNP
구간만	구간/NNG+만/JX
기존	기존/NNG
선로를	선로/NNG+를/JKO
이용하고	이용/NNG+하/XSV+고/EC
나머지는	나머지/NNG+는/JX
고속선로를	고속/NNG+선로/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
안이다.	안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.145.9.4
셋째는 일부 서대전을 거치되, 대전 남쪽 구간은 모두 기존 선로를 이용하는 안이다.

셋째는	셋째/NR+는/JX
일부	일부/NNG
서대전을	서대전/NNP+을/JKO
거치되,	거치/VV+되/EC+,/SP
대전	대전/NNP
남쪽	남쪽/NNG
구간은	구간/NNG+은/JX
모두	모두/MAG
기존	기존/NNG
선로를	선로/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
안이다.	안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.145.9.5
국토부의 손병석 철도국장은 “고속선로 이용의 효율성과 승객 수요 모두를 고려해야 해 결정이 쉽지 않다”고 밝혔다.

국토부의	국토부/NNG+의/JKG
손병석	손병석/NNP
철도국장은	철도국장/NNG+은/JX
“고속선로	“/SS+고속/NNG+선로/NNG
이용의	이용/NNG+의/JKG
효율성과	효율/NNG+성/XSN+과/JC
승객	승객/NNG
수요	수요/NNG
모두를	모두/NNG+를/JKO
고려해야	고려/NNG+하/XSV+아야/EC
해	하/VX+아/EC
결정이	결정/NNG+이/JKS
쉽지	쉽/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.145.10.1
전문가들은 대체로 일부 편이 서대전역을 거쳐야 한다고 말했다.

전문가들은	전문가/NNG+들/XSN+은/JX
대체로	대체로/MAG
일부	일부/NNG
편이	편/NNB+이/JKS
서대전역을	서대전역/NNP+을/JKO
거쳐야	거치/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.145.10.2
사회공공연구소 박흥수 연구원은 “호남선에서 가장 수요가 큰 서대전역을 배제한 노선 결정 자체가 잘못됐다.

사회공공연구소	사회/NNG+공공/NNG+연구소/NNG
박흥수	박흥수/NNP
연구원은	연구원/NNG+은/JX
“호남선에서	“/SS+호남선/NNP+에서/JKB
가장	가장/MAG
수요가	수요/NNG+가/JKS
큰	크/VA+ㄴ/ETM
서대전역을	서대전역/NNP+을/JKO
배제한	배제/NNG+하/XSV+ㄴ/ETM
노선	노선/NNG
결정	결정/NNG
자체가	자체/NNG+가/JKS
잘못됐다.	잘못/MAG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.145.10.3
지역주의 때문에 고속철도 노선이 심각하게 왜곡됐다”고 지적했다.

지역주의	지역주의/NNG
때문에	때문/NNB+에/JKB
고속철도	고속/NNG+철도/NNG
노선이	노선/NNG+이/JKS
심각하게	심각하/VA+게/EC
왜곡됐다”고	왜곡/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.145.10.4
고승용 서울대 교수는 “서대전역이 차지하는 비중을 고려할 때 20% 정도가 서대전역에 들르는 것은 합리적이다.

고승용	고승용/NNP
서울대	서울대/NNP
교수는	교수/NNG+는/JX
“서대전역이	“/SS+서대전역/NNP+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중을	비중/NNG+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
20%	20/SN+%/SW
정도가	정도/NNG+가/JKS
서대전역에	서대전역/NNP+에/JKB
들르는	들르/VV+는/ETM
것은	것/NNB+은/JX
합리적이다.	합리/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.145.10.5
일단 20%를 투입했다가 수요 변화에 따르면 될 것”이라고 말했다.

일단	일단/MAG
20%를	20/SN+%/SW+를/JKO
투입했다가	투입/NNG+하/XSV+았/EP+다가/EC
수요	수요/NNG
변화에	변화/NNG+에/JKB
따르면	따르/VV+면/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


