# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.265
metadata : {}


# id : NWRW1800000044.265.1.1
“지자체서 아파트 예산지원때 경비원 처우 심사를”

“지자체서	“/SS+지자체/NNG+서/JKB
삭감	삭감/NNG
등이	등/NNB+이/JKS
아파트별로	아파트/NNG+별/XSN+로/JKB
추진되고	추진/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
예산을	예산/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
만큼	만큼/NNB
경비노동자의	경비/NNG+노동자/NNG+의/JKG
처우	처우/NNG
개선도	개선/NNG+도/JX
유도해야	유도/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.265.7.1
노동당 서울시당은 17일 서울시청에서 기자회견을 열어, 서울시와 25개 구청에 정보공개를 청구해 받은 2012~2014년 공동주택 지원, 공동체 활성화 사업 예산 내역을 공개했다.

노동당	노동당/NNP
서울시당은	서울시/NNP+당/NNG+은/JX
17일	17/SN+일/NNB
서울시청에서	서울시청/NNP+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어,	열/VV+어/EF+,/SP
서울시와	서울시/NNP+와/JKB
25개	25/SN+개/NNB
구청에	구청/NNG+에/JKB
정보공개를	정보/NNG+공개/NNG+를/JKO
청구해	청구/NNG+하/XSV+아/EC
받은	받/VV+은/ETM
2012~2014년	2012/SN+~/SO+2014/SN+년/NNB
공동주택	공동/NNG+주택/NNG
지원,	지원/NNG+,/SP
공동체	공동체/NNG
활성화	활성/NNG+화/XSN
사업	사업/NNG
예산	예산/NNG
내역을	내역/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.265.7.2
자료를 보면, 올해 구청들의 공동체 활성화 사업 예산은 7억3000여만원, 시설물 유지·보수 사업 예산은 85억1900여만원이다.

자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
올해	올해/NNG
구청들의	구청/NNG+들/XSN+의/JKG
공동체	공동체/NNG
활성화	활성/NNG+화/XSN
사업	사업/NNG
예산은	예산/NNG+은/JX
7억3000여만원,	7/SN+억/NR+3000/SN+여/XSN+만/NR+원/NNB+,/SP
시설물	시설물/NNG
유지·보수	유지/NNG+·/SP+보수/NNG
85억1900여만원이다.	85/SN+억/NR+1900/SN+여/XSN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.265.7.3
서울시도 4억여원을 지원했다.

서울시도	서울시/NNP+도/JX
4억여원을	4/SN+억/NR+여/XSN+원/NNB+을/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.265.8.1
가장 많이 지원한 곳은 재정자립도가 가장 높은 강남구로 14억6640만원에 달했다.

가장	가장/MAG
많이	많이/MAG
지원한	지원/NNG+하/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
재정자립도가	재정/NNG+자립도/NNG+가/JKS
높은	높/VA+은/ETM
강남구로	강남구/NNP+로/JKB
14억6640만원에	14/SN+억/NR+6640/SN+만/NR+원/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.265.8.2
이어 아파트 단지가 많은 양천구(9억3630만원)와 서초구(8억2850만원) 차례였다.

이어	이어/MAG
아파트	아파트/NNG
단지가	단지/NNG+가/JKS
많은	많/VA+은/ETM
양천구(9억3630만원)와	양천구/NNP+(/SS+9/SN+억/NR+3630/SN+만/NR+원/NNB+)/SS+와/JC
서초구(8억2850만원)	서초구/NNP+(/SS+8/SN+억/NR+2850/SN+만/NR+원/NNB+)/SS
차례였다.	차례/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.265.8.3
서초구 잠원동 ㅅ아파트가 놀이터 보수에 1억2000여만원을 지원받았고, 고급 아파트로 꼽히는 강남구 도곡동 ㄹ아파트도 놀이터 보수에 8000만원, 도곡동 ㅌ아파트도 ‘에너지 절감’ 사업에 7769만원을 받아갔다.

서초구	서초구/NNP
잠원동	잠원동/NNP
ㅅ아파트가	ㅅ/NNG+아파트/NNG+가/JKS
놀이터	놀이터/NNG
보수에	보수/NNG+에/JKB
1억2000여만원을	1/SN+억/NR+2000/SN+여/XSN+만/NR+원/NNB+을/JKO
지원받았고,	지원/NNG+받/XSV+았/EP+고/EC+,/SP
고급	고급/NNG
아파트로	아파트/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
강남구	강남구/NNP
도곡동	도곡동/NNP
ㄹ아파트도	ㄹ/NNG+아파트/NNG+도/JX
8000만원,	8000/SN+만/NR+원/NNB+,/SP
ㅌ아파트도	ㅌ/NNG+아파트/NNG+도/JX
‘에너지	‘/SS+에너지/NNG
절감’	절감/NNG+’/SS
사업에	사업/NNG+에/JKB
7769만원을	7769/SN+만/NR+원/NNB+을/JKO
받아갔다.	받/VV+아/EC+가/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.265.8.4
금액 상위 10개 단지가 모두 서초·강남·양천구에 집중됐다.

금액	금액/NNG
상위	상위/NNG
10개	10/SN+개/NNB
단지가	단지/NNG+가/JKS
모두	모두/MAG
서초·강남·양천구에	서초/NNP+·/SP+강남/NNP+·/SP+양천구/NNP+에/JKB
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.265.8.5
입주민의 모욕적 처사를 이유로 경비노동자가 목숨을 끊은 강남구 압구정동 신현대아파트는 2012년 벤치·파고라(정자) 조성을 위해 2885만원을 지원받았다.

입주민의	입주민/NNG+의/JKG
모욕적	모욕/NNG+적/XSN
처사를	처사/NNG+를/JKO
이유로	이유/NNG+로/JKB
경비노동자가	경비/NNG+노동자/NNG+가/JKS
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
강남구	강남구/NNP
압구정동	압구정동/NNP
신현대아파트는	신현대아파트/NNP+는/JX
2012년	2012/SN+년/NNB
벤치·파고라(정자)	벤치/NNG+·/SP+파고라/NNG+(/SS+정자/NNG+)/SS
조성을	조성/NNG+을/JKO
위해	위하/VV+아/EC
2885만원을	2885/SN+만/NR+원/NNB+을/JKO
지원받았다.	지원/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.265.9.1
내년에 최저임금 100%가 보장되면 경비원 1인당 인상되는 임금은 연간 216만원 정도다.

내년에	내년/NNG+에/JKB
최저임금	최저/NNG+임금/NNG
100%가	100/SN+%/SW+가/JKS
보장되면	보장/NNG+되/XSV+면/EC
경비원	경비원/NNG
1인당	1/SN+인/NNG+당/XSN
인상되는	인상/NNG+되/XSV+는/ETM
임금은	임금/NNG+은/JX
연간	연간/NNG
216만원	216/SN+만/NR+원/NNB
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.265.9.2
단순하게 계산하면 서울시와 구청이 올해 아파트에 지원한 96억원이면 4400여명의 경비노동자를 감원하지 않고도 최저임금을 줄 수 있다.

단순하게	단순/NNG+하/XSA+게/EC
계산하면	계산/NNG+하/XSV+면/EC
서울시와	서울시/NNP+와/JC
구청이	구청/NNG+이/JKS
올해	올해/NNG
아파트에	아파트/NNG+에/JKB
지원한	지원/NNG+하/XSV+ㄴ/ETM
96억원이면	96/SN+억/NR+원/NNB+이/VCP+면/EC
4400여명의	4400/SN+여/XSN+명/NNB+의/JKG
경비노동자를	경비/NNG+노동자/NNG+를/JKO
감원하지	감원/NNG+하/XSV+지/EC
않고도	않/VX+고/EC+도/JX
최저임금을	최저/NNG+임금/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.265.9.3
이에 노동당 서울시당은 서울시에 제출한 제안서에서 “지자체들은 경비원 처우 문제가 발생했을 때 ‘각 아파트가 알아서 할 일’이라는 태도를 보여왔는데, 지자체에서 아파트에 공적 지원을 해온 만큼 노동자 처우 개선이라는 공적 의무를 다해야 한다”고 밝혔다.

이에	이/NP+에/JKB
노동당	노동당/NNP
서울시당은	서울시/NNP+당/NNG+은/JX
서울시에	서울시/NNP+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
제안서에서	제안서/NNG+에서/JKB
“지자체들은	“/SS+지자체/NNG+들/XSN+은/JX
경비원	경비원/NNG
처우	처우/NNG
문제가	문제/NNG+가/JKS
발생했을	발생/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
‘각	‘/SS+각/MMD
아파트가	아파트/NNG+가/JKS
알아서	알/VV+아서/EC
할	하/VV+ㄹ/ETM
일’이라는	일/NNG+’/SS+이/VCP+라는/ETM
태도를	태도/NNG+를/JKO
보여왔는데,	보이/VV+어/EC+오/VX+았/EP+는데/EC+,/SP
지자체에서	지자체/NNG+에서/JKB
아파트에	아파트/NNG+에/JKB
공적	공/NNG+적/XSN
지원을	지원/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
만큼	만큼/NNB
노동자	노동자/NNG
개선이라는	개선/NNG+이/VCP+라는/ETM
의무를	의무/NNG+를/JKO
다해야	다/MAG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.265.9.4
이어 “지자체는 △최근 3년간 2인 이상의 집단해고가 없고 △최저임금법 등 노동 관련 법령 위반 사실이 없는 단지만 지원 대상에 포함해야 한다”고 주장했다.

이어	이어/MAG
“지자체는	“/SS+지자체/NNG+는/JX
△최근	△/SW+최근/MAG
3년간	3/SN+년/NNB+간/XSN
2인	2/SN+인/NNG
이상의	이상/NNG+의/JKG
집단해고가	집단/NNG+해고/NNG+가/JKS
없고	없/VA+고/EC
△최저임금법	△/SW+최저/NNG+임금법/NNG
등	등/NNB
노동	노동/NNG
관련	관련/NNG
법령	법령/NNG
위반	위반/NNG
사실이	사실/NNG+이/JKS
없는	없/VA+는/ETM
단지만	단지/NNG+만/JX
지원	지원/NNG
대상에	대상/NNG+에/JKB
포함해야	포함/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


