# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.66
metadata : {}


# id : NWRW1800000046.66.1.1
[스페인 가톨릭 성지를 가다] (中) 산티아고 순례길

[스페인	[/SS+스페인/NNP
손	손/NNG
모아	모으/VV+아/EC
깊은	깊/VA+은/ETM
기도에	기도/NNG+에/JKB
빠져	빠지/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.66.3.6
주변으로 기념촬영을 하려는 사람들이 붐비지만 그의 기도는 흐트러지지 않았다.

주변으로	주변/NNG+으로/JKB
기념촬영을	기념/NNG+촬영/NNG+을/JKO
하려는	하/VV+려는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
붐비지만	붐비/VV+지만/EC
그의	그/NP+의/JKG
기도는	기도/NNG+는/JX
흐트러지지	흐트러지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.66.3.7
한국 마산에서 온 60대 천주교 여신자들은 34일간의 순례를 마친 후 성당에서 뽑은 쪽지에 적힌 글귀를 가슴에 새기는 모습이었다.

한국	한국/NNP
마산에서	마산/NNP+에서/JKB
온	오/VV+ㄴ/ETM
60대	60/SN+대/NNB
천주교	천주교/NNG
여신자들은	여신자/NNG+들/XSN+은/JX
34일간의	34/SN+일/NNB+간/XSN+의/JKG
순례를	순례/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
후	후/NNG
성당에서	성당/NNG+에서/JKB
뽑은	뽑/VV+은/ETM
쪽지에	쪽지/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
글귀를	글귀/NNG+를/JKO
가슴에	가슴/NNG+에/JKB
새기는	새기/VV+는/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.66.3.8
"삶이란 해결해야 할 문제가 아니라 각자 살아내야 할 신비다."

"삶이란	"/SS+삶/NNG+이란/JX
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
각자	각자/MAG
살아내야	살/VV+아/EC+내/VX+어야/EC
신비다."	신비/NNG+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000046.66.4.1
전 세계에서 연간 20만명 이상이 찾는 길, 산티아고 순례길의 종착점은 그렇게 신앙심과 관광객의 호기심이 공존하는 세계였다.

전	전/MMN
세계에서	세계/NNG+에서/JKB
연간	연간/NNG
20만명	20/SN+만/NR+명/NNB
이상이	이상/NNG+이/JKS
찾는	찾/VV+는/ETM
길,	길/NNG+,/SP
산티아고	산티아고/NNP
순례길의	순례길/NNG+의/JKG
종착점은	종착점/NNG+은/JX
그렇게	그렇/VA+게/EC
신앙심과	신앙심/NNG+과/JC
관광객의	관광객/NNG+의/JKG
호기심이	호기심/NNG+이/JKS
공존하는	공존/NNG+하/XSV+는/ETM
세계였다.	세계/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.66.5.1
산티아고 순례길은 야고보 성인의 전설과 신앙을 통해 이슬람 세력 격퇴를 열망한 9세기 스페인 사람들의 열정이 만나면서 비롯됐다.

산티아고	산티아고/NNP
순례길은	순례길/NNG+은/JX
야고보	야고보/NNP
성인의	성인/NNG+의/JKG
전설과	전설/NNG+과/JC
신앙을	신앙/NNG+을/JKO
통해	통하/VV+아/EC
이슬람	이슬람/NNG
세력	세력/NNG
격퇴를	격퇴/NNG+를/JKO
열망한	열망/NNG+하/XSV+ㄴ/ETM
9세기	9/SN+세기/NNG
스페인	스페인/NNP
사람들의	사람/NNG+들/XSN+의/JKG
열정이	열정/NNG+이/JKS
만나면서	만나/VV+면서/EC
비롯됐다.	비롯되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.66.5.2
야고보 성인은 예수의 12제자 중 한 사람.

야고보	야고보/NNP
성인은	성인/NNG+은/JX
예수의	예수/NNP+의/JKG
12제자	12/SN+제자/NNG
중	중/NNB
한	한/MMN
사람.	사람/NNG+./SF


# id : NWRW1800000046.66.5.3
당시로서는 '땅끝'인 이베리아 반도 서북단까지 와서 복음을 전하고 팔레스타인 지역으로 돌아갔다가 순교했고, 제자들이 유해를 이곳으로 옮겨왔다고 전해진다.

당시로서는	당시/NNG+로서/JKB+는/JX
'땅끝'인	'/SS+땅끝/NNG+'/SS+이/VCP+ㄴ/ETM
이베리아	이베리아/NNP
반도	반도/NNG
서북단까지	서북단/NNG+까지/JX
와서	오/VV+아서/EC
복음을	복음/NNG+을/JKO
전하고	전하/VV+고/EC
팔레스타인	팔레스타인/NNP
지역으로	지역/NNG+으로/JKB
돌아갔다가	돌아가/VV+았/EP+다가/EC
순교했고,	순교/NNG+하/XSV+았/EP+고/EC+,/SP
제자들이	제자/NNG+들/XSN+이/JKS
유해를	유해/NNG+를/JKO
이곳으로	이곳/NP+으로/JKB
옮겨왔다고	옮기/VV+어/EC+오/VX+았/EP+다고/EC
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.66.5.4
그 후 800년, 기억에서 사라졌던 야고보 성인은 전설로 부활한다.

그	그/MMD
후	후/NNG
800년,	800/SN+년/NNB+,/SP
기억에서	기억/NNG+에서/JKB
사라졌던	사라지/VV+었/EP+던/ETM
야고보	야고보/NNP
성인은	성인/NNG+은/JX
전설로	전설/NNG+로/JKB
부활한다.	부활/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.66.5.5
이곳에서 주인 모를 무덤과 제단이 발견되자 당시 교회는 야고보 성인의 무덤이라고 선포한 것.

이곳에서	이곳/NP+에서/JKB
주인	주인/NNG
모를	모르/VV+ㄹ/ETM
무덤과	무덤/NNG+과/JC
제단이	제단/NNG+이/JKS
발견되자	발견/NNG+되/XSV+자/EC
당시	당시/NNG
교회는	교회/NNG+는/JX
야고보	야고보/NNP
성인의	성인/NNG+의/JKG
무덤이라고	무덤/NNG+이/VCP+라고/EC
선포한	선포/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000046.66.5.6
이베리아 반도 거의 전역을 점령한 이슬람 세력과 싸우던 그리스도교인들은 야고보를 수호성인으로 삼았다.

이베리아	이베리아/NNP
반도	반도/NNG
거의	거의/MAG
전역을	전역/NNG+을/JKO
점령한	점령/NNG+하/XSV+ㄴ/ETM
이슬람	이슬람/NNG
세력과	세력/NNG+과/JKB
싸우던	싸우/VV+던/ETM
그리스도교인들은	그리스도교인/NNG+들/XSN+은/JX
야고보를	야고보/NNP+를/JKO
수호성인으로	수호성인/NNG+으로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.66.5.7
예루살렘마저 이슬람에 점령돼 성지순례가 불가능해지자 산티아고 데 콤포스텔라는 예루살렘 대신 순례할 수 있는 성지로 부상해 프랑스와 이탈리아에서 오는 순례객들이 북적였다.

예루살렘마저	예루살렘/NNP+마저/JX
이슬람에	이슬람/NNG+에/JKB
점령돼	점령/NNG+되/XSV+어/EC
성지순례가	성지/NNG+순례/NNG+가/JKS
불가능해지자	불/XPN+가능/NNG+하/XSA+아/EC+지/VX+자/EC
산티아고	산티아고/NNP
데	데/NNP
콤포스텔라는	콤포스텔라/NNP+는/JX
예루살렘	예루살렘/NNP
대신	대신/NNG
순례할	순례/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
성지로	성지/NNG+로/JKB
부상해	부상/NNG+하/XSV+아/EC
프랑스와	프랑스/NNP+와/JC
이탈리아에서	이탈리아/NNP+에서/JKB
오는	오/VV+는/ETM
순례객들이	순례객/NNG+들/XSN+이/JKS
북적였다.	북적이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.66.5.8
대표적인 게 프랑스 남부에서 800㎞에 이르는 길.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
게	거/NNB+이/JKS
프랑스	프랑스/NNP
남부에서	남부/NNG+에서/JKB
800㎞에	800/SN+㎞/SW+에/JKB
이르는	이르/VV+는/ETM
길.	길/NNG+./SF


# id : NWRW1800000046.66.5.9
중세 이후 열기가 식었던 이 순례길이 다시 각광받게 된 것은 1982년 요한 바오로2세 교황이 직접 방문하고, 브라질 작가 코엘류가 이 길에서 겪은 영적 체험을 적은 '순례자'를 발표하면서.

중세	중세/NNG
이후	이후/NNG
열기가	열기/NNG+가/JKS
식었던	식/VV+었/EP+던/ETM
이	이/MMD
순례길이	순례길/NNG+이/JKS
다시	다시/MAG
각광받게	각광/NNG+받/XSV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
1982년	1982/SN+년/NNB
요한	요한/NNP
바오로2세	바오로/NNP+2/SN+세/NNB
교황이	교황/NNG+이/JKS
직접	직접/MAG
방문하고,	방문/NNG+하/XSV+고/EC+,/SP
브라질	브라질/NNP
작가	작가/NNG
코엘류가	코엘류/NNP+가/JKS
길에서	길/NNG+에서/JKB
겪은	겪/VV+은/ETM
영적	영/NNG+적/XSN
체험을	체험/NNG+을/JKO
적은	적/VV+은/ETM
'순례자'를	'/SS+순례자/NNG+'/SS+를/JKO
발표하면서.	발표/NNG+하/XSV+면서/EF+./SF


# id : NWRW1800000046.66.5.10
1993년 유네스코 세계문화유산에도 지정되면서 순례객이 급증했다.

1993년	1993/SN+년/NNB
유네스코	유네스코/NNP
세계문화유산에도	세계/NNG+문화유산/NNG+에/JKB+도/JX
지정되면서	지정/NNG+되/XSV+면서/EC
순례객이	순례객/NNG+이/JKS
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.66.6.1
아시아에선 한국인이 가장 많이 찾고 있으며 이 길의 순례자들은 이젠 신앙심만이 아닌 제각각의 이유로 출발한다.

아시아에선	아시아/NNP+에서/JKB+ㄴ/JX
한국인이	한국인/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
찾고	찾/VV+고/EC
있으며	있/VX+으며/EC
이	이/MMD
길의	길/NNG+의/JKG
순례자들은	순례자/NNG+들/XSN+은/JX
이젠	이제/NNG+ㄴ/JX
신앙심만이	신앙심/NNG+만/JX+이/JKC
아닌	아니/VCN+ㄴ/ETM
제각각의	제각각/NNG+의/JKG
이유로	이유/NNG+로/JKB
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.66.6.2
길게는 40일, 소똥 냄새와 야생화 향기를 맡으며 이 길을 밟아온 사람들은 누구나 현자(賢者)가 된 듯했다.

길게는	길/VA+게/EC+는/JX
40일,	40/SN+일/NNB+,/SP
소똥	소똥/NNG
냄새와	냄새/NNG+와/JC
야생화	야생화/NNG
향기를	향기/NNG+를/JKO
맡으며	맡/VV+으며/EC
이	이/MMD
길을	길/NNG+을/JKO
밟아온	밟/VV+아/EC+오/VX+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
누구나	누구/NP+나/JX
현자(賢者)가	현자/NNG+(/SS+賢者/SH+)/SS+가/JKC
된	되/VV+ㄴ/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.66.6.3
자신의 몸이 감당할만큼만 남기고 하나씩 버리면서 걸어야 하는 길은 최소한의 삶, 단순한 삶을 가르쳐주는 듯했다.

자신의	자신/NNG+의/JKG
몸이	몸/NNG+이/JKS
감당할만큼만	감당/NNG+하/XSV+ㄹ/ETM+만큼/NNB+만/JX
남기고	남기/VV+고/EC
하나씩	하나/NR+씩/XSN
버리면서	버리/VV+면서/EC
걸어야	걷/VV+어야/EC
하는	하/VX+는/ETM
길은	길/NNG+은/JX
최소한의	최소한/NNG+의/JKG
삶,	삶/NNG+,/SP
단순한	단순/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
가르쳐주는	가르치/VV+어/EC+주/VX+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.66.6.4
20㎞ 남긴 지점을 자전거로 지나던 이탈리아 엔지니어 파슈씨는 "루르드(프랑스 남부)부터 여기까지 950㎞를 13일 동안 달렸다"며 "오늘 카미노(스페인어로 '길'·산티아고 순례길)를 마치면 내일 밀라노로 돌아가 '진짜 카미노'를 시작해야죠"라고 말했다.

20㎞	20/SN+㎞/SW
남긴	남기/VV+ㄴ/ETM
지점을	지점/NNG+을/JKO
자전거로	자전거/NNG+로/JKB
지나던	지나/VV+던/ETM
이탈리아	이탈리아/NNP
엔지니어	엔지니어/NNG
파슈씨는	파슈/NNP+씨/NNB+는/JX
"루르드(프랑스	"/SS+루르드/NNP+(/SS+프랑스/NNP
남부)부터	남부/NNG+)/SS+부터/JX
여기까지	여기/NP+까지/JX
950㎞를	950/SN+㎞/SW+를/JKO
13일	13/SN+일/NNB
동안	동안/NNG
달렸다"며	달리/VV+었/EP+다/EF+"/SS+며/EC
"오늘	"/SS+오늘/MAG
카미노(스페인어로	카미노/NF+(/SS+스페인어/NNP+로/JKB
'길'·산티아고	'/SS+길/NNG+'/SS+·/SP+산티아고/NNP
순례길)를	순례길/NNG+)/SS+를/JKO
마치면	마치/VV+면/EC
내일	내일/MAG
밀라노로	밀라노/NNP+로/JKB
돌아가	돌아가/VV+아/EC
'진짜	'/SS+진짜/NNG
카미노'를	카미노/NNP+'/SS+를/JKO
시작해야죠"라고	시작/NNG+하/XSV+아야지/EF+요/JX+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.66.6.5
순례란 '가는 것'이 아니라 '제대로 돌아오는 것'이라는 말이었다.

순례란	순례/NNG+란/JX
'가는	'/SS+가늘/VA+ㄴ/ETM
것'이	것/NNB+'/SS+이/JKC
아니라	아니/VCN+라/EC
'제대로	'/SS+제대로/MAG
돌아오는	돌아오/VV+는/ETM
것'이라는	것/NNB+'/SS+이/VCP+라는/ETM
말이었다.	말/NNG+이/VCP+었/EP+다/EF+./SF


