# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.369
metadata : {}


# id : NWRW1800000046.369.1.1
알맹이 빠진 '野 혁신안'

알맹이	알맹이/NNG
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.369.4.1
이날 통과된 혁신안에는 사무총장제 폐지안을 비롯해 당원소환제와 부정부패 기소자 당직박탈제 등이 담겼다.

이날	이날/NNG
통과된	통과/NNG+되/XSV+ㄴ/ETM
혁신안에는	혁신안/NNG+에/JKB+는/JX
사무총장제	사무총장/NNG+제/XSN
폐지안을	폐지안/NNG+을/JKO
비롯해	비롯하/VV+아/EC
당원소환제와	당원/NNG+소환/NNG+제/XSN+와/JC
부정부패	부정부패/NNG
기소자	기소자/NNG
당직박탈제	당직/NNG+박탈/NNG+제/XSN
등이	등/NNB+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.369.4.2
"당 대표 권한만 비대해진다"는 등의 반대 의견도 나왔지만, 거수 표결 끝에 참석자 35명(정원 66명) 중 찬성 29명, 반대 2명, 기권 4명으로 통과됐다.

"당	"/SS+당/NNG
대표	대표/NNG
권한만	권한/NNG+만/JX
비대해진다"는	비대/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
반대	반대/NNG
의견도	의견/NNG+도/JX
나왔지만,	나오/VV+았/EP+지만/EC+,/SP
거수	거수/NNG
표결	표결/NNG
끝에	끝/NNG+에/JKB
참석자	참석자/NNG
35명(정원	35/SN+명/NNB+(/SS+정원/NNG
66명)	66/SN+명/NNB+)/SS
중	중/NNB
찬성	찬성/NNG
29명,	29/SN+명/NNB+,/SP
2명,	2/SN+명/NNB+,/SP
기권	기권/NNG
4명으로	4/SN+명/NNB+으로/JKB
통과됐다.	통과/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.369.4.3
이날 의결된 혁신안은 오는 20일 중앙위원회를 거쳐 당헌에 반영된다.

이날	이날/NNG
의결된	의결/NNG+되/XSV+ㄴ/ETM
혁신안은	혁신안/NNG+은/JX
오는	오/VV+는/ETM
20일	20/SN+일/NNB
중앙위원회를	중앙/NNG+위원회/NNG+를/JKO
거쳐	거치/VV+어/EC
당헌에	당헌/NNG+에/JKB
반영된다.	반영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.369.5.1
그러나 혁신안의 핵심인 최고위원제 폐지와 선출직공직자평가위원회 구성안은 이날 안건에서 제외됐다.

그러나	그러나/MAJ
혁신안의	혁신안/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
최고위원제	최고/NNG+위원/NNG+제/XSN
폐지와	폐지/NNG+와/JC
선출직공직자평가위원회	선출직/NNG+공직자/NNG+평가/NNG+위원회/NNG
구성안은	구성안/NNG+은/JX
이날	이날/NNG
안건에서	안건/NNG+에서/JKB
제외됐다.	제외/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.369.5.2
혁신위가 안(案)을 발표한 뒤 비주류 등에서 반발했던 내용이다.

혁신위가	혁신위/NNG+가/JKS
안(案)을	안/NNG+(/SS+案/SH+)/SS+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
비주류	비/XPN+주류/NNG
등에서	등/NNB+에서/JKB
반발했던	반발/NNG+하/XSV+았/EP+던/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.369.5.3
문재인 대표 등은 "반발이 있어도 추진해야 한다"고 해왔지만 결국은 물러선 것이다.

문재인	문재인/NNP
대표	대표/NNG
등은	등/NNB+은/JX
"반발이	"/SS+반발/NNG+이/JKS
있어도	있/VA+어도/EC
추진해야	추진/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
해왔지만	하/VV+아/EC+오/VX+았/EP+지만/EC
결국은	결국/NNG+은/JX
물러선	물러서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.369.5.4
혁신위는 성명서를 통해 "최고위 폐지 안건은 연기된 것이 아니라 방대한 조문 작업이 필요해 본래 9월 중앙위에 상정하기로 했었다"고 해명했지만, 당내에선 "당 내분이 커질까 봐 일단 보류한 것"이라는 해석이 많았다.

혁신위는	혁신위/NNG+는/JX
성명서를	성명서/NNG+를/JKO
통해	통하/VV+아/EC
"최고위	"/SS+최/XPN+고위/NNG
폐지	폐지/NNG
안건은	안건/NNG+은/JX
연기된	연기/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
방대한	방대하/VA+ㄴ/ETM
조문	조문/NNG
작업이	작업/NNG+이/JKS
필요해	필요/NNG+하/XSA+아/EC
본래	본래/NNG
9월	9/SN+월/NNB
중앙위에	중앙위/NNG+에/JKB
상정하기로	상정/NNG+하/XSV+기/ETN+로/JKB
했었다"고	하/VV+았었/EP+다/EF+"/SS+고/JKQ
해명했지만,	해명/NNG+하/XSV+았/EP+지만/EC+,/SP
당내에선	당내/NNG+에서/JKB+ㄴ/JX
"당	"/SS+당/NNG
내분이	내분/NNG+이/JKS
커질까	커지/VV+ㄹ까/EF
봐	보/VV+아/EC
일단	일단/MAG
보류한	보류/NNG+하/XSV+ㄴ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
해석이	해석/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.369.6.1
유승희 최고위원은 당 최고위원회의에서 "최고위를 폐지하는 게 맞다면 현 대표와 최고위원 모두를 (폐지 대상에) 포괄하는 게 논리적으로 맞다"며 문 대표를 비판했다.

유승희	유승희/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
당	당/NNG
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
"최고위를	"/SS+최/XPN+고위/NNG+를/JKO
폐지하는	폐지/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
맞다면	맞/VV+다면/EC
현	현/MMD
대표와	대표/NNG+와/JC
최고위원	최고/NNG+위원/NNG
모두를	모두/NNG+를/JKO
(폐지	(/SS+폐지/NNG
대상에)	대상/NNG+에/JKB+)/SS
포괄하는	포괄/NNG+하/XSV+는/ETM
논리적으로	논리/NNG+적/XSN+으로/JKB
맞다"며	맞/VV+다/EF+"/SS+며/EC
문	문/NNP
대표를	대표/NNG+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.369.6.2
이에 이용득 최고위원이 "여전히 당이 콩가루 집안이다"라고 맞받으며 충돌했다.

이에	이/NP+에/JKB
이용득	이용득/NNP
최고위원이	최고/NNG+위원/NNG+이/JKS
"여전히	"/SS+여전히/MAG
당이	당/NNG+이/JKS
콩가루	콩가루/NNG
집안이다"라고	집안/NNG+이/VCP+다/EF+"/SS+라고/JKQ
맞받으며	맞받/VV+으며/EC
충돌했다.	충돌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.369.6.3
박지원 의원은 이날 라디오 인터뷰에서 "(혁신위가) 실패하면 상당히 큰 분당 사태가 오지 않을까 염려한다"고도 했다.

박지원	박지원/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
라디오	라디오/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"(혁신위가)	"/SS+(/SS+혁신위/NNG+가/JKS+)/SS
실패하면	실패/NNG+하/XSV+면/EC
상당히	상당히/MAG
큰	크/VA+ㄴ/ETM
분당	분당/NNG
사태가	사태/NNG+가/JKS
오지	오/VV+지/EC
않을까	않/VX+을까/EF
염려한다"고도	염려/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.369.6.4
박주선 의원도 "(혁신안이 아니라) 문재인 대표 사퇴안이 채택이 돼야 한다"고 말했다.

박주선	박주선/NNP
의원도	의원/NNG+도/JX
"(혁신안이	"/SS+(/SS+혁신안/NNG+이/JKC
아니라)	아니/VCN+라/EC+)/SS
문재인	문재인/NNP
대표	대표/NNG
사퇴안이	사퇴/NNG+안/NNG+이/JKS
채택이	채택/NNG+이/JKS
돼야	되/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


