# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.182
metadata : {}


# id : NWRW1800000037.182.1.1
[휴지통]“아이다 대표곡 왜 안불렀나”… 뮤지컬 디바 ‘감기 굴욕’

[휴지통]“아이다	[/SS+휴지통/NNG+]/SS+“/SS+아이다/NNP
깨질	깨지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
성대	성대/NNG
부담이	부담/NNG+이/JKS
큰	크/VA+ㄴ/ETM
솔로곡만	솔로/NNG+곡/NNG+만/JX
빼고	빼/VV+고/EC
공연을	공연/NNG+을/JKO
지속했다”고	지속/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.182.6.1
현장에서 이를 눈치 챈 관객은 네 팀에 불과했다.

현장에서	현장/NNG+에서/JKB
이를	이/NP+를/JKO
눈치	눈치/NNG
챈	채/VV+ㄴ/ETM
관객은	관객/NNG+은/JX
네	네/MMN
팀에	팀/NNG+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000037.182.6.2
공연이 끝난 뒤 “공지도 없이 핵심 곡을 뺄 수 있느냐”고 항의하는 이들에게 재관람 기회를 제공한 신시 측은 다른 관객과의 형평성을 고려해 트위터로 당일의 상황을 설명하고 사과하는 글을 올렸다.

공연이	공연/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
“공지도	“/SS+공지/NNG+도/JX
없이	없이/MAG
핵심	핵심/NNG
곡을	곡/NNG+을/JKO
뺄	빼/VV+ㄹ/ETM
수	수/NNB
있느냐”고	있/VA+느냐/EF+”/SS+고/JKQ
항의하는	항의/NNG+하/XSV+는/ETM
이들에게	이/NNB+들/XSN+에게/JKB
재관람	재/XPN+관람/NNG
기회를	기회/NNG+를/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
신시	신시/NNP
측은	측/NNB+은/JX
다른	다른/MMD
관객과의	관객/NNG+과/JKB+의/JKG
형평성을	형평/NNG+성/XSN+을/JKO
고려해	고려/NNG+하/XSV+아/EC
트위터로	트위터/NNP+로/JKB
당일의	당일/NNG+의/JKG
상황을	상황/NNG+을/JKO
설명하고	설명/NNG+하/XSV+고/EC
사과하는	사과/NNG+하/XSV+는/ETM
글을	글/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.182.6.3
이날 공연은 만석으로 약 1200명이 관람했다.

이날	이날/NNG
공연은	공연/NNG+은/JX
만석으로	만석/NNG+으로/JKB
약	약/MMA
1200명이	1200/SN+명/NNB+이/JKS
관람했다.	관람/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.182.7.1
하지만 트위터 내용이 인터넷에 급속히 퍼지면서 환불 및 보상을 요구하는 전화가 쏟아지자 신시 측은 해당 공연을 관람한 관객 본인에 한해 재관람할 수 있게 한다는 내용으로 2일 오후 홈페이지에 공지를 올렸다.

하지만	하지만/MAJ
트위터	트위터/NNP
내용이	내용/NNG+이/JKS
인터넷에	인터넷/NNG+에/JKB
급속히	급속히/MAG
퍼지면서	퍼지/VV+면서/EC
환불	환불/NNG
및	및/MAG
보상을	보상/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
전화가	전화/NNG+가/JKS
쏟아지자	쏟아지/VV+자/EC
신시	신시/NNP
측은	측/NNB+은/JX
해당	해당/NNG
공연을	공연/NNG+을/JKO
관람한	관람/NNG+하/XSV+ㄴ/ETM
관객	관객/NNG
본인에	본인/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
재관람할	재/XPN+관람/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
내용으로	내용/NNG+으로/JKB
2일	2/SN+일/NNB
오후	오후/NNG
홈페이지에	홈페이지/NNG+에/JKB
공지를	공지/NNG+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.182.7.2
3일 차 씨가 맡기로 한 아이다는 더블캐스팅된 소냐로 변경됐고 5일 차 씨의 2회 공연은 커버 배우가 대기 중인 상태다.

3일	3/SN+일/NNB
차	차/NNP
씨가	씨/NNB+가/JKS
맡기로	맡/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
아이다는	아이다/NNP+는/JX
더블캐스팅된	더블/NNG+캐스팅/NNG+되/XSV+ㄴ/ETM
소냐로	소냐/NNP+로/JKB
변경됐고	변경/NNG+되/XSV+었/EP+고/EC
5일	5/SN+일/NNB
씨의	씨/NNB+의/JKG
2회	2/SN+회/NNB
공연은	공연/NNG+은/JX
커버	커버/NNG
배우가	배우/NNG+가/JKS
대기	대기/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


