# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.260
metadata : {}


# id : NWRW1800000033.260.1.1
부영 “한국의 세인트루이스로 만들겠다”

부영	부영/NNP
프로야구의	프로/NNG+야구/NNG+의/JKG
열기는	열기/NNG+는/JX
더욱	더욱/MAG
뜨거워질	뜨거워지/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“전주에	“/SS+전주/NNP+에/JKB
2만5000석	2/SN+만/NR+5000/SN+석/NNB
규모의	규모/NNG+의/JKG
야구장을	야구장/NNG+을/JKO
신축하는	신축/NNG+하/XSV+는/ETM
등	등/NNB
최고의	최고/NNG+의/JKG
인센티브를	인센티브/NNG+를/JKO
제공하겠다”고	제공/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.260.5.2
이어 “전주의 인구가 수원보다 적다고 하는데 메이저리그 명문 구단 세인트루이스의 연고지 세인트루이스 시의 인구는 32만 명에 불과하지만 연간 관중은 300만 명에 이른다. 중요한 건 지역의 야구 열기”라고 강조했다.

이어	이어/MAG
“전주의	“/SS+전주/NNP+의/JKG
인구가	인구/NNG+가/JKS
수원보다	수원/NNP+보다/JKB
적다고	적/VA+다고/EC
하는데	하/VV+는데/EC
메이저리그	메이저리그/NNG
명문	명문/NNG
구단	구단/NNG
세인트루이스의	세인트루이스/NNP+의/JKG
연고지	연고지/NNG
세인트루이스	세인트루이스/NNP
시의	시/NNG+의/JKG
인구는	인구/NNG+는/JX
32만	32/SN+만/NR
명에	명/NNB+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
연간	연간/NNG
관중은	관중/NNG+은/JX
300만	300/SN+만/NR
이른다.	이르/VV+ㄴ다/EF+./SF
중요한	중요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
지역의	지역/NNG+의/JKG
야구	야구/NNG
열기”라고	열기/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.260.6.1
부영이 10구단 창단을 공식 선포하면서 수원을 연고로 한 KT와의 10구단 유치 경쟁이 볼만하게 됐다.

부영이	부영/NNP+이/JKS
10구단	10/SN+구단/NNG
창단을	창단/NNG+을/JKO
공식	공식/NNG
선포하면서	선포/NNG+하/XSV+면서/EC
수원을	수원/NNP+을/JKO
연고로	연고/NNG+로/JKB
한	하/VV+ㄴ/ETM
KT와의	KT/SL+와/JKB+의/JKG
유치	유치/NNG
경쟁이	경쟁/NNG+이/JKS
볼만하게	보/VV+ㄹ/ETM+만/NNB+하/XSA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.260.6.2
KT와 수원은 11월 6일 10구단 유치를 위한 상호협약을 마쳤다.

KT와	KT/SL+와/JC
수원은	수원/NNP+은/JX
11월	11/SN+월/NNB
6일	6/SN+일/NNB
10구단	10/SN+구단/NNG
유치를	유치/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
상호협약을	상호/NNG+협약/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.260.7.1
1982년 프로야구 출범 이후 복수의 기업이 신생 구단 유치 경쟁에 나선 것은 사실상 이번이 처음이다.

1982년	1982/SN+년/NNB
프로야구	프로/NNG+야구/NNG
출범	출범/NNG
이후	이후/NNG
복수의	복수/NNG+의/JKG
기업이	기업/NNG+이/JKS
신생	신생/NNG
구단	구단/NNG
유치	유치/NNG
경쟁에	경쟁/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
사실상	사실/NNG+상/XSN
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.260.7.2
초대 한국야구위원회(KBO) 사무총장으로 프로야구 탄생의 산파 역할을 했던 이용일 전 KBO 총재는 “7구단을 만들 때는 동아건설과 한국화약(빙그레·현 한화)이 후보였지만 동아건설이 막판에 창단을 포기했다. 8구단을 만들 때는 전북을 연고로 한 쌍방울과 마산을 연고로 한 한일그룹이 신청서를 제출했다. 하지만 한일그룹이 신청서를 제출한 건 서류상의 경쟁 모양새를 갖추기 위해서였다”고 말했다.

초대	초대/NNG
한국야구위원회(KBO)	한국야구위원회/NNP+(/SS+KBO/SL+)/SS
사무총장으로	사무총장/NNG+으로/JKB
프로야구	프로/NNG+야구/NNG
탄생의	탄생/NNG+의/JKG
산파	산파/NNG
역할을	역할/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
이용일	이용일/NNP
전	전/MMD
KBO	KBO/SL
총재는	총재/NNG+는/JX
“7구단을	“/SS+7/SN+구단/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
때는	때/NNG+는/JX
동아건설과	동아건설/NNP+과/JC
한국화약(빙그레·현	한국화약/NNP+(/SS+빙그레/NNP+·/SP+현/MMD
한화)이	한화/NNP+)/SS+이/JKS
후보였지만	후보/NNG+이/VCP+었/EP+지만/EC
동아건설이	동아건설/NNP+이/JKS
막판에	막판/NNG+에/JKB
창단을	창단/NNG+을/JKO
포기했다.	포기/NNG+하/XSV+았/EP+다/EF+./SF
8구단을	8/SN+구단/NNG+을/JKO
전북을	전북/NNP+을/JKO
연고로	연고/NNG+로/JKB
한	하/VV+ㄴ/ETM
쌍방울과	쌍방울/NNP+과/JC
마산을	마산/NNP+을/JKO
한일그룹이	한일그룹/NNP+이/JKS
신청서를	신청서/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF
하지만	하지만/MAJ
제출한	제출/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
서류상의	서류/NNG+상/XSN+의/JKG
경쟁	경쟁/NNG
모양새를	모양새/NNG+를/JKO
갖추기	갖추/VV+기/ETN
위해서였다”고	위하/VV+아서/EC+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.260.8.1
KBO는 늦어도 내년 3월 안에 새 구단의 주인을 결정할 계획이다.

KBO는	KBO/SL+는/JX
늦어도	늦/VA+어도/EC
내년	내년/NNG
3월	3/SN+월/NNB
안에	안/NNG+에/JKB
새	새/MMA
구단의	구단/NNG+의/JKG
주인을	주인/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.260.8.2
수원을 앞세운 KT냐, 전북의 부영이냐.

수원을	수원/NNP+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
KT냐,	KT/SL+이/VCP+냐/EF+,/SP
전북의	전북/NNP+의/JKG
부영이냐.	부영/NNP+이/VCP+냐/EF+./SF


# id : NWRW1800000033.260.8.3
프로야구 비시즌의 10구단 유치 전쟁이 순위 싸움만큼이나 치열할 것으로 전망된다.

프로야구	프로/NNG+야구/NNG
비시즌의	비/XPN+시즌/NNG+의/JKG
10구단	10/SN+구단/NNG
유치	유치/NNG
전쟁이	전쟁/NNG+이/JKS
순위	순위/NNG
싸움만큼이나	싸움/NNG+만큼/JKB+이나/JX
치열할	치열/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


