# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.242
metadata : {}


# id : NWRW1800000032.242.1.1
이국철의 가방 2개…‘거짓말은 누구’ 밝혀낼까

이국철의	이국철/NNP+의/JKG
이 회장은 △신재민 전 문화체육관광부 차관에게 건넨 카드 사용 명세 및 신 전 차관이 사용한 차량의 렌터카 비용 자료 △박영준 전 지식경제부 차관을 접대했다는 에스엘에스그룹 일본 지사장 권아무개씨의 연락처와 현지 음식점 연락처 △산업은행이 실시한 에스엘에스 계열사에 대한 워크아웃의 불법성을 입증할 수 있는 자료 등을 검찰에 제출하겠다고 밝혔다.

이	이/NNP
회장은	회장/NNG+은/JX
△신재민	△/SW+신재민/NNP
전	전/MMD
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
차관에게	차관/NNG+에게/JKB
건넨	건네/VV+ㄴ/ETM
카드	카드/NNG
사용	사용/NNG
명세	명세/NNG
및	및/MAG
신	신/NNP
차관이	차관/NNG+이/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
차량의	차량/NNG+의/JKG
렌터카	렌터카/NNG
비용	비용/NNG
자료	자료/NNG
△박영준	△/SW+박영준/NNP
지식경제부	지식/NNG+경제부/NNG
차관을	차관/NNG+을/JKO
접대했다는	접대/NNG+하/XSV+았/EP+다는/ETM
에스엘에스그룹	에스엘에스그룹/NNP
일본	일본/NNP
지사장	지사장/NNG
권아무개씨의	권/NNP+아무개/NP+씨/NNB+의/JKG
연락처와	연락처/NNG+와/JC
현지	현지/NNG
음식점	음식점/NNG
연락처	연락처/NNG
△산업은행이	△/SW+산업은행/NNP+이/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
에스엘에스	에스엘에스/NNP
계열사에	계열사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
워크아웃의	워크아웃/NNG+의/JKG
불법성을	불법/NNG+성/XSN+을/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
등을	등/NNB+을/JKO
검찰에	검찰/NNG+에/JKB
제출하겠다고	제출/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.242.7.1
이 회장은 “참을성과 인내심의 끝에는 진실이 있고, 진실의 끝에는 대변화와 개혁이 있다고 생각한다.

이	이/NNP
회장은	회장/NNG+은/JX
“참을성과	“/SS+참을성/NNG+과/JC
인내심의	인내심/NNG+의/JKG
끝에는	끝/NNG+에/JKB+는/JX
진실이	진실/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
진실의	진실/NNG+의/JKG
대변화와	대/XPN+변화/NNG+와/JC
개혁이	개혁/NNG+이/JKS
있다고	있/VA+다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.242.7.2
검찰 조사를 많이 받아봤기 때문에 진실 그대로만 말하겠다”고 한 뒤 조사실로 향했다.

검찰	검찰/NNG
조사를	조사/NNG+를/JKO
많이	많이/MAG
받아봤기	받/VV+아/EC+보/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
진실	진실/NNG
그대로만	그대로/NNG+만/JX
말하겠다”고	말/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
조사실로	조사실/NNG+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.242.8.1
이 회장이 이날 제출한 증빙자료는 정권 실세들의 각종 의혹을 수사하는 중요 단서가 될 것으로 보인다.

이	이/NNP
회장이	회장/NNG+이/JKS
이날	이날/NNG
제출한	제출/NNG+하/XSV+ㄴ/ETM
증빙자료는	증빙/NNG+자료/NNG+는/JX
정권	정권/NNG
실세들의	실세/NNG+들/XSN+의/JKG
각종	각종/NNG
의혹을	의혹/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
중요	중요/NNG
단서가	단서/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.242.8.2
검찰은 먼저 법인카드 지급 명세를 근거로 구체적인 사용 내역을 추적할 계획이다.

검찰은	검찰/NNG+은/JX
먼저	먼저/MAG
법인카드	법인/NNG+카드/NNG
지급	지급/NNG
명세를	명세/NNG+를/JKO
근거로	근거/NNG+로/JKB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
사용	사용/NNG
내역을	내역/NNG+을/JKO
추적할	추적/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.242.8.3
이 회장이 신 전 차관에게 건넸다는 현금은 수수 경로와 사용 내역을 추적하기가 쉽지 않아 우선순위에서 뒤로 밀릴 가능성이 높다.

이	이/NNP
회장이	회장/NNG+이/JKS
신	신/NNP
전	전/MMD
차관에게	차관/NNG+에게/JKB
건넸다는	건네/VV+었/EP+다는/ETM
현금은	현금/NNG+은/JX
수수	수수/NNG
경로와	경로/NNG+와/JC
사용	사용/NNG
내역을	내역/NNG+을/JKO
추적하기가	추적/NNG+하/XSV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않아	않/VX+아/EC
우선순위에서	우선순위/NNG+에서/JKB
뒤로	뒤/NNG+로/JKB
밀릴	밀리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000032.242.8.4
앞서 이 회장은 “법인카드 사용 내역 안에 면세점이 들어 있는데, 면세점에서 물품을 구입할 때는 여권을 제시해야 한다”며 조금만 조사해보면 사용자가 곧바로 드러날 것이라고 주장한 바 있다.

앞서	앞서/MAG
이	이/NNP
회장은	회장/NNG+은/JX
“법인카드	“/SS+법인/NNG+카드/NNG
사용	사용/NNG
내역	내역/NNG
안에	안/NNG+에/JKB
면세점이	면세점/NNG+이/JKS
들어	들/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
면세점에서	면세점/NNG+에서/JKB
물품을	물품/NNG+을/JKO
구입할	구입/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
여권을	여권/NNG+을/JKO
제시해야	제시/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
조금만	조금/NNG+만/JX
조사해보면	조사/NNG+하/XSV+아/EC+보/VX+면/EC
사용자가	사용자/NNG+가/JKS
곧바로	곧바로/MAG
드러날	드러나/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장한	주장/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.242.8.5
검찰은 신 전 차관의 출입국 기록 등을 입수해 면세점 이용 여부를 확인할 방침이다.

검찰은	검찰/NNG+은/JX
신	신/NNP
전	전/MMD
차관의	차관/NNG+의/JKG
출입국	출입국/NNG
기록	기록/NNG
등을	등/NNB+을/JKO
입수해	입수/NNG+하/XSV+아/EC
면세점	면세점/NNG
이용	이용/NNG
여부를	여부/NNG+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.242.9.1
박 전 차관 관련 의혹은 해명과 재반박이 오가며 조금씩 커지고 있다.

박	박/NNP
전	전/MMD
차관	차관/NNG
관련	관련/NNG
의혹은	의혹/NNG+은/JX
해명과	해명/NNG+과/JC
재반박이	재/XPN+반박/NNG+이/JKS
오가며	오가/VV+며/EC
조금씩	조금/NNG+씩/XSN
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.242.9.2
애초 이 회장이 “일본에서 400만~500만원어치 향응을 제공했다”고 하자, 박 전 차관은 “국무차장으로 2009년 5월 한승수 당시 총리를 수행해 일본에 간 적이 있지만, (누구를 만날) 여유가 없었다”며 전면 부인했다.

애초	애초/NNG
이	이/NNP
회장이	회장/NNG+이/JKS
“일본에서	“/SS+일본/NNP+에서/JKB
400만~500만원어치	400/SN+만/NR+~/SO+500/SN+만/NR+원/NNB+어치/XSN
향응을	향응/NNG+을/JKO
제공했다”고	제공/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
박	박/NNP
전	전/MMD
차관은	차관/NNG+은/JX
“국무차장으로	“/SS+국무/NNG+차장/NNG+으로/JKB
2009년	2009/SN+년/NNB
5월	5/SN+월/NNB
한승수	한승수/NNP
당시	당시/NNG
총리를	총리/NNG+를/JKO
수행해	수행/NNG+하/XSV+아/EC
일본에	일본/NNP+에/JKB
간	가/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있지만,	있/VA+지만/EC+,/SP
(누구를	(/SS+누구/NP+를/JKO
만날)	만나/VV+ㄹ/ETM+)/SS
여유가	여유/NNG+가/JKS
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
전면	전면/NNG
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.242.9.3
그러자 이 회장은 “당시 우리 회사 법인장이 접대했고, 그 뒤 검찰 수사를 받게 돼 구명을 부탁하는 이메일도 보냈다”고 재반박했다.

그러자	그러/VV+자/EC
이	이/NNP
회장은	회장/NNG+은/JX
“당시	“/SS+당시/NNG
우리	우리/NP
회사	회사/NNG
법인장이	법인장/NNG+이/JKS
접대했고,	접대/NNG+하/XSV+았/EP+고/EC+,/SP
그	그/MMD
뒤	뒤/NNG
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
받게	받/VV+게/EC
돼	되/VV+어/EC
구명을	구명/NNG+을/JKO
부탁하는	부탁/NNG+하/XSV+는/ETM
이메일도	이메일/NNG+도/JX
보냈다”고	보내/VV+었/EP+다/EF+”/SS+고/JKQ
재반박했다.	재/XPN+반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.242.10.1
이에 박 전 차관은 이날 기자회견을 열고 2009년 일본의 한 음식점에서 결제된 영수증 사본을 내보이며 “에스엘에스그룹 쪽으로부터 어떤 명목의 접대·향응도 받은 적이 없다”고 주장했다.

이에	이/NP+에/JKB
박	박/NNP
전	전/MMD
차관은	차관/NNG+은/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
2009년	2009/SN+년/NNB
일본의	일본/NNP+의/JKG
한	한/MMN
음식점에서	음식점/NNG+에서/JKB
결제된	결제/NNG+되/XSV+ㄴ/ETM
영수증	영수증/NNG
사본을	사본/NNG+을/JKO
내보이며	내보이/VV+며/EC
“에스엘에스그룹	“/SS+에스엘에스그룹/NNP
쪽으로부터	쪽/NNB+으로부터/JKB
어떤	어떤/MMD
명목의	명목/NNG+의/JKG
접대·향응도	접대/NNG+·/SP+향응/NNG+도/JX
받은	받/VV+은/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.242.10.2
그가 공개한 영수증은 10여년 친구 사이라는 ‘한진인터내셔널 재팬’ 소속 일본 법인장 강아무개씨가 계산한 것으로, 2009년 5월22일 밤 9시29분 16만1900엔(당시 환율로 약 248만원)을 결제한 것으로 기록돼 있다.

그가	그/NP+가/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
영수증은	영수증/NNG+은/JX
10여년	10/SN+여/XSN+년/NNB
친구	친구/NNG
사이라는	사이/NNG+이/VCP+라는/ETM
‘한진인터내셔널	‘/SS+한진인터내셔널/NNP
재팬’	재팬/NNP+’/SS
소속	소속/NNG
일본	일본/NNP
법인장	법인장/NNG
강아무개씨가	강/NNP+아무개/NP+씨/NNB+가/JKS
계산한	계산/NNG+하/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
2009년	2009/SN+년/NNB
5월22일	5/SN+월/NNB+22/SN+일/NNB
밤	밤/NNG
9시29분	9/SN+시/NNB+29/SN+분/NNB
16만1900엔(당시	16/SN+만/NR+1900/SN+엔/NNB+(/SS+당시/NNG
환율로	환율/NNG+로/JKB
약	약/MMA
248만원)을	248/SN+만/NR+원/NNB+)/SS+을/JKO
결제한	결제/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
기록돼	기록/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.242.10.3
박 전 차관은 “당시 그 자리에 함께 나간 공직자한테서 ‘삼성물산에서 근무했던 사람’이라고 소개를 받은 사람이 있었는데, 최근 다시 확인해보니 그 사람이 에스엘에스 현지 법인장이었다”고 말했다.

박	박/NNP
전	전/MMD
차관은	차관/NNG+은/JX
“당시	“/SS+당시/NNG
그	그/MMD
자리에	자리/NNG+에/JKB
함께	함께/MAG
나간	나가/VV+ㄴ/ETM
공직자한테서	공직자/NNG+한테서/JKB
‘삼성물산에서	‘/SS+삼성물산/NNP+에서/JKB
근무했던	근무/NNG+하/XSV+았/EP+던/ETM
사람’이라고	사람/NNG+’/SS+이라고/JKQ
소개를	소개/NNG+를/JKO
받은	받/VV+은/ETM
사람이	사람/NNG+이/JKS
있었는데,	있/VA+었/EP+는데/EC+,/SP
최근	최근/NNG
다시	다시/MAG
확인해보니	확인/NNG+하/XSV+아/EC+보/VX+니/EC
에스엘에스	에스엘에스/NNP
현지	현지/NNG
법인장이었다”고	법인장/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.242.10.4
‘결제’ 사실은 부인했지만, ‘합석’은 인정한 셈이다.

‘결제’	‘/SS+결제/NNG+’/SS
사실은	사실/NNG+은/JX
부인했지만,	부인/NNG+하/XSV+았/EP+지만/EC+,/SP
‘합석’은	‘/SS+합석/NNG+’/SS+은/JX
인정한	인정/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.242.10.5
검찰은 박 전 차관이 이 회장을 명예훼손 혐의로 고소한 터라, 수사를 통해 우선 사실관계부터 확정할 방침이다.

검찰은	검찰/NNG+은/JX
박	박/NNP
전	전/MMD
차관이	차관/NNG+이/JKS
이	이/NNP
회장을	회장/NNG+을/JKO
명예훼손	명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
고소한	고소/NNG+하/XSV+ㄴ/ETM
터라,	터/NNB+이/VCP+라/EC+,/SP
수사를	수사/NNG+를/JKO
통해	통하/VV+아/EC
우선	우선/MAG
사실관계부터	사실/NNG+관계/NNG+부터/JX
확정할	확정/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.242.11.1
검찰은 또 에스엘에스 계열사에 대한 산업은행의 워크아웃 결정 과정에 불법성이 있었는지도 수사할 계획이다.

검찰은	검찰/NNG+은/JX
또	또/MAG
에스엘에스	에스엘에스/NNP
계열사에	계열사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
산업은행의	산업은행/NNP+의/JKG
워크아웃	워크아웃/NNG
결정	결정/NNG
과정에	과정/NNG+에/JKB
불법성이	불법/NNG+성/XSN+이/JKS
있었는지도	있/VA+었/EP+는지/EF+도/JX
수사할	수사/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


