# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.286
metadata : {}


# id : NWRW1800000048.286.1.1
파주농민들 ‘임진강생명평화축제’ 연다

파주농민들	파주/NNP+농민/NNG+들/XSN
환경단체의	환경/NNG+단체/NNG+의/JKG
반발을	반발/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.286.8.1
축제는 농부한마당과 시민 퍼레이드, 공연 등으로 꾸며진다.

축제는	축제/NNG+는/JX
농부한마당과	농부/NNG+한/XPN+마당/NNG+과/JC
시민	시민/NNG
퍼레이드,	퍼레이드/NNG+,/SP
공연	공연/NNG
등으로	등/NNB+으로/JKB
꾸며진다.	꾸미/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.286.8.2
오전 10시 평화누리공원에서 열리는 농부한마당은 우수농산물, 토종씨앗, 농기구 등을 전시·판매하는 행사다.

오전	오전/NNG
10시	10/SN+시/NNB
평화누리공원에서	평화누리공원/NNP+에서/JKB
열리는	열리/VV+는/ETM
농부한마당은	농부/NNG+한/XPN+마당/NNG+은/JX
우수농산물,	우수/NNG+농산물/NNG+,/SP
토종씨앗,	토종/NNG+씨앗/NNG+,/SP
농기구	농기구/NNG
등을	등/NNB+을/JKO
전시·판매하는	전시/NNG+·/SP+판매/NNG+하/XSV+는/ETM
행사다.	행사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.286.8.3
오후 2시부터는 성남 오리뜰 농악과 파주 마정2리 풍물패가 시민 300여명과 함께 임진강역~평화누리공원까지 행진한다.

오후	오후/NNG
2시부터는	2/SN+시/NNB+부터/JX+는/JX
성남	성남/NNP
오리뜰	오리뜰/NNP
농악과	농악/NNG+과/JC
파주	파주/NNP
마정2리	마정2리/NNP
풍물패가	풍물패/NNG+가/JKS
시민	시민/NNG
300여명과	300/SN+여/XSN+명/NNB+과/JKB
함께	함께/MAG
임진강역~평화누리공원까지	임진강역/NNP+~/SO+평화누리공원/NNP+까지/JX
행진한다.	행진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.286.8.4
또 월롱초등학교와 문산수억고, 논밭예술어린이학교, 평화를 품은 집 학생 150여명이 만든 멸종위기 동식물 조형물이 전시된다.

또	또/MAG
월롱초등학교와	월롱초등학교/NNP+와/JC
문산수억고,	문산수억고/NNP+,/SP
논밭예술어린이학교,	논밭예술어린이학교/NNP+,/SP
평화를	평화/NNG+를/JKO
품은	품/VV+은/ETM
집	집/NNG
학생	학생/NNG
150여명이	150/SN+여/XSN+명/NNB+이/JKS
만든	만들/VV+ㄴ/ETM
멸종위기	멸종/NNG+위기/NNG
동식물	동식물/NNG
조형물이	조형물/NNG+이/JKS
전시된다.	전시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.286.8.5
오후 4시부터 열리는 공연에는 가수 전인권, 정태춘, 이승환, 요조 등이 출연한다.

오후	오후/NNG
4시부터	4/SN+시/NNB+부터/JX
열리는	열리/VV+는/ETM
공연에는	공연/NNG+에/JKB+는/JX
가수	가수/NNG
전인권,	전인권/NNP+,/SP
정태춘,	정태춘/NNP+,/SP
이승환,	이승환/NNP+,/SP
요조	요조/NNP
등이	등/NNB+이/JKS
출연한다.	출연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.286.8.6
축제에 쓰일 3500만원은 전액 시민 후원금으로 마련된다.

축제에	축제/NNG+에/JKB
쓰일	쓰이/VV+ㄹ/ETM
3500만원은	3500/SN+만/NR+원/NNB+은/JX
전액	전액/NNG
시민	시민/NNG
후원금으로	후원금/NNG+으로/JKB
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.286.8.7
(031)949-4779.

(031)949-4779.	(/SS+031/SN+)/SS+949/SN+-/SO+4779/SN+./SF


