# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.238
metadata : {}


# id : NWRW1800000036.238.1.1
박영준 ‘인허가 청탁’ 민정수석실도 개입

박영준	박영준/NNP
지원관실을	지원관실/NNG+을/JKO
동원하기	동원/NNG+하/XSV+기/ETN
전에,	전/NNG+에/JKB+,/SP
김덕수(56)	김덕수/NNP+(/SS+56/SN+)/SS
청와대	청와대/NNP
민정수석실	민정/NNG+수석실/NNG
선임행정관을	선임/NNG+행정관/NNG+을/JKO
통해	통하/VV+아/EC
“ㅅ사가	“/SS+ㅅ/NNG+사/NNG+가/JKS
인허가를	인허가/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
해달라”고	하/VX+아/EC+달/VX+라/EF+”/SS+고/JKQ
청탁했다.	청탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.238.6.2
하지만 최 실장은 ㅅ사 이 대표를 만나, 부탁을 들어주기 힘들다는 뜻을 밝혔다.

하지만	하지만/MAJ
최	최/NNP
실장은	실장/NNG+은/JX
ㅅ사	ㅅ/NNG+사/NNG
이	이/NNP
대표를	대표/NNG+를/JKO
만나,	만나/VV+아/EC+,/SP
부탁을	부탁/NNG+을/JKO
들어주기	듣/VV+어/EC+주/VX+기/ETN
힘들다는	힘들/VA+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.238.6.3
청와대 민정수석실의 ‘말발’이 안 먹히자 박 전 차장은 “일이 해결될 수 있게 조처를 취하겠다”고 한 뒤 지원관실을 움직여 ‘ㅌ사와 울산시 공무원의 유착관계’ 의혹을 조사하게 했다.

청와대	청와대/NNP
민정수석실의	민정/NNG+수석실/NNG+의/JKG
‘말발’이	‘/SS+말발/NNG+’/SS+이/JKS
안	안/MAG
먹히자	먹히/VV+자/EC
박	박/NNP
전	전/MMD
차장은	차장/NNG+은/JX
“일이	“/SS+일/NNG+이/JKS
해결될	해결/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
조처를	조처/NNG+를/JKO
취하겠다”고	취하/VV+겠/EP+다/EF+”/SS+고/JKQ
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
지원관실을	지원관실/NNG+을/JKO
움직여	움직이/VV+어/EC
‘ㅌ사와	‘/SS+ㅌ사/NNG+와/JC
울산시	울산시/NNP
공무원의	공무원/NNG+의/JKG
유착관계’	유착/NNG+관계/NNG+’/SS
의혹을	의혹/NNG+을/JKO
조사하게	조사/NNG+하/XSV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.238.7.1
김 선임행정관이 울산시에 청탁을 넣은 시점인 2008년 9~10월은 박 전 차장이 청와대 기획조정비서관에서 물러나 있을 때였다.

김	김/NNP
선임행정관이	선임/NNG+행정관/NNG+이/JKS
울산시에	울산시/NNP+에/JKB
청탁을	청탁/NNG+을/JKO
넣은	넣/VV+은/ETM
시점인	시점/NNG+이/VCP+ㄴ/ETM
2008년	2008/SN+년/NNB
9~10월은	9/SN+~/SO+10/SN+월/NNB+은/JX
박	박/NNP
전	전/MMD
차장이	차장/NNG+이/JKS
청와대	청와대/NNP
기획조정비서관에서	기획/NNG+조정/NNG+비서관/NNG+에서/JKB
물러나	물러나/VV+아/EC
있을	있/VX+을/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.238.7.2
‘자연인’ 신분인 박 전 차장이 뒷돈을 받고 로비를 시도했고, 대통령 측근의 전횡을 감시해야 할 민정수석실이 오히려 이를 적극적으로 도와준 것이다.

‘자연인’	‘/SS+자연인/NNG+’/SS
신분인	신분/NNG+이/VCP+ㄴ/ETM
박	박/NNP
전	전/MMD
차장이	차장/NNG+이/JKS
뒷돈을	뒷돈/NNG+을/JKO
받고	받/VV+고/EC
로비를	로비/NNG+를/JKO
시도했고,	시도/NNG+하/XSV+았/EP+고/EC+,/SP
대통령	대통령/NNG
측근의	측근/NNG+의/JKG
전횡을	전횡/NNG+을/JKO
감시해야	감시/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
민정수석실이	민정/NNG+수석실/NNG+이/JKS
오히려	오히려/MAG
이를	이/NP+를/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
도와준	도와주/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.238.7.3
김 선임행정관은 경북 포항시 구룡포중 출신으로, 민정수석실의 대표적인 ‘영포라인’으로 꼽힌다.

김	김/NNP
선임행정관은	선임/NNG+행정관/NNG+은/JX
경북	경북/NNP
포항시	포항시/NNP
구룡포중	구룡포중/NNP
출신으로,	출신/NNG+으로/JKB+,/SP
민정수석실의	민정/NNG+수석실/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
‘영포라인’으로	‘/SS+영포/NNP+라인/NNG+’/SS+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.238.7.4
이명박 대통령 인수위에 참여한 뒤 민정수석실에서 근무하다 2010년 4월 한국거래소 상임감사로 자리를 옮겨 ‘낙하산 인사’ 논란이 일기도 했다.

이명박	이명박/NNP
대통령	대통령/NNG
인수위에	인수위/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
민정수석실에서	민정/NNG+수석실/NNG+에서/JKB
근무하다	근무/NNG+하/XSV+다/EC
2010년	2010/SN+년/NNB
4월	4/SN+월/NNB
한국거래소	한국거래소/NNP
상임감사로	상임/NNG+감사/NNG+로/JKB
자리를	자리/NNG+를/JKO
옮겨	옮기/VV+어/EC
‘낙하산	‘/SS+낙하산/NNG
인사’	인사/NNG+’/SS
논란이	논란/NNG+이/JKS
일기도	일/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.238.8.1
김 전 선임행정관은 <한겨레>와의 전화 통화에서 “박 전 차장의 부탁을 받고, 최 실장에게 전화를 걸어 인허가 문제를 이야기했더니 ‘안 되는 사안’이라고 이야기해 그걸로 끝을 냈다”며 “이 때문에 검찰 조사를 받은 적은 없다”고 밝혔다.

김	김/NNP
전	전/MMD
선임행정관은	선임/NNG+행정관/NNG+은/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
전화	전화/NNG
통화에서	통화/NNG+에서/JKB
“박	“/SS+박/NNP
차장의	차장/NNG+의/JKG
부탁을	부탁/NNG+을/JKO
받고,	받/VV+고/EC+,/SP
최	최/NNP
실장에게	실장/NNG+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
인허가	인허가/NNG
문제를	문제/NNG+를/JKO
이야기했더니	이야기/NNG+하/XSV+았/EP+더니/EC
‘안	‘/SS+안/MAG
되는	되/VV+는/ETM
사안’이라고	사안/NNG+’/SS+이라고/JKQ
이야기해	이야기/NNG+하/XSV+아/EC
그걸로	그거/NP+ㄹ로/JKB
끝을	끝/NNG+을/JKO
냈다”며	내/VV+었/EP+다/EF+”/SS+며/EC
“이	“/SS+이/NP
때문에	때문/NNB+에/JKB
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
적은	적/NNB+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


