# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.69
metadata : {}


# id : NWRW1800000032.69.1.1
“사회와 소통 넓혀야 기업 위기 잘넘긴다”

“사회와	“/SS+사회/NNG+와/JKB
로열	로열/NNP
캐러비안의	캐러비안/NNP+의/JKG
사례에서	사례/NNG+에서/JKB
보듯,	보/VV+듯/EC+,/SP
친사회적인	친/XPN+사회/NNG+적/XSN+이/VCP+ㄴ/ETM
기업	기업/NNG
이미지는	이미지/NNG+는/JX
위기	위기/NNG
상황에서	상황/NNG+에서/JKB
어려움에	어려움/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
기업을	기업/NNG+을/JKO
살릴	살리/VV+ㄹ/ETM
수도,	수/NNB+도/JX+,/SP
멀쩡한	멀쩡하/VA+ㄴ/ETM
곤란한	곤란/NNG+하/XSA+ㄴ/ETM
처지로	처지/NNG+로/JKB
빠트릴	빠트리/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.69.9.1
보고서는 이와 함께 ‘공격경영’과 ‘수비경영’의 균형있는 병행, 한류와 경제개발 경험 등을 활용한 차별화된 신흥국 공략 등도 위기 상황 극복 방안으로 내세웠다.

보고서는	보고서/NNG+는/JX
이와	이/NP+와/JKB
함께	함께/MAG
‘공격경영’과	‘/SS+공격/NNG+경영/NNG+’/SS+과/JC
‘수비경영’의	‘/SS+수비/NNG+경영/NNG+’/SS+의/JKG
균형있는	균형/NNG+있/VA+는/ETM
병행,	병행/NNG+,/SP
한류와	한류/NNG+와/JC
경제개발	경제/NNG+개발/NNG
경험	경험/NNG
등을	등/NNB+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
신흥국	신흥국/NNG
공략	공략/NNG
등도	등/NNB+도/JX
위기	위기/NNG
상황	상황/NNG
극복	극복/NNG
방안으로	방안/NNG+으로/JKB
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.69.9.2
김종년 삼성경제연구소 수석연구원은 “공포가 아닌 건강한 위기 의식을 바탕으로 상시 위기 상황을 기회 포착의 에너지로 삼는 자세가 중요하다”고 말했다.

김종년	김종년/NNP
삼성경제연구소	삼성경제연구소/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
“공포가	“/SS+공포/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
건강한	건강/NNG+하/XSA+ㄴ/ETM
위기	위기/NNG
의식을	의식/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
상시	상시/NNG
상황을	상황/NNG+을/JKO
기회	기회/NNG
포착의	포착/NNG+의/JKG
에너지로	에너지/NNG+로/JKB
삼는	삼/VV+는/ETM
자세가	자세/NNG+가/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


