# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.56
metadata : {}


# id : NWRW1800000049.56.1.1
日, 2021년까지 ‘아베 天下’

日,	日/SH+,/SP
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.56.4.1
6일 요미우리신문에 따르면 일본 자민당은 전날 열린 당 정치제도개혁실행본부 회의에서 현재 ‘연속 2기 6년’으로 제한돼 있는 총재 임기를 ‘연속 3기 9년’으로 연장하거나 연임 제한 규정을 철폐하는 방안 등 두 가지 중 하나를 선택하기로 결정했다.

6일	6/SN+일/NNB
요미우리신문에	요미우리신문/NNP+에/JKB
따르면	따르/VV+면/EC
일본	일본/NNP
자민당은	자민당/NNP+은/JX
전날	전날/NNG
열린	열리/VV+ㄴ/ETM
당	당/NNG
정치제도개혁실행본부	정치/NNG+제도/NNG+개혁/NNG+실행/NNG+본부/NNG
회의에서	회의/NNG+에서/JKB
현재	현재/MAG
‘연속	‘/SS+연속/NNG
2기	2/SN+기/NNG
6년’으로	6/SN+년/NNB+’/SS+으로/JKB
제한돼	제한/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
총재	총재/NNG
임기를	임기/NNG+를/JKO
3기	3/SN+기/NNG
9년’으로	9/SN+년/NNB+’/SS+으로/JKB
연장하거나	연장/NNG+하/XSV+거나/EC
연임	연임/NNG
제한	제한/NNG
규정을	규정/NNG+을/JKO
철폐하는	철폐/NNG+하/XSV+는/ETM
방안	방안/NNG
등	등/NNB
두	두/MMN
가지	가지/NNB
중	중/NNB
하나를	하나/NR+를/JKO
선택하기로	선택/NNG+하/XSV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.56.4.2
이날 회의에서는 연장 지지 의견만 이어졌고 이렇다 할 반론은 없었다.

이날	이날/NNG
회의에서는	회의/NNG+에서/JKB+는/JX
연장	연장/NNG
지지	지지/NNG
의견만	의견/NNG+만/JX
이어졌고	이어지/VV+었/EP+고/EC
이렇다	이렇/VA+다/EF
할	하/VV+ㄹ/ETM
반론은	반론/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.56.5.1
어느 쪽으로 결론이 나든 자민당 총재를 겸하는 아베 총리의 임기는 최소 2021년 9월까지 3년 더 늘어나게 된다.

어느	어느/MMD
쪽으로	쪽/NNB+으로/JKB
결론이	결론/NNG+이/JKS
나든	나/VV+든/EC
자민당	자민당/NNP
총재를	총재/NNG+를/JKO
겸하는	겸/NNB+하/XSV+는/ETM
아베	아베/NNP
총리의	총리/NNG+의/JKG
임기는	임기/NNG+는/JX
최소	최소/NNG
2021년	2021/SN+년/NNB
9월까지	9/SN+월/NNB+까지/JX
3년	3/SN+년/NNB
더	더/MAG
늘어나게	늘어나/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.56.5.2
총재의 임기 관련 결정은 내년 3월 당 대회에서 최종 확정된다.

총재의	총재/NNG+의/JKG
임기	임기/NNG
관련	관련/NNG
결정은	결정/NNG+은/JX
내년	내년/NNG
3월	3/SN+월/NNB
당	당/NNG
대회에서	대회/NNG+에서/JKB
최종	최종/NNG
확정된다.	확정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.56.5.3
이로써 아베 총리는 7년 8개월(1964년 11월∼1972년 7월) 동안 장기 집권한 사토 에이사쿠(佐藤榮作) 전 총리를 뛰어넘어 제2차 세계대전 이후 최장기 재임하는 일본 총리가 될 것이 확실시된다.

이로써	이/NP+로써/JKB
아베	아베/NNP
총리는	총리/NNG+는/JX
7년	7/SN+년/NNB
8개월(1964년	8/SN+개월/NNB+(/SS+1964/SN+년/NNB
11월∼1972년	11/SN+월/NNB+∼/SO+1972/SN+년/NNB
7월)	7/SN+월/NNB+)/SS
동안	동안/NNG
장기	장기/NNG
집권한	집권/NNG+하/XSV+ㄴ/ETM
사토	사토/NNP
에이사쿠(佐藤榮作)	에이사쿠/NNP+(/SS+佐藤榮作/SH+)/SS
전	전/MMD
총리를	총리/NNG+를/JKO
뛰어넘어	뛰어넘/VV+어/EC
제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
이후	이후/NNG
최장기	최/XPN+장기/NNG
재임하는	재임/NNG+하/XSV+는/ETM
일본	일본/NNP
총리가	총리/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이	것/NNB+이/JKS
확실시된다.	확실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.56.5.4
아베 총리는 2006년 9월부터 1년간 재임한 뒤 물러났다가 2012년 12월부터 현재까지 3년 10개월 동안 집권하고 있다.

아베	아베/NNP
총리는	총리/NNG+는/JX
2006년	2006/SN+년/NNB
9월부터	9/SN+월/NNB+부터/JX
1년간	1/SN+년/NNB+간/XSN
재임한	재임/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
물러났다가	물러나/VV+았/EP+다가/EC
2012년	2012/SN+년/NNB
12월부터	12/SN+월/NNB+부터/JX
현재까지	현재/NNG+까지/JX
3년	3/SN+년/NNB
10개월	10/SN+개월/NNB
동안	동안/NNG
집권하고	집권/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.56.6.1
이번 결정은 평화헌법을 뜯어고치려는 개헌 논의에도 직접적인 영향을 끼칠 것으로 전망된다.

이번	이번/NNG
결정은	결정/NNG+은/JX
평화헌법을	평화/NNG+헌법/NNG+을/JKO
뜯어고치려는	뜯어고치/VV+려는/ETM
개헌	개헌/NNG
논의에도	논의/NNG+에/JKB+도/JX
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.56.6.2
아베 총리를 지지하는 개헌 세력이 중의원과 참의원에서 각각 3분의 2 이상의 의석을 차지한 상태에서 국회헌법심사회가 개헌에 관한 논의를 시작한 상황이다.

아베	아베/NNP
총리를	총리/NNG+를/JKO
지지하는	지지/NNG+하/XSV+는/ETM
개헌	개헌/NNG
세력이	세력/NNG+이/JKS
중의원과	중의원/NNG+과/JC
참의원에서	참의원/NNG+에서/JKB
각각	각각/MAG
3분의	3/SN+분/XSN+의/JKG
2	2/SN
이상의	이상/NNG+의/JKG
의석을	의석/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
국회헌법심사회가	국회/NNG+헌법/NNG+심사회/NNG+가/JKS
개헌에	개헌/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
논의를	논의/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.56.7.1
당초 아베 총리의 임기를 연장해야 한다는 주장이 나오자 당내 일각에선 신중론이 제기됐다.

당초	당초/NNG
아베	아베/NNP
총리의	총리/NNG+의/JKG
임기를	임기/NNG+를/JKO
연장해야	연장/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
나오자	나오/VV+자/EC
당내	당내/NNG
일각에선	일각/NNG+에서/JKB+ㄴ/JX
신중론이	신중/NNG+론/XSN+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.56.7.2
특히 ‘포스트 아베’를 노리는 이시바 시게루(石破茂) 전 지방창생담당상이나 기시다 후미오(岸田文雄) 외상은 ‘시기상조론’을 내세웠다.

특히	특히/MAG
‘포스트	‘/SS+포스트/NNG
아베’를	아베/NNP+’/SS+를/JKO
노리는	노리/VV+는/ETM
이시바	이시바/NNP
시게루(石破茂)	시게루/NNP+(/SS+石破茂/SH+)/SS
전	전/MMD
지방창생담당상이나	지방/NNG+창생/NNG+담당상/NNG+이나/JC
기시다	기시다/NNP
후미오(岸田文雄)	후미오/NNP+(/SS+岸田文雄/SH+)/SS
외상은	외상/NNG+은/JX
‘시기상조론’을	‘/SS+시기상조/NNG+론/XSN+’/SS+을/JKO
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.56.7.3
하지만 아베 총리에 맞설 대항 세력이 없는 ‘아베 1강(强)’ 체제가 굳어져 있어 반대 의견은 설 자리를 잃었다.

하지만	하지만/MAJ
아베	아베/NNP
총리에	총리/NNG+에/JKB
맞설	맞서/VV+ㄹ/ETM
대항	대항/NNG
세력이	세력/NNG+이/JKS
없는	없/VA+는/ETM
‘아베	‘/SS+아베/NNP
1강(强)’	1/SN+강/NNB+(/SS+强/SH+)/SS+’/SS
체제가	체제/NNG+가/JKS
굳어져	굳어지/VV+어/EC
있어	있/VX+어/EC
반대	반대/NNG
의견은	의견/NNG+은/JX
설	서/VV+ㄹ/ETM
자리를	자리/NNG+를/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.56.7.4
일본 언론들은 “지난달 20일 실행본부가 총재 임기 연장 논의를 정식으로 시작한 지 2주 만에 결론이 났다”며 반대론이 없었다는 점이 특이하다고 전했다.

일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
“지난달	“/SS+지난달/NNG
20일	20/SN+일/NNB
실행본부가	실행/NNG+본부/NNG+가/JKS
총재	총재/NNG
임기	임기/NNG
연장	연장/NNG
논의를	논의/NNG+를/JKO
정식으로	정식/NNG+으로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
2주	2/SN+주/NNB
만에	만/NNB+에/JKB
결론이	결론/NNG+이/JKS
났다”며	나/VV+았/EP+다/EF+”/SS+며/EC
반대론이	반대/NNG+론/XSN+이/JKS
없었다는	없/VA+었/EP+다는/ETM
점이	점/NNG+이/JKS
특이하다고	특이/NNG+하/XSA+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


