# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.435
metadata : {}


# id : NWRW1800000054.435.1.1
[팩트 체크] 교황은 낙태 허용한 게 아니라 낙태한 여성에 자비 촉구한 것

[팩트	[/SS+팩트/NNG
전임자보다 파격적인 교황의 모습과 겹치면서 당시 이 인터뷰는 해외에서도 해석을 두고 갑론을박이 벌어진 게 사실이다.

전임자보다	전임자/NNG+보다/JKB
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
교황의	교황/NNG+의/JKG
모습과	모습/NNG+과/JKB
겹치면서	겹치/VV+면서/EC
당시	당시/NNG
이	이/MMD
인터뷰는	인터뷰/NNG+는/JX
해외에서도	해외/NNG+에서/JKB+도/JX
해석을	해석/NNG+을/JKO
두고	두/VV+고/EC
갑론을박이	갑론을박/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
게	거/NNB+이/JKS
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.435.6.1
그러나 교황은 같은 인터뷰에서 "(낙태, 피임, 동성결혼) 이런 주제에 대해 말할 때 우리는 반드시 전체 맥락을 고려해야 한다. 이런 문제에 대한 교회의 가르침은 명확하다"며 "나는 교회의 아들"이라고 했다.

그러나	그러나/MAJ
교황은	교황/NNG+은/JX
같은	같/VA+은/ETM
인터뷰에서	인터뷰/NNG+에서/JKB
"(낙태,	"/SS+(/SS+낙태/NNG+,/SP
피임,	피임/NNG+,/SP
동성결혼)	동성/NNG+결혼/NNG+)/SS
이런	이런/MMD
주제에	주제/NNG+에/JKB
대해	대하/VV+아/EC
말할	말/NNG+하/XSV+ㄹ/ETM
때	때/NNG
우리는	우리/NP+는/JX
반드시	반드시/MAG
전체	전체/NNG
맥락을	맥락/NNG+을/JKO
고려해야	고려/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
교회의	교회/NNG+의/JKG
가르침은	가르침/NNG+은/JX
명확하다"며	명확하/VA+다/EF+"/SS+며/EC
"나는	"/SS+나/NP+는/JX
아들"이라고	아들/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.435.6.2
실제로 교황은 추기경 시절에도 낙태하지 않고 아기를 낳은 미혼모와 아기에게 세례를 준 사제를 칭찬하는 등 여러 차례 낙태에 대해 반대 의사를 표시해왔다.

실제로	실제로/MAG
교황은	교황/NNG+은/JX
추기경	추기경/NNG
시절에도	시절/NNG+에/JKB+도/JX
낙태하지	낙태/NNG+하/XSV+지/EC
않고	않/VX+고/EC
아기를	아기/NNG+를/JKO
낳은	낳/VV+은/ETM
미혼모와	미혼모/NNG+와/JC
아기에게	아기/NNG+에게/JKB
세례를	세례/NNG+를/JKO
준	주/VV+ㄴ/ETM
사제를	사제/NNG+를/JKO
칭찬하는	칭찬/NNG+하/XSV+는/ETM
등	등/NNB
여러	여러/MMN
차례	차례/NNG
낙태에	낙태/NNG+에/JKB
대해	대하/VV+아/EC
반대	반대/NNG
의사를	의사/NNG+를/JKO
표시해왔다.	표시/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


