# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.379
metadata : {}


# id : NWRW1800000049.379.1.1
“민무신불립(民無信不立)” 남기고 떠난 김현웅 법무

“민무신불립(民無信不立)”	“/SS+민무신불립/NNG+(/SS+民無信不立/SH+)/SS+”/SS
표명했다.	표명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.379.6.2
법무부는 당분간 이창재 차관(51·연수원 19기) 대행 체제로 운영된다.

법무부는	법무부/NNG+는/JX
당분간	당분간/MAG
이창재	이창재/NNP
차관(51·연수원	차관/NNG+(/SS+51/SN+·/SP+연수원/NNG
19기)	19/SN+기/NNG+)/SS
대행	대행/NNG
체제로	체제/NNG+로/JKB
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


