# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.286
metadata : {}


# id : NWRW1800000052.286.1.1
“스포츠클럽·운동부 통합리그 만들자”

“스포츠클럽·운동부	“/SS+스포츠/NNG+클럽/NNG+·/SP+운동부/NNG
담당하는	담당/NNG+하/XSV+는/ETM
17개	17/SN+개/NNB
시·도교육청과	시/NNG+·/SP+도/NNG+교육청/NNG+과/JC
학교	학교/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.286.6.1
주제발표에 나선 손천택 인천대 체육교육과 교수는 “현재 학교체육은 정과체육과 학교 생활체육(스포츠클럽)이 서로 동떨어진 교육을 하고 있고 이는 학교 전문체육의 발전까지 지체시키고 있다”고 진단하고 학교 스포츠클럽과 학교 운동부의 통합리그가 필요하다고 밝혔다.

주제발표에	주제/NNG+발표/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
손천택	손천택/NNP
인천대	인천대/NNP
체육교육과	체육/NNG+교육과/NNG
교수는	교수/NNG+는/JX
“현재	“/SS+현재/MAG
학교체육은	학교/NNG+체육/NNG+은/JX
정과체육과	정과/NNG+체육/NNG+과/JC
학교	학교/NNG
생활체육(스포츠클럽)이	생활/NNG+체육/NNG+(/SS+스포츠/NNG+클럽/NNG+)/SS+이/JKS
서로	서로/MAG
동떨어진	동떨어지/VA+ㄴ/ETM
교육을	교육/NNG+을/JKO
하고	하/VV+고/EC
있고	있/VX+고/EC
이는	이/NP+는/JX
전문체육의	전문/NNG+체육/NNG+의/JKG
발전까지	발전/NNG+까지/JX
지체시키고	지체/NNG+시키/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
진단하고	진단/NNG+하/XSV+고/EC
스포츠클럽과	스포츠/NNG+클럽/NNG+과/JC
운동부의	운동부/NNG+의/JKG
통합리그가	통합/NNG+리그/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.286.7.1
손 교수는 학교체육을 3부 리그로 나눠 운영하는 방안을 제시하고 있다.

손	손/NNP
교수는	교수/NNG+는/JX
학교체육을	학교/NNG+체육/NNG+을/JKO
3부	3부/NNG
리그로	리그/NNG+로/JKB
나눠	나누/VV+어/EC
운영하는	운영/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
제시하고	제시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.286.7.2
각급 학교 수준에서 치르는 3부 리그에는 학교 스포츠클럽과 교외 스포츠클럽이 모두 참여하고, 이들 중 우수 스포츠클럽을 중심으로 시·군 교육청에서 2부 리그를 운영한다.

각급	각급/NNG
학교	학교/NNG
수준에서	수준/NNG+에서/JKB
치르는	치르/VV+는/ETM
3부	3부/NNG
리그에는	리그/NNG+에/JKB+는/JX
스포츠클럽과	스포츠/NNG+클럽/NNG+과/JC
교외	교외/NNG
스포츠클럽이	스포츠/NNG+클럽/NNG+이/JKS
모두	모두/MAG
참여하고,	참여/NNG+하/XSV+고/EC+,/SP
이들	이/NP+들/XSN
중	중/NNB
우수	우수/NNG
스포츠클럽을	스포츠/NNG+클럽/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
시·군	시/NNG+·/SP+군/NNG
교육청에서	교육청/NNG+에서/JKB
2부	2/SN+부/NNB
리그를	리그/NNG+를/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.286.7.3
또 이들 중 최우수 스포츠클럽들은 1부 리그에서 학교 운동부(전문체육)와 통합하자는 안이다.

또	또/MAG
이들	이/NP+들/XSN
중	중/NNB
최우수	최/XPN+우수/NNG
스포츠클럽들은	스포츠/NNG+클럽/NNG+들/XSN+은/JX
1부	1/SN+부/NNB
리그에서	리그/NNG+에서/JKB
학교	학교/NNG
운동부(전문체육)와	운동부/NNG+(/SS+전문/NNG+체육/NNG+)/SS+와/JKB
통합하자는	통합/NNG+하/XSV+자는/ETM
안이다.	안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.286.7.4
손 교수는 “학교 운동부가 학습권 침해 등 부정적 인식이 있지만 당장 폐지할 수도 없는 상황”이라며 “학교 운동부 체제를 유지하는 가운데 학교 스포츠클럽을 활성화하는 대안을 모색해야 한다”고 밝혔다.

손	손/NNP
교수는	교수/NNG+는/JX
“학교	“/SS+학교/NNG
운동부가	운동부/NNG+가/JKS
학습권	학습/NNG+권/XSN
침해	침해/NNG
등	등/NNB
부정적	부정/NNG+적/XSN
인식이	인식/NNG+이/JKS
있지만	있/VV+지만/EC
당장	당장/NNG
폐지할	폐지/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
없는	없/VA+는/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
운동부	운동부/NNG
체제를	체제/NNG+를/JKO
유지하는	유지/NNG+하/XSV+는/ETM
가운데	가운데/NNG
학교	학교/NNG
스포츠클럽을	스포츠/NNG+클럽/NNG+을/JKO
활성화하는	활성/NNG+화/XSN+하/XSV+는/ETM
대안을	대안/NNG+을/JKO
모색해야	모색/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.286.8.1
황교선 경기도교육청 장학관은 “새로운 패러다임이 요구되는 학교체육 현장에서 학교 스포츠클럽이 유일한 대안”이라며 “최근 이에 대한 인식이 크게 변하는 등 르네상스를 맞고 있다”고 밝혔다.

황교선	황교선/NNP
경기도교육청	경기도교육청/NNP
장학관은	장학관/NNG+은/JX
“새로운	“/SS+새롭/VA+ㄴ/ETM
패러다임이	패러다임/NNG+이/JKS
요구되는	요구/NNG+되/XSV+는/ETM
학교체육	학교/NNG+체육/NNG
현장에서	현장/NNG+에서/JKB
학교	학교/NNG
스포츠클럽이	스포츠/NNG+클럽/NNG+이/JKS
유일한	유일/NNG+하/XSA+ㄴ/ETM
대안”이라며	대안/NNG+”/SS+이/VCP+라며/EC
“최근	“/SS+최근/NNG
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
인식이	인식/NNG+이/JKS
크게	크/VA+게/EC
변하는	변하/VV+는/ETM
등	등/NNB
르네상스를	르네상스/NNG+를/JKO
맞고	맞/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.286.8.2
황 장학관은 스포츠클럽 참여 뒤 교우관계 개선 등의 자료를 제시하면서 “지금까지 충분히 양적 성장을 이뤄왔으니 질적 성장에 초점을 맞추자”고 제안했다.

황	황/NNP
장학관은	장학관/NNG+은/JX
스포츠클럽	스포츠/NNG+클럽/NNG
참여	참여/NNG
뒤	뒤/NNG
교우관계	교우/NNG+관계/NNG
개선	개선/NNG
등의	등/NNB+의/JKG
자료를	자료/NNG+를/JKO
제시하면서	제시/NNG+하/XSV+면서/EC
“지금까지	“/SS+지금/NNG+까지/JX
충분히	충분히/MAG
양적	양/NNG+적/XSN
성장을	성장/NNG+을/JKO
이뤄왔으니	이루/VV+어/EC+오/VX+았/EP+으니/EC
질적	질/NNG+적/XSN
성장에	성장/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞추자”고	맞추/VV+자/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.286.8.3
황교선 장학관은 “전국적으로 380만명이 학교 스포츠클럽 활동을 하고 있다”며 “학교 현장에서 학생들의 다양한 요구와 기대를 반영하기 위한 상설기구인 학교체육연맹(가칭)이 필요하다”고 밝혔다.

황교선	황교선/NNP
장학관은	장학관/NNG+은/JX
“전국적으로	“/SS+전국/NNG+적/XSN+으로/JKB
380만명이	380/SN+만/NR+명/NNB+이/JKS
학교	학교/NNG
스포츠클럽	스포츠/NNG+클럽/NNG
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“학교	“/SS+학교/NNG
현장에서	현장/NNG+에서/JKB
학생들의	학생/NNG+들/XSN+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
요구와	요구/NNG+와/JC
기대를	기대/NNG+를/JKO
반영하기	반영/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
상설기구인	상설/NNG+기구/NNG+이/VCP+ㄴ/ETM
학교체육연맹(가칭)이	학교/NNG+체육/NNG+연맹/NNG+(/SS+가칭/NNG+)/SS+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.286.8.4
그는 또 “학교 스포츠클럽을 교사 중심에서 학생회 등 학생 중심으로 전환해야 한다”고 말했다.

그는	그/NP+는/JX
또	또/MAG
“학교	“/SS+학교/NNG
스포츠클럽을	스포츠/NNG+클럽/NNG+을/JKO
교사	교사/NNG
중심에서	중심/NNG+에서/JKB
학생회	학생회/NNG
등	등/NNB
학생	학생/NNG
중심으로	중심/NNG+으로/JKB
전환해야	전환/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


