# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.129
metadata : {}


# id : NWRW1800000028.129.1.1
둘다 1~2인 가구 살기에 적합해 /준주택, 오피스텔 등 준주거시설 /도시형, 다세대 등 소형공동주택

둘다	둘/NR+다/MAG
분류되지	분류/NNG+되/XSV+지/EC
않았습니다.	않/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000028.129.4.2
그러다 보니 사실상 주거시설로 이용하면서도 화재나 안전 등 주거환경 기준은 일반 건축물과 똑같이 적용됐습니다.

그러다	그러/VV+다/EC
보니	보/VX+니/EC
사실상	사실/NNG+상/XSN
주거시설로	주거/NNG+시설/NNG+로/JKB
이용하면서도	이용/NNG+하/XSV+면서/EC+도/JX
화재나	화재/NNG+나/JC
안전	안전/NNG
등	등/NNB
주거환경	주거/NNG+환경/NNG
기준은	기준/NNG+은/JX
일반	일반/NNG
건축물과	건축물/NNG+과/JKB
똑같이	똑같이/MAG
적용됐습니다.	적용/NNG+되/XSV+었/EP+습니다/EF+./SF


# id : NWRW1800000028.129.4.3
주택이 아니어서 새로 지을 때 국민주택기금 대출도 불가능했습니다.

주택이	주택/NNG+이/JKC
아니어서	아니/VCN+어서/EC
새로	새로/MAG
지을	짓/VV+을/ETM
때	때/NNG
국민주택기금	국민/NNG+주택/NNG+기금/NNG
대출도	대출/NNG+도/JX
불가능했습니다.	불/XPN+가능/NNG+하/XSA+았/EP+습니다/EF+./SF


# id : NWRW1800000028.129.5.1
준주택 분류로 가장 큰 변화가 일어난 것은 오피스텔입니다.

준주택	준/XPN+주택/NNG
분류로	분류/NNG+로/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
일어난	일어나/VV+ㄴ/ETM
것은	것/NNB+은/JX
오피스텔입니다.	오피스텔/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.5.2
현행 욕실 설치기준(5㎡ 이하로 1개만 설치 허용, 욕조 금지)과 전체 면적의 70% 이상을 업무용으로 설치하도록 한 규제가 사라지게 됐습니다.

현행	현행/NNG
욕실	욕실/NNG
설치기준(5㎡	설치/NNG+기준/NNG+(/SS+5/SN+㎡/SW
이하로	이하/NNG+로/JKB
1개만	1/SN+개/NNB+만/JX
설치	설치/NNG
허용,	허용/NNG+,/SP
욕조	욕조/NNG
금지)과	금지/NNG+)/SS+과/JC
전체	전체/NNG
면적의	면적/NNG+의/JKG
70%	70/SN+%/SW
이상을	이상/NNG+을/JKO
업무용으로	업무/NNG+용/XSN+으로/JKB
설치하도록	설치/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
규제가	규제/NNG+가/JKS
사라지게	사라지/VV+게/EC
됐습니다.	되/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000028.129.5.3
사업자들이 주거용 오피스텔을 짓는 게 훨씬 쉬워진 것입니다.

사업자들이	사업자/NNG+들/XSN+이/JKS
주거용	주거/NNG+용/XSN
오피스텔을	오피스텔/NNG+을/JKO
짓는	짓/VV+는/ETM
게	거/NNB+이/JKS
훨씬	훨씬/MAG
쉬워진	쉬워지/VV+ㄴ/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.5.4
대신 인명과 관련된 안전·피난·소음 기준은 지금보다 강화하고, 전용면적 85㎡ 초과 오피스텔에 대한 바닥난방도 계속 금지됩니다.

대신	대신/NNG
인명과	인명/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
안전·피난·소음	안전/NNG+·/SP+피난/NNG+·/SP+소음/NNG
기준은	기준/NNG+은/JX
지금보다	지금/NNG+보다/JKB
강화하고,	강화/NNG+하/XSV+고/EC+,/SP
전용면적	전용/NNG+면적/NNG
85㎡	85/SN+㎡/SW
초과	초과/NNG
오피스텔에	오피스텔/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
바닥난방도	바닥/NNG+난방/NNG+도/JX
계속	계속/MAG
금지됩니다.	금지/NNG+되/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.5.5
또 오피스텔을 포함한 준주택은 모두 지을 때 정부로부터 국민주택기금을 지원받을 수 있는 길이 열렸습니다.

또	또/MAG
오피스텔을	오피스텔/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
준주택은	준/XPN+주택/NNG+은/JX
모두	모두/MAG
지을	짓/VV+을/ETM
때	때/NNG
정부로부터	정부/NNG+로부터/JKB
국민주택기금을	국민/NNG+주택/NNG+기금/NNG+을/JKO
지원받을	지원/NNG+받/XSV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
길이	길/NNG+이/JKS
열렸습니다.	열리/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000028.129.6.1
도시형생활주택은 지난해 5월 주택법과 건축법 개정에 따라 새로 정의된 소형 공동주택을 말합니다.

도시형생활주택은	도시/NNG+형/XSN+생활/NNG+주택/NNG+은/JX
지난해	지난해/NNG
5월	5/SN+월/NNB
주택법과	주택법/NNG+과/JC
건축법	건축법/NNG
개정에	개정/NNG+에/JKB
따라	따르/VV+아/EC
새로	새로/MAG
정의된	정의/NNG+되/XSV+ㄴ/ETM
소형	소형/NNG
공동주택을	공동/NNG+주택/NNG+을/JKO
말합니다.	말/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.6.2
유형은 ‘단지형 다세대’, ‘원룸형’, ‘기숙사형(고시원)’ 등 세가지입니다.

유형은	유형/NNG+은/JX
‘단지형	‘/SS+단지/NNG+형/XSN
다세대’,	다세대/NNG+’/SS+,/SP
‘원룸형’,	‘/SS+원룸/NNG+형/XSN+’/SS+,/SP
‘기숙사형(고시원)’	‘/SS+기숙사/NNG+형/XSN+(/SS+고시원/NNG+)/SS+’/SS
등	등/NNB
세가지입니다.	세/MMN+가지/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.6.3
도시형생활주택은 민간이 도심지 자투리땅을 활용해 쉽게 건축할 수 있도록 어린이놀이터와 관리사무소, 조경시설 등 부대복리시설을 설치하지 않도록 한 게 특징입니다.

도시형생활주택은	도시/NNG+형/XSN+생활/NNG+주택/NNG+은/JX
민간이	민간/NNG+이/JKS
도심지	도심지/NNG
자투리땅을	자투리땅/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
쉽게	쉽/VA+게/EC
건축할	건축/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
어린이놀이터와	어린이/NNG+놀이터/NNG+와/JC
관리사무소,	관리/NNG+사무소/NNG+,/SP
조경시설	조경/NNG+시설/NNG
등	등/NNB
부대복리시설을	부대/NNG+복리/NNG+시설/NNG+을/JKO
설치하지	설치/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
한	하/VX+ㄴ/ETM
게	거/NNB+이/JKS
특징입니다.	특징/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.6.4
특히 1~2인 가구가 거주하는 원룸형과 기숙사형은 지난해 말 주차장 요건이 대폭 완화돼 올해부터 서울과 지방 대도시에서 건축이 활기를 띠고 있습니니다.

특히	특히/MAG
1~2인	1/SN+~/SO+2/SN+인/NNG
가구가	가구/NNG+가/JKS
거주하는	거주/NNG+하/XSV+는/ETM
원룸형과	원룸/NNG+형/XSN+과/JC
기숙사형은	기숙사/NNG+형/XSN+은/JX
지난해	지난해/NNG
말	말/NNB
주차장	주차장/NNG
요건이	요건/NNG+이/JKS
대폭	대폭/MAG
완화돼	완화/NNG+되/XSV+어/EC
올해부터	올해/NNG+부터/JX
서울과	서울/NNP+과/JC
지방	지방/NNG
대도시에서	대/XPN+도시/NNG+에서/JKB
건축이	건축/NNG+이/JKS
활기를	활기/NNG+를/JKO
띠고	띠/VV+고/EC
있습니니다.	있/VX+습니니다/EF+./SF


# id : NWRW1800000028.129.6.5
여기에다 국토부는 최근 150가구 미만이었던 도시형생활주택 단지 규모 상한을 300가구 미만으로 확대했습니다.

여기에다	여기/NP+에다/JKB
국토부는	국토부/NNG+는/JX
최근	최근/MAG
150가구	150/SN+가구/NNG
미만이었던	미만/NNG+이/VCP+었/EP+던/ETM
도시형생활주택	도시/NNG+형/XSN+생활/NNG+주택/NNG
단지	단지/NNG
규모	규모/NNG
상한을	상한/NNG+을/JKO
300가구	300/SN+가구/NNG
미만으로	미만/NNG+으로/JKB
확대했습니다.	확대/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000028.129.6.6
이는 일반 건설회사의 참여를 유도해 공급을 늘리겠다는 포석으로 풀이됩니다.

이는	이/NP+는/JX
일반	일반/NNG
건설회사의	건설/NNG+회사/NNG+의/JKG
참여를	참여/NNG+를/JKO
유도해	유도/NNG+하/XSV+아/EC
공급을	공급/NNG+을/JKO
늘리겠다는	늘리/VV+겠/EP+다는/ETM
포석으로	포석/NNG+으로/JKB
풀이됩니다.	풀이/NNG+되/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.7.1
정부가 준주택과 도시형생활주택 건설 활성화를 서두르는 이유는 간단합니다.

정부가	정부/NNG+가/JKS
준주택과	준/XPN+주택/NNG+과/JC
도시형생활주택	도시/NNG+형/XSN+생활/NNG+주택/NNG
건설	건설/NNG
활성화를	활성/NNG+화/XSN+를/JKO
서두르는	서두르/VV+는/ETM
이유는	이유/NNG+는/JX
간단합니다.	간단하/VA+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.7.2
주택시장에서 빠르게 늘어나는 1~2인 가구 주택 수요를 해결할 필요가 있기 때문입니다.

주택시장에서	주택/NNG+시장/NNG+에서/JKB
빠르게	빠르/VA+게/EC
늘어나는	늘어나/VV+는/ETM
1~2인	1/SN+~/SO+2/SN+인/NNG
가구	가구/NNG
주택	주택/NNG
수요를	수요/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있기	있/VA+기/ETN
때문입니다.	때문/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.129.7.3
최근 국내 1~2인 가구 증가 속도는 무섭습니다.

최근	최근/MAG
국내	국내/NNG
1~2인	1/SN+~/SO+2/SN+인/NNG
가구	가구/NNG
증가	증가/NNG
속도는	속도/NNG+는/JX
무섭습니다.	무섭/VA+습니다/EF+./SF


# id : NWRW1800000028.129.7.4
1985년 183만6000가구였던 1~2인 가구는 2005년 인구센서스 통계에서 전체 가구의 42.1%인 669만2000가구로 세배 이상 늘어났습니다.

1985년	1985/SN+년/NNB
183만6000가구였던	183/SN+만/NR+6000/SN+가구/NNG+이/VCP+었/EP+던/ETM
1~2인	1/SN+~/SO+2/SN+인/NNG
가구는	가구/NNG+는/JX
2005년	2005/SN+년/NNB
인구센서스	인구/NNG+센서스/NNG
통계에서	통계/NNG+에서/JKB
전체	전체/NNG
가구의	가구/NNG+의/JKG
42.1%인	42/SN+./SP+1/SN+%/SW+이/VCP+ㄴ/ETM
669만2000가구로	669/SN+만/NR+2000/SN+가구/NNG+로/JKB
세배	세/MMN+배/NNG
이상	이상/NNG
늘어났습니다.	늘어나/VV+았/EP+습니다/EF+./SF


