# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.383
metadata : {}


# id : NWRW1800000029.383.1.1
[서울시장 보선 D-21]박원순 > 나경원 5.1%P 차 접전… 본보-KRC 여론조사

[서울시장	[/SS+서울시장/NNG
결집하고	결집/NNG+하/XSV+고/EC
데	데/NNB
따른	따르/VV+ㄴ/ETM
결과로	결과/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.383.5.1
서울 시민들은 박 변호사가 민주당에 입당하는 데는 부정적인 것으로 나타났다.

서울	서울/NNP
시민들은	시민/NNG+들/XSN+은/JX
박	박/NNP
변호사가	변호사/NNG+가/JKS
민주당에	민주당/NNP+에/JKB
입당하는	입당/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.383.5.2
박 변호사가 무소속으로 출마해야 한다는 응답(51.7%)이 민주당에 입당해야 한다는 응답(23.6%)에 비해 두 배 이상이었다.

박	박/NNP
변호사가	변호사/NNG+가/JKS
무소속으로	무/XPN+소속/NNG+으로/JKB
출마해야	출마/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
응답(51.7%)이	응답/NNG+(/SS+51/SN+./SP+7/SN+%/SW+)/SS+이/JKS
민주당에	민주당/NNP+에/JKB
입당해야	입당/NNG+하/XSV+아야/EC
응답(23.6%)에	응답/NNG+(/SS+23/SN+./SP+6/SN+%/SW+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
두	두/MMN
배	배/NNG
이상이었다.	이상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.383.5.3
앞서 지난달 25, 26일 본보 여론조사에서도 박 변호사가 무소속 후보로 남아야 한다는 답변이 53.2%, 민주당에 입당해야 한다는 답변은 29.4%를 기록했다.

앞서	앞서/MAG
지난달	지난달/NNG
25,	25/SN+,/SP
26일	26/SN+일/NNB
본보	본보/NNG
여론조사에서도	여론/NNG+조사/NNG+에서/JKB+도/JX
박	박/NNP
변호사가	변호사/NNG+가/JKS
무소속	무/XPN+소속/NNG
후보로	후보/NNG+로/JKB
남아야	남/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
답변이	답변/NNG+이/JKS
53.2%,	53/SN+./SP+2/SN+%/SW+,/SP
민주당에	민주당/NNP+에/JKB
입당해야	입당/NNG+하/XSV+아야/EC
답변은	답변/NNG+은/JX
29.4%를	29/SN+./SP+4/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.383.5.4
이는 박 변호사가 기존 정당 체제에 들어가기보다는 ‘시민후보’로 남기를 바라는 것으로 분석된다.

이는	이/NP+는/JX
박	박/NNP
변호사가	변호사/NNG+가/JKS
기존	기존/NNG
정당	정당/NNG
체제에	체제/NNG+에/JKB
들어가기보다는	들어가/VV+기/ETN+보다/JKB+는/JX
‘시민후보’로	‘/SS+시민/NNG+후보/NNG+’/SS+로/JKB
남기를	남/VV+기/ETN+를/JKO
바라는	바라/VV+는/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.383.6.1
특히 시민단체 출신 인사가 서울시장 선거에 출마하는 데 대해서도 긍정적인 반응이 많았다.

특히	특히/MAG
시민단체	시민/NNG+단체/NNG
출신	출신/NNG
인사가	인사/NNG+가/JKS
서울시장	서울시장/NNG
선거에	선거/NNG+에/JKB
출마하는	출마/NNG+하/XSV+는/ETM
데	데/NNB
대해서도	대하/VV+아서/EC+도/JX
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
반응이	반응/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.383.6.2
‘정치권이 제 역할을 못하고 있으므로 선거에 직접 출마하는 데 찬성한다’는 의견(65.0%)이 ‘시민단체 인사는 정치권을 견제하는 역할을 해야 하므로 반대한다’는 의견(25.9%)보다 월등히 많았다.

‘정치권이	‘/SS+정치/NNG+권/XSN+이/JKS
제	저/NP+의/JKG
역할을	역할/NNG+을/JKO
못하고	못/MAG+하/VV+고/EC
있으므로	있/VX+으므로/EC
선거에	선거/NNG+에/JKB
직접	직접/MAG
출마하는	출마/NNG+하/XSV+는/ETM
데	데/NNB
찬성한다’는	찬성/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
의견(65.0%)이	의견/NNG+(/SS+65/SN+./SP+0/SN+%/SW+)/SS+이/JKS
‘시민단체	‘/SS+시민/NNG+단체/NNG
인사는	인사/NNG+는/JX
정치권을	정치/NNG+권/XSN+을/JKO
견제하는	견제/NNG+하/XSV+는/ETM
해야	하/VV+아야/EC
하므로	하/VX+므로/EC
반대한다’는	반대/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
의견(25.9%)보다	의견/NNG+(/SS+25/SN+./SP+9/SN+%/SW+)/SS+보다/JKB
월등히	월등히/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.383.7.1
이명박 대통령의 국정운영에 대해서는 ‘잘하고 있다’는 응답(35.7%)보다 ‘잘못하고 있다’는 응답(56.6%)이 더 많았다.

이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
국정운영에	국정/NNG+운영/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
‘잘하고	‘/SS+잘/MAG+하/XSV+고/EC
있다’는	있/VX+다/EF+’/SS+는/ETM
응답(35.7%)보다	응답/NNG+(/SS+35/SN+./SP+7/SN+%/SW+)/SS+보다/JKB
‘잘못하고	‘/SS+잘못/MAG+하/XSV+고/EC
응답(56.6%)이	응답/NNG+(/SS+56/SN+./SP+6/SN+%/SW+)/SS+이/JKS
더	더/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.383.7.2
정당 지지율은 한나라당 38.1%, 민주당 27.8%였다.

정당	정당/NNG
지지율은	지지/NNG+율/XSN+은/JX
한나라당	한나라당/NNP
38.1%,	38/SN+./SP+1/SN+%/SW+,/SP
민주당	민주당/NNP
27.8%였다.	27/SN+./SP+8/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.383.8.1
한편 SBS와 여론조사기관인 TNS코리아가 실시한 지지율 여론조사에서는 박 변호사가 41.5%를 기록해 나 최고위원(32.0%)을 9.5%포인트 앞선 것으로 조사됐다.

한편	한편/MAG
SBS와	SBS/SL+와/JC
여론조사기관인	여론/NNG+조사/NNG+기관/NNG+이/VCP+ㄴ/ETM
TNS코리아가	TNS코리아/NNP+가/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
지지율	지지/NNG+율/XSN
여론조사에서는	여론/NNG+조사/NNG+에서/JKB+는/JX
박	박/NNP
변호사가	변호사/NNG+가/JKS
41.5%를	41/SN+./SP+5/SN+%/SW+를/JKO
기록해	기록/NNG+하/XSV+아/EC
나	나/NP
최고위원(32.0%)을	최고/NNG+위원/NNG+(/SS+32/SN+./SP+0/SN+%/SW+)/SS+을/JKO
9.5%포인트	9/SN+./SP+5/SN+%포인트/NNG
앞선	앞서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


