# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.78
metadata : {}


# id : NWRW1800000037.78.1.1
[중국, 한국기업의 미래]동반성장의 파트너로 中 인식

[중국,	[/SS+중국/NNP+,/SP
운영한	운영/NNG+하/XSV+ㄴ/ETM
성과라는	성과/NNG+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000037.78.4.1
LG화학의 중국 사업을 책임지고 있는 김광중 중국지역총괄 전무는 25일 동아일보와의 서면 인터뷰에서 “LG화학은 18년 전부터 중국을 단순한 생산기지가 아닌 미래의 시장, 동반성장의 파트너로 인식하고 현지화 전략을 바탕으로 접근했다”고 말했다.

LG화학의	LG화학/NNP+의/JKG
중국	중국/NNP
사업을	사업/NNG+을/JKO
책임지고	책임지/VV+고/EC
있는	있/VX+는/ETM
김광중	김광중/NNP
중국지역총괄	중국지역/NNP+총괄/NNG
전무는	전무/NNG+는/JX
25일	25/SN+일/NNB
동아일보와의	동아일보/NNP+와/JKB+의/JKG
서면	서면/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“LG화학은	“/SS+LG화학/NNP+은/JX
18년	18/SN+년/NNB
전부터	전/NNG+부터/JX
중국을	중국/NNP+을/JKO
단순한	단순/NNG+하/XSA+ㄴ/ETM
생산기지가	생산/NNG+기지/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
미래의	미래/NNG+의/JKG
시장,	시장/NNG+,/SP
동반성장의	동반/NNG+성장/NNG+의/JKG
파트너로	파트너/NNG+로/JKB
인식하고	인식/NNG+하/XSV+고/EC
현지화	현지/NNG+화/XSN
전략을	전략/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
접근했다”고	접근/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.78.4.2
그는 “이 덕분에 중국이라는 거대 잠재시장에서 미래 성장과 수익창출을 위한 사업 거점을 조기에 확보했고, 고객 기반을 선점할 수 있었다”고 덧붙였다.

그는	그/NP+는/JX
“이	“/SS+이/MMD
덕분에	덕분/NNG+에/JKB
중국이라는	중국/NNP+이/VCP+라는/ETM
거대	거대/NNG
잠재시장에서	잠재/NNG+시장/NNG+에서/JKB
미래	미래/NNG
성장과	성장/NNG+과/JC
수익창출을	수익/NNG+창출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
사업	사업/NNG
거점을	거점/NNG+을/JKO
조기에	조기/NNG+에/JKB
확보했고,	확보/NNG+하/XSV+았/EP+고/EC+,/SP
고객	고객/NNG
기반을	기반/NNG+을/JKO
선점할	선점/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.78.5.1
LG화학은 1995년 톈진(天津)에서 PVC 수지를 현지 생산 판매한 것을 시작으로, ABS 및 엔지니어링 플라스틱, SBS 수지, SBL 등 석유화학 제품과 편광판 등 정보전자 소재, 그리고 리튬이온전지 등을 중국에서 생산해오고 있다.

LG화학은	LG화학/NNP+은/JX
1995년	1995/SN+년/NNB
톈진(天津)에서	톈진/NNP+(/SS+天津/SH+)/SS+에서/JKB
PVC	PVC/SL
수지를	수지/NNG+를/JKO
현지	현지/NNG
생산	생산/NNG
판매한	판매/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
시작으로,	시작/NNG+으로/JKB+,/SP
ABS	ABS/SL
및	및/MAG
엔지니어링	엔지니어링/NNG
플라스틱,	플라스틱/NNG+,/SP
SBS	SBS/SL
수지,	수지/NNG+,/SP
SBL	SBL/SL
등	등/NNB
석유화학	석유/NNG+화학/NNG
제품과	제품/NNG+과/JC
편광판	편광판/NNG
정보전자	정보/NNG+전자/NNG
소재,	소재/NNG+,/SP
그리고	그리고/MAJ
리튬이온전지	리튬/NNG+이온/NNG+전지/NNG
등을	등/NNB+을/JKO
중국에서	중국/NNP+에서/JKB
생산해오고	생산/NNG+하/XSV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.78.5.2
지난해 사업규모는 약 80억 달러(약 9조2000억 원)에 이른다.

지난해	지난해/NNG
사업규모는	사업/NNG+규모/NNG+는/JX
약	약/MMA
80억	80/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
9조2000억	9/SN+조/NR+2000/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.78.6.1
김 전무는 “사람과 사업의 현지화를 과감하게 추진한 것이 현재 LG화학 중국 사업의 성과로 나타나고 있다”고 강조했다.

김	김/NNP
전무는	전무/NNG+는/JX
“사람과	“/SS+사람/NNG+과/JC
사업의	사업/NNG+의/JKG
현지화를	현지/NNG+화/XSN+를/JKO
과감하게	과감하/VA+게/EC
추진한	추진/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
현재	현재/MAG
LG화학	LG화학/NNP
중국	중국/NNP
성과로	성과/NNG+로/JKB
나타나고	나타나/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.78.6.2
LG화학 중국법인은 경영방식과 제도를 현지 실정에 맞춰 개선했고, 한국 본사에서 파견하는 인력도 사전에 반드시 현지화 적응과정을 거친 인재만 선발했다.

LG화학	LG화학/NNP
중국법인은	중국/NNP+법인/NNG+은/JX
경영방식과	경영/NNG+방식/NNG+과/JC
제도를	제도/NNG+를/JKO
현지	현지/NNG
실정에	실정/NNG+에/JKB
맞춰	맞추/VV+어/EC
개선했고,	개선/NNG+하/XSV+았/EP+고/EC+,/SP
한국	한국/NNP
본사에서	본사/NNG+에서/JKB
파견하는	파견/NNG+하/XSV+는/ETM
인력도	인력/NNG+도/JX
사전에	사전/NNG+에/JKB
반드시	반드시/MAG
현지화	현지/NNG+화/XSN
적응과정을	적응/NNG+과정/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
인재만	인재/NNG+만/JX
선발했다.	선발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.78.7.1
그는 “특히 현지인 육성체계를 만들어 중국 직원들을 부문별 리더로 육성한 것이 유효했다”며 “꼭 본사에서 파견된 인력이 아니더라도 리더로 승진하는 사람에게는 권한과 책임을 과감하게 위임했다”고 설명했다.

그는	그/NP+는/JX
“특히	“/SS+특히/MAG
현지인	현지인/NNG
육성체계를	육성/NNG+체계/NNG+를/JKO
만들어	만들/VV+어/EC
중국	중국/NNP
직원들을	직원/NNG+들/XSN+을/JKO
부문별	부문/NNG+별/XSN
리더로	리더/NNG+로/JKB
육성한	육성/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
유효했다”며	유효/NNG+하/XSA+았/EP+다/EF+”/SS+며/EC
“꼭	“/SS+꼭/MAG
본사에서	본사/NNG+에서/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
인력이	인력/NNG+이/JKC
아니더라도	아니/VCN+더라도/EC
승진하는	승진/NNG+하/XSV+는/ETM
사람에게는	사람/NNG+에게/JKB+는/JX
권한과	권한/NNG+과/JC
책임을	책임/NNG+을/JKO
과감하게	과감하/VA+게/EC
위임했다”고	위임/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.78.7.2
덕분에 현재 LG화학 중국법인의 전체 구성원 가운데 한국에서 파견된 사람은 2%가 채 안 된다.

덕분에	덕분/NNG+에/JKB
현재	현재/MAG
LG화학	LG화학/NNP
중국법인의	중국/NNP+법인/NNG+의/JKG
전체	전체/NNG
구성원	구성원/NNG
가운데	가운데/NNG
한국에서	한국/NNP+에서/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
2%가	2/SN+%/SW+가/JKS
채	채/MAG
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.78.8.1
향후 중국 비즈니스 환경에 대해서는 “일각에서는 과거와 같은 고도성장은 어려울 것이라는 전망도 나오지만 아직 중국만한 시장규모나 성장 가능성을 갖고 있는 나라도 없다”고 말했다.

향후	향후/NNG
중국	중국/NNP
비즈니스	비즈니스/NNG
환경에	환경/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“일각에서는	“/SS+일각/NNG+에서/JKB+는/JX
과거와	과거/NNG+와/JKB
같은	같/VA+은/ETM
고도성장은	고도성장/NNG+은/JX
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망도	전망/NNG+도/JX
나오지만	나오/VV+지만/EC
아직	아직/MAG
중국만한	중국/NNP+만/JX+하/VA+ㄴ/ETM
시장규모나	시장/NNG+규모/NNG+나/JC
성장	성장/NNG
가능성을	가능/NNG+성/XSN+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
나라도	나라/NNG+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.78.8.2
그는 “성장의 속도가 더뎌지고 산업구조가 선진화돼 갈수록 경쟁이 치열해질 것”이라면서도 “중국이 연간 6∼7%만 성장해도 웬만한 국가의 국내총생산(GDP)과 맞먹을 만한 규모이기 때문에 여전히 기회는 충분하다”고 힘주어 말했다.

그는	그/NP+는/JX
“성장의	“/SS+성장/NNG+의/JKG
속도가	속도/NNG+가/JKS
더뎌지고	더뎌지/VV+고/EC
산업구조가	산업/NNG+구조/NNG+가/JKS
선진화돼	선진/NNG+화/XSN+되/XSV+어/EC
갈수록	갈수록/MAG
경쟁이	경쟁/NNG+이/JKS
치열해질	치열/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것”이라면서도	것/NNB+”/SS+이/VCP+라면서/EC+도/JX
“중국이	“/SS+중국/NNP+이/JKS
연간	연간/NNG
6∼7%만	6/SN+∼/SO+7/SN+%/SW+만/JX
성장해도	성장/NNG+하/XSV+아도/EC
웬만한	웬만하/VA+ㄴ/ETM
국가의	국가/NNG+의/JKG
국내총생산(GDP)과	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+과/JKB
맞먹을	맞먹/VV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
규모이기	규모/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
여전히	여전히/MAG
기회는	기회/NNG+는/JX
충분하다”고	충분하/VA+다/EF+”/SS+고/JKQ
힘주어	힘주/VV+어/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.78.9.1
중국의 경제성장 속도가 느려지는 상황에 대비해 LG화학은 연초부터 사업부문별로 중국 사업을 재점검하는 한편 장기 사업전략을 다시 수립하고 있다.

중국의	중국/NNP+의/JKG
경제성장	경제/NNG+성장/NNG
속도가	속도/NNG+가/JKS
느려지는	느려지/VV+는/ETM
상황에	상황/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
LG화학은	LG화학/NNP+은/JX
연초부터	연초/NNG+부터/JX
사업부문별로	사업/NNG+부문/NNG+별/XSN+로/JKB
중국	중국/NNP
사업을	사업/NNG+을/JKO
재점검하는	재/XPN+점검/NNG+하/XSV+는/ETM
한편	한편/NNG
장기	장기/NNG
사업전략을	사업/NNG+전략/NNG+을/JKO
다시	다시/MAG
수립하고	수립/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.78.9.2
김 전무는 “앞으로는 고객별, 지역별, 제품별로 포트폴리오를 바꿔갈 계획”이라며 “특히 중국 정부가 적극적으로 추진하는 7대 전략 성장산업 및 도시화 정책과 연관된 사업도 관심 있게 지켜보고 있다”고 향후 사업방향을 밝혔다.

김	김/NNP
전무는	전무/NNG+는/JX
“앞으로는	“/SS+앞/NNG+으로/JKB+는/JX
고객별,	고객/NNG+별/XSN+,/SP
지역별,	지역/NNG+별/XSN+,/SP
제품별로	제품/NNG+별/XSN+로/JKB
포트폴리오를	포트폴리오/NNG+를/JKO
바꿔갈	바꾸/VV+어/EC+가/VX+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“특히	“/SS+특히/MAG
중국	중국/NNP
정부가	정부/NNG+가/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
추진하는	추진/NNG+하/XSV+는/ETM
7대	7/SN+대/NNG
전략	전략/NNG
성장산업	성장/NNG+산업/NNG
및	및/MAG
도시화	도시/NNG+화/XSN
정책과	정책/NNG+과/JKB
연관된	연관/NNG+되/XSV+ㄴ/ETM
사업도	사업/NNG+도/JX
관심	관심/NNG
있게	있/VA+게/EC
지켜보고	지켜보/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
향후	향후/NNG
사업방향을	사업/NNG+방향/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.78.10.1
한국과 중국 두 나라의 경제협력과 관련해서는 “동북아의 새로운 경제 공동협력체를 만들어 양국이 서로의 강점을 살리면서 함께 실리를 추구할 수 있는 협력모델을 만들어가야 한다”고 말했다.

한국과	한국/NNP+과/JC
중국	중국/NNP
두	두/MMN
나라의	나라/NNG+의/JKG
경제협력과	경제/NNG+협력/NNG+과/JKB
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
“동북아의	“/SS+동북아/NNP+의/JKG
새로운	새롭/VA+ㄴ/ETM
경제	경제/NNG
공동협력체를	공동/NNG+협력체/NNG+를/JKO
만들어	만들/VV+어/EC
양국이	양국/NNG+이/JKS
서로의	서로/NNG+의/JKG
강점을	강점/NNG+을/JKO
살리면서	살리/VV+면서/EC
함께	함께/MAG
실리를	실리/NNG+를/JKO
추구할	추구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
협력모델을	협력/NNG+모델/NNG+을/JKO
만들어가야	만들/VV+어/EC+가/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


