# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.15
metadata : {}


# id : NWRW1800000026.15.1.1
울부짖는 쿠르드족의 눈물;MBC '세계와 나 W'

울부짖는	울부짖/VV+는/ETM
이곳에 사는 사미족들은 혹한의 땅에서 자신만의 생존법을 터득해 왔다.

이곳에	이곳/NP+에/JKB
사는	살/VV+는/ETM
사미족들은	사미족/NNP+들/XSN+은/JX
혹한의	혹한/NNG+의/JKG
땅에서	땅/NNG+에서/JKB
자신만의	자신/NNG+만/JX+의/JKG
생존법을	생존법/NNG+을/JKO
터득해	터득/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.15.5.3
순록을 타고 사냥하고 활동하는 사미족 사람들의 겨울 이야기를 들여다봤다.

순록을	순록/NNG+을/JKO
타고	타/VV+고/EC
사냥하고	사냥/NNG+하/XSV+고/EC
활동하는	활동/NNG+하/XSV+는/ETM
사미족	사미족/NNP
사람들의	사람/NNG+들/XSN+의/JKG
겨울	겨울/NNG
이야기를	이야기/NNG+를/JKO
들여다봤다.	들여다보/VV+았/EP+다/EF+./SF


