# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.134
metadata : {}


# id : NWRW1800000056.134.1.1
“탄생 100년, 윤동주 정본 시집은 아직 존재하지 않는다”

“탄생	“/SS+탄생/NNG
시고	시고/NNG
전집>을	전집/NNG+>/SS+을/JKO
펴낸	펴내/VV+ㄴ/ETM
바	바/NNB
있는	있/VA+는/ETM
그는	그/NP+는/JX
미리	미리/MAG
배포한	배포/NNG+하/XSV+ㄴ/ETM
강연	강연/NNG
원고에서	원고/NNG+에서/JKB
‘병원’	‘/SS+병원/NNP+’/SS
‘곡간’	‘/SS+곡간/NNP+’/SS
‘아침’	‘/SS+아침/NNP+’/SS
‘별	‘/SS+별/NNG
헤는	헤/VV+는/ETM
밤’	밤/NNG+’/SS
시	시/NNG
네	네/MMN
편을	편/NNB+을/JKO
예로	예/NNG+로/JKB
들며	들/VV+며/EC
정본	정본/NNG
확정이	확정/NNG+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
까닭을	까닭/NNG+을/JKO
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.134.7.1
자필 시집 <하늘과 바람과 별과 시>의 원래 표제로 삼으려 했을 만큼 윤동주가 소중하게 여긴 시 ‘병원’의 2연 4행 중 “이 지나친”에 이어지는 “放○”의 “○”이 무슨 글자인지 해독하기 어렵다고 오무라 교수는 밝혔다.

자필	자필/NNG
시집	시집/NNG
<하늘과	</SS+하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별과	별/NNG+과/JC
시>의	시/NNG+>/SS+의/JKG
원래	원래/MAG
표제로	표제/NNG+로/JKB
삼으려	삼/VV+으려/EC
했을	하/VX+았/EP+을/ETM
만큼	만큼/NNB
윤동주가	윤동주/NNP+가/JKS
소중하게	소중하/VA+게/EC
여긴	여기/VV+ㄴ/ETM
시	시/NNG
‘병원’의	‘/SS+병원/NNP+’/SS+의/JKG
2연	2/SN+연/NNG
4행	4/SN+행/NNG
중	중/NNB
“이	“/SS+이/MMD
지나친”에	지나치/VA+ㄴ/ETM+”/SS+에/JKB
이어지는	이어지/VV+는/ETM
“放○”의	“/SS+放/SH+○/SW+”/SS+의/JKG
“○”이	“/SS+○/SW+”/SS+이/JKS
무슨	무슨/MMD
글자인지	글자/NNG+이/VCP+ㄴ지/EC
해독하기	해독/NNG+하/XSV+기/ETN
어렵다고	어렵/VA+다고/EC
오무라	오무라/NNP
교수는	교수/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.134.7.2
‘방일’(放逸)처럼 보이기도 하지만 문맥으로 보아 맞지 않는다는 것.

‘방일’(放逸)처럼	‘/SS+방일/NNG+’/SS+(/SS+放逸/SH+)/SS+처럼/JKB
보이기도	보이/VV+기/ETN+도/JX
하지만	하/VX+지만/EC
문맥으로	문맥/NNG+으로/JKB
보아	보/VV+아/EC
맞지	맞/VV+지/EC
않는다는	않/VX+는다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000056.134.7.3
시 ‘곡간’(谷間)은 처음에는 6연으로 썼는데 최종본에는 이 가운데 두 연이 삭제되었다.

시	시/NNG
‘곡간’(谷間)은	‘/SS+곡간/NNP+’/SS+(/SS+谷間/SH+)/SS+은/JX
처음에는	처음/NNG+에/JKB+는/JX
6연으로	6/SN+연/NNG+으로/JKB
썼는데	쓰/VV+었/EP+는데/EC
최종본에는	최종본/NNG+에/JKB+는/JX
이	이/MMD
가운데	가운데/NNG
두	두/MMN
연이	연/NNG+이/JKS
삭제되었다.	삭제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.134.7.4
삭제된 두 연에는 “말탄섬나라 사람이,/ 길을뭇고지남이 이상한일이다.”와 같은 대목이 들어 있는데, 윤동주가 자기검열을 한 것이 아닐까 하는 것이 오무라 교수의 추측이다.

삭제된	삭제/NNG+되/XSV+ㄴ/ETM
두	두/MMN
연에는	연/NNG+에/JKB+는/JX
“말탄섬나라	“/SS+말/NNG+타/VV+ㄴ/ETM+섬나라/NNG
사람이,/	사람/NNG+이/JKS+,/SP+//SP
길을뭇고지남이	길/NNG+을/JKO+뭇/VV+고/EC+지나/VV+ㅁ/ETN+이/JKS
이상한일이다.”와	이상/NNG+하/XSA+ㄴ/ETM+일/NNG+이/VCP+다/EF+./SF+”/SS+와/JKB
같은	같/VA+은/ETM
대목이	대목/NNG+이/JKS
들어	들/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
윤동주가	윤동주/NNP+가/JKS
자기검열을	자기/NNG+검열/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
아닐까	아니/VCN+ㄹ까/EF
하는	하/VV+는/ETM
오무라	오무라/NNP
교수의	교수/NNG+의/JKG
추측이다.	추측/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.134.8.1
‘아침’은 10행짜리로 나오는 윤동주의 원고에서 여섯 행에 ×표를 치고 여백에 “고칠 것”이라 써넣었는데, 그의 사후 시집 편찬자가 그의 다른 습작 원고의 시구를 뽑아내어 남은 4행과 합쳐 하나의 작품으로 만들었다.

‘아침’은	‘/SS+아침/NNP+’/SS+은/JX
10행짜리로	10/SN+행/NNG+짜리/XSN+로/JKB
나오는	나오/VV+는/ETM
윤동주의	윤동주/NNP+의/JKG
원고에서	원고/NNG+에서/JKB
여섯	여섯/NR
행에	행/NNG+에/JKB
×표를	×/SW+표/NNG+를/JKO
치고	치/VV+고/EC
여백에	여백/NNG+에/JKB
“고칠	“/SS+고치/VV+ㄹ/ETM
것”이라	것/NNB+”/SS+이/VCP+라/EC
써넣었는데,	써넣/VV+었/EP+는데/EC+,/SP
그의	그/NP+의/JKG
사후	사후/NNG
시집	시집/NNG
편찬자가	편찬자/NNG+가/JKS
다른	다른/MMD
습작	습작/NNG
원고의	원고/NNG+의/JKG
시구를	시구/NNG+를/JKO
뽑아내어	뽑아내/VV+어/EC
남은	남/VV+은/ETM
4행과	4/SN+행/NNG+과/JKB
합쳐	합치/VV+어/EC
하나의	하나/NR+의/JKG
작품으로	작품/NNG+으로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.134.8.2
그러나 이것이 윤동주 자신이 의도한 최종본이 아니었기 때문에 정음사판 <하늘과 바람과 별과 시>와 <원본 대조 윤동주 전집>(2004, 연세대출판부)의 ‘아침’은 각각 다르다.

그러나	그러나/MAJ
이것이	이것/NP+이/JKS
윤동주	윤동주/NNP
자신이	자신/NNG+이/JKS
의도한	의도/NNG+하/XSV+ㄴ/ETM
최종본이	최종본/NNG+이/JKC
아니었기	아니/VCN+었/EP+기/ETN
때문에	때문/NNB+에/JKB
정음사판	정음사판/NNG
<하늘과	</SS+하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별과	별/NNG+과/JC
시>와	시/NNG+>/SS+와/JC
<원본	</SS+원본/NNG
대조	대조/NNG
전집>(2004,	전집/NNG+>/SS+(/SS+2004/SN+,/SP
연세대출판부)의	연세대출판부/NNP+)/SS+의/JKG
‘아침’은	‘/SS+아침/NNP+’/SS+은/JX
각각	각각/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000056.134.9.1
‘별 헤는 밤’에 나오는 이국 소녀들 이름 ‘패, 경, 옥’은 윤동주의 원고에는 한자로 되어 있다.

‘별	‘/SS+별/NNG
헤는	헤/VV+는/ETM
밤’에	밤/NNG+’/SS+에/JKB
나오는	나오/VV+는/ETM
이국	이국/NNG
소녀들	소녀/NNG+들/XSN
이름	이름/NNG
‘패,	‘/SS+패/NNP+,/SP
경,	경/NNP+,/SP
옥’은	옥/NNP+’/SS+은/JX
윤동주의	윤동주/NNP+의/JKG
원고에는	원고/NNG+에/JKB+는/JX
한자로	한자/NNG+로/JKB
되어	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.134.9.2
오무라 교수는 “윤동주는 이 시를 쓰면서 화룡현립 제일소학교 고등과에서 1년간 중국어를 공부했던 시절을 떠올렸던 것임에 틀림이 없다”며 “윤동주가 이 시를 썼을 때는 틀림없이 중국어 발음이 귀에 맴돌고 있었을 것으로 생각한다”고 밝혔다.

오무라	오무라/NNP
교수는	교수/NNG+는/JX
“윤동주는	“/SS+윤동주/NNP+는/JX
이	이/MMD
시를	시/NNG+를/JKO
쓰면서	쓰/VV+면서/EC
화룡현립	화룡/NNP+현립/NNG
제일소학교	제일소학교/NNP
고등과에서	고등과/NNG+에서/JKB
1년간	1/SN+년/NNB+간/XSN
중국어를	중국어/NNP+를/JKO
공부했던	공부/NNG+하/XSV+았/EP+던/ETM
시절을	시절/NNG+을/JKO
떠올렸던	떠올리/VV+었/EP+던/ETM
것임에	것/NNB+이/VCP+ㅁ/ETN+에/JKB
틀림이	틀리/VV+ㅁ/ETN+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“윤동주가	“/SS+윤동주/NNP+가/JKS
썼을	쓰/VV+었/EP+을/ETM
때는	때/NNG+는/JX
틀림없이	틀림없이/MAG
중국어	중국어/NNP
발음이	발음/NNG+이/JKS
귀에	귀/NNG+에/JKB
맴돌고	맴돌/VV+고/EC
있었을	있/VX+었/EP+을/ETM
것으로	것/NNB+으로/JKB
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.134.9.3
‘패, 경, 옥’이 아니라 ‘페이, 징, 위’로 읽어야 한다는 뜻이다.

‘패,	‘/SS+패/NNP+,/SP
경,	경/NNP+,/SP
옥’이	옥/NNP+’/SS+이/JKC
아니라	아니/VCN+라/EC
‘페이,	‘/SS+페이/NNP+,/SP
징,	징/NNP+,/SP
위’로	위/NNP+’/SS+로/JKB
읽어야	읽/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.134.9.4
같은 시에는 독일 시인 라이너 마리아 릴케가 등장하는데, 오무라 교수는 윤동주가 릴케 시를 일본어 번역으로 읽었을 것이라며 당시 일본에서 릴케의 이름은 ‘라이너’가 아니라 ‘라이넬’로 읽었고 <하늘과 바람과 별과 시> 역시 1955년 재판까지는 ‘라이넬’로 표기했다가 그 뒤부터 ‘라이너-’로 표기했다는 사실을 지적했다.

같은	같/VA+은/ETM
시에는	시/NNG+에/JKB+는/JX
독일	독일/NNP
시인	시인/NNG
라이너	라이너/NNP
마리아	마리아/NNP
릴케가	릴케/NNP+가/JKS
등장하는데,	등장/NNG+하/XSV+는데/EC+,/SP
오무라	오무라/NNP
교수는	교수/NNG+는/JX
윤동주가	윤동주/NNP+가/JKS
릴케	릴케/NNP
시를	시/NNG+를/JKO
일본어	일본어/NNP
번역으로	번역/NNG+으로/JKB
읽었을	읽/VV+었/EP+을/ETM
것이라며	것/NNB+이/VCP+라며/EC
당시	당시/NNG
일본에서	일본/NNP+에서/JKB
릴케의	릴케/NNP+의/JKG
이름은	이름/NNG+은/JX
‘라이너’가	‘/SS+라이너/NNP+’/SS+가/JKC
아니라	아니/VCN+라/EC
‘라이넬’로	‘/SS+라이넬/NNP+’/SS+로/JKB
읽었고	읽/VV+었/EP+고/EC
<하늘과	</SS+하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별과	별/NNG+과/JC
시>	시/NNG+>/SS
역시	역시/MAG
1955년	1955/SN+년/NNB
재판까지는	재판/NNG+까지/JX+는/JX
표기했다가	표기/NNG+하/XSV+았/EP+다가/EC
그	그/MMD
뒤부터	뒤/NNG+부터/JX
‘라이너-’로	‘/SS+라이너/NNP+-/SO+’/SS+로/JKB
표기했다는	표기/NNG+하/XSV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.134.9.5
마지막으로 ‘별 헤는 밤’의 마지막 4행은 초고에는 없었으나 후배 정병욱이 “어쩐지 끝이 좀 허한 느낌이 드네요”라고 소감을 말하자 나중에 써서 덧붙인 것으로 확인된다.

마지막으로	마지막/NNG+으로/JKB
‘별	‘/SS+별/NNG
헤는	헤/VV+는/ETM
밤’의	밤/NNG+’/SS+의/JKG
마지막	마지막/NNG
4행은	4/SN+행/NNG+은/JX
초고에는	초고/NNG+에/JKB+는/JX
없었으나	없/VA+었/EP+으나/EC
후배	후배/NNG
정병욱이	정병욱/NNP+이/JKS
“어쩐지	“/SS+어쩐지/MAG
끝이	끝/NNG+이/JKS
좀	좀/MAG
허한	허하/VA+ㄴ/ETM
느낌이	느낌/NNG+이/JKS
드네요”라고	들/VV+네/EF+요/JX+”/SS+라고/JKQ
소감을	소감/NNG+을/JKO
말하자	말/NNG+하/XSV+자/EC
나중에	나중/NNG+에/JKB
써서	쓰/VV+어서/EC
덧붙인	덧붙이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인된다.	확인/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.134.9.6
이 때문에 홍장학 편 <정본 윤동주 전집>(문학과지성사, 2004)에서는 이 4행을 아예 삭제해 버렸는데, “이 부분도 윤동주가 쓴 것임에는 틀림이 없다는 점에서 삭제해 버리는 것은 문제가 있다”고 오무라 교수는 지적했다.

이	이/MMD
때문에	때문/NNB+에/JKB
홍장학	홍장학/NNP
편	편/NNG
<정본	</SS+정본/NNG
윤동주	윤동주/NNP
전집>(문학과지성사,	전집/NNG+>/SS+(/SS+문학과지성사/NNP+,/SP
2004)에서는	2004/SN+)/SS+에서/JKB+는/JX
4행을	4/SN+행/NNG+을/JKO
아예	아예/MAG
삭제해	삭제/NNG+하/XSV+아/EC
버렸는데,	버리/VX+었/EP+는데/EC+,/SP
“이	“/SS+이/MMD
부분도	부분/NNG+도/JX
윤동주가	윤동주/NNP+가/JKS
쓴	쓰/VV+ㄴ/ETM
것임에는	것/NNB+이/VCP+ㅁ/ETN+에/JKB+는/JX
틀림이	틀리/VV+ㅁ/ETN+이/JKS
없다는	없/VA+다는/ETM
점에서	점/NNG+에서/JKB
버리는	버리/VX+는/ETM
것은	것/NNB+은/JX
문제가	문제/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
오무라	오무라/NNP
교수는	교수/NNG+는/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.134.10.1
‘세계화시대 한글문학, 평화를 꿈꾸다’를 주제로 열리는 세계한글작가대회에는 고은·신경림·유안진·김종회·방민호 등 17개 나라 문인과 연구자 63명이 발표와 토론자로 참여하고 국내 문인과 동포 문인, 경주 시민 등 수백명이 참가한다.

‘세계화시대	‘/SS+세계/NNG+화/XSN+시대/NNG
한글문학,	한글/NNG+문학/NNG+,/SP
평화를	평화/NNG+를/JKO
꿈꾸다’를	꿈꾸/VV+다/EF+’/SS+를/JKO
주제로	주제/NNG+로/JKB
열리는	열리/VV+는/ETM
세계한글작가대회에는	세계/NNG+한글/NNG+작가/NNG+대회/NNG+에/JKB+는/JX
고은·신경림·유안진·김종회·방민호	고은/NNP+·/SP+신경림/NNP+·/SP+유안진/NNP+·/SP+김종회/NNP+·/SP+방민호/NNP
등	등/NNB
17개	17/SN+개/NNB
나라	나라/NNG
문인과	문인/NNG+과/JC
연구자	연구자/NNG
63명이	63/SN+명/NNB+이/JKS
발표와	발표/NNG+와/JC
토론자로	토론자/NNG+로/JKB
참여하고	참여/NNG+하/XSV+고/EC
국내	국내/NNG
동포	동포/NNG
문인,	문인/NNG+,/SP
경주	경주/NNP
시민	시민/NNG
수백명이	수백/NR+명/NNB+이/JKS
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


