# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.381
metadata : {}


# id : NWRW1800000026.381.1.1
SK telecom_국가적 차원의 성장동력 만드는 '7대 플랫폼' 선정

SK	SK/SL
응용프로그램	응용/NNG+프로그램/NNG
장터	장터/NNG
'T스토어'	'/SS+T스토어/NNP+'/SS
등을	등/NNB+을/JKO
이러한	이러하/VA+ㄴ/ETM
서비스	서비스/NNG
플랫폼으로	플랫폼/NNG+으로/JKB
발전시킨다는	발전/NNG+시키/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.381.4.1
SK텔레콤이 선정한 '7대 플랫폼'은 T맵과 모바일 상업거래, 문자메시지와 메신저, 음악 등의 콘텐츠 유통, 싸이월드 등의 SNS, 스마트오피스 등의 기업거래, 모바일 광고 등 범용 플랫폼이다.

SK텔레콤이	SK텔레콤/NNP+이/JKS
선정한	선정/NNG+하/XSV+ㄴ/ETM
'7대	'/SS+7/SN+대/NNG
플랫폼'은	플랫폼/NNG+'/SS+은/JX
T맵과	T맵/NNP+과/JC
모바일	모바일/NNG
상업거래,	상업/NNG+거래/NNG+,/SP
문자메시지와	문자/NNG+메시지/NNG+와/JC
메신저,	메신저/NNG+,/SP
음악	음악/NNG
등의	등/NNB+의/JKG
콘텐츠	콘텐츠/NNG
유통,	유통/NNG+,/SP
싸이월드	싸이월드/NNP
SNS,	SNS/SL+,/SP
스마트오피스	스마트/NNG+오피스/NNG
기업거래,	기업/NNG+거래/NNG+,/SP
광고	광고/NNG
등	등/NNB
범용	범용/NNG
플랫폼이다.	플랫폼/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.381.5.1
SK텔레콤 이항수 상무는 "서비스플랫폼 육성을 위해 앞으로 3년 동안 총 1조원을 투자할 계획"이라며 "미국과 중국 및 동남아 시장을 대상으로 글로벌 플랫폼 사업을 추진할 것"이라고 밝혔다.

SK텔레콤	SK텔레콤/NNP
이항수	이항수/NNP
상무는	상무/NNG+는/JX
"서비스플랫폼	"/SS+서비스/NNG+플랫폼/NNG
육성을	육성/NNG+을/JKO
위해	위하/VV+아/EC
앞으로	앞/NNG+으로/JKB
3년	3/SN+년/NNB
동안	동안/NNG
총	총/MMA
1조원을	1/SN+조/NR+원/NNB+을/JKO
투자할	투자/NNG+하/XSV+ㄹ/ETM
계획"이라며	계획/NNG+"/SS+이/VCP+라며/EC
"미국과	"/SS+미국/NNP+과/JC
중국	중국/NNP
및	및/MAG
동남아	동남아/NNP
시장을	시장/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
글로벌	글로벌/NNG
플랫폼	플랫폼/NNG
사업을	사업/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.381.5.2
이를 위해 SK텔레콤은 콘텐츠와 기기 사업자 및 외부 개발자들과 협력 시스템을 통한 동반성장을 추구한다는 방안이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
SK텔레콤은	SK텔레콤/NNP+은/JX
콘텐츠와	콘텐츠/NNG+와/JC
기기	기기/NNG
사업자	사업자/NNG
및	및/MAG
외부	외부/NNG
개발자들과	개발자/NNG+들/XSN+과/JKB
협력	협력/NNG
시스템을	시스템/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
동반성장을	동반/NNG+성장/NNG+을/JKO
추구한다는	추구/NNG+하/XSV+ㄴ다는/ETM
방안이다.	방안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.381.6.1
이에 따라 T맵과 문자메시지, T스토어 등 시장에서 경쟁력을 가진 플랫폼을 개방할 계획이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
T맵과	T맵/NNP+과/JC
문자메시지,	문자/NNG+메시지/NNG+,/SP
T스토어	T스토어/NNP
등	등/NNB
시장에서	시장/NNG+에서/JKB
경쟁력을	경쟁력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
플랫폼을	플랫폼/NNG+을/JKO
개방할	개방/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.381.6.2
이를 위해 연내 외부 개발자들이 SK텔레콤의 플랫폼을 활용할 수 있도록 한 '통합 API(Application Programming Interface) 센터'를 열 예정이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
연내	연내/NNG
외부	외부/NNG
개발자들이	개발자/NNG+들/XSN+이/JKS
SK텔레콤의	SK텔레콤/NNP+의/JKG
플랫폼을	플랫폼/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
'통합	'/SS+통합/NNG
API(Application	API/SL+(/SS+Application/SL
Programming	Programming/SL
Interface)	Interface/SL+)/SS
센터'를	센터/NNG+'/SS+를/JKO
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.381.6.3
앞으로 개발할 모든 플랫폼들 또한 '개방'을 전제로 설계·구축된다.

앞으로	앞/NNG+으로/JKB
개발할	개발/NNG+하/XSV+ㄹ/ETM
모든	모든/MMN
플랫폼들	플랫폼/NNG+들/XSN
또한	또한/MAG
'개방'을	'/SS+개방/NNG+'/SS+을/JKO
전제로	전제/NNG+로/JKB
설계·구축된다.	설계/NNG+·/SP+구축/NNG+되/XSV+ㄴ다/EF+./SF


