# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.161
metadata : {}


# id : NWRW1800000022.161.1.1
[수도권Ⅰ] 보트·요트·해양장비 수출상담회 개최;경기국제보트쇼 기간 중

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
# id : NWRW1800000022.161.6.2
참여 업체에 제한은 없으며 참가비는 무료다.

참여	참여/NNG
업체에	업체/NNG+에/JKB
제한은	제한/NNG+은/JX
없으며	없/VA+으며/EC
참가비는	참가비/NNG+는/JX
무료다.	무료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.161.6.3
☎(031)249-4661

☎(031)249-4661	☎/SW+(/SS+031/SN+)/SS+249/SN+-/SO+4661/SN


